step,time,endpoint_max_abs,endpoint_max_rel,endpoint_max_ulp,tube_max_abs,tube_max_rel,tube_max_ulp
32,0.32,6.661338147750939e-16,6.973008038521722e-16,6,6.661338147750939e-16,6.975448462771468e-16,6
33,0.33,6.661338147750939e-16,7.312671333417357e-16,6,6.661338147750939e-16,7.315501519630418e-16,6
34,0.34,6.661338147750939e-16,7.680218624349174e-16,6,6.661338147750939e-16,7.683484944363955e-16,6
35,0.35000000000000003,6.661338147750939e-16,8.078730989791186e-16,6,6.661338147750939e-16,8.082486774161179e-16,6
36,0.36,7.771561172376096e-16,9.930437772602076e-16,7,6.661338147750939e-16,8.516110759660539e-16,6
37,0.37,6.661338147750939e-16,8.98362363607034e-16,6,6.661338147750939e-16,8.988553596033085e-16,6
38,0.38,6.661338147750939e-16,9.499079876476263e-16,6,6.661338147750939e-16,9.504717005358406e-16,6
39,0.39,6.661338147750939e-16,1.006391536437548e-15,6,6.661338147750939e-16,1.0070358944313404e-15,6
40,0.4,6.661338147750939e-16,1.0684929287177882e-15,6,6.661338147750939e-16,1.0692297308499738e-15,6
41,0.41000000000000003,6.661338147750939e-16,1.1370232656775135e-15,6,6.661338147750939e-16,1.1378666478633208e-15,6
42,0.42,6.661338147750939e-16,1.2129581178040611e-15,6,6.661338147750939e-16,1.213925165090843e-15,6
43,0.43,6.661338147750939e-16,1.2974814914297592e-15,6,6.661338147750939e-16,1.2985930527555877e-15,6
44,0.44,7.771561172376096e-16,1.461503274558118e-15,10,7.771561172376096e-16,1.3716055611872041e-15,10
45,0.45,6.661338147750939e-16,1.498447413252466e-15,12,6.661338147750939e-16,1.4999315144627725e-15,12
46,0.46,6.661338147750939e-16,1.6189468932561523e-15,12,6.661338147750939e-16,1.6206738727603285e-15,12
47,0.47000000000000003,6.661338147750939e-16,1.6100462065849883e-15,12,7.216449660063518e-16,1.611899612582631e-15,13
48,0.48,5.551115123125783e-16,1.5954646921198497e-15,10,6.106226635438361e-16,1.7571971268326722e-15,11
49,0.49,6.106226635438361e-16,1.92339963907923e-15,11,6.106226635438361e-16,1.926000860756446e-15,11
50,0.5,6.661338147750939e-16,2.121209611195738e-15,11,6.106226635438361e-16,2.1243384227392457e-15,11
51,0.51,6.106226635438361e-16,2.3566808179417614e-15,11,6.106226635438361e-16,2.360493731550554e-15,11
52,0.52,6.106226635438361e-16,2.6414502704016753e-15,22,6.106226635438361e-16,2.6461719852371933e-15,22
53,0.53,5.828670879282072e-16,2.8564816753961217e-15,21,6.106226635438361e-16,2.862175467486504e-15,21
54,0.54,6.661338147750939e-16,3.2794876415785588e-15,21,6.661338147750939e-16,3.2868645765132935e-15,21
55,0.55,5.551115123125783e-16,3.647377081974567e-15,20,5.551115123125783e-16,3.656782741924605e-15,20
56,0.56,5.551115123125783e-16,3.920748982686722e-15,19,5.551115123125783e-16,3.93259021101997e-15,19
57,0.5700000000000001,5.551115123125783e-16,4.965748105785857e-15,37,5.551115123125783e-16,5.118550265297343e-15,38
