run_id,segment_index,t_lo,t_hi,pytorch_reset_width_x,pytorch_reset_width_y,pytorch_reset_width_sum,flowstar_width_x,flowstar_width_y,flowstar_width_sum,reset_ratio_x,reset_ratio_y,reset_ratio_sum
flowstar_style_o6_candidate8_output6_cutoff,16,1,1.05,0.7576390365840604,0.42530565809577348,1.1829446946798339,0.13126199999999999,0.19974639999999999,0.33100839999999998,5.7719601757101096,2.1292281517753184,3.5737603477127284
flowstar_style_o6_candidate8_output6_cutoff,17,1.05,1.0875000000000001,0.77374290354941477,0.43319340172126508,1.2069363052706799,0.13549999999999995,0.18570409999999998,0.32120409999999994,5.710279730991993,2.3327077954728255,3.7575370466027054
flowstar_style_o6_candidate8_output6_cutoff,18,1.0875000000000001,1.14375,0.79861120172426836,0.45047285546141452,1.2490840571856829,0.14117000000000002,0.17277580000000003,0.31394580000000005,5.6570886287757194,2.6072682369950795,3.9786614669974329
flowstar_style_o6_candidate8_output6_cutoff,19,1.14375,1.1859375000000001,0.81803281558781826,0.46963997327249835,1.2876727888603166,0.12784299999999993,0.13937989999999995,0.26722289999999987,6.398729813817094,3.3694956968149534,4.8187217070854222
flowstar_style_o6_candidate8_output6_cutoff,20,1.1859375000000001,1.24921875,0.84888252240824036,0.50431220522537923,1.3531947276336196,0.13823300000000005,0.1338954,0.27212840000000005,6.1409542034697937,3.7664640101555338,4.9726332409025273
flowstar_style_o6_candidate8_output6_cutoff,21,1.24921875,1.2966796875,0.87364697554703907,0.53832882374641877,1.4119757992934578,0.12410699999999997,0.11122140000000003,0.23532839999999999,7.039465747677724,4.8401550757895393,6.0000229436543053
flowstar_style_o6_candidate8_output6_cutoff,22,1.2966796875,1.332275390625,0.89336277775845918,0.5686775715971093,1.4620403493555685,0.099439999999999973,0.08845130000000001,0.18789129999999998,8.983937829429399,6.4292731887163814,7.7813094558160412
flowstar_style_o6_candidate8_output6_cutoff,23,1.332275390625,1.3856689453125,0.92509413918858718,0.61865087949377506,1.5437450186823622,0.16574099999999992,0.13424189999999991,0.29998289999999983,5.581564846287808,4.6084782731306353,5.1461100572144716
flowstar_style_o6_candidate8_output6_cutoff,24,1.3856689453125,1.4257141113281249,0.95078013230051139,0.66324160424294742,1.6140217365434588,0.10604100000000005,0.084881699999999949,0.1909227,8.9661558482144734,7.8137172587606969,8.4537969374173887
flowstar_style_o6_candidate8_output6_cutoff,25,1.4257141113281249,1.4857818603515625,0.99288668816477132,0.7370664927165943,1.7299531808813655,0.14678800000000014,0.1118654,0.25865340000000014,6.7640862207044883,6.5888692367487556,6.6883063624192243
