state,exponents_x0_y0_tau,flowstar_lo,flowstar_hi,torch_lo,torch_hi,torch_minus_flowstar_lo,torch_minus_flowstar_hi,midpoint_error,error_contains_zero
y,"0,1,3",11.899829149918256,11.89982914991826,11.89982914991825,11.899829149918254,-8.881784197001254e-15,-1.7763568394002503e-15,-5.329070518200751e-15,False
x,"0,2,0",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
y,"0,2,0",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
x,"0,2,1",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
y,"0,2,1",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
x,"0,2,2",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
y,"0,2,2",-1.6302328990200186,-1.6302328990200181,-1.6302328990200181,-1.6302328990200177,-5e-324,8.881784197001254e-16,4.440892098500626e-16,True
x,"1,0,0",0.999999999999999,1.000000000000002,0.999999999999999,1.000000000000002,-2.997602166487923e-15,2.997602166487923e-15,0.0,True
y,"1,0,0",-8.4e-323,8.4e-323,-8.4e-323,8.4e-323,-1.73e-322,1.73e-322,0.0,True
x,"1,0,1",-7.4e-323,7.4e-323,-7.4e-323,7.4e-323,-1.53e-322,1.53e-322,0.0,True
y,"1,0,1",-1.0000000000000056,-0.999999999999995,-1.000000000000009,-0.9999999999999928,-1.409983241273949e-14,1.2767564783189302e-14,-6.661338147750939e-16,True
x,"1,0,2",2.3093314466180765,2.309331446618081,2.3093314466180765,2.309331446618081,-4.440892098500627e-15,4.440892098500627e-15,0.0,True
y,"1,0,2",-40.69564173453036,-40.69564173453031,-40.69564173453035,-40.695641734530305,-3.5527136788005016e-14,5.684341886080803e-14,1.4210854715202004e-14,True
x,"1,0,3",3.276886098088397,3.276886098088398,3.2768860980883963,3.276886098088397,-1.776356839400251e-15,5e-324,-8.881784197001252e-16,True
y,"1,0,3",24.153498221907334,24.15349822190734,24.153498221907334,24.15349822190734,-7.105427357601003e-15,7.105427357601003e-15,0.0,True
x,"1,1,0",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
y,"1,1,0",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
x,"1,1,1",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
y,"1,1,1",-1.3322676295501882e-15,4.440892098500628e-16,-8.881784197001254e-16,1.776356839400251e-15,-1.3322676295501884e-15,3.1086244689504395e-15,8.881784197001254e-16,True
x,"1,1,2",-1.630232899020019,-1.6302328990200186,-1.6302328990200183,-1.630232899020018,2.2204460492503128e-16,1.1102230246251567e-15,6.661338147750939e-16,False
y,"1,1,2",1.9582014704748585,1.958201470474859,1.9582014704748565,1.958201470474857,-2.4424906541753448e-15,-1.554312234475219e-15,-1.9984014443252818e-15,False
x,"2,0,0",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
y,"2,0,0",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
x,"2,0,1",-2.5e-323,2.5e-323,-2.5e-323,2.5e-323,-5.4e-323,5.4e-323,0.0,True
y,"2,0,1",-2.220446049250314e-16,6.661338147750941e-16,-6.66133814775094e-16,6.66133814775094e-16,-1.3322676295501884e-15,8.881784197001256e-16,-2.2204460492503136e-16,True
x,"2,0,2",-0.8616349996085996,-0.8616349996085994,-0.8616349996085995,-0.8616349996085992,-1.1102230246251568e-16,3.33066907387547e-16,1.1102230246251565e-16,True
y,"2,0,2",14.461672994897707,14.461672994897711,14.461672994897702,14.461672994897706,-8.881784197001254e-15,-1.7763568394002503e-15,-5.329070518200751e-15,False
x,"2,1,0",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
y,"2,1,0",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
x,"2,1,1",-5e-324,5e-324,-5e-324,5e-324,-1.5e-323,1.5e-323,0.0,True
y,"2,1,1",-1.0000000000000004,-1.0,-1.0,-0.9999999999999998,-5e-324,6.66133814775094e-16,3.3306690738754696e-16,True
