case_name,dim,order,monomial_profile,monomial_count,multiplication_pair_count,batch,operation,implementation,device,dtype,warmup,repeats,status,skip_reason,min_ms,median_ms,mean_ms,samples_per_second,speedup_vs_torch_cpu,output_shape,notes
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,polynomial_add,torch_dense,cuda,float64,1,5,ok,,0.02319552,0.0240122899,0.024901703,1998976.36,0.377884653,"coeffs=(48,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_mul_trunc,torch_dense,cuda,float64,1,5,ok,,7.89768901,7.91516528,7.91701172,6064.30799,0.677308114,"tm=(48,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_range_bound,torch_dense,cuda,float64,1,5,ok,,2.00943928,2.01256573,2.01312788,23850.1527,0.582987965,"lo_hi=(48,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,picard_validate_step,torch_dense,cuda,float64,1,5,ok,,200.095193,200.197765,201.730459,239.762917,0.558946215,"validated_tm=(48,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_affine_map,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,polynomial_add,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_mul_trunc,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_range_bound,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,picard_validate_step,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_affine_map,torch_dense,cpu,float64,1,5,ok,,0.262549147,0.268731266,0.273150951,476312.272,1,"tm=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,polynomial_add,torch_dense,cpu,float64,1,5,ok,,0.00940915197,0.00973138958,0.0122509897,13153311.7,1,"coeffs=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_mul_trunc,torch_dense,cpu,float64,1,5,ok,,8.83890409,8.86876881,9.03524607,14432.6685,1,"tm=(128,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_range_bound,torch_dense,cpu,float64,1,5,ok,,1.83144119,1.83805078,1.8395206,69638.99,1,"lo_hi=(128,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,picard_validate_step,torch_dense,cpu,float64,1,5,ok,,173.672274,174.67079,184.19571,732.807127,1,"validated_tm=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_affine_map,torch_dense,cuda,float64,1,5,ok,,0.53659454,0.547680072,0.550147332,233713.086,0.490671981,"tm=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,polynomial_add,torch_dense,cuda,float64,1,5,ok,,0.023717992,0.0244295225,0.0254262239,5239562.1,0.398345469,"coeffs=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_mul_trunc,torch_dense,cuda,float64,1,5,ok,,7.97850359,7.98580609,7.9874808,16028.4383,1.11056651,"tm=(128,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_range_bound,torch_dense,cuda,float64,1,5,ok,,2.02098675,2.02750415,2.02916749,63131.8068,0.906558335,"lo_hi=(128,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,picard_validate_step,torch_dense,cuda,float64,1,5,ok,,202.142795,202.501888,203.736226,632.092871,0.86256376,"validated_tm=(128,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_affine_map,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,polynomial_add,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_mul_trunc,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,tm_range_bound,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,128,picard_validate_step,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
