run_id,mode,order,candidate_order,output_order,truncation_range_split,adaptive_order_fallback,fallback_from_order,refinement_pass,residual_subset_current,validation_mode,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,segment_index,adaptive_attempt_index,t_lo,t_hi,attempt_index,h,h_try,h_min,h_max,candidate_segment_width_x,candidate_segment_width_y,candidate_segment_width_sum,candidate_final_width_x,candidate_final_width_y,candidate_final_width_sum,residual_width_x,residual_width_y,residual_width_sum,residual_lo_x,residual_hi_x,residual_lo_y,residual_hi_y,remainder_width_x,remainder_width_y,remainder_width_sum,target_remainder_width,target_remainder_width_sum,center_correction_applied,correction_value_x,correction_value_y,residual_before_lo_x,residual_before_hi_x,residual_before_lo_y,residual_before_hi_y,residual_after_lo_x,residual_after_hi_x,residual_after_lo_y,residual_after_hi_y,residual_before_center_x,residual_before_center_y,residual_after_center_x,residual_after_center_y,residual_before_radius_x,residual_before_radius_y,residual_after_radius_x,residual_after_radius_y,subset_after_correction,subset_result,rejection_reason,polynomial_range_width_x,polynomial_range_width_y,polynomial_range_width_sum,total_range_width_x,total_range_width_y,total_range_width_sum,finite_residual,validation_status,validation_message
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,49,1,2.108837838948864,2.1396968241302425,1,0.03085898518137855,0.03085898518137855,0.002,0.10000000000000001,2.2237629995059947,4.4967139278859163,6.7204769273919105,2.1920805501534164,4.363927869186905,6.556008419340321,1.258897006261579e-05,0.00079969554316496418,0.00081228451322757993,-6.4209694077046066e-06,6.1680006549111823e-06,-0.00043335512677023034,0.00036634041639473374,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-6.4209694077046066e-06,6.1680006549111823e-06,-0.00043335512677023034,0.00036634041639473374,,,,,-1.2648437639671217e-07,-3.3507355187748303e-05,,,6.2944850313078948e-06,0.00039984777158248209,,,False,False,Picard residual not subset of target remainder,2.2235629995059938,4.496513927885915,6.7200769273919088,2.2237629995059947,4.4967139278859163,6.7204769273919105,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,49,2,2.108837838948864,2.1242673315395533,1,0.015429492590689275,0.015429492590689275,0.002,0.10000000000000001,2.1420112173017749,4.1692085527059435,6.3112197700077184,2.1266774262232446,4.1152961163899784,6.2419735426132235,3.4604461038186374e-06,0.00010787886144351238,0.00011133930754733101,-1.7341755210408125e-06,1.7262705827778243e-06,-5.5998611643295746e-05,5.1880249800216615e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.7341755210408125e-06,1.7262705827778243e-06,-5.5998611643295746e-05,5.1880249800216615e-05,-1.7341755210408125e-06,1.7262705827778243e-06,-5.5998611643295746e-05,5.1880249800216615e-05,-3.9524691314940716e-09,-2.0591809215395653e-06,-3.9524691314940716e-09,-2.0591809215395653e-06,1.7302230519093187e-06,5.3939430721756188e-05,1.7302230519093187e-06,5.3939430721756188e-05,True,True,,2.141811217301774,4.1690085527059422,6.3108197700077167,2.1420112173017749,4.1692085527059435,6.3112197700077184,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,50,1,2.1242673315395533,2.1474115704255872,1,0.02314423888603391,0.02314423888603391,0.002,0.10000000000000001,2.2500068611403337,4.6045019926820574,6.8545088538223915,2.2265256607876633,4.5158062679017474,6.7423319286894108,6.9585754463504106e-06,0.00036875155546503411,0.00037571013091138451,-3.5136837023816992e-06,3.4448917439687106e-06,-0.00019777366824241346,0.00017097788722262062,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-3.5136837023816992e-06,3.4448917439687106e-06,-0.00019777366824241346,0.00017097788722262062,,,,,-3.4395979206494313e-08,-1.3397890509896421e-05,,,3.4792877231752053e-06,0.00018437577773251706,,,False,False,Picard residual not subset of target remainder,2.2498068611403328,4.6043019926820561,6.8541088538223889,2.2500068611403337,4.6045019926820574,6.8545088538223915,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,50,2,2.1242673315395533,2.1358394509825702,1,0.011572119443016955,0.011572119443016955,0.002,0.10000000000000001,2.1869308119396034,4.3506189297456528,6.5375497416852557,2.1754451325571007,4.3135511679463416,6.4889963005034428,2.4528470470742837e-06,6.6460212380680829e-05,6.8913059427755112e-05,-1.2274983769878248e-06,1.2253486700864584e-06,-3.4021178791496167e-05,3.2439033589184642e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.2274983769878248e-06,1.2253486700864584e-06,-3.4021178791496167e-05,3.2439033589184642e-05,-1.2274983769878248e-06,1.2253486700864584e-06,-3.4021178791496167e-05,3.2439033589184642e-05,-1.0748534506831736e-09,-7.9107260115576254e-07,-1.0748534506831736e-09,-7.9107260115576254e-07,1.2264235235371418e-06,3.3230106190340414e-05,1.2264235235371418e-06,3.3230106190340414e-05,True,True,,2.1867308119396025,4.3504189297456515,6.537149741685254,2.1869308119396034,4.3506189297456528,6.5375497416852557,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,51,1,2.1358394509825702,2.1531976301470959,1,0.017358179164525433,0.017358179164525433,0.002,0.10000000000000001,2.2705570634243393,4.6935173390626463,6.9640744024869861,2.2530836079108654,4.6337412158404705,6.8868248237513363,4.2933830883134809e-06,0.00018216790748333938,0.00018646129057165286,-2.1557649977570134e-06,2.1376180905564666e-06,-9.6097210336445471e-05,8.6070697146893891e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-2.1557649977570134e-06,2.1376180905564666e-06,-9.6097210336445471e-05,8.6070697146893891e-05,-2.1557649977570134e-06,2.1376180905564666e-06,-9.6097210336445471e-05,8.6070697146893891e-05,-9.0734536002733967e-09,-5.0132565947757897e-06,-9.0734536002733967e-09,-5.0132565947757897e-06,2.1466915441567404e-06,9.1083953741669688e-05,2.1466915441567404e-06,9.1083953741669688e-05,True,True,,2.2703570634243384,4.693317339062645,6.9636744024869834,2.2705570634243393,4.6935173390626463,6.9640744024869861,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,52,1,2.1531976301470959,2.1792348988938839,1,0.026037268746788148,0.026037268746788148,0.002,0.10000000000000001,2.4074984135721711,5.2743331989391917,7.6818316125113633,2.3806912602543133,5.1731987025867889,7.5538899628411027,1.0507973431693055e-05,0.00076005900685022795,0.00077056698028192105,-5.3350715986562765e-06,5.1729018330367759e-06,-0.00041366598466740818,0.00034639302218281967,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-5.3350715986562765e-06,5.1729018330367759e-06,-0.00041366598466740818,0.00034639302218281967,,,,,-8.1084882809750325e-08,-3.3636481242294253e-05,,,5.2539867158465275e-06,0.00038002950342511398,,,False,False,Picard residual not subset of target remainder,2.4072984135721707,5.2741331989391913,7.6814316125113624,2.4074984135721711,5.2743331989391917,7.6818316125113633,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,52,2,2.1531976301470959,2.1662162645204899,1,0.013018634373394074,0.013018634373394074,0.002,0.10000000000000001,2.3282129915640999,4.9395257019241692,7.2677386934882691,2.315135071151559,4.8997687988193581,7.2149038699709171,2.9177314677531355e-06,0.00010577516490100761,0.00010869289636876075,-1.4613995982301525e-06,1.4563318695229827e-06,-5.4919825715516883e-05,5.0855339185490709e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.4613995982301525e-06,1.4563318695229827e-06,-5.4919825715516883e-05,5.0855339185490709e-05,-1.4613995982301525e-06,1.4563318695229827e-06,-5.4919825715516883e-05,5.0855339185490709e-05,-2.5338643535849018e-09,-2.032243265013087e-06,-2.5338643535849018e-09,-2.032243265013087e-06,1.4588657338765677e-06,5.2887582450503806e-05,1.4588657338765677e-06,5.2887582450503806e-05,True,True,,2.328012991564099,4.9393257019241679,7.2673386934882664,2.3282129915640999,4.9395257019241692,7.2677386934882691,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,53,1,2.1662162645204899,2.1857442160805811,1,0.019527951560091111,0.019527951560091111,0.002,0.10000000000000001,2.4349572543972151,5.402076321535481,7.8370335759326961,2.4150478554281327,5.3363806160017493,7.7514284714298824,5.8250262338321081e-06,0.00035466328287673561,0.00036048830911056772,-2.9343669109067804e-06,2.8906593229253265e-06,-0.00019044705416021193,0.00016421622871652365,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-2.9343669109067804e-06,2.8906593229253265e-06,-0.00019044705416021193,0.00016421622871652365,,,,,-2.1853793990726947e-08,-1.311541272184414e-05,,,2.9125131169160541e-06,0.00017733164143836781,,,False,False,Picard residual not subset of target remainder,2.4347572543972147,5.4018763215354806,7.8366335759326953,2.4349572543972151,5.402076321535481,7.8370335759326961,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,53,2,2.1662162645204899,2.1759802403005355,1,0.0097639757800455553,0.0097639757800455553,0.002,0.10000000000000001,2.373823222534607,5.1421937299173974,7.516016952452004,2.3640276581466693,5.1156383698350067,7.4796660279816756,2.0680993168588056e-06,6.4839979652072727e-05,6.6908078968931536e-05,-1.0347325851958217e-06,1.0333667316629837e-06,-3.3182063041542691e-05,3.1657916610530023e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.0347325851958217e-06,1.0333667316629837e-06,-3.3182063041542691e-05,3.1657916610530023e-05,-1.0347325851958217e-06,1.0333667316629837e-06,-3.3182063041542691e-05,3.1657916610530023e-05,-6.8292676641897189e-10,-7.6207321550633407e-07,-6.8292676641897189e-10,-7.6207321550633407e-07,1.0340496584294028e-06,3.2419989826036364e-05,1.0340496584294028e-06,3.2419989826036364e-05,True,True,,2.3736232225346061,5.141993729917397,7.5156169524520031,2.373823222534607,5.1421937299173974,7.516016952452004,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,54,1,2.1759802403005355,2.1906262039706039,1,0.014645963670068332,0.014645963670068332,0.002,0.10000000000000001,2.4563154522637189,5.5058004986078561,7.9621159508715751,2.4414772349213787,5.4627681206032594,7.9042453555246386,3.6043398296501773e-06,0.00017642706715800601,0.00018003140698765618,-1.807893327065652e-06,1.7964465025845249e-06,-9.3021445863450899e-05,8.3405621294555102e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.807893327065652e-06,1.7964465025845249e-06,-9.3021445863450899e-05,8.3405621294555102e-05,-1.807893327065652e-06,1.7964465025845249e-06,-9.3021445863450899e-05,8.3405621294555102e-05,-5.7234122405635146e-09,-4.8079122844478986e-06,-5.7234122405635146e-09,-4.8079122844478986e-06,1.8021699148250887e-06,8.8213533579003007e-05,1.8021699148250887e-06,8.8213533579003007e-05,True,True,,2.4561154522637181,5.5056004986078548,7.9617159508715734,2.4563154522637189,5.5058004986078561,7.9621159508715751,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,55,1,2.1906262039706039,2.2125951494757063,1,0.021968945505102498,0.021968945505102498,0.002,0.10000000000000001,2.5904131019337928,6.1168783103153306,8.7072914122491234,2.5678034580435769,6.0434761785925852,8.6112796366361621,8.6601666410313658e-06,0.0007092868384751251,0.00071794700511615644,-4.380660363251084e-06,4.27950627778028e-06,-0.00038648664818711565,0.00032280019028800929,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-4.380660363251084e-06,4.27950627778028e-06,-0.00038648664818711565,0.00032280019028800929,,,,,-5.0577042735401982e-08,-3.1843228949553177e-05,,,4.3300833205156829e-06,0.00035464341923756255,,,False,False,Picard residual not subset of target remainder,2.590213101933792,6.1166783103153293,8.7068914122491208,2.5904131019337928,6.1168783103153306,8.7072914122491234,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,55,2,2.1906262039706039,2.2016106767231554,1,0.010984472752551249,0.010984472752551249,0.002,0.10000000000000001,2.5141543414898022,5.776289004402674,8.2904433458924771,2.5030485739143202,5.7488446807582632,8.2518932546725843,2.4525121412341319e-06,0.00010227087524973255,0.00010472338739096668,-1.2278365981157866e-06,1.2246755431183451e-06,-5.3031363950333962e-05,4.9239511299398573e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-1.2278365981157866e-06,1.2246755431183451e-06,-5.3031363950333962e-05,4.9239511299398573e-05,-1.2278365981157866e-06,1.2246755431183451e-06,-5.3031363950333962e-05,4.9239511299398573e-05,-1.5805274987207149e-09,-1.8959263254676948e-06,-1.5805274987207149e-09,-1.8959263254676948e-06,1.2262560706170659e-06,5.1135437624866274e-05,1.2262560706170659e-06,5.1135437624866274e-05,True,True,,2.5139543414898018,5.7760890044026727,8.2900433458924745,2.5141543414898022,5.776289004402674,8.2904433458924771,True,validated,
flowstar_style_o6_candidate8_output6_centered,flowstar_style,8,8,6,,,,,,target_remainder_centered,,0.0001,1.05,,56,1,2.2016106767231554,2.2180873858519821,1,0.016476709128826872,0.016476709128826872,0.002,0.10000000000000001,2.618409206491576,6.2614882945969788,8.8798975010885552,2.6015854399929248,6.2156970594429861,8.8172824994359118,4.8324252228265973e-06,0.00033447766710024458,0.00033931009232307117,-2.4297198709872708e-06,2.4027053518393257e-06,-0.00017936702902422469,0.00015511063807601983,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,0,0,-2.4297198709872708e-06,2.4027053518393257e-06,-0.00017936702902422469,0.00015511063807601983,,,,,-1.350725957397253e-08,-1.212819547410243e-05,,,2.4162126114132987e-06,0.00016723883355012229,,,False,False,Picard residual not subset of target remainder,2.6182092064915756,6.2612882945969774,8.8794975010885526,2.618409206491576,6.2614882945969788,8.8798975010885552,True,failed,Picard residual not subset of target remainder
