mode,reset_mode,schedule,requested_horizon,returncode,status,completed_horizon,completed_requested_horizon,accepted_steps,rejected_attempts,runtime_s,matrix_elapsed_s,peak_rss_bytes,endpoint_x_width,endpoint_y_width,segment_x_width,segment_y_width,fallback_count,active_variables,term_count,message,relative_output
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,3.0,0,completed,3.0,True,300,0,351.9913196010166,357.1310151479847,565186560,0.18713049209526078,0.15573256196057672,0.21260558690455184,0.17263723014706445,0,"[0, 1, 2, 3, 4, 5]",16,,fixed/g2/T3
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,6.32,0,completed,6.32,True,632,0,785.4707267280028,794.0755140609981,679358464,0.9131413029632658,1.5820883926999294,0.9386692027591002,1.6002989826130165,0,"[0, 1, 2, 3, 4, 5]",22,,fixed/g2/T6p32
legacy,normalized_insertion,fixed,0.1,0,completed,0.1,True,10,0,3.977247811999405,5.983959926990792,413450240,0.30347000002846736,0.301930218317253,0.3249974866214653,0.34750330509387495,0,"[0, 1]",4,,fixed/legacy/T0p1
legacy,normalized_insertion,fixed,0.5,0,completed,0.5,True,50,0,22.533416107995436,24.958836065023206,426700800,0.18538385019478265,0.396369510582159,0.19015720858696028,0.45184381229891946,0,"[0, 1]",4,,fixed/legacy/T0p5
legacy,normalized_insertion,fixed,1.0,0,completed,1.0,True,100,0,45.49269591100165,48.48955483897589,444555264,0.08795592352408854,0.11429217453027352,0.09222151766116604,0.12856523859517793,0,"[0, 1]",4,,fixed/legacy/T1
legacy,normalized_insertion,fixed,2.0,0,completed,2.0,True,200,0,91.85414596300689,95.84978222599602,481017856,0.07976224115543906,0.06295400986969701,0.08969934444676797,0.07113170549406578,0,"[0, 1]",4,,fixed/legacy/T2
legacy,normalized_insertion,fixed,3.0,0,completed,3.0,True,300,0,140.64318699299474,145.69214005500544,520982528,0.18725958974064205,0.15586425555328454,0.21273503964284135,0.17276779494517935,0,"[0, 1]",4,,fixed/legacy/T3
legacy,normalized_insertion,fixed,6.32,0,completed,6.32,True,632,0,335.9732712650148,344.396527859004,638349312,0.9165121028676784,1.5898587282667334,0.9420414425127712,1.6080698024787572,0,"[0, 1]",4,,fixed/legacy/T6p32
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,1.0,0,completed,1.0,True,50,8,38.69179949199315,40.9701320619788,435474432,0.08854954222557221,0.11500541428775679,0.0928225889352412,0.1293438600236581,0,"[0, 1, 2, 3]",6,,native/g1/T1
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,3.0,0,completed,3.0,True,91,14,71.0968981180049,73.99586719900253,451575808,0.1926649466898181,0.18045906165102243,0.2563965830902602,0.22658018447259698,0,"[0, 1, 2, 3]",6,,native/g1/T3
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,6.0,0,completed,6.0,True,232,35,187.5471196990111,192.08017936500255,507379712,0.7603888249950352,1.1074632397211868,0.7789083078613616,1.1279781732733192,0,"[0, 1, 2, 3]",6,,native/g1/T6
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,6.5,1,failed,6.382737816137232,False,300,47,240.0319885039935,245.19090521000908,535375872,1.454657417938779,3.2328581061808617,1.4635823621386945,3.237145036386111,0,"[0, 1, 2, 3]",6,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g1/T6p5
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,7.5,1,failed,6.382737816137232,False,300,47,249.68718367101974,254.87349123400054,534691840,1.454657417938779,3.2328581061808617,1.4635823621386945,3.237145036386111,0,"[0, 1, 2, 3]",6,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g1/T7p5
g1,normalized_insertion_bounded_source_ledger_o4_g1,native,10.0,1,failed,6.382737816137232,False,300,47,234.60604162100935,239.73471019000863,535175168,1.454657417938779,3.2328581061808617,1.4635823621386945,3.237145036386111,0,"[0, 1, 2, 3]",6,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g1/T10
g2,normalized_insertion_bounded_shared_source_o4_g2,native,1.0,0,completed,1.0,True,50,8,82.24717886201688,84.59747376199812,482893824,0.08854078469456717,0.11499620773218361,0.09281382893554158,0.12933408387573458,0,"[0, 1, 2, 3, 4, 5]",22,,native/g2/T1
g2,normalized_insertion_bounded_shared_source_o4_g2,native,3.0,0,completed,3.0,True,91,14,241.99202523499844,244.7960757430119,497082368,0.19259051489211154,0.18033194151874943,0.2563220387821775,0.2264527468824773,0,"[0, 1, 2, 3, 4, 5]",29,,native/g2/T3
g2,normalized_insertion_bounded_shared_source_o4_g2,native,6.0,0,completed,6.0,True,232,35,408.60318563200417,412.97389979599393,546050048,0.757191319394788,1.1018561963763647,0.7720840784544104,1.1182459842266286,0,"[0, 1, 2, 3, 4, 5]",19,,native/g2/T6
g2,normalized_insertion_bounded_shared_source_o4_g2,native,6.5,1,failed,6.384691066788196,False,300,47,507.86654178699246,512.9319042360003,569339904,1.4530141376993304,3.234087822326737,1.46194711411843,3.238313921506622,0,"[0, 1, 2, 3, 4, 5]",19,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g2/T6p5
g2,normalized_insertion_bounded_shared_source_o4_g2,native,7.5,1,failed,6.384691066788196,False,300,47,500.63798272798886,505.5748333710071,568836096,1.4530141376993304,3.234087822326737,1.46194711411843,3.238313921506622,0,"[0, 1, 2, 3, 4, 5]",19,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g2/T7p5
g2,normalized_insertion_bounded_shared_source_o4_g2,native,10.0,1,failed,6.384691066788196,False,300,47,500.99009670398664,506.06796863497584,569937920,1.4530141376993304,3.234087822326737,1.46194711411843,3.238313921506622,0,"[0, 1, 2, 3, 4, 5]",19,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/g2/T10
legacy,normalized_insertion,native,1.0,0,completed,1.0,True,50,8,23.29502789498656,25.544890852994286,429805568,0.08860109625965373,0.1150578836680517,0.09287440867300756,0.1293984065971115,0,"[0, 1]",4,,native/legacy/T1
legacy,normalized_insertion,native,3.0,0,completed,3.0,True,91,14,43.23557647698908,45.944600302987965,444850176,0.19317452055906686,0.18107651944399983,0.2569130788562219,0.2271890683901261,0,"[0, 1]",4,,native/legacy/T3
legacy,normalized_insertion,native,6.0,0,completed,6.0,True,234,35,113.82516722998116,118.08318096998846,497389568,0.7644646451215691,1.116144136669526,0.774733947857494,1.1273554838450839,0,"[0, 1]",4,,native/legacy/T6
legacy,normalized_insertion,native,6.5,1,failed,6.397083942944808,False,307,48,152.42658681000466,157.48358303800342,526606336,1.5122004956501187,3.472604243214909,1.5209534671329465,3.4763301670059747,0,"[0, 1]",4,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/legacy/T6p5
legacy,normalized_insertion,native,7.5,1,failed,6.397083942944808,False,307,48,150.14589776200592,155.29092794301687,526946304,1.5122004956501187,3.472604243214909,1.5209534671329465,3.4763301670059747,0,"[0, 1]",4,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/legacy/T7p5
legacy,normalized_insertion,native,10.0,1,failed,6.397083942944808,False,307,48,152.07854771698476,157.27469641901553,526139392,1.5122004956501187,3.472604243214909,1.5209534671329465,3.4763301670059747,0,"[0, 1]",4,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,native/legacy/T10
