run_id,segment_index,t_lo,t_hi,x_lo,x_hi,y_lo,y_hi,h,order,reset_box_source
flowstar_style_o6_candidate8_output6_keep4,32,1.3611417658453913,1.3977153779122102,1.1935600390529166,2.1800060390772007,-0.99448998664406674,-0.29084226062310847,0.036573612066819021,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,33,1.3977153779122102,1.4251455869623244,1.1658678974779719,2.1721190575998039,-1.0242993968594503,-0.28467081970339192,0.027430209050114264,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,34,1.4251455869623244,1.4662909005374958,1.1227534702828563,2.1606527358250429,-1.0709599496578657,-0.27351581022057742,0.041145313575171399,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,35,1.4662909005374958,1.4971498857188743,1.0891152807857858,2.1524016164710478,-1.1088310312701564,-0.26183674009226082,0.03085898518137855,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,36,1.4971498857188743,1.5202941246049082,1.0630989945424358,2.1464718420901026,-1.1390796716121203,-0.25102454753913994,0.02314423888603391,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,37,1.5202941246049082,1.555010482933959,1.0227241280109216,2.1380815242908269,-1.186548198499177,-0.23309453354506529,0.034716358329050866,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,38,1.555010482933959,1.5810477516807473,0.99132512168656373,2.1322341981752415,-1.2250084019495102,-0.21660601629539053,0.026037268746788148,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,39,1.5810477516807473,1.6005757032408383,0.96710157606316161,2.1281475403234644,-1.2556563735795927,-0.20234087736113543,0.019527951560091111,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,40,1.6005757032408383,1.6298676305809749,0.92961199196707467,2.1225684997764933,-1.3037373756761019,-0.17928018826573583,0.029291927340136664,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,41,1.6298676305809749,1.6518365760860774,0.90054131589712305,2.1188563478562803,-1.3425327034054499,-0.15914884513976066,0.021968945505102498,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,42,1.6518365760860774,1.6847899943437312,0.85528183094586629,2.1141665773055673,-1.4040617377127087,-0.12629898218007277,0.032953418257653744,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,43,1.6847899943437312,1.7095050580369715,0.81995413219639302,2.1114112155710689,-1.4544780233171777,-0.097268532347459219,0.024715063693240308,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,44,1.7095050580369715,1.7280413558069017,0.79261592362560829,2.1098398894655586,-1.4950014787722539,-0.072694707055454569,0.018536297769930231,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,45,1.7280413558069017,1.7558458024617971,0.750152491705664,2.1083801364235502,-1.5591722034468438,-0.033048631751348104,0.027804446654895346,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,46,1.7558458024617971,1.7766991374529686,0.7170912130086049,2.1080511374570676,-1.6114624855255293,0.00099206770644821472,0.020853334991171511,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,47,1.7766991374529686,1.7923391386963472,0.69155936214283875,2.1082904585954116,-1.6532958569817502,0.029245777480861379,0.015640001243378634,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,48,1.7923391386963472,1.8157991405614151,0.65199580565264725,2.1095141156631172,-1.7193718882757245,0.074469346787709417,0.023460001865067949,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,49,1.8157991405614151,1.833394141960216,0.62127127316234843,2.1111628408849779,-1.7728832330608948,0.11251994511494848,0.017595001398800963,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,50,1.833394141960216,1.8597866440584174,0.57335074309491096,2.1149555436825702,-1.8583566434384613,0.17415557999188047,0.026392502098201445,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,51,1.8597866440584174,1.8795810206320684,0.53586898612011336,2.1189294205405393,-1.9286456857278773,0.22687708974078014,0.019794376573651084,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,52,1.8795810206320684,1.8944268030623068,0.50681541648527184,2.1226244819311573,-1.9852867739902396,0.27056905624582944,0.014845782430238312,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,53,1.8944268030623068,1.9166954767076643,0.4616009032987633,2.129438687411163,-2.0755032635579735,0.34087463788178873,0.022268673645357468,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,54,1.9166954767076643,1.9333969819416823,0.42632089074469298,2.1356289573539842,-2.1492190059706231,0.40003200125479732,0.016701505234018102,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,55,1.9333969819416823,1.9459231108671959,0.39902886715174346,2.1409449314894711,-2.2083120404885204,0.44846584771405174,0.012526128925513576,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,56,1.9459231108671959,1.9647123042554664,0.35665572711315141,2.150102788114757,-2.3021181376788333,0.52593119535624644,0.018789193388270363,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,57,1.9647123042554664,1.9788041992966692,0.32367799026245359,2.157969226763071,-2.378263056205534,0.59023068833321435,0.014091895041202772,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,58,1.9788041992966692,1.9893731205775713,0.29822114405359068,2.1644839099505204,-2.4389796267875354,0.64233689709523945,0.01056892128090208,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,59,1.9893731205775713,2.0052265024989246,0.25879482681995636,2.1753261746114134,-2.5350051981546922,0.72520060397746988,0.015853381921353119,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,60,2.0052265024989246,2.0171165389399395,0.22819335540097238,2.1843542438334764,-2.6124363720505013,0.79317710949585885,0.011890036441014839,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,61,2.0171165389399395,2.0260340662707006,0.20462284050524066,2.1916717093344116,-2.67385184748546,0.8477720702681083,0.0089175273307611283,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,62,2.0260340662707006,2.0394103572668425,0.16821056545489305,2.2035905149610255,-2.7706002468732054,0.93412134965555527,0.013376290996141692,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,63,2.0394103572668425,2.0494425755139489,0.14002673729533466,2.2133143040404128,-2.8481045087644841,1.0042261345455483,0.010032218247106268,6,normalized_endpoint_reset_box
