run_id,mode,order,candidate_order,output_order,truncation_range_split,validation_mode,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,selective_retained_terms_count,selective_dropped_terms_count,selective_nonretained_terms_count,selective_dropped_remainder_width_sum,selective_total_dropped_width_sum,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,step_rejections,next_h,message
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.4260210393929979e-05,0.00048272548522835629,77,validated,1,2.1904366535502691,2.1961567669322681,0.0057201133819989695,-0.36366979949247979,2.4374977513003317,-4.5771226491774994,2.6477027532259036,2.8011675507928118,7.2248254024034031,10.025992953196216,1,0.0085801700729984543,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,5.4072055161423735e-05,0.0012698615645865996,78,validated,1,2.1961567669322681,2.2047369370052667,0.0085801700729984543,-0.4036770518002874,2.460945409002997,-4.7493181288185689,2.8183775085642959,2.8646224608032842,7.5676956373828652,10.432318098186149,0,0.012870255109497682,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,2.4673091209665484e-05,0.00077652382642795872,79,validated,1,2.2047369370052667,2.2111720645600155,0.0064351275547488412,-0.43468118254228694,2.4795228169363082,-4.8871018082992892,2.9556480830295304,2.9142039994785951,7.8427498913288201,10.756953890807415,1,0.0096526913321232609,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.1056989354675761e-05,0.00046586655692034703,80,validated,1,2.2111720645600155,2.215998410226077,0.0048263456660616304,-0.4585295378695316,2.4940496676682939,-4.9957160132557181,3.0642647664635017,2.9525792055378255,8.0599807797192202,11.012559985257045,1,0.0072395184990924457,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,4.1365844087778699e-05,0.0012015374732451871,81,validated,1,2.215998410226077,2.2232379287251693,0.0072395184990924457,-0.49531140702936644,2.516849865247075,-5.1665634900505104,3.235082849574753,3.0121612722764413,8.4016463396252625,11.413807611901703,0,0.010859277748638669,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.8755687607250637e-05,0.00073036027362926974,82,validated,1,2.2232379287251693,2.2286675675994885,0.0054296388743193345,-0.52373149490692006,2.5347846684266591,-5.3024066934905587,3.3714421044486254,3.0585161633335791,8.6738487979391845,11.732364961272763,1,0.0081444583114790026,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,8.3625474726700888e-06,0.00043605431662144831,83,validated,1,2.2286675675994885,2.232739796755228,0.0040722291557395013,-0.54554063222454297,2.5487321840210901,-5.4089589115759136,3.4787101205002884,3.094272816245633,8.887669032076202,11.981941848321835,1,0.0061083437336092519,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,3.090677036970043e-05,0.0011051286890937661,84,validated,1,2.232739796755228,2.2388481404888374,0.0061083437336092519,-0.57908762259504654,2.5704926062355398,-5.5758077730520927,3.6466048144493057,3.1495802288305863,9.2224125875013989,12.371992816331986,0,0.0091625156004138779,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.3921467792316488e-05,0.00066735673507185508,85,validated,1,2.2388481404888374,2.2434293982890443,0.0045812578002069389,-0.60493295024444582,2.5875029805202643,-5.7076693526413722,3.7797019341110194,3.1924359307647103,9.4873712867523921,12.679807217517101,1,0.0068718867003104084,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,5.216117240880007e-05,0.0017194636873250817,86,validated,1,2.2434293982890443,2.2503012849893547,0.0068718867003104084,-0.64486598574502108,2.6141948185648123,-5.9157399701029023,3.9895845869247801,3.2590608043098332,9.9053245570276829,13.164385361337516,0,0.010307830050465613,
