===== brusselator_steps_1_20 =====
         14937532 function calls (14936572 primitive calls) in 42.272 seconds

   Ordered by: cumulative time
   List reduced from 522 to 180 due to restriction <180>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68060    0.102    0.000    0.102    0.000 {method 'to' of 'torch._C.TensorBase' objects}
   103488    0.042    0.000    0.102    0.000 batched_dense_tm.py:1131(<genexpr>)
     3540    0.002    0.000    0.100    0.000 symbolic_remainder.py:427(<genexpr>)
    41882    0.038    0.000    0.097    0.000 {built-in method builtins.sorted}
       20    0.002    0.000    0.097    0.005 flowpipe.py:1821(_add_right_map_centering_diagnostics)
    36370    0.096    0.000    0.096    0.000 {built-in method torch.ones_like}
       20    0.003    0.000    0.093    0.005 batched_dense_tm.py:3241(dense_to_sparse_tmvector)
     1904    0.014    0.000    0.091    0.000 batched_dense_tm.py:1275(_hull_owner_intervals)
   756823    0.090    0.000    0.090    0.000 {built-in method builtins.isinstance}
    30496    0.089    0.000    0.089    0.000 {method 'view' of 'torch._C.TensorBase' objects}
    14870    0.086    0.000    0.086    0.000 {built-in method torch.ones}
     2072    0.029    0.000    0.082    0.000 batched_dense_tm.py:427(_interval_scale)
   149904    0.060    0.000    0.079    0.000 interval.py:203(ensure_interval)
    25628    0.077    0.000    0.077    0.000 {built-in method torch.zeros}
     9072    0.070    0.000    0.070    0.000 {built-in method torch.nonzero}
      376    0.004    0.000    0.068    0.000 batched_dense_tm.py:293(total)
     1904    0.014    0.000    0.066    0.000 batched_dense_tm.py:1558(_merge_coefficients_by_index)
      476    0.008    0.000    0.064    0.000 batched_dense_tm.py:2647(<dictcomp>)
   593314    0.064    0.000    0.064    0.000 {method 'append' of 'list' objects}
     1344    0.002    0.000    0.063    0.000 batched_dense_tm.py:3380(_coerce)
    95348    0.063    0.000    0.063    0.000 {method 'hex' of 'float' objects}
      482    0.002    0.000    0.062    0.000 taylor_model.py:141(constant)
      180    0.004    0.000    0.059    0.000 flowpipe.py:1593(_stage_width_sum)
     4226    0.002    0.000    0.057    0.000 flowpipe.py:1293(<lambda>)

===== brusselator_steps_1_100 =====
         91453569 function calls (91449261 primitive calls) in 255.376 seconds

   Ordered by: cumulative time
   List reduced from 522 to 180 due to restriction <180>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  255.912  255.912 profile_c4_reference_solver.py:526(<lambda>)
        1    0.039    0.039  255.912  255.912 profile_c4_reference_solver.py:117(_run_brusselator_steps)
      100    0.003    0.000  255.866    2.559 run_brusselator_sr1000_parity.py:158(_step)
      100    0.003    0.000  255.864    2.559 flowpipe.py:6566(flowpipe_step_flowstar_style_adaptive)
      100    0.010    0.000  143.557    1.436 flowpipe.py:6711(_assign_reset)
      100    0.020    0.000  143.547    1.435 flowpipe.py:1987(_flowstar_normalized_insertion_transition)
      100    0.011    0.000  117.233    1.172 accepted_boundary_sr.py:321(prepare_accepted_boundary_sr)
      100    0.002    0.000  111.527    1.115 flowpipe.py:6147(flowpipe_step_from_tm)
      100    0.011    0.000  111.525    1.115 flowpipe.py:5888(_flowpipe_step_from_tm_hybrid_dense)
      100    0.008    0.000  110.370    1.104 flowpipe.py:5979(_validate)
      100    0.021    0.000  110.362    1.104 batched_dense_tm.py:4488(dense_picard_validate_step)
     2524    0.130    0.000   98.077    0.039 ode_examples.py:26(brusselator_ode)
      100    0.004    0.000   94.099    0.941 flowpipe.py:1234(insert_ctrunc_normal_dependency_preserving)
4225/4025    0.021    0.000   93.826    0.023 tm_vector.py:17(__init__)
      300    0.001    0.000   92.186    0.307 flowpipe.py:1255(<genexpr>)
      200    0.005    0.000   92.185    0.461 flowpipe.py:1501(_insert_ctrunc_normal_horner_scalar)
    38072    1.021    0.000   91.875    0.002 batched_dense_tm.py:1290(_range_for_terms_with_policy)
 2708/200    0.098    0.000   89.813    0.449 flowpipe.py:1520(horner)
    10096    0.341    0.000   87.001    0.009 batched_dense_tm.py:2438(mul_trunc)
    18340    2.170    0.000   84.586    0.005 polynomial.py:316(evaluate_interval)
      912    0.091    0.000   80.980    0.089 batched_dense_tm.py:3679(_dense_flowstar_raw_compat_image)
      100    0.040    0.000   72.345    0.723 batched_dense_tm.py:4277(_post_accept_refine_raw_remainder)
  1688216   19.461    0.000   65.051    0.000 interval.py:56(__init__)
    48168    3.736    0.000   62.602    0.001 batched_dense_tm.py:515(_range_for_terms)
     1612    0.003    0.000   59.414    0.037 batched_dense_tm.py:3309(call_dense_rhs)
    48168    4.280    0.000   56.529    0.001 batched_dense_tm.py:489(_monomial_interval_bounds_for_exponents)
     2022    0.072    0.000   53.517    0.026 flowpipe.py:1403(_tm_mul_ctrunc_horner_stage)
    10096    0.342    0.000   52.261    0.005 batched_dense_tm.py:1983(mul_trunc)
   519474    6.937    0.000   45.057    0.000 interval.py:152(__mul__)
   144504    9.183    0.000   42.060    0.000 batched_dense_tm.py:456(_power_interval_bounds)
      912    0.014    0.000   39.724    0.044 batched_dense_tm.py:3522(_call_dense_raw_trace_rhs)
     3648    0.043    0.000   37.580    0.010 batched_dense_tm.py:3480(__mul__)
     7270    0.022    0.000   36.922    0.005 taylor_model.py:299(range_box)
     3648    0.069    0.000   36.567    0.010 flowpipe.py:1455(_append_horner_stage)
      912    0.009    0.000   33.672    0.037 batched_dense_tm.py:3598(_call_dense_rhs_evaluation)
    21204    0.069    0.000   31.420    0.001 batched_dense_tm.py:2057(range_bound)
   399382    4.908    0.000   27.163    0.000 interval.py:175(pow_int)
      100    0.024    0.000   24.734    0.247 batched_dense_tm.py:4068(dense_polynomial_picard)
   409065    3.047    0.000   23.284    0.000 interval.py:135(__add__)
  3497432    6.042    0.000   21.396    0.000 interval.py:15(_as_tensor)
    48168    7.603    0.000   16.906    0.000 batched_dense_tm.py:1100(validate_dense_subdivision_cover)
  8128248   16.089    0.000   16.089    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
     3848    0.342    0.000   15.336    0.004 polynomial.py:252(cutoff)
      600    0.707    0.001   13.492    0.022 symbolic_remainder.py:369(validate_accepted_boundary_sr_queue)
    38072    0.575    0.000   13.262    0.000 batched_dense_tm.py:1168(_identity_dense_cover)
      100    0.023    0.000   12.963    0.130 symbolic_remainder.py:433(accepted_boundary_sr_queue_propagate)
  5182306   12.752    0.000   12.752    0.000 {built-in method torch.any}
   339209    0.234    0.000   12.370    0.000 interval.py:72(point)
   188324    4.082    0.000   11.828    0.000 batched_dense_tm.py:366(_interval_mul)
  1754581   11.614    0.000   11.614    0.000 {built-in method torch.stack}
  1483253   11.005    0.000   11.005    0.000 {built-in method torch.min}
  1632679   10.325    0.000   10.325    0.000 {built-in method torch.max}
     3848    0.009    0.000    9.758    0.003 flowpipe.py:4615(_taylor_model_range_box_normal)
      800    0.001    0.000    9.642    0.012 tm_vector.py:51(range_box)
      800    0.002    0.000    9.641    0.012 tm_vector.py:52(<listcomp>)
  3624258    9.566    0.000    9.566    0.000 {built-in method torch.full_like}
     3848    0.019    0.000    9.534    0.002 flowpipe.py:525(_poly_interval_normal)
     3848    0.265    0.000    9.510    0.002 polynomial.py:57(evaluate_interval_normal)
  3124940    9.323    0.000    9.323    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
     2022    0.004    0.000    8.767    0.004 flowpipe.py:508(_poly_interval_with_split)
     5160    0.045    0.000    8.524    0.002 batched_dense_tm.py:2582(apply_cutoff)
  3623046    8.345    0.000    8.345    0.000 {built-in method torch.nextafter}
  1223929    1.401    0.000    8.332    0.000 interval.py:36(_down)
   180800    0.915    0.000    8.004    0.000 symbolic_remainder.py:360(_accepted_boundary_sr_interval_finite)
    21852    1.737    0.000    7.997    0.000 polynomial.py:142(__init__)
  1441297    1.455    0.000    7.934    0.000 interval.py:40(_up)
     5160    0.035    0.000    7.811    0.002 batched_dense_tm.py:2141(apply_cutoff)
      100    0.006    0.000    7.750    0.078 accepted_boundary_sr.py:431(commit_accepted_boundary_sr)
    10096    0.489    0.000    7.319    0.001 batched_dense_tm.py:1024(build_dense_subdivision_cover)
   986014    6.817    0.000    6.817    0.000 {built-in method torch.isfinite}
  3376432    6.729    0.000    6.729    0.000 {built-in method torch.isnan}
     5050    0.005    0.000    6.695    0.001 symbolic_remainder.py:454(<genexpr>)
     4950    0.151    0.000    6.690    0.001 symbolic_remainder.py:240(_matmul_interval_matrix)
  2199435    6.345    0.000    6.345    0.000 {built-in method torch.all}
  3771951    5.955    0.000    5.955    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
      100    0.001    0.000    5.541    0.055 flowpipe.py:380(diagnostic_widths)
   103620    0.229    0.000    5.112    0.000 batched_dense_tm.py:261(add)
      200    0.004    0.000    5.059    0.025 symbolic_remainder.py:574(accepted_boundary_sr_queue_sha256)
       99    0.167    0.002    4.948    0.050 accepted_boundary_sr.py:159(_linear_polynomial_image)
     2222    1.524    0.001    4.807    0.002 polynomial.py:235(mul_truncate)
   146804    2.266    0.000    4.741    0.000 batched_dense_tm.py:241(__post_init__)
    10096    2.424    0.000    4.617    0.000 batched_dense_tm.py:985(_subdivision_influence_scores)
      100    0.004    0.000    4.574    0.046 symbolic_remainder.py:477(accepted_boundary_sr_queue_commit)
      596    0.112    0.000    4.330    0.007 accepted_boundary_sr.py:103(_interval_polynomial_range)
  1223929    0.646    0.000    4.105    0.000 interval.py:28(_neg_inf_like)
   477692    0.739    0.000    3.992    0.000 batched_dense_tm.py:340(_down)
   438316    2.876    0.000    3.960    0.000 polynomial.py:127(_is_zero_tensor)
      100    0.002    0.000    3.891    0.039 flowpipe.py:320(range_box)
  1471841    3.825    0.000    3.825    0.000 {built-in method torch.abs}
   182200    0.712    0.000    3.780    0.000 interval.py:116(is_finite)
  1441297    0.595    0.000    3.657    0.000 interval.py:32(_pos_inf_like)
     1612    0.068    0.000    3.495    0.002 batched_dense_tm.py:2561(integrate)
   121000    1.778    0.000    3.422    0.000 interval.py:119(contains)
   439048    3.371    0.000    3.371    0.000 {method 'index_select' of 'torch._C.TensorBase' objects}
   916197    3.326    0.000    3.326    0.000 {built-in method torch.where}
     4950    0.070    0.000    3.307    0.001 symbolic_remainder.py:254(_matmul_interval_matrix_col)
    70798    0.135    0.000    3.206    0.000 interval.py:76(zero)
      100    0.037    0.000    3.150    0.032 accepted_boundary_sr.py:265(_scale_and_cutoff_right_map)
   480128    0.571    0.000    3.058    0.000 batched_dense_tm.py:344(_up)
       99    0.041    0.000    2.779    0.028 accepted_boundary_sr.py:223(_add_polynomial_images)
    35350    0.031    0.000    2.724    0.000 {built-in method builtins.all}
    89700    0.034    0.000    2.580    0.000 symbolic_remainder.py:427(<genexpr>)
     1612    0.032    0.000    2.543    0.002 batched_dense_tm.py:2101(integrate)
     5148    0.035    0.000    2.279    0.000 batched_dense_tm.py:2384(sub)
      100    0.004    0.000    2.235    0.022 flowpipe.py:291(endpoint_tm)
   395840    0.620    0.000    2.176    0.000 _tensor.py:1099(__iter__)
      200    0.005    0.000    1.998    0.010 taylor_model.py:276(__mul__)
   217368    0.662    0.000    1.998    0.000 interval.py:107(width)
    21852    0.121    0.000    1.916    0.000 polynomial.py:159(<dictcomp>)
    48168    0.561    0.000    1.908    0.000 batched_dense_tm.py:550(_interval_is_valid)
    39160    0.140    0.000    1.903    0.000 polynomial.py:19(_state_normal_factor)
   941577    1.882    0.000    1.882    0.000 {built-in method torch.zeros_like}
   440786    1.712    0.000    1.712    0.000 {built-in method torch.as_tensor}
