attempt_index,boundary_before,control,decision,h_attempted_hex,x_margin,y_margin
52,52,C0,accepted,0x1.c68991e3c37adp-5,9.445144496935813e-05,1.4954202275614057e-05
53,53,C0,accepted,0x1.f3fdba1423d3fp-5,9.389658976629394e-05,4.6194692389579155e-06
54,54,C0,accepted,0x1.12febff17a1b0p-4,9.664312302146167e-05,6.780748665076695e-05
55,55,C0,accepted,0x1.2e7e9ff00650fp-5,9.630743562360784e-05,6.389424692736925e-05
56,56,C0,accepted,0x1.4cbe7cbb3a25ep-5,9.593817948596861e-05,5.940333053735921e-05
57,57,C0,accepted,0x1.6e04bc678cc35p-5,9.553199773456548e-05,5.422713254679425e-05
58,58,C0,accepted,0x1.929ecf3eb4708p-5,9.508519780802203e-05,4.820735831982128e-05
59,59,C0,accepted,0x1.bae1e3f82ce23p-5,9.459371788882423e-05,4.113802082221821e-05
60,60,C0,accepted,0x1.e72badf764927p-5,9.405308997770664e-05,3.273260559741149e-05
61,61,C0,accepted,0x1.0bf19fae77509p-4,9.345839927547732e-05,2.2598763026133274e-05
62,62,C0,accepted,0x1.26bcfc731cd8ap-4,9.280423950302504e-05,1.0176711070047643e-05
63,63,C0,accepted,0x1.443648e506218p-4,9.604233037666377e-05,6.732797062598936e-05
64,64,C0,accepted,0x1.64a21cfbed24ep-5,9.564656371433015e-05,6.318612571018132e-05
65,65,C0,accepted,0x1.884becaeb80f0p-5,9.521122038576317e-05,5.827465723552138e-05
66,66,C0,accepted,0x1.af86b78cfdaa2p-5,9.473234272433948e-05,5.235722573892652e-05
67,67,C0,accepted,0x1.daadc9e7e3d4cp-5,9.420557729677342e-05,4.5088094056602316e-05
68,68,C0,accepted,0x1.0512c8a5f081dp-4,9.362613532645077e-05,3.594371243535884e-05
69,69,C0,accepted,0x1.1f2e431ceef54p-4,9.298874915909585e-05,2.4096651146516176e-05
70,70,C0,accepted,0x1.3be6169fd3a76p-4,9.228762437500543e-05,8.182075279456372e-06
71,71,C0,accepted,0x1.5b7d18e3026b5p-4,9.5758192056253e-05,6.824290341979187e-05
72,72,C0,accepted,0x1.7e3cce934f761p-5,9.533401156187829e-05,6.366513982161969e-05
73,73,C0,accepted,0x1.a476166ed7685p-5,9.486741301806612e-05,5.781224977169587e-05
74,74,C0,accepted,0x1.ce81e579ecf2dp-5,9.435415461987273e-05,4.9987071605095674e-05
75,75,C0,accepted,0x1.fcc216061e3e5p-5,9.378957038186e-05,3.836949978911325e-05
76,76,C0,accepted,0x1.17d125b690a25p-4,9.316852772004599e-05,1.9446848824227327e-05
77,77,C0,accepted,0x1.33cc7648d24c3p-4,9.62426888960253e-05,7.51721407583608e-05
78,78,C0,accepted,0x1.52941bb680ed7p-5,9.586695808562782e-05,6.947194106922709e-05
79,79,C0,accepted,0x1.746fb8158dd20p-5,9.545365419419061e-05,6.0585883389957745e-05
80,80,C0,accepted,0x1.99ae174ae8cd7p-5,9.499901991360968e-05,4.6464744462289755e-05
81,81,C0,accepted,0x1.c2a5e66c00154p-5,9.449892220497063e-05,2.4144529947089404e-05
82,82,C0,accepted,0x1.efb67d76cce44p-5,9.697440586273385e-05,8.230859380068248e-05
83,83,C0,accepted,0x1.10a45e9af0b0cp-5,9.667184674900724e-05,7.915269786347658e-05
84,84,C0,accepted,0x1.2be801aa6f28ep-5,9.633903172390797e-05,7.489044313968553e-05
85,85,C0,accepted,0x1.49e59b6ead79dp-5,9.597293519629876e-05,6.728813676943139e-05
86,86,C0,accepted,0x1.6ae2f7c68b9fap-5,9.557022901592863e-05,4.395374686693878e-05
87,87,C0,accepted,0x1.8f2cdd5a6662dp-5,9.756362460876075e-05,8.289781350188818e-05
88,88,C0,accepted,0x1.b717c049d7065p-6,9.731998736963682e-05,7.614089915200766e-05
89,89,C0,accepted,0x1.e30086b79fba3p-6,9.70519864066005e-05,6.583937576374555e-05
90,90,C0,accepted,0x1.09a6b07e97d9ap-5,9.675718534726055e-05,4.9871814334426684e-05
91,91,C0,accepted,0x1.24375bbe73d5dp-5,9.643290418198661e-05,2.1019098290702762e-05
92,92,C0,accepted,0x1.4170181e4c380p-5,9.803809595009264e-05,7.674158894027126e-05
93,93,C0,accepted,0x1.6194e754870a7p-6,9.78419058451019e-05,6.914310731155062e-05
94,94,C0,accepted,0x1.84f098102e252p-6,9.762609672961209e-05,5.850378718042411e-05
95,95,C0,accepted,0x1.abd57411cc5c1p-6,9.73887067025733e-05,4.384949960532028e-05
96,96,C0,accepted,0x1.d69dffad2d988p-6,9.712757767283063e-05,2.4322745617533944e-05
97,97,C0,accepted,0x1.02d6e638d913ep-5,9.842016637005685e-05,7.67143693193453e-05
98,98,C0,accepted,0x1.1cb93071bb95ep-6,9.826218330706254e-05,7.078262138455662e-05
99,99,C0,accepted,0x1.39321bb04e581p-6,9.808840193776878e-05,6.278947202942295e-05
100,100,C0,accepted,0x1.5883eb41efc75p-6,9.789724243154566e-05,5.192058388102417e-05
101,101,C0,accepted,0x1.7af782c887c1bp-6,9.768696697470022e-05,3.7127940187753835e-05
102,102,C0,accepted,0x1.a0dd0fdc95551p-6,9.745566397217025e-05,1.6978538392444423e-05
103,103,C0,accepted,0x1.ca8cc4a5d7773p-6,9.860061383469364e-05,7.32924943014088e-05
104,104,C0,accepted,0x1.f867a51cd3699p-7,9.8460675518163e-05,6.73755929391115e-05
105,105,C0,accepted,0x1.156c34697446ep-6,9.83067433699793e-05,5.9782118547457825e-05
106,106,C0,accepted,0x1.312a39a7331adp-6,9.813741800697723e-05,4.997908731456762e-05
107,107,C0,accepted,0x1.4fae729e51d0cp-6,9.795116010767496e-05,3.726175398497292e-05
108,108,C0,accepted,0x1.713fe47af398ep-6,9.774627641844245e-05,2.098320433564221e-05
109,109,C0,accepted,0x1.962cae873f283p-6,9.752090436028669e-05,4.5878637412681404e-07
110,110,C0,accepted,0x1.becabffb2bdf7p-6,9.863649604815768e-05,6.927564628738428e-05
111,111,C0,accepted,0x1.eb789ffab042ap-7,9.850014595297344e-05,6.331974327162876e-05
112,112,C0,accepted,0x1.0e4f24c9e0f17p-6,9.83501608482708e-05,5.602436368588362e-05
113,113,C0,accepted,0x1.29570ede1109ap-6,9.818517723309788e-05,4.6280362947531476e-05
114,114,C0,accepted,0x1.4712f6c112bddp-6,9.800369525640767e-05,3.4218133937737315e-05
115,115,C0,accepted,0x1.67c80f6dfb040p-6,9.780406508204842e-05,1.9701933239245925e-05
116,116,C0,accepted,0x1.8bc2775f60eadp-6,9.758447189025327e-05,1.7399526827687785e-06
117,117,C0,accepted,0x1.b355e9b5b768cp-6,9.86714581896393e-05,7.110560824949567e-05
118,118,C0,accepted,0x1.dede8114b0267p-7,9.853860430860322e-05,6.63561306667501e-05
119,119,C0,accepted,0x1.0760c6fe94153p-6,9.839246503946355e-05,6.077881520942759e-05
120,120,C0,accepted,0x1.21b7414b3c7dcp-6,9.82317118434099e-05,5.433524785898769e-05
121,121,C0,accepted,0x1.3eaffb05f5bd9p-6,9.805488332775089e-05,4.7028380526052215e-05
122,122,C0,accepted,0x1.5e8e60ecf4b6fp-6,9.786037196052598e-05,3.896349348911768e-05
123,123,C0,accepted,0x1.819c9dd173961p-6,9.764640945657858e-05,2.968659520238499e-05
124,124,C0,accepted,0x1.a82c473332585p-6,9.741105070223644e-05,1.92265243902465e-05
125,125,C0,accepted,0x1.d2971b1eb7613p-6,9.715215607246008e-05,6.8886068248435e-06
126,126,C0,accepted,0x1.009fe884180f1p-5,9.843368448985305e-05,7.238658417026882e-05
127,127,C0,accepted,0x1.1a497fc480dd6p-6,9.827705323883835e-05,6.851482110474557e-05
128,128,C0,accepted,0x1.36840c8b5a8d2p-6,9.810475886272218e-05,6.400304001204442e-05
129,129,C0,accepted,0x1.559140ffb0681p-6,9.79152350489944e-05,5.820877129734694e-05
130,130,C0,accepted,0x1.77b96119420c2p-6,9.770675885389384e-05,5.136760211368926e-05
131,131,C0,accepted,0x1.9d4beacefbda3p-6,9.747743503928323e-05,4.334377062175677e-05
132,132,C0,accepted,0x1.c6a04f16e1d67p-6,9.722517884321155e-05,3.376875369732492e-05
133,133,C0,accepted,0x1.f416bd65f86bfp-6,9.69476970275327e-05,2.2413026179687518e-05
134,134,C0,accepted,0x1.130c81c4e23b6p-5,9.664246703028597e-05,9.4730888649256e-06
135,135,C0,accepted,0x1.2e8dc1f22c0e2p-5,9.815335551665729e-05,7.465132104494229e-05
136,136,C0,accepted,0x1.4ccf2223fd42cp-6,9.796869136832302e-05,7.099711470592153e-05
137,137,C0,accepted,0x1.6e170bf463631p-6,9.776556080515532e-05,6.537237770780706e-05
138,138,C0,accepted,0x1.92b2f38cd3b9dp-6,9.754211718567084e-05,5.8416722099408166e-05
139,139,C0,accepted,0x1.baf80be7b5b2dp-6,9.729632920423794e-05,5.0009869058525015e-05
140,140,C0,accepted,0x1.e7440d187b119p-6,9.702596242466172e-05,4.000891452968658e-05
141,141,C0,accepted,0x1.0bff0733dd49bp-5,9.67285589671279e-05,2.824586159273143e-05
142,142,C0,accepted,0x1.26cbbb1f736abp-5,9.640141516384068e-05,1.471240199822791e-05
143,143,C0,accepted,0x1.44468108fef56p-5,9.802077699011237e-05,7.296301780032306e-05
144,144,C0,accepted,0x1.64b3f456b20dfp-6,9.782285498912362e-05,6.855553693896224e-05
145,145,C0,accepted,0x1.885f8cc5c3dc3p-6,9.760514078803597e-05,6.326056961905253e-05
146,146,C0,accepted,0x1.af9c4e0cbdd8ap-6,9.736565516683958e-05,5.6908637805545525e-05
147,147,C0,accepted,0x1.dac5890e0407fp-6,9.710222098352353e-05,4.925932048908342e-05
148,148,C0,accepted,0x1.051fd82e1bd13p-5,9.681244338187589e-05,3.949845519076729e-05
149,149,C0,accepted,0x1.1f3ca0ff84ffcp-5,9.649368802006347e-05,2.7214976157179625e-05
150,150,C0,accepted,0x1.3bf5e44c457fcp-5,9.614305712206981e-05,1.1662791374438905e-05
151,151,C0,accepted,0x1.5b8e7b20b2d96p-5,9.78786800671384e-05,7.058883659429581e-05
152,152,C0,accepted,0x1.7e4fedd72b226p-6,9.766654837385224e-05,6.55025663861934e-05
153,153,C0,accepted,0x1.a48b1f397c3f7p-6,9.743320351123746e-05,5.923234708657731e-05
154,154,C0,accepted,0x1.ce9908bf3bdf7p-6,9.717652416236121e-05,5.142019841960602e-05
155,155,C0,accepted,0x1.fcdb899f2842ap-6,9.689417687859732e-05,4.157742737067891e-05
156,156,C0,accepted,0x1.17df254abc8b1p-5,9.658359486645706e-05,2.903042185977831e-05
157,157,C0,accepted,0x1.33dbdc389c32ap-5,9.624195465310277e-05,1.2843603124445567e-05
158,158,C0,accepted,0x1.52a50bd7df048p-5,9.793307370920653e-05,7.067974608031258e-05
159,159,C0,accepted,0x1.748259d3dbb83p-6,9.772638138012718e-05,6.539186625731906e-05
160,160,C0,accepted,0x1.99c29602a4e44p-6,9.74990198181399e-05,5.879405133353663e-05
161,161,C0,accepted,0x1.c2bc71cfb5618p-6,9.724892209995388e-05,5.047113206769944e-05
162,162,C0,accepted,0x1.efcf49fe1451bp-6,9.697381460994927e-05,3.983722648736004e-05
163,163,C0,accepted,0x1.10b2024bbe602p-5,9.66711963709442e-05,2.60697659917348e-05
164,164,C0,accepted,0x1.2bf70286849cfp-5,9.633831630803861e-05,8.058292550874906e-06
0,0,C4,accepted,0x1.999999999999ap-4,9.8749997e-05,7.286946843997795e-05
1,1,C4,accepted,0x1.c28f5c28f5c2ap-7,9.8624997e-05,6.655080041541422e-05
2,2,C4,accepted,0x1.ef9db22d0e562p-7,9.8487497e-05,5.832080283811798e-05
3,3,C4,accepted,0x1.1096bb98c7e29p-6,9.8336247e-05,4.7559557664990944e-05
4,4,C4,accepted,0x1.2bd9018e75794p-6,9.8169872e-05,3.350237795805528e-05
5,5,C4,accepted,0x1.49d51b4fe79f0p-6,9.79868595e-05,1.5241282844443191e-05
6,6,C4,accepted,0x1.6ad0d13e4b955p-6,9.889277137500001e-05,7.140968481624757e-05
7,7,C4,accepted,0x1.8f18e62aecbdep-7,9.87820488125e-05,6.55768780242133e-05
8,8,C4,accepted,0x1.b701c9fc046a8p-7,9.866025399375e-05,5.8193878426506654e-05
9,9,C4,accepted,0x1.e2e85e2ed1a86p-7,9.852627969312501e-05,4.897677968719979e-05
10,10,C4,accepted,0x1.0999670026830p-6,9.837890796243751e-05,3.7527033560177744e-05
11,11,C4,accepted,0x1.2428be19c3f68p-6,9.821679905868125e-05,2.344526308907215e-05
12,12,C4,accepted,0x1.4160044f8ac26p-6,9.803847926454938e-05,6.410613523251938e-06
13,13,C4,accepted,0x1.618337f118a2ap-6,9.892116224550216e-05,7.011230778004168e-05
14,14,C4,accepted,0x1.84dd23ef9b195p-7,9.881327877005237e-05,6.473207131024066e-05
15,15,C4,accepted,0x1.abc00dedf768bp-7,9.869460694705761e-05,5.8306689652621815e-05
16,16,C4,accepted,0x1.d68675b8f68cdp-7,9.856406794176337e-05,5.06759153197022e-05
17,17,C4,accepted,0x1.02c9f3f2879a4p-6,9.842047503593971e-05,4.1442312433401464e-05
18,18,C4,accepted,0x1.1caaf2bdfb902p-6,9.826252283953367e-05,2.9868492518109974e-05
19,19,C4,accepted,0x1.3922716a94b83p-6,9.808877542348704e-05,1.6548389807145985e-05
20,20,C4,accepted,0x1.5872aff53d311p-6,9.789765326583576e-05,1.6960444090388297e-06
21,21,C4,accepted,0x1.7ae48e5a901c6p-6,9.884370794620966e-05,7.119163568973557e-05
22,22,C4,accepted,0x1.a0c836306b527p-7,9.872807904083062e-05,6.6789178758778e-05
23,23,C4,accepted,0x1.ca75d53542dacp-7,9.86008872449137e-05,6.181324544967548e-05
24,24,C4,accepted,0x1.f84e6a876323ep-7,9.846097626940506e-05,5.628653488811014e-05
25,25,C4,accepted,0x1.155e5430dced6p-6,9.830707419634557e-05,5.0307067710512786e-05
26,26,C4,accepted,0x1.311af635bfd1fp-6,9.813778191598012e-05,4.40399410882546e-05
27,27,C4,accepted,0x1.4f9da86e53009p-6,9.795156040757813e-05,3.7787458148890715e-05
28,28,C4,accepted,0x1.712d6c795b4d7p-6,9.774671674833594e-05,3.0509936047910856e-05
29,29,C4,accepted,0x1.96185db8b13bap-6,9.752138872316954e-05,2.173672982289073e-05
30,30,C4,accepted,0x1.beb46717f6280p-6,9.72735278954865e-05,9.950519494195123e-06
31,31,C4,accepted,0x1.eb600b00c1f8dp-6,9.850043899251757e-05,7.338342927381142e-05
32,32,C4,accepted,0x1.0e419fa6d115bp-6,9.835048319176933e-05,6.985910003982497e-05
33,33,C4,accepted,0x1.29482f9de5fe5p-6,9.818553181094627e-05,6.586434419958636e-05
34,34,C4,accepted,0x1.47029ac749cb0p-6,9.800408529204089e-05,6.133558462160028e-05
35,35,C4,accepted,0x1.67b610a8045f5p-6,9.780449412124498e-05,5.62055869993823e-05
36,36,C4,accepted,0x1.8baeabec04cf4p-6,9.758494383336947e-05,5.0514011078461077e-05
37,37,C4,accepted,0x1.b34023839ee40p-6,9.734343851670642e-05,4.432060659442612e-05
38,38,C4,accepted,0x1.dec68d772ec7ap-6,9.707778266837707e-05,3.7570824661964687e-05
39,39,C4,accepted,0x1.07539a9b26877p-5,9.678556123521477e-05,2.8731080143774802e-05
40,40,C4,accepted,0x1.21a8c3aaaa61dp-5,9.646411765873625e-05,1.9170851558364806e-05
41,41,C4,accepted,0x1.3ea00a6eee9edp-5,9.611052972460987e-05,9.242383621385001e-06
42,42,C4,accepted,0x1.5e7cd846d3485p-5,9.786078999853544e-05,7.378145014565272e-05
43,43,C4,accepted,0x1.8189544de8693p-6,9.764686929838898e-05,7.031621728572345e-05
44,44,C4,accepted,0x1.a8170fef4c73cp-6,9.741155652822787e-05,6.649036412287791e-05
45,45,C4,accepted,0x1.d27fc4ba6db29p-6,9.715271248105066e-05,6.228374896404382e-05
46,46,C4,accepted,0x1.00931299bc557p-5,9.686798402915572e-05,5.7676830730663704e-05
47,47,C4,accepted,0x1.1a3b6142b5913p-5,9.65547827320713e-05,5.24568440385338e-05
48,48,C4,accepted,0x1.367484962e1fcp-5,9.621026130527842e-05,4.6718613784784895e-05
49,49,C4,accepted,0x1.55802b71ff896p-5,9.583128773580626e-05,3.995652827444713e-05
50,50,C4,accepted,0x1.77a6963099172p-5,9.541441680938688e-05,3.247472605939471e-05
51,51,C4,accepted,0x1.9d373ecf0eccbp-5,9.495585879032557e-05,2.4209641604453524e-05
52,52,C4,accepted,0x1.c68991e3c37adp-5,9.445144496935813e-05,1.4954202275613163e-05
53,53,C4,accepted,0x1.f3fdba1423d3fp-5,9.389658976629394e-05,4.61946923895675e-06
54,54,C4,accepted,0x1.12febff17a1b0p-4,9.664312302146167e-05,6.780748665076673e-05
55,55,C4,accepted,0x1.2e7e9ff00650fp-5,9.630743562360784e-05,6.389424692736898e-05
56,56,C4,accepted,0x1.4cbe7cbb3a25ep-5,9.593817948596861e-05,5.9403330537358836e-05
57,57,C4,accepted,0x1.6e04bc678cc35p-5,9.553199773456548e-05,5.4227132546793766e-05
58,58,C4,accepted,0x1.929ecf3eb4708p-5,9.508519780802203e-05,4.820735831982065e-05
59,59,C4,accepted,0x1.bae1e3f82ce23p-5,9.459371788882423e-05,4.113802082221737e-05
60,60,C4,accepted,0x1.e72badf764927p-5,9.405308997770664e-05,3.2732605597410365e-05
61,61,C4,accepted,0x1.0bf19fae77509p-4,9.345839927547732e-05,2.259876302613181e-05
62,62,C4,accepted,0x1.26bcfc731cd8ap-4,9.280423950302504e-05,1.017671107004561e-05
63,63,C4,accepted,0x1.443648e506218p-4,9.604233037666377e-05,6.732797062598898e-05
64,64,C4,accepted,0x1.64a21cfbed24ep-5,9.564656371433015e-05,6.31861257101808e-05
65,65,C4,accepted,0x1.884becaeb80f0p-5,9.521122038576317e-05,5.827465723552069e-05
66,66,C4,accepted,0x1.af86b78cfdaa2p-5,9.473234272433948e-05,5.235722573892557e-05
67,67,C4,accepted,0x1.daadc9e7e3d4cp-5,9.420557729677342e-05,4.5088094056601015e-05
68,68,C4,accepted,0x1.0512c8a5f081dp-4,9.362613532645077e-05,3.594371243535704e-05
69,69,C4,accepted,0x1.1f2e431ceef54p-4,9.298874915909585e-05,2.4096651146513656e-05
70,70,C4,accepted,0x1.3be6169fd3a76p-4,9.228762437500543e-05,8.182075279452807e-06
71,71,C4,accepted,0x1.5b7d18e3026b5p-4,9.5758192056253e-05,6.824290341979114e-05
72,72,C4,accepted,0x1.7e3cce934f761p-5,9.533401156187829e-05,6.366513982161869e-05
73,73,C4,accepted,0x1.a476166ed7685p-5,9.486741301806612e-05,5.7812249771694485e-05
74,74,C4,accepted,0x1.ce81e579ecf2dp-5,9.435415461987273e-05,4.9987071605093776e-05
75,75,C4,accepted,0x1.fcc216061e3e5p-5,9.378957038186e-05,3.836949978911057e-05
76,76,C4,accepted,0x1.17d125b690a25p-4,9.316852772004599e-05,1.9446848824223424e-05
77,77,C4,accepted,0x1.33cc7648d24c3p-4,9.62426888960253e-05,7.517214075835998e-05
78,78,C4,accepted,0x1.52941bb680ed7p-5,9.586695808562782e-05,6.947194106922581e-05
79,79,C4,accepted,0x1.746fb8158dd20p-5,9.545365419419061e-05,6.058588338995572e-05
80,80,C4,accepted,0x1.99ae174ae8cd7p-5,9.499901991360968e-05,4.646474446228649e-05
81,81,C4,accepted,0x1.c2a5e66c00154p-5,9.449892220497063e-05,2.4144529947084105e-05
82,82,C4,accepted,0x1.efb67d76cce44p-5,9.697440586273385e-05,8.230859380068143e-05
83,83,C4,accepted,0x1.10a45e9af0b0cp-5,9.667184674900724e-05,7.915269786347515e-05
84,84,C4,accepted,0x1.2be801aa6f28ep-5,9.633903172390797e-05,7.48904431396835e-05
85,85,C4,accepted,0x1.49e59b6ead79dp-5,9.597293519629876e-05,6.728813676942845e-05
86,86,C4,accepted,0x1.6ae2f7c68b9fap-5,9.557022901592863e-05,4.395374686693323e-05
87,87,C4,accepted,0x1.8f2cdd5a6662dp-5,9.756362460876075e-05,8.289781350188684e-05
88,88,C4,accepted,0x1.b717c049d7065p-6,9.731998736963682e-05,7.614089915200558e-05
89,89,C4,accepted,0x1.e30086b79fba3p-6,9.70519864066005e-05,6.58393757637423e-05
90,90,C4,accepted,0x1.09a6b07e97d9ap-5,9.675718534726055e-05,4.987181433442157e-05
91,91,C4,accepted,0x1.24375bbe73d5dp-5,9.643290418198661e-05,2.1019098290693506e-05
92,92,C4,accepted,0x1.4170181e4c380p-5,9.803809595009264e-05,7.67415889402689e-05
93,93,C4,accepted,0x1.6194e754870a7p-6,9.78419058451019e-05,6.914310038641995e-05
94,94,C4,accepted,0x1.84f098102e252p-6,9.762609672961209e-05,5.850376181687389e-05
95,95,C4,accepted,0x1.abd57411cc5c1p-6,9.73887067025733e-05,4.384943701745213e-05
96,96,C4,accepted,0x1.d69dffad2d988p-6,9.712757767283063e-05,2.4322608548114422e-05
97,97,C4,accepted,0x1.02d6e638d913ep-5,9.842016637005685e-05,7.67143208974438e-05
98,98,C4,accepted,0x1.1cb93071bb95ep-6,9.826218330706254e-05,7.078254533639086e-05
99,99,C4,accepted,0x1.39321bb04e581p-6,9.808840193776878e-05,6.27893500616446e-05
100,100,C4,accepted,0x1.5883eb41efc75p-6,9.789724243154566e-05,5.1920385223716205e-05
101,101,C4,accepted,0x1.7af782c887c1bp-6,9.768696697470022e-05,3.712761130530809e-05
102,102,C4,accepted,0x1.a0dd0fdc95551p-6,9.745566397217025e-05,1.697798360802265e-05
103,103,C4,accepted,0x1.ca8cc4a5d7773p-6,9.860061383469364e-05,7.32923260702352e-05
104,104,C4,accepted,0x1.f867a51cd3699p-7,9.8460675518163e-05,6.737535430257216e-05
105,105,C4,accepted,0x1.156c34697446ep-6,9.83067433699793e-05,5.978177516653441e-05
106,106,C4,accepted,0x1.312a39a7331adp-6,9.813741800697723e-05,4.997858881214057e-05
107,107,C4,accepted,0x1.4fae729e51d0cp-6,9.795116010767496e-05,3.72610232053162e-05
108,108,C4,accepted,0x1.713fe47af398ep-6,9.774627641844245e-05,2.0982123389627614e-05
109,109,C4,accepted,0x1.962cae873f283p-6,9.752090436028669e-05,4.549229661524593e-07
110,110,C4,accepted,0x1.becabffb2bdf7p-6,9.863649604815768e-05,6.927326477401223e-05
111,111,C4,accepted,0x1.eb789ffab042ap-7,9.850014595297344e-05,6.331482269399032e-05
112,112,C4,accepted,0x1.0e4f24c9e0f17p-6,9.83501608482708e-05,5.601452926497476e-05
113,113,C4,accepted,0x1.29570ede1109ap-6,9.818517723309788e-05,4.6260750277441325e-05
