boundary,component,control,hi,lo,stage,units,width
47,1,C4,0.014485642381028561,-0.013885172506507218,A1,old normalized,0.02837081488753578
47,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
47,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
47,0,C4,0.01886335970694959,-0.01810315673790561,A3,old normalized,0.0369665164448552
47,1,C4,0.014485642381028563,-0.01388517250650722,A3,old normalized,0.028370814887535782
47,0,C4,0.02034649609634293,-0.019528777862489983,B0,new normalized,0.03987527395883291
47,1,C4,0.015408097715524077,-0.014763883381216352,B0,new normalized,0.03017198109674043
47,0,C4,1.9888437185168018,1.8927244347311805,B1,endpoint physical,0.09611928378562129
47,1,C4,-0.2845552828023555,-0.42056054519982183,B1,endpoint physical,0.13600526239746635
47,0,C4,0.9999999999999987,-0.8764943900588288,B2,old normalized,1.8764943900588276
47,1,C4,0.9999999999999994,-0.8979777845809478,B2,old normalized,1.8979777845809473
47,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
47,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
47,0,C4,0.04888157827321245,0.04886647285882136,B4,endpoint physical,1.5105414391085314e-05
47,1,C4,0.0023207740692436853,0.0023072518258279483,B4,endpoint physical,1.3522243415736972e-05
47,0,C4,0.0009556886972252466,-0.0009171352213762437,B5,endpoint physical,0.0018728239186014905
47,1,C4,0.0010475937644167472,-0.0010041878482183629,B5,endpoint physical,0.00205178161263511
47,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
47,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
47,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
47,1,C4,1.6e-322,-1.6e-322,B7,endpoint physical,3.16e-322
47,0,C4,5e-324,-5e-324,B8,physical source,1e-323
47,1,C4,1.6443224325301265e-06,1.644322432530126e-06,B8,physical source,4.235164736271502e-22
47,0,C4,2e-323,-2e-323,B9,physical source,4e-323
47,1,C4,1.5495322117088367e-05,-1.5495322117088367e-05,B9,physical source,3.0990644234176734e-05
47,0,C4,3.132015970844283e-06,-3.132015970844283e-06,B10,physical source,6.264031941688566e-06
47,1,C4,2.518352471971778e-05,-2.516166605023756e-05,B10,physical source,5.034519076995534e-05
47,0,C4,0.020345993518780265,-0.01952789607996342,B11,new normalized,0.03987388959874369
47,1,C4,0.015389344053789937,-0.014729720339347946,B11,new normalized,0.030119064393137884
47,0,C4,5.025775629529496e-07,-8.817825268512383e-07,B12,new normalized,1.384360089804188e-06
47,1,C4,1.8753661734358497e-05,-3.416304186862553e-05,B12,new normalized,5.291670360298403e-05
47,0,C4,0.02034649609634322,-0.019528777862490274,B13,new normalized,0.039875273958833495
47,1,C4,0.015408097715524299,-0.014763883381216572,B13,new normalized,0.030171981096740873
47,0,C4,0.02034649609634319,-0.019528777862490247,B14,new normalized,0.03987527395883343
47,1,C4,0.0154080977155243,-0.014763883381216574,B14,new normalized,0.030171981096740873
47,0,C4,0.0009588443975532574,-0.0009203087920320711,B15,endpoint physical,0.0018791531895853285
47,1,C4,0.0010912451211267883,-0.0010456200373395177,B15,endpoint physical,0.002136865158466306
47,0,C4,3.155700328007875e-06,-3.173570655824349e-06,B16,tube physical,6.329270983832224e-06
47,1,C4,4.365135671003908e-05,-4.143218912115301e-05,B16,tube physical,8.508354583119209e-05
48,0,C4,0.9796535039036552,-0.8472996928817387,A0,old normalized,1.8269531967853938
48,1,C4,0.9845919022844754,-0.879750585781467,A0,old normalized,1.8643424880659425
48,0,C4,0.02034649609634319,-0.019528777862490247,A1,old normalized,0.03987527395883343
48,1,C4,0.0154080977155243,-0.014763883381216574,A1,old normalized,0.030171981096740873
48,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
48,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
48,0,C4,0.020346496096343192,-0.01952877786249025,A3,old normalized,0.039875273958833446
48,1,C4,0.015408097715524302,-0.014763883381216576,A3,old normalized,0.03017198109674088
48,0,C4,0.021996861304932655,-0.0211150548679618,B0,new normalized,0.043111916172894456
48,1,C4,0.016597748573636818,-0.015897698308306722,B0,new normalized,0.03249544688194354
48,0,C4,1.9742989042178214,1.8818750324774025,B1,endpoint physical,0.09242387174041888
48,1,C4,-0.3221668480682908,-0.44640503884005356,B1,endpoint physical,0.12423819077176274
48,0,C4,0.9999999999999984,-0.866828470744229,B2,old normalized,1.8668284707442275
48,1,C4,0.9999999999999997,-0.8945144691626836,B2,old normalized,1.8945144691626834
48,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
48,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
48,0,C4,0.047144989304357496,0.04712869410422725,B4,endpoint physical,1.6295200130245213e-05
48,1,C4,0.002335389103342644,0.002321059189309992,B4,endpoint physical,1.4329914032652075e-05
48,0,C4,0.0009952192443513257,-0.0009551634358257911,B5,endpoint physical,0.001950382680177117
48,1,C4,0.0010216379106807569,-0.0009789593056457107,B5,endpoint physical,0.002000597216326468
48,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
48,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
48,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
48,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
48,0,C4,5e-324,-5e-324,B8,physical source,1e-323
48,1,C4,1.785930707619647e-06,1.7859307076196466e-06,B8,physical source,4.235164736271502e-22
48,0,C4,2e-323,-2e-323,B9,physical source,4e-323
48,1,C4,1.7754022712347848e-05,-1.7754022712347848e-05,B9,physical source,3.5508045424695695e-05
48,0,C4,3.4452172679287116e-06,-3.4452172679287116e-06,B10,physical source,6.890434535857423e-06
48,1,C4,2.8003202541498675e-05,-2.797552874014433e-05,B10,physical source,5.5978731281643007e-05
48,0,C4,0.02199621195975226,-0.021113957620673935,B11,new normalized,0.0431101695804262
48,1,C4,0.01657465605793385,-0.015857243187838165,B11,new normalized,0.032431899245772014
48,0,C4,6.493451807091488e-07,-1.0972472881783767e-06,B12,new normalized,1.7465924688875255e-06
48,1,C4,2.3092515703204646e-05,-4.0455120468792885e-05,B12,new normalized,6.354763617199753e-05
48,0,C4,0.02199686130493297,-0.021115054867962117,B13,new normalized,0.04311191617289509
48,1,C4,0.016597748573637064,-0.015897698308306958,B13,new normalized,0.03249544688194402
48,0,C4,0.02199686130493297,-0.021115054867962117,B14,new normalized,0.04311191617289509
48,1,C4,0.016597748573637064,-0.015897698308306958,B14,new normalized,0.03249544688194402
48,0,C4,0.0009986939429661582,-0.0009586584699382918,B15,endpoint physical,0.00195735241290445
48,1,C4,0.0010706706951741673,-0.0010255125641835373,B15,endpoint physical,0.0020961832593577043
48,0,C4,3.4746986148299206e-06,-3.4950341124979894e-06,B16,tube physical,6.9697327273279095e-06
48,1,C4,4.903278449340705e-05,-4.655325853782447e-05,B16,tube physical,9.558604303123152e-05
49,0,C4,0.9780031386950668,-0.8351352894830384,A0,old normalized,1.8131384281781053
49,1,C4,0.9834022514263623,-0.8744936642370045,A0,old normalized,1.8578959156633668
49,0,C4,0.02199686130493297,-0.021115054867962117,A1,old normalized,0.04311191617289509
49,1,C4,0.016597748573637064,-0.015897698308306958,A1,old normalized,0.03249544688194402
49,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
49,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
49,0,C4,0.021996861304932974,-0.02111505486796212,A3,old normalized,0.043111916172895094
49,1,C4,0.016597748573637067,-0.01589769830830696,A3,old normalized,0.03249544688194403
49,0,C4,0.023829665597735947,-0.0228765723057221,B0,new normalized,0.04670623790345805
49,1,C4,0.01801542882560498,-0.017249645366478845,B0,new normalized,0.03526507419208383
49,0,C4,1.957273074360082,1.8685544578941924,B1,endpoint physical,0.08871861646588952
49,1,C4,-0.35985205301444967,-0.47251676359386074,B1,endpoint physical,0.11266471057941108
49,0,C4,0.9999999999999998,-0.8562503443510006,B2,old normalized,1.8562503443510003
49,1,C4,0.9999999999999993,-0.8903913625453115,B2,old normalized,1.8903913625453108
49,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
49,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
49,0,C4,0.04542678932338785,0.04540935345346899,B4,endpoint physical,1.7435869918862312e-05
49,1,C4,0.002331718903821906,0.002316690106664493,B4,endpoint physical,1.502879715741326e-05
49,0,C4,0.0010379480683850057,-0.0009962581127114273,B5,endpoint physical,0.002034206181096433
49,1,C4,0.0010022472564159444,-0.0009600348349208653,B5,endpoint physical,0.0019622820913368097
49,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
49,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
49,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
49,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
49,0,C4,5e-324,-5e-324,B8,physical source,1e-323
49,1,C4,1.9163445180222686e-06,1.9163445180222678e-06,B8,physical source,8.470329472543003e-22
49,0,C4,2e-323,-2e-323,B9,physical source,4e-323
49,1,C4,2.0255242745989598e-05,-2.0255242745989598e-05,B9,physical source,4.0510485491979196e-05
49,0,C4,3.789738694721583e-06,-3.789738694721583e-06,B10,physical source,7.579477389443166e-06
49,1,C4,3.1109798951203234e-05,-3.1071804628534694e-05,B10,physical source,6.218160357973793e-05
49,0,C4,0.023828827160507715,-0.022875206449688212,B11,new normalized,0.04670403361019593
49,1,C4,0.01798699019655734,-0.01720169994316748,B11,new normalized,0.035188690139724824
49,0,C4,8.384372285709594e-07,-1.3658560342279468e-06,B12,new normalized,2.2042932627989064e-06
49,1,C4,2.843862904789507e-05,-4.7945423311621774e-05,B12,new normalized,7.638405235951685e-05
49,0,C4,0.023829665597736287,-0.022876572305722445,B13,new normalized,0.046706237903458736
49,1,C4,0.01801542882560524,-0.017249645366479105,B13,new normalized,0.03526507419208434
49,0,C4,0.023829665597736246,-0.022876572305722407,B14,new normalized,0.04670623790345865
49,1,C4,0.01801542882560522,-0.017249645366479084,B14,new normalized,0.0352650741920843
49,0,C4,0.0010417744614964154,-0.00100010756327784,B15,endpoint physical,0.0020418820247742556
49,1,C4,0.0010571975036906948,-0.001012259113980808,B15,endpoint physical,0.002069456617671503
49,0,C4,3.82639311140698e-06,-3.849450566409563e-06,B16,tube physical,7.675843677816543e-06
49,1,C4,5.4950247274746984e-05,-5.222427905993929e-05,B16,tube physical,0.00010717452633468627
