all_candidate_gates,attempted_diagnostic_immutable,boundary,decision,h_accepted_hex,scheduler_matches_historical,t_after,t_before,x_margin,y_margin
True,True,98,accepted,0x1.02d6e638d913ep-6,True,3.1786276993124822,3.162829393013051,9.842016637005685e-05,7.671436931934199e-05
True,True,99,accepted,0x1.1cb93071bb95ep-6,True,3.196005836241857,3.1786276993124822,9.826218330706254e-05,7.07826213845518e-05
True,True,100,accepted,0x1.39321bb04e581p-6,True,3.2151217868641693,3.196005836241857,9.808840193776878e-05,6.278947202941592e-05
True,True,101,accepted,0x1.5883eb41efc75p-6,True,3.2361493325487127,3.2151217868641693,9.789724243154566e-05,5.192058388101378e-05
True,True,102,accepted,0x1.7af782c887c1bp-6,True,3.2592796328017104,3.2361493325487127,9.768696697470022e-05,3.71279401877384e-05
True,True,103,accepted,0x1.a0dd0fdc95551p-6,True,3.284722963080008,3.2592796328017104,9.745566397217025e-05,1.6978538392421234e-05
True,True,104,accepted,0x1.ca8cc4a5d7773p-7,True,3.2987167947330716,3.284722963080008,9.860061383469364e-05,7.329249430140309e-05
True,True,105,accepted,0x1.f867a51cd3699p-7,True,3.3141100095514417,3.2987167947330716,9.8460675518163e-05,6.737559293910363e-05
True,True,106,accepted,0x1.156c34697446ep-6,True,3.331042545851649,3.3141100095514417,9.83067433699793e-05,5.9782118547446915e-05
True,True,107,accepted,0x1.312a39a7331adp-6,True,3.3496683357818764,3.331042545851649,9.813741800697723e-05,4.9979087314552416e-05
True,True,108,accepted,0x1.4fae729e51d0cp-6,True,3.370156704705127,3.3496683357818764,9.795116010767496e-05,3.7261753984951576e-05
True,True,109,accepted,0x1.713fe47af398ep-6,True,3.3926939105207023,3.370156704705127,9.774627641844245e-05,2.0983204335612272e-05
True,True,110,accepted,0x1.962cae873f283p-6,True,3.4174848369178354,3.3926939105207023,9.752090436028669e-05,4.587863740849503e-07
True,True,111,accepted,0x1.becabffb2bdf7p-7,True,3.4311198464362587,3.4174848369178354,9.863649604815768e-05,6.9275646287374e-05
True,True,112,accepted,0x1.eb789ffab042ap-7,True,3.446118356906524,3.4311198464362587,9.850014595297344e-05,6.331974327161507e-05
True,True,113,accepted,0x1.0e4f24c9e0f17p-6,True,3.462616718423816,3.446118356906524,9.83501608482708e-05,5.602436368586534e-05
True,True,114,accepted,0x1.29570ede1109ap-6,True,3.4807649160928373,3.462616718423816,9.818517723309788e-05,4.628036294750784e-05
True,True,115,accepted,0x1.4712f6c112bddp-6,True,3.500727933528761,3.4807649160928373,9.800369525640767e-05,3.421813393770532e-05
True,True,116,accepted,0x1.67c80f6dfb040p-6,True,3.522687252708277,3.500727933528761,9.780406508204842e-05,1.970193323920257e-05
True,True,117,accepted,0x1.8bc2775f60eadp-6,True,3.546842503805744,3.522687252708277,9.758447189025327e-05,1.7399526827102587e-06
True,True,118,accepted,0x1.b355e9b5b768cp-7,True,3.5601278919093513,3.546842503805744,9.86714581896393e-05,7.110560824948159e-05
True,True,119,accepted,0x1.dede8114b0267p-7,True,3.574741818823319,3.5601278919093513,9.853860430860322e-05,6.635613066673198e-05
True,True,120,accepted,0x1.0760c6fe94153p-6,True,3.5908171384286836,3.574741818823319,9.839246503946355e-05,6.0778815209404294e-05
True,True,121,accepted,0x1.21b7414b3c7dcp-6,True,3.6084999899945847,3.5908171384286836,9.82317118434099e-05,5.433524785895779e-05
True,True,122,accepted,0x1.3eaffb05f5bd9p-6,True,3.627951126717076,3.6084999899945847,9.805488332775089e-05,4.702838052601411e-05
True,True,123,accepted,0x1.5e8e60ecf4b6fp-6,True,3.649347377111816,3.627951126717076,9.786037196052598e-05,3.8963493489069446e-05
True,True,124,accepted,0x1.819c9dd173961p-6,True,3.6728832525460304,3.649347377111816,9.764640945657858e-05,2.968659520232582e-05
True,True,125,accepted,0x1.a82c473332585p-6,True,3.698772715523666,3.6728832525460304,9.741105070223644e-05,1.922652439017303e-05
True,True,126,accepted,0x1.d2971b1eb7613p-6,True,3.727251124799065,3.698772715523666,9.715215607246008e-05,6.888606824779247e-06
True,True,127,accepted,0x1.009fe884180f1p-6,True,3.742914249900535,3.727251124799065,9.843368448985305e-05,7.23865841702474e-05
True,True,128,accepted,0x1.1a497fc480dd6p-6,True,3.7601436875121514,3.742914249900535,9.827705323883835e-05,6.851482110471894e-05
True,True,129,accepted,0x1.36840c8b5a8d2p-6,True,3.7790960688849298,3.7601436875121514,9.810475886272218e-05,6.400304001201134e-05
True,True,130,accepted,0x1.559140ffb0681p-6,True,3.7999436883949858,3.7790960688849298,9.79152350489944e-05,5.820877129730497e-05
True,True,131,accepted,0x1.77b96119420c2p-6,True,3.8228760698560476,3.7999436883949858,9.770675885389384e-05,5.1367602113635993e-05
True,True,132,accepted,0x1.9d4beacefbda3p-6,True,3.848101689463215,3.8228760698560476,9.747743503928323e-05,4.334377062168929e-05
True,True,133,accepted,0x1.c6a04f16e1d67p-6,True,3.8758498710311,3.848101689463215,9.722517884321155e-05,3.3768753697239323e-05
True,True,134,accepted,0x1.f416bd65f86bfp-6,True,3.9063728707557726,3.8758498710311,9.69476970275327e-05,2.2413026179579125e-05
True,True,135,accepted,0x1.130c81c4e23b6p-5,True,3.939948170452913,3.9063728707557726,9.664246703028597e-05,9.47308886478914e-06
True,True,136,accepted,0x1.2e8dc1f22c0e2p-6,True,3.95841458528634,3.939948170452913,9.815335551665729e-05,7.465132104491121e-05
True,True,137,accepted,0x1.4ccf2223fd42cp-6,True,3.97872764160311,3.95841458528634,9.796869136832302e-05,7.099711470588312e-05
True,True,138,accepted,0x1.6e170bf463631p-6,True,4.001072003551557,3.97872764160311,9.776556080515532e-05,6.537237770775854e-05
True,True,139,accepted,0x1.92b2f38cd3b9dp-6,True,4.025650801694849,4.001072003551557,9.754211718567084e-05,5.841672209934668e-05
True,True,140,accepted,0x1.baf80be7b5b2dp-6,True,4.0526874796524694,4.025650801694849,9.729632920423794e-05,5.000986905844731e-05
True,True,141,accepted,0x1.e7440d187b119p-6,True,4.082427825405852,4.0526874796524694,9.702596242466172e-05,4.000891452958889e-05
