tool,source_commit,run_id,accepted_step_index,attempt_index,retry_index,t_pre_decimal,t_pre_hex,h_attempt_decimal,h_attempt_hex,accepted,rejection_reason,state_component,stage,validation_status,subset_margin_x,subset_margin_y
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,35,35,0,0.35000000000000003,0x1.6666666666667p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,7.87635521203751e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,36,36,0,0.35999999999999999,0x1.70a3d70a3d70ap-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,7.927407191130471e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,37,37,0,0.37,0x1.7ae147ae147aep-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,7.979822469263834e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,38,38,0,0.38,0x1.851eb851eb852p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.033212589520907e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,39,39,0,0.39000000000000001,0x1.8f5c28f5c28f6p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.087173643932287e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,40,40,0,0.40000000000000002,0x1.999999999999ap-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.141453381175239e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,41,41,0,0.41000000000000003,0x1.a3d70a3d70a3ep-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.195750867640483e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,42,42,0,0.41999999999999998,0x1.ae147ae147ae1p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.249800956755508e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,43,43,0,0.42999999999999999,0x1.b851eb851eb85p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.303362352533774e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,44,44,0,0.44,0x1.c28f5c28f5c29p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.351687599900657e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,45,45,0,0.45000000000000001,0x1.ccccccccccccdp-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.393791949147884e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,46,46,0,0.46000000000000002,0x1.d70a3d70a3d71p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.433528363244905e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,47,47,0,0.47000000000000003,0x1.e147ae147ae15p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.468966884990041e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,48,48,0,0.47999999999999998,0x1.eb851eb851eb8p-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.504380830886226e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,49,49,0,0.48999999999999999,0x1.f5c28f5c28f5cp-2,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.539719753804633e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,50,50,0,0.5,0x1.0000000000000p-1,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.574871364623861e-05
torch,cdda27bf2c0e7f72e135edbfd2b2ba10a8c5f96d,torch-authoritative-observation-20260806,51,51,0,0.51000000000000001,0x1.051eb851eb852p-1,0.01,0x1.47ae147ae147bp-7,True,,-1,acceptance_predicate,validated,9.8999997e-05,8.609714854596444e-05
