plant,step,t_end_exact,view,metric,component,baseline_lo_hex,baseline_hi_hex,candidate_lo_hex,candidate_hi_hex,baseline_width,candidate_width,width_ratio,bitwise_equal
brusselator,9,51881467707308115/288230376151711744,published,tube,y,0x1.3b9b043473328p+1,0x1.4e808aa39686cp+1,0x1.3b9b043473328p+1,0x1.4e808aa39686cp+1,0.14762955118809096,0.14762955118809096,1.0,True
brusselator,9,51881467707308115/288230376151711744,common,endpoint,x,0x1.cfc5a1e3b73c4p+0,0x1.eda6a8ce350c2p+0,0x1.cfc5a1e3b73c4p+0,0x1.eda6a8ce350c2p+0,0.11671488976372713,0.11671488976372713,1.0,True
brusselator,9,51881467707308115/288230376151711744,common,endpoint,y,0x1.3c36bed4a38edp+1,0x1.45e61e9c423ebp+1,0x1.3c36bed4a38edp+1,0x1.45e61e9c423ebp+1,0.07566449400962849,0.07566449400962849,1.0,True
brusselator,9,51881467707308115/288230376151711744,common,tube,x,0x1.c41a780eb0b13p+0,0x1.edaabaffb2fa2p+0,0x1.c41a780eb0b13p+0,0x1.edaabaffb2fa2p+0,0.1623575056458184,0.1623575056458184,1.0,True
brusselator,9,51881467707308115/288230376151711744,common,tube,y,0x1.3b9b043473350p+1,0x1.4e808aa396842p+1,0x1.3b9b043473350p+1,0x1.4e808aa396842p+1,0.14762955118805454,0.14762955118805454,1.0,True
brusselator,10,28823037615171175/144115188075855872,published,endpoint,x,0x1.da3ac77c7ee8ap+0,0x1.fac3609753080p+0,0x1.da3ac77c7ee8ap+0,0x1.fac3609753080p+0,0.1270843210696717,0.1270843210696717,1.0,True
brusselator,10,28823037615171175/144115188075855872,published,endpoint,y,0x1.33ca276169b24p+1,0x1.3df774a7275f4p+1,0x1.33ca276169b24p+1,0x1.3df774a7275f4p+1,0.07950750260656747,0.07950750260656747,1.0,True
brusselator,10,28823037615171175/144115188075855872,published,tube,x,0x1.ce6d885086ebap+0,0x1.fac8595816174p+0,0x1.ce6d885086ebap+0,0x1.fac8595816174p+0,0.1732607501464103,0.1732607501464103,1.0,True
brusselator,10,28823037615171175/144115188075855872,published,tube,y,0x1.331f005f37e9bp+1,0x1.46cfe7624cadep+1,0x1.331f005f37e9bp+1,0x1.46cfe7624cadep+1,0.15383613253064388,0.15383613253064388,1.0,True
brusselator,10,28823037615171175/144115188075855872,common,endpoint,x,0x1.da3ac77c7ee97p+0,0x1.fac3609753074p+0,0x1.da3ac77c7ee97p+0,0x1.fac3609753074p+0,0.12708432106966616,0.12708432106966616,1.0,True
