plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,3,2,3,B,point_substitution,0.0010348665527999401,3,0,344,0,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,C,endpoint_error_and_ledger,0.017590454779565334,7,28,5276,118,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,D,polynomial_interval_range,0.48173951264470816,262,8248,165956,32992,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,0,165956,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,E,composition_and_cutoff,0.08033403288573027,181,998,28334,4212,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,0,28334,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,F,center_scale_and_maps,0.0017186584882438183,5,4,572,20,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,0,572,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,G,history_checks_pack_propagate_commit,0.005371746141463518,30,28,1927,112,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,0,1927,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,H,other_boundary,0.0033469446934759617,1,34,1064,136,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,3,2,3,outside_boundary,nonboundary_or_unattributed,0.4549960261210799,0,297,122032,11690,1.0915888478048146,0.6365928216837347,0.4549960261210799,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,A,representation_and_coefficients,0.04576027067378163,234,5,13281,1688,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,8,13273,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,B,point_substitution,0.0009624455124139786,3,0,344,0,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
