failure_category,failure_message,h,protocol,requested_horizon,run_id,successful_horizon,system,tool,tool_variant
,,0.05,one_step_tube,0.05,diffreach_4ddaa16b4785a4a0,0.05,harmonic,diffreach,diffreach_affine
,,0.05,one_step_raw_endpoint,0.05,diffreach_cc51e3cc41d73620,0.05,harmonic,diffreach,diffreach_affine
,,0.05,one_step_tube,0.05,diffreach_d5442e1d57655e02,0.05,harmonic,diffreach,diffreach_restricted_quasi_quadratic
,,0.05,one_step_raw_endpoint,0.05,diffreach_50d13cc05a278e73,0.05,harmonic,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,common_box_raw_endpoint_carry,4.0,diffreach_658d5366790ad2c6,4.0,harmonic,diffreach,diffreach_affine
,,0.01,native_representation,4.0,diffreach_042939eaa79a9a6e,4.0,harmonic,diffreach,diffreach_affine
,,0.01,native_representation,4.0,diffreach_b0fd1f3d1e5d1f4c,4.0,harmonic,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,deliberate_low_order_stress,4.0,diffreach_4b9a6b9c49e1924c,4.0,harmonic,diffreach,diffreach_affine
,,0.0025,one_step_tube,0.0025,diffreach_eff08bad37f1c41c,0.0025,van_der_pol,diffreach,diffreach_affine
,,0.0025,one_step_raw_endpoint,0.0025,diffreach_42cdc9e0ea2ac941,0.0025,van_der_pol,diffreach,diffreach_affine
,,0.0025,one_step_tube,0.0025,diffreach_ce579a950fcb67a2,0.0025,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.0025,one_step_raw_endpoint,0.0025,diffreach_c1c8f84913db8127,0.0025,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.005,one_step_tube,0.005,diffreach_57e8f1ac9840b36e,0.005,van_der_pol,diffreach,diffreach_affine
,,0.005,one_step_raw_endpoint,0.005,diffreach_1c4675126297c1ab,0.005,van_der_pol,diffreach,diffreach_affine
,,0.005,one_step_tube,0.005,diffreach_6ab72a0b1f154638,0.005,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.005,one_step_raw_endpoint,0.005,diffreach_c9000bad765b4452,0.005,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,one_step_tube,0.01,diffreach_0fa4dd1ca579bf90,0.01,van_der_pol,diffreach,diffreach_affine
,,0.01,one_step_raw_endpoint,0.01,diffreach_f58a9d4fac27e30d,0.01,van_der_pol,diffreach,diffreach_affine
,,0.01,one_step_tube,0.01,diffreach_0f3cd708acb1f059,0.01,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,one_step_raw_endpoint,0.01,diffreach_45930e9807a99762,0.01,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.02,one_step_tube,0.02,diffreach_e5ada78182bacede,0.02,van_der_pol,diffreach,diffreach_affine
,,0.02,one_step_raw_endpoint,0.02,diffreach_d37962ecf52e30a2,0.02,van_der_pol,diffreach,diffreach_affine
,,0.02,one_step_tube,0.02,diffreach_39b822adf7a1f7bc,0.02,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
,,0.02,one_step_raw_endpoint,0.02,diffreach_3fc685b3be05b454,0.02,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.005,common_box_raw_endpoint_carry,1.0,diffreach_9cd499045f797a52,0.625,van_der_pol,diffreach,diffreach_affine
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.005,native_representation,1.0,diffreach_b00bf445642ee68f,0.615,van_der_pol,diffreach,diffreach_affine
,,0.005,native_representation,1.0,diffreach_1f6da847db835c36,1.0,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.005,deliberate_low_order_stress,1.0,diffreach_7681c0c7e62959af,0.615,van_der_pol,diffreach,diffreach_affine
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.01,common_box_raw_endpoint_carry,1.0,diffreach_1f04baf43f6a04b5,0.54,van_der_pol,diffreach,diffreach_affine
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.01,native_representation,1.0,diffreach_94d3e42cd4394814,0.53,van_der_pol,diffreach,diffreach_affine
,,0.01,native_representation,1.0,diffreach_889ac76e976123b2,1.0,van_der_pol,diffreach,diffreach_restricted_quasi_quadratic
