absolute_time,analytic_reference_status,h,lower,requested_horizon,sampled_trajectory_status,state_index,step_index,system,tool,tool_variant,upper,width
0.34,passed,0.01,-0.0004413767070236068,1.0,passed,0,34,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10397239002252093,0.10441376672954454
0.35000000000000003,passed,0.01,-0.00045488953063495036,1.0,passed,0,35,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10409400542500226,0.10454889495563721
0.36,passed,0.01,-0.0004684339843443284,1.0,passed,0,36,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10421590549836589,0.10468433948271022
0.37,passed,0.01,-0.0004820101792954894,1.0,passed,0,37,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10433809124290554,0.10482010142220102
0.38,passed,0.01,-0.0004956182271533642,1.0,passed,0,38,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10446056366360558,0.10495618189075895
0.39,passed,0.01,-0.0005092582401071238,1.0,passed,0,39,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10458332377016856,0.10509258201027569
0.4,passed,0.01,-0.0005229303308732586,1.0,passed,0,40,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10470637257704289,0.10522930290791616
0.41000000000000003,passed,0.01,-0.0005366346126986798,1.0,passed,0,41,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10482971110345078,0.10536634571614946
0.42,passed,0.01,-0.0005503711993638421,1.0,passed,0,42,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10495334037341632,0.10550371157278016
0.43,passed,0.01,-0.000564140205185889,1.0,passed,0,43,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1050772614157938,0.10564140162097968
0.44,passed,0.01,-0.0005779417450218202,1.0,passed,0,44,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1052014752642962,0.10577941700931802
0.45,passed,0.01,-0.000591775934271681,1.0,passed,0,45,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10532598295752395,0.10591775889179562
0.46,passed,0.01,-0.0006056428888817752,1.0,passed,0,46,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10545078553899377,0.10605642842787555
0.47000000000000003,passed,0.01,-0.0006195427253479005,1.0,passed,0,47,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10557588405716785,0.10619542678251576
0.48,passed,0.01,-0.000633475560718606,1.0,passed,0,48,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10570127956548313,0.10633475512620173
0.49,passed,0.01,-0.0006474415125984744,1.0,passed,0,49,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10582697312238085,0.10647441463497932
0.5,passed,0.01,-0.0006614406991514269,1.0,passed,0,50,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1059529657913363,0.10661440649048773
0.51,passed,0.01,-0.0006754732391040511,1.0,passed,0,51,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10607925864088877,0.10675473187999282
0.52,passed,0.01,-0.0006895392517489542,1.0,passed,0,52,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10620585274467172,0.10689539199642067
0.53,passed,0.01,-0.0007036388569481383,1.0,passed,0,53,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10633274918144317,0.10703638803839131
0.54,passed,0.01,-0.0007177721751364017,1.0,passed,0,54,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10645994903511631,0.10717772121025271
0.55,passed,0.01,-0.000731939327324763,1.0,passed,0,55,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10658745339479031,0.10731939272211508
0.56,passed,0.01,-0.0007461404351039113,1.0,passed,0,56,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10671526335478136,0.10746140378988528
0.5700000000000001,passed,0.01,-0.0007603756206476799,1.0,passed,0,57,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10684338001465397,0.10760375563530165
0.58,passed,0.01,-0.0007746450067165461,1.0,passed,0,58,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10697180447925243,0.10774644948596898
0.59,passed,0.01,-0.000788948716661155,1.0,passed,0,59,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10710053785873255,0.10788948657539371
0.6,passed,0.01,-0.0008032868744258702,1.0,passed,0,60,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10722958126859361,0.10803286814301948
0.61,passed,0.01,-0.0008176596045523487,1.0,passed,0,61,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10735893582971051,0.10817659543426286
0.62,passed,0.01,-0.0008320670321831429,1.0,passed,0,62,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10748860266836623,0.10832066970054936
0.63,passed,0.01,-0.0008465092830653279,1.0,passed,0,63,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10761858291628443,0.10846509219934976
0.64,passed,0.01,-0.0008609864835541552,1.0,passed,0,64,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10774887771066238,0.10860986419421653
0.65,passed,0.01,-0.0008754987606167334,1.0,passed,0,65,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10787948819420408,0.10875498695482082
0.66,passed,0.01,-0.000890046241835735,1.0,passed,0,66,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10801041551515356,0.1089004617569893
0.67,passed,0.01,-0.0009046290554131309,1.0,passed,0,67,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10814166082732855,0.10904628988274169
0.68,passed,0.01,-0.000919247330173951,1.0,passed,0,68,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10827322529015435,0.1091924726203283
0.6900000000000001,passed,0.01,-0.0009339011955700738,1.0,passed,0,69,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10840511006869784,0.10933901126426791
0.7000000000000001,passed,0.01,-0.0009485907816840424,1.0,passed,0,70,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10853731633370191,0.10948590711538594
0.71,passed,0.01,-0.0009633162192329088,1.0,passed,0,71,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10866984526162003,0.10963316148085295
0.72,passed,0.01,-0.0009780776395721066,1.0,passed,0,72,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10880269803465112,0.10978077567422323
0.73,passed,0.01,-0.0009928751746993516,1.0,passed,0,73,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1089358758407746,0.10992875101547396
