run_id,t,py_width_sum,flowstar_overlap_width_sum,width_ratio
flowstar_style_o4_target_insert_scalars,3.5021596638856956,0.61817397496702808,0.67513599999999996,0.91562881399751772
flowstar_style_o4_target_insert_scalars,3.5262410545469756,0.6252138918394301,0.81347999999999998,0.7685670106695065
flowstar_style_o4_target_insert_scalars,3.5515265147413198,0.61680437883211492,0.72218700000000013,0.85407848497981109
flowstar_style_o4_target_insert_scalars,3.5786180792352598,0.61553869212221746,0.73523999999999989,0.83719423878219024
flowstar_style_o4_target_insert_scalars,3.6070642219538964,0.60240221667610783,0.74521070000000011,0.8083649586299656
flowstar_style_o4_target_insert_scalars,3.6283988289928741,0.59106447332951995,0.74977760000000004,0.78831972751589263
flowstar_style_o4_target_insert_scalars,3.6512573365346359,0.58275580346970113,0.74734599999999995,0.77976707371110721
flowstar_style_o4_target_insert_scalars,3.6752587694534862,0.56667581774613796,0.57881300000000013,0.9790309093716586
flowstar_style_o4_target_insert_scalars,3.7009745904379683,0.55242733146295264,0.72485080000000013,0.76212557323928254
flowstar_style_o4_target_insert_scalars,3.7279762024716745,0.53178808989113691,0.54226130000000006,0.98068604543812521
flowstar_style_o4_target_insert_scalars,3.7569065010792171,0.51193131105981615,0.53370509999999982,0.95920258408588621
flowstar_style_o4_target_insert_scalars,3.7872833146171363,0.48751992233212632,0.52178719999999967,0.93432710179959688
flowstar_style_o4_target_insert_scalars,3.8198299005506211,0.46314925572541038,0.59505440000000009,0.77833094877612918
flowstar_style_o4_target_insert_scalars,3.8540038157807808,0.43635450447839774,0.46154770000000023,0.94541583562955145
flowstar_style_o4_target_insert_scalars,3.8906187249559516,0.40920485842864934,0.43255271999999995,0.94602308460492257
flowstar_style_o4_target_insert_scalars,3.9290643795898808,0.3816486915633216,0.40108759999999993,0.9515345065848998
flowstar_style_o4_target_insert_scalars,3.970256152411948,0.35371002797591727,0.37107799999999985,0.95319589944948879
flowstar_style_o4_target_insert_scalars,4.0135075138751191,0.33507504520427878,0.34988995999999989,0.9576583598005467
flowstar_style_o4_target_insert_scalars,4.0459460349724967,0.32552231602253223,0.25357109999999994,1.2837516421332411
flowstar_style_o4_target_insert_scalars,4.0807015932911153,0.31250278289426942,0.3329190999999998,0.93867483990636047
flowstar_style_o4_target_insert_scalars,4.1171949295256649,0.3027810020774977,0.31879310000000005,0.94977275881284018
flowstar_style_o4_target_insert_scalars,4.1562949326341121,0.29146428978691274,0.2256097,1.2918960921756146
flowstar_style_o4_target_insert_scalars,4.1973499358979813,0.28472137568894873,0.25333939999999999,1.1238732533863613
flowstar_style_o4_target_insert_scalars,4.2413374393949841,0.27798520287056716,0.2521945000000001,1.1022651281870424
flowstar_style_o4_target_insert_scalars,4.2875243180668363,0.27454080541357256,0.20575449999999995,1.3343125200837533
flowstar_style_o4_target_insert_scalars,4.3370102595009641,0.27263445196829406,0.20770180000000005,1.3126244065689079
flowstar_style_o4_target_insert_scalars,4.3889704980067989,0.27272184991085047,0.21129970000000015,1.2906873502936838
flowstar_style_o4_target_insert_scalars,4.4279406768861751,0.27375114138827061,0.15364989999999995,1.7816551874636475
flowstar_style_o4_target_insert_scalars,4.46969443997122,0.27697673205192647,0.21709249999999997,1.2758466186161499
flowstar_style_o4_target_insert_scalars,4.5135358912105179,0.2801542754676688,0.22554030000000014,1.242147303464918
flowstar_style_o4_target_insert_scalars,4.5605088746811937,0.28666856978038824,0.23730770000000012,1.2080036584585669
flowstar_style_o4_target_insert_scalars,4.6098305073254036,0.29242876687519315,0.16613620000000018,1.7601748858779294
flowstar_style_o4_target_insert_scalars,4.6468217318085605,0.29736808839069384,0.25329580000000007,1.1739953382199537
flowstar_style_o4_target_insert_scalars,4.6864551866119433,0.30590286098276243,0.17525990000000002,1.745424144272377
flowstar_style_o4_target_insert_scalars,4.7280703141554952,0.31316222516783154,0.27520700000000009,1.1379151880868998
flowstar_style_o4_target_insert_scalars,4.7726579508093003,0.32524832732428599,0.18864970000000014,1.7240861094625952
flowstar_style_o4_target_insert_scalars,4.819474969295797,0.33537511893371763,0.24581490000000006,1.3643400743149319
flowstar_style_o4_target_insert_scalars,4.8545877331606686,0.34356791787034657,0.21334509999999995,1.6103857921759002
flowstar_style_o4_target_insert_scalars,4.8922085515873164,0.3566344350320807,0.23301690000000008,1.5305088816823182
flowstar_style_o4_target_insert_scalars,4.9317104109352972,0.3673546010482065,0.17062270000000002,2.1530230212521926
flowstar_style_o4_target_insert_scalars,4.9740338316652766,0.38456987822368016,0.25687639999999989,1.4971008556009051
flowstar_style_o4_target_insert_scalars,5.0184734234317556,0.39881049288251558,0.28613579999999994,1.3937804807455609
flowstar_style_o4_target_insert_scalars,5.0518031172566147,0.41023771756476768,0.20495009999999991,2.0016468280072459
flowstar_style_o4_target_insert_scalars,5.0875135034975347,0.42833923859065082,0.32243739999999987,1.3284415473845497
flowstar_style_o4_target_insert_scalars,5.1250094090505005,0.4431377615722546,0.22865540000000006,1.9380157283504105
flowstar_style_o4_target_insert_scalars,5.1651835935715358,0.4668027685585967,0.36813870000000015,1.268007869204179
flowstar_style_o4_target_insert_scalars,5.2073664873186232,0.48635702332898711,0.25871640000000007,1.879884782445129
flowstar_style_o4_target_insert_scalars,5.2390036576289383,0.50202659924682858,0.25871640000000007,1.940451394835536
flowstar_style_o4_target_insert_scalars,5.2729006258185613,0.52679897568043221,0.34042010000000011,1.5474966833052222
flowstar_style_o4_target_insert_scalars,5.3084924424176663,0.54706336240233977,0.30548579999999992,1.7907980089494828
flowstar_style_o4_target_insert_scalars,5.335186304866995,0.56315759177587454,0.22989549999999992,2.449624250043497
flowstar_style_o4_target_insert_scalars,5.3637868717769894,0.58834169116321788,0.34057149999999992,1.7275129926115897
flowstar_style_o4_target_insert_scalars,5.3938174670324841,0.60875851079845378,0.25330129999999984,2.40329801228203
flowstar_style_o4_target_insert_scalars,5.4259931048062278,0.64094389420928644,0.38350989999999974,1.6712577542568963
flowstar_style_o4_target_insert_scalars,5.4597775244686595,0.66727285174463202,0.28203259999999986,2.3659422766894052
flowstar_style_o4_target_insert_scalars,5.4851158392154833,0.68815201233585321,0.4366829000000001,1.5758620553629488
flowstar_style_o4_target_insert_scalars,5.5122640335870798,0.72069657300964673,0.31770690000000013,2.2684322342689014
flowstar_style_o4_target_insert_scalars,5.5407696376772568,0.74707391914756593,0.50338749999999999,1.4840931074918744
flowstar_style_o4_target_insert_scalars,5.5713113563453032,0.7884290738049119,0.36261850000000007,2.1742659952675103
flowstar_style_o4_target_insert_scalars,5.6033801609467515,0.82221475707285741,0.36261850000000007,2.2674374227262462
flowstar_style_o4_target_insert_scalars,5.627431764397838,0.84892146872279395,0.4723807000000001,1.7971129403102069
flowstar_style_o4_target_insert_scalars,5.6532013395240019,0.89024673788487896,0.43089699999999997,2.0660314132724968
flowstar_style_o4_target_insert_scalars,5.680259393406474,0.92368182081396388,0.3315091,2.7862940136906165
flowstar_style_o4_target_insert_scalars,5.7005529338183276,0.94986568117329284,0.3315091,2.8652778496074252
flowstar_style_o4_target_insert_scalars,5.7222960128310287,0.98988450684075024,0.48056480000000001,2.0598356493042149
flowstar_style_o4_target_insert_scalars,5.7451262457943653,1.0219957247117897,0.36521879999999995,2.7983108337023994
flowstar_style_o4_target_insert_scalars,5.7695872096836531,1.071130528086035,0.54038760000000008,1.9821523071329448
flowstar_style_o4_target_insert_scalars,5.7952712217674067,1.110736873315717,0.40569080000000002,2.7378902191415655
