step,category,operation,calls
102,E,aten.nextafter.default,1620
102,E,aten.max.dim,202
102,E,aten.sub.Tensor,548
102,E,aten.ne.Scalar,522
102,E,aten.eq.Tensor,522
102,D,aten.lift_fresh.default,554
102,E,aten.equal.default,40
102,H,aten.div.Tensor,2
102,F,aten.lift_fresh.default,88
102,F,aten.clone.default,20
102,F,aten.view.default,16
102,F,aten.eq.Scalar,8
102,F,aten.all.default,8
102,F,aten.neg.default,2
102,F,aten.abs.default,126
102,F,aten.ne.Scalar,76
102,F,aten.eq.Tensor,74
102,F,aten.mul.Tensor,74
102,F,aten.sub.Tensor,62
102,F,aten.full_like.default,6
102,F,aten.nextafter.default,6
102,F,aten.zeros.default,6
102,F,aten.max.default,52
102,G,aten.le.Scalar,2
102,G,aten.ge.Scalar,2
102,G,aten.reciprocal.default,4
102,F,aten.isnan.default,8
102,F,aten.any.default,14
102,F,aten.gt.Tensor,4
102,F,aten.ones.default,2
102,H,aten.eq.Scalar,4
102,H,aten.all.default,4
102,H,aten.zeros.default,8
102,H,aten.stack.default,6
102,H,aten.min.dim,6
102,H,aten.max.dim,6
103,outside_boundary,aten.lift_fresh.default,552
103,outside_boundary,aten.clone.default,11877
103,outside_boundary,aten.view.default,1496
103,outside_boundary,aten.isnan.default,518
103,outside_boundary,aten.any.default,1290
103,outside_boundary,aten._local_scalar_dense.default,12463
103,outside_boundary,aten.gt.Tensor,574
103,outside_boundary,aten.eq.Scalar,337
103,outside_boundary,aten.all.default,6511
103,outside_boundary,aten.zeros_like.default,2043
103,outside_boundary,aten.add.Tensor,2190
103,outside_boundary,aten.ne.Scalar,1110
103,outside_boundary,aten.ones.default,317
103,outside_boundary,aten.mul.Tensor,7759
103,outside_boundary,aten.zeros.default,133
103,A,aten.zeros.default,1
103,A,aten.empty.memory_format,1
103,A,aten.empty_like.default,1
103,A,aten.select.int,34
103,A,aten.copy_.default,8
103,A,aten.stack.default,2
103,A,aten.view.default,1792
103,A,aten.clone.default,1890
103,A,aten.le.Tensor,3
103,A,aten.all.default,3563
103,A,aten._local_scalar_dense.default,3746
103,outside_boundary,aten.slice.Tensor,5855
103,outside_boundary,aten.select.int,7464
103,outside_boundary,aten.allclose.default,486
103,outside_boundary,aten.full_like.default,5848
103,outside_boundary,aten.le.Tensor,5727
103,outside_boundary,aten.index_select.default,1740
103,outside_boundary,aten.expand.default,168
103,outside_boundary,aten.scatter_add_.default,93
103,outside_boundary,aten.ones_like.default,756
103,outside_boundary,aten.max.default,756
103,outside_boundary,aten.detach.default,3034
103,outside_boundary,aten.abs.default,3891
103,outside_boundary,aten.minimum.default,731
103,outside_boundary,aten.maximum.default,949
103,outside_boundary,aten.le.Scalar,613
103,outside_boundary,aten.ge.Scalar,979
103,outside_boundary,aten.bitwise_and.Tensor,995
103,outside_boundary,aten.pow.Tensor_Scalar,9906
103,outside_boundary,aten.stack.default,4826
103,outside_boundary,aten.min.dim,3566
103,outside_boundary,aten.max.dim,3566
103,outside_boundary,aten.where.self,3015
103,outside_boundary,aten.nextafter.default,5835
103,outside_boundary,aten.unsqueeze.default,614
103,outside_boundary,aten.sum.dim_IntList,735
103,outside_boundary,aten.sub.Tensor,800
103,outside_boundary,aten.eq.Tensor,1150
103,outside_boundary,aten.arange.default,147
103,outside_boundary,aten.min.default,189
103,outside_boundary,aten.nonzero.default,189
103,outside_boundary,aten.lt.Tensor,315
103,outside_boundary,aten.unbind.int,1556
103,outside_boundary,aten.cat.default,632
103,outside_boundary,aten.ge.Tensor,326
103,outside_boundary,aten.all.dim,337
103,outside_boundary,aten.count_nonzero.default,315
103,outside_boundary,aten.clamp.default,126
103,outside_boundary,aten.pow.Tensor_Tensor,378
103,outside_boundary,aten._to_copy.default,126
103,outside_boundary,aten.copy_.default,331
103,outside_boundary,aten.full.default,84
103,outside_boundary,aten.scatter_reduce_.two,84
103,outside_boundary,aten.empty.memory_format,92
103,outside_boundary,aten.set_.source_Storage,92
103,outside_boundary,aten.new_empty.default,46
103,outside_boundary,aten.set_.source_Storage_storage_offset,46
103,outside_boundary,aten.div.Tensor,9
103,outside_boundary,aten.bitwise_not.default,9
103,C,aten.abs.default,157
103,C,aten.ne.Scalar,157
103,C,aten.eq.Tensor,163
103,C,aten.mul.Tensor,405
103,C,aten.all.default,163
103,C,aten._local_scalar_dense.default,253
103,B,aten.lift_fresh.default,4
103,B,aten.expand.default,2
103,B,aten.slice.Tensor,5
103,B,aten.select.int,1
103,B,aten.unsqueeze.default,3
103,B,aten.pow.Tensor_Tensor,1
103,B,aten.mul.Tensor,81
103,B,aten.detach.default,2
103,B,aten.view.default,3
103,B,aten.zeros.default,1
103,B,aten.scatter_add_.default,1
103,C,aten.lift_fresh.default,129
103,C,aten.expand.default,1
103,C,aten.detach.default,4
103,C,aten.gt.Tensor,34
103,C,aten.any.default,90
103,C,aten.slice.Tensor,68
103,C,aten.select.int,278
103,C,aten.lt.Tensor,3
103,C,aten.bitwise_or.Tensor,65
103,C,aten.unsqueeze.default,24
103,C,aten.ones_like.default,18
103,C,aten.stack.default,70
103,C,aten.amin.default,62
103,C,aten.full_like.default,286
103,C,aten.nextafter.default,286
103,C,aten.amax.default,62
103,C,aten.eq.Scalar,808
103,C,aten.bitwise_and.Tensor,407
103,C,aten.where.self,690
103,C,aten.zeros_like.default,247
103,C,aten.index.Tensor,84
103,C,aten.add.Tensor,162
103,C,aten.view.default,108
103,C,aten.index_put_.default,42
103,C,aten.neg.default,6
103,C,aten.cat.default,14
103,C,aten.zeros.default,3
103,C,aten.clone.default,118
103,C,aten.le.Tensor,5
103,C,aten.ge.Tensor,1
103,A,aten.detach.default,174
103,A,aten.unbind.int,4
103,A,aten.isnan.default,10
103,A,aten.any.default,15
103,A,aten.gt.Tensor,5
103,A,aten.ne.Scalar,168
103,A,aten.eq.Scalar,3560
103,A,aten.zeros_like.default,1780
103,A,aten.add.Tensor,1780
103,B,aten.ones_like.default,4
103,B,aten.zeros_like.default,80
103,B,aten.add.Tensor,80
103,B,aten.pow.Tensor_Scalar,76
103,C,aten.isnan.default,56
103,D,aten.zeros.default,364
103,D,aten.clone.default,44408
103,D,aten.view.default,22210
103,D,aten.isnan.default,22204
103,D,aten.any.default,33306
103,D,aten._local_scalar_dense.default,33306
103,D,aten.gt.Tensor,11102
103,D,aten.add.Tensor,4856
103,D,aten.full_like.default,16724
103,D,aten.nextafter.default,16724
103,D,aten.mul.Tensor,14336
103,D,aten.stack.default,4516
103,D,aten.min.dim,4516
103,D,aten.max.dim,4516
103,D,aten.zeros_like.default,1418
103,D,aten.abs.default,5672
103,D,aten.minimum.default,1418
103,D,aten.maximum.default,1418
103,D,aten.le.Scalar,1418
103,D,aten.ge.Scalar,1418
103,D,aten.bitwise_and.Tensor,1418
103,D,aten.pow.Tensor_Scalar,4700
103,D,aten.where.self,1418
103,H,aten.add.Tensor,50
103,H,aten.full_like.default,90
103,H,aten.nextafter.default,90
103,H,aten.clone.default,136
103,H,aten.view.default,72
103,H,aten.isnan.default,68
103,H,aten.any.default,102
103,H,aten._local_scalar_dense.default,198
103,H,aten.gt.Tensor,34
103,H,aten.sub.Tensor,30
103,H,aten.detach.default,96
103,H,aten.lift_fresh.default,48
103,H,aten.abs.default,44
103,H,aten.ne.Scalar,44
103,H,aten.eq.Tensor,44
103,H,aten.mul.Tensor,68
103,F,aten.detach.default,160
103,F,aten._local_scalar_dense.default,176
103,G,aten.lift_fresh.default,29
103,G,aten.abs.default,158
103,G,aten.ne.Scalar,158
103,G,aten.eq.Tensor,158
103,G,aten.mul.Tensor,194
103,G,aten._local_scalar_dense.default,3955
103,G,aten.all.default,180
103,G,aten.view.default,7034
103,G,aten.stack.default,868
103,G,aten.sub.Tensor,33
103,G,aten.full_like.default,267
103,G,aten.nextafter.default,267
103,G,aten.le.Tensor,27
103,G,aten.ge.Tensor,12
103,G,aten.bitwise_and.Tensor,12
103,E,aten.detach.default,504
103,E,aten._local_scalar_dense.default,5578
103,G,aten.clone.default,1712
103,G,aten.isnan.default,856
103,G,aten.any.default,1286
103,G,aten.gt.Tensor,428
103,G,aten.min.dim,6
103,G,aten.max.dim,6
103,G,aten.zeros_like.default,4
103,G,aten.select.int,2676
103,G,aten.slice.Tensor,24
103,G,aten.amin.default,4
103,G,aten.amax.default,4
103,G,aten.add.Tensor,218
103,G,aten.zeros.default,2
103,G,aten.detach.default,4964
103,E,aten.zeros_like.default,1838
103,E,aten.add.Tensor,2506
103,E,aten.clone.default,5970
103,E,aten.view.default,2870
103,E,aten.eq.Scalar,16
103,E,aten.all.default,560
103,E,aten.zeros.default,448
103,E,aten.isnan.default,2828
103,E,aten.any.default,4242
103,E,aten.gt.Tensor,1414
103,E,aten.mul.Tensor,3082
103,E,aten.lift_fresh.default,558
103,E,aten.abs.default,1094
103,E,aten.le.Tensor,544
103,E,aten.stack.default,202
103,E,aten.min.dim,202
103,E,aten.full_like.default,1620
103,E,aten.nextafter.default,1620
103,E,aten.max.dim,202
103,E,aten.sub.Tensor,548
103,E,aten.ne.Scalar,522
103,E,aten.eq.Tensor,522
103,D,aten.lift_fresh.default,554
103,E,aten.equal.default,40
103,H,aten.div.Tensor,2
103,F,aten.lift_fresh.default,88
103,F,aten.clone.default,20
103,F,aten.view.default,16
103,F,aten.eq.Scalar,8
103,F,aten.all.default,8
103,F,aten.neg.default,2
103,F,aten.abs.default,126
103,F,aten.ne.Scalar,76
103,F,aten.eq.Tensor,74
103,F,aten.mul.Tensor,74
103,F,aten.sub.Tensor,62
103,F,aten.full_like.default,6
103,F,aten.nextafter.default,6
103,F,aten.zeros.default,6
103,F,aten.max.default,52
103,G,aten.le.Scalar,2
103,G,aten.ge.Scalar,2
103,G,aten.reciprocal.default,4
103,F,aten.isnan.default,8
103,F,aten.any.default,14
103,F,aten.gt.Tensor,4
103,F,aten.ones.default,2
103,H,aten.eq.Scalar,4
103,H,aten.all.default,4
103,H,aten.zeros.default,8
103,H,aten.stack.default,6
103,H,aten.min.dim,6
103,H,aten.max.dim,6
104,outside_boundary,aten.lift_fresh.default,552
104,outside_boundary,aten.clone.default,11877
104,outside_boundary,aten.view.default,1496
104,outside_boundary,aten.isnan.default,518
104,outside_boundary,aten.any.default,1292
104,outside_boundary,aten._local_scalar_dense.default,12465
104,outside_boundary,aten.gt.Tensor,574
104,outside_boundary,aten.eq.Scalar,337
104,outside_boundary,aten.all.default,6511
104,outside_boundary,aten.zeros_like.default,2043
104,outside_boundary,aten.add.Tensor,2190
