plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind
van_der_pol,3,2,3,E,composition_and_cutoff,0.21397923259064555,75,662,14955,2798,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,F,center_scale_and_maps,0.00842437194660306,5,4,552,20,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,G,history_checks_pack_propagate_commit,0.02618825063109398,30,28,1827,112,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,H,other_boundary,0.017619806807488203,1,34,1064,136,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,outside_boundary,nonboundary_or_unattributed,1.1130614560097456,0,101,70146,5610,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,4,3,4,A,representation_and_coefficients,0.09110822156071663,114,5,5650,728,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,B,point_substitution,0.002092551440000534,3,0,148,0,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,C,endpoint_error_and_ledger,0.0481936801224947,7,14,3329,62,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,D,polynomial_interval_range,1.1274954974651337,115,3893,78406,15572,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,E,composition_and_cutoff,0.22094360832124949,75,682,15519,2882,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,F,center_scale_and_maps,0.008090425748378038,5,4,552,20,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,G,history_checks_pack_propagate_commit,0.028875640593469143,30,32,2033,128,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,H,other_boundary,0.01601789752021432,1,34,1064,136,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,4,3,4,outside_boundary,nonboundary_or_unattributed,1.1422963412478566,0,101,70146,5610,2.685113864019513,1.5428175227716565,1.1422963412478566,dispatch_counts_not_timing
van_der_pol,5,4,5,A,representation_and_coefficients,0.09478806471452117,114,5,5842,752,2.7570633701980114,1.6339272023178637,1.1231361678801477,dispatch_counts_not_timing
