workload,batch,device,controller,range_bound_mode,dropped_merge_mode,status,elapsed_ms,range_bound_ms,dropped_range_bound_ms,rhs_construction_ms,mul_trunc_ms,tm_remainder_propagation_ms,controller_bound_ms,plant_step_ms,cuda_memory_allocated_bytes,cuda_memory_reserved_bytes,samples_checked,sample_violations,containment_pass,max_width,mean_width,speedup_vs_dense_cpu,dominant_operation,recommendation
nncs,512,cuda,affine,blocked_interval,merged,ok,115.869314,14.6189937,,,,,4.54521924,93.4433443,9207808,77594624,144,0,yes,0.0809334531,0.0791458721,0.573840834,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,affine,blocked_interval,grouped,ok,116.102671,14.7618782,,,,,4.52718697,93.5541736,9207808,77594624,144,0,yes,0.0809334531,0.0791458721,0.573729114,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,affine,interval,merged,ok,115.404449,13.8581144,,,,,4.43718024,93.8619524,11157504,77594624,144,0,yes,0.0809334531,0.0791458721,1.23305431,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,affine,interval,grouped,ok,115.821012,14.056474,,,,,4.49178275,94.0117184,11157504,77594624,144,0,yes,0.0809334531,0.0791458721,1.20343066,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,affine,blocked_interval,merged,ok,116.116305,14.5805208,,,,,4.41950746,93.8457334,11223040,77594624,144,0,yes,0.0809334531,0.0791458721,1.08611544,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,affine,blocked_interval,grouped,ok,115.797675,14.6489432,,,,,4.43630014,93.4491232,11223040,77594624,144,0,yes,0.0809334531,0.0791458721,1.09089926,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,affine,interval,merged,ok,115.286516,13.9787123,,,,,4.48017288,93.6058918,19021824,77594624,144,0,yes,0.0809334531,0.0791458721,3.42934006,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,affine,interval,grouped,ok,114.961283,13.9737399,,,,,4.4438988,93.2953339,19021824,77594624,144,0,yes,0.0809334531,0.0791458721,3.40883694,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,affine,blocked_interval,merged,ok,116.977846,14.7465775,,,,,4.4211885,94.5552727,19283968,77594624,144,0,yes,0.0809334531,0.0791458721,3.35833645,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,affine,blocked_interval,grouped,ok,115.652744,14.6691464,,,,,4.45676688,93.2700597,19283968,77594624,144,0,yes,0.0809334531,0.0791458721,3.41587564,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,relu_ibp,interval,merged,ok,119.189604,13.8090169,,,,,9.35493689,92.7895904,8701952,77594624,144,0,yes,0.0872138521,0.0831913219,0.338065169,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,relu_ibp,interval,grouped,ok,115.627133,13.806616,,,,,5.98237012,92.5883185,8701952,77594624,144,0,yes,0.0872138521,0.0831913219,0.338618347,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,relu_ibp,blocked_interval,merged,ok,116.279559,14.5113757,,,,,5.98136894,92.5296713,8706048,77594624,144,0,yes,0.0872138521,0.0831913219,0.343294635,plant step,CONTINUE_BLOCKED_DENSE
