plant,step,t_end_exact,metric,component,optimized_width,flowstar_width,ratio,flowstar_data_origin
brusselator,21,121056757983718935/288230376151711744,endpoint,x,0.20598245371347623,0.1785043673185558,1.1539350930606842,REUSED_MATCHED_REFERENCE
brusselator,21,121056757983718935/288230376151711744,endpoint,y,0.1449253232461738,0.14470287711305407,1.0015372613009341,REUSED_MATCHED_REFERENCE
brusselator,21,121056757983718935/288230376151711744,tube,x,0.23868774579863672,0.2097485920117652,1.1379706700736674,REUSED_MATCHED_REFERENCE
brusselator,21,121056757983718935/288230376151711744,tube,y,0.23427551428380156,0.20219548983560887,1.1586584570915737,REUSED_MATCHED_REFERENCE
brusselator,22,63410682753376585/144115188075855872,endpoint,x,0.20567726460144797,0.17834779810703294,1.1532369156473332,REUSED_MATCHED_REFERENCE
brusselator,22,63410682753376585/144115188075855872,endpoint,y,0.14680623018273886,0.14682187121145263,0.9998934693544994,REUSED_MATCHED_REFERENCE
brusselator,22,63410682753376585/144115188075855872,tube,x,0.23505352387760192,0.20611077561494406,1.1404232659661069,REUSED_MATCHED_REFERENCE
brusselator,22,63410682753376585/144115188075855872,tube,y,0.2346658092098477,0.20142370843582502,1.165035690347315,REUSED_MATCHED_REFERENCE
brusselator,23,132585973029787405/288230376151711744,endpoint,x,0.20400072253299717,0.17701084334360173,1.1524758522109546,REUSED_MATCHED_REFERENCE
brusselator,23,132585973029787405/288230376151711744,endpoint,y,0.1474328081809475,0.1488322932621109,0.9905968990298447,REUSED_MATCHED_REFERENCE
brusselator,23,132585973029787405/288230376151711744,tube,x,0.22989340437497052,0.20108526046649455,1.1432633294038779,REUSED_MATCHED_REFERENCE
brusselator,23,132585973029787405/288230376151711744,tube,y,0.23312653729788413,0.20026421943109507,1.164094804154948,REUSED_MATCHED_REFERENCE
brusselator,24,17293822569102705/36028797018963968,endpoint,x,0.20132499123410819,0.1748071382721319,1.1516977694623345,REUSED_MATCHED_REFERENCE
brusselator,24,17293822569102705/36028797018963968,endpoint,y,0.14711769265035324,0.14972278753784085,0.9826005451118842,REUSED_MATCHED_REFERENCE
brusselator,24,17293822569102705/36028797018963968,tube,x,0.223563327142132,0.19505268135469,1.1461689508158943,REUSED_MATCHED_REFERENCE
brusselator,24,17293822569102705/36028797018963968,tube,y,0.23009917515070333,0.19776920902447115,1.1634732033652002,REUSED_MATCHED_REFERENCE
brusselator,25,144115188075855875/288230376151711744,endpoint,x,0.1973529900601867,0.17142832337583247,1.151227441147622,REUSED_MATCHED_REFERENCE
brusselator,25,144115188075855875/288230376151711744,endpoint,y,0.14610732894348155,0.1497859449959671,0.9754408462517322,REUSED_MATCHED_REFERENCE
brusselator,25,144115188075855875/288230376151711744,tube,x,0.2158346025997555,0.18777958435547326,1.1494039852126476,REUSED_MATCHED_REFERENCE
brusselator,25,144115188075855875/288230376151711744,tube,y,0.22604630676696913,0.19429679786042842,1.1634072679331944,REUSED_MATCHED_REFERENCE
brusselator,26,74939897799445055/144115188075855872,endpoint,x,0.19220543346985774,0.16771520701744969,1.1460226945900023,REUSED_MATCHED_REFERENCE
brusselator,26,74939897799445055/144115188075855872,endpoint,y,0.14414815927060665,0.1487155438220622,0.9692877796491777,REUSED_MATCHED_REFERENCE
brusselator,26,74939897799445055/144115188075855872,tube,x,0.20690696665200115,0.18017610902943204,1.1483596119738748,REUSED_MATCHED_REFERENCE
brusselator,26,74939897799445055/144115188075855872,tube,y,0.22057688610011628,0.18960540679615456,1.1633470259487866,REUSED_MATCHED_REFERENCE
brusselator,27,155644403121924345/288230376151711744,endpoint,x,0.18610829460936262,0.16316331875543266,1.1406258222065369,REUSED_MATCHED_REFERENCE
brusselator,27,155644403121924345/288230376151711744,endpoint,y,0.1413869647430137,0.1466550274709606,0.9640785398305556,REUSED_MATCHED_REFERENCE
brusselator,27,155644403121924345/288230376151711744,tube,x,0.19703896710759894,0.17178350912290563,1.1470191062788444,REUSED_MATCHED_REFERENCE
brusselator,27,155644403121924345/288230376151711744,tube,y,0.21394520919864068,0.18391486111502053,1.16328396683963,REUSED_MATCHED_REFERENCE
brusselator,28,40352252661239645/72057594037927936,endpoint,x,0.1791807013029172,0.15776832017435138,1.1357204101869296,REUSED_MATCHED_REFERENCE
brusselator,28,40352252661239645/72057594037927936,endpoint,y,0.13801741187502792,0.1437801934361045,0.9599195033519166,REUSED_MATCHED_REFERENCE
brusselator,28,40352252661239645/72057594037927936,tube,x,0.18640225481386086,0.1626495609326808,1.146036015990299,REUSED_MATCHED_REFERENCE
brusselator,28,40352252661239645/72057594037927936,tube,y,0.20643893531105717,0.1774358828602134,1.1634565229046303,REUSED_MATCHED_REFERENCE
brusselator,29,167173618167992815/288230376151711744,endpoint,x,0.17158034067079697,0.15168809982404952,1.1311390997040733,REUSED_MATCHED_REFERENCE
brusselator,29,167173618167992815/288230376151711744,endpoint,y,0.1340900166601804,0.140319788471841,0.9556030415987208,REUSED_MATCHED_REFERENCE
brusselator,29,167173618167992815/288230376151711744,tube,x,0.17611404464338998,0.15388257711276543,1.1444703354190207,REUSED_MATCHED_REFERENCE
brusselator,29,167173618167992815/288230376151711744,tube,y,0.1981652515050849,0.17044335774308395,1.1626457852572187,REUSED_MATCHED_REFERENCE
