window,plant,mode,step,history_length,refinement_rounds,polynomial_multiplications_executed_in_replay,polynomial_range_evaluations_executed_in_replay,prepared_plan_constructions,cache_dispatches,binding_checks,fixed_replay_seconds,all_replay_seconds,step_seconds
brusselator_early,brusselator,optimized,3,2,8,6,7,1,344,8,0.0439587882719934,0.12302792398259044,1.0407849098555744
brusselator_early,brusselator,optimized,4,3,8,6,7,1,344,8,0.04418837744742632,0.12307868991047144,1.0622664829716086
brusselator_early,brusselator,optimized,5,4,8,6,7,1,344,8,0.04365904862061143,0.12239972874522209,1.0562152205966413
brusselator_early,brusselator,optimized,6,5,8,6,7,1,344,8,0.04382856283336878,0.12356835883110762,1.0942790820263326
brusselator_early,brusselator,optimized,7,6,8,6,7,1,344,8,0.04513391898944974,0.12433567084372044,1.1491191391833127
brusselator_early,brusselator,optimized,8,7,8,6,7,1,344,8,0.043987132143229246,0.12341195298358798,1.2138136439025402
brusselator_early,brusselator,optimized,9,8,7,6,7,1,301,7,0.04399967845529318,0.11370163271203637,1.2233779751695693
brusselator_early,brusselator,optimized,10,9,7,6,7,1,301,7,0.04390369076281786,0.11641819635406137,1.2882437529042363
brusselator_early,brusselator,optimized,11,10,7,6,7,1,301,7,0.044110709335654974,0.11309019103646278,1.2931945519521832
brusselator_early,brusselator,optimized,12,11,7,6,7,1,301,7,0.0442393533885479,0.11450881697237492,1.3340483899228275
brusselator_early,brusselator,optimized,13,12,7,6,7,1,301,7,0.04352082125842571,0.11316820001229644,1.3383830063976347
brusselator_early,brusselator,optimized,14,13,7,6,7,1,301,7,0.044238656759262085,0.11409401195123792,1.3590179267339408
brusselator_early,brusselator,optimized,15,14,7,6,7,1,301,7,0.048304060474038124,0.11859864601865411,1.4266664241440594
brusselator_early,brusselator,optimized,16,15,7,6,7,1,301,7,0.04379669623449445,0.11389205092564225,1.4511076407507062
brusselator_early,brusselator,optimized,17,16,7,6,7,1,301,7,0.045098541770130396,0.11824434204027057,1.502859553322196
brusselator_early,brusselator,optimized,18,17,7,6,7,1,301,7,0.045041099190711975,0.11715508624911308,1.5925442650914192
brusselator_early,brusselator,optimized,19,18,7,6,7,1,301,7,0.04459215886890888,0.11326190689578652,1.6128904656507075
brusselator_early,brusselator,optimized,20,19,7,6,7,1,301,7,0.043916423339396715,0.11514857923611999,1.6265184991061687
brusselator_middle,brusselator,reference,101,100,9,72,153,0,0,0,0.5775032620877028,0.6755659766495228,1.866478858049959
brusselator_middle,brusselator,reference,102,101,9,72,153,0,0,0,0.5942837973125279,0.6943761128932238,1.847358759958297
brusselator_middle,brusselator,reference,103,102,9,72,153,0,0,0,0.5794561710208654,0.6772853429429233,1.8312423173338175
brusselator_middle,brusselator,reference,104,103,9,72,153,0,0,0,0.574788102414459,0.6722646239213645,1.830027347896248
brusselator_middle,brusselator,reference,105,104,9,72,153,0,0,0,0.5850524231791496,0.6832453059032559,1.8280410743318498
brusselator_middle,brusselator,reference,106,105,9,72,153,0,0,0,0.5881824432872236,0.6877959603443742,1.8301465851254761
brusselator_middle,brusselator,reference,107,106,9,72,153,0,0,0,0.5845366516150534,0.6835274179466069,1.8255130271427333
brusselator_middle,brusselator,reference,108,107,9,72,153,0,0,0,0.5754746287129819,0.673001715913415,1.8203752539120615
brusselator_middle,brusselator,reference,109,108,9,72,153,0,0,0,0.5783600439317524,0.6769023318774998,1.8375958506949246
brusselator_middle,brusselator,reference,110,109,9,72,153,0,0,0,0.5819938234053552,0.6809115880168974,1.8181496420875192
brusselator_middle,brusselator,reference,111,110,9,72,153,0,0,0,0.5752565609291196,0.6726964632980525,1.8204856640659273
brusselator_middle,brusselator,reference,112,111,9,72,153,0,0,0,0.5897235018201172,0.6888769790530205,1.8191382107324898
