accepted_step,canonical_object_sha256,operator,implementation,stage_class,channel,component,lo,hi,lo_hex,hi_hex,width,exact_bernstein_lo,exact_bernstein_hi,exact_local_outward_contained
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X2,Flow*,cutoff_payment,endpoint,1,2.932328304164717,2.9754593545047427,0x1.775688abc2e49p+1,0x1.7cdbda25166b0p+1,0.043131050340025734,226882125637845540862034483/77371252455336267181195264,230212954844855479083091971/77371252455336267181195264,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X3,Flow*_diagnostic_cutoff_normal,cutoff_payment,endpoint,0,1.5127036632418807,1.5587985840817908,0x1.83408c1a29cc6p+0,0x1.8f0d6c8baeb1ap+0,0.04609492083991018,117045926847955168983337073/77371252455336267181195264,120606198768585208503610849/77371252455336267181195264,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,X3,Flow*_diagnostic_cutoff_normal,cutoff_payment,endpoint,1,2.932328304164717,2.9754593545047423,0x1.775688abc2e49p+1,0x1.7cdbda25166afp+1,0.04313105034002529,226882125637845540862034483/77371252455336267181195264,230212954844855479083091971/77371252455336267181195264,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,A,Torch,reporting_endpoint,endpoint,0,1.5463761657494268,1.5995568195307337,0x1.8bdf4ef335297p+0,0x1.997c8e43fa704p+0,0.053180653781306875,1869577373599990519485909/1208925819614629174706176,7734982155477532779137497/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,A,Torch,reporting_endpoint,endpoint,1,2.8821517279905873,2.9290362534433996,0x1.70ea590aea2bcp+1,0x1.76eaa8f2ab3c0p+1,0.0468845254528123,13937566028462700308645805/4835703278458516698824704,3540945478053324137538327/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,B,Flow*,reporting_endpoint,endpoint,0,1.5463761657494286,1.599556819530732,0x1.8bdf4ef33529fp+0,0x1.997c8e43fa6fcp+0,0.05318065378130332,1869577373599990519485909/1208925819614629174706176,7734982155477532779137497/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,B,Flow*,reporting_endpoint,endpoint,1,2.88215172799059,2.9290362534433965,0x1.70ea590aea2c2p+1,0x1.76eaa8f2ab3b9p+1,0.046884525452806525,13937566028462700308645805/4835703278458516698824704,3540945478053324137538327/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,C,Torch,reporting_tube,tube,0,1.5091610994566735,1.5995604662050205,0x1.825861be8fd33p+0,0x1.997ccb7253383p+0,0.09039936674834692,435999658869281797/288230376151711744,1032613850448724259805207853158411414565041494059336656578907376239154875002384944456675076693135045560588027813250099891/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,C,Torch,reporting_tube,tube,1,2.87998810040539,2.979495731470081,0x1.70a373380e1edp+1,0x1.7d601dba9e280p+1,0.09950763106469074,465163442954500214837080767117333055050868534177386168188607605246851978792821507990441671190150294607079920017917774759/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,428812664444989383/144115188075855872,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,D,Flow*,reporting_tube,tube,0,1.5091610994566773,1.5995604662050165,0x1.825861be8fd44p+0,0x1.997ccb7253371p+0,0.09039936674833915,435999658869281797/288230376151711744,1032613850448724259805207853158411414565041494059336656578907376239154875002384944456675076693135045560588027813250099891/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,D,Flow*,reporting_tube,tube,1,2.8799881004053987,2.9794957314700734,0x1.70a373380e200p+1,0x1.7d601dba9e26fp+1,0.09950763106467475,465163442954500214837080767117333055050868534177386168188607605246851978792821507990441671190150294607079920017917774759/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,428812664444989383/144115188075855872,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,E,Torch,reporting_endpoint,endpoint,0,1.5463761512597176,1.5995568289904463,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b80ap+0,0.053180677730728654,1869577356083007095932463/1208925819614629174706176,7734982201221894533072601/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,E,Torch,reporting_endpoint,endpoint,1,2.882151718027856,2.929036268761628,0x1.70ea58f5851a0p+1,0x1.76eaa91390850p+1,0.046884550733771846,13937565980285890028876061/4835703278458516698824704,3540945496571925283883839/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,E,Torch,reporting_tube,tube,0,1.5091610849669643,1.599560475664733,0x1.825861805438ap+0,0x1.997ccb9af4489p+0,0.0903993906977687,457178773919270173682711/302231454903657293676544,1032613856555559489360312180621186971297198937917121222016928062658190783685433223636063078006250296635265519489735879347/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
