symbol,kind,occurrence_count,locations,classification,recommended_action
__repr__,function,3,src/torch_tm_flowpipe/interval.py:197;src/torch_tm_flowpipe/polynomial.py:434;src/torch_tm_flowpipe/taylor_model.py:354,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
__rsub__,function,5,src/torch_tm_flowpipe/flowpipe.py:2445;src/torch_tm_flowpipe/interval.py:145;src/torch_tm_flowpipe/polynomial.py:217;src/torch_tm_flowpipe/symbolic_remainder.py:747;src/torch_tm_flowpipe/taylor_model.py:264,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
__sub__,function,6,src/torch_tm_flowpipe/flowpipe.py:2434;src/torch_tm_flowpipe/interval.py:141;src/torch_tm_flowpipe/polynomial.py:213;src/torch_tm_flowpipe/symbolic_remainder.py:743;src/torch_tm_flowpipe/taylor_model.py:253;src/torch_tm_flowpipe/tm_vector.py:93,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_abs_delta,function,2,experiments/flowstar_picard_residual_source_audit.py:341;experiments/flowstar_step_trace_compare.py:501,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_accepted,function,2,experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:145;experiments/flowstar_step_trace_compare.py:1175,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_add_phase_boxes,function,3,experiments/flowstar_benchmark_parity.py:916;experiments/flowstar_style_rescue_vanderpol.py:2125;experiments/trajectory_visual_audit.py:688,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_add_tx_boxes,function,3,experiments/flowstar_benchmark_parity.py:885;experiments/flowstar_style_rescue_vanderpol.py:2101;experiments/trajectory_visual_audit.py:717,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_all_known_components_match,function,2,experiments/flowstar_internal_intermediate_ranges_audit.py:285;experiments/flowstar_raw_remainder_partition_audit.py:291,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_append_initial_rows,function,3,experiments/three_way_common_contract/run_diffreach.py:236;experiments/three_way_common_contract/run_flowstar.py:362;experiments/three_way_common_contract/run_torch.py:71,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_attempt_key,function,2,experiments/flowstar_insertion_width_attribution.py:68;experiments/flowstar_style_failure_localization.py:542,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_bool,function,2,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:264;experiments/three_way_comparison_repair/collect_results.py:39,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_bool_word,function,2,experiments/flowstar_picard_residual_source_audit.py:355;experiments/flowstar_validation_candidate_decomposition_audit.py:483,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_bound,function,5,experiments/flowstar_endpoint_pre_center_source_audit.py:135;experiments/flowstar_raw_remainder_compat_experiment.py:109;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:124;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:164;experiments/flowstar_same_source_endpoint_tube_compare.py:142,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_bounds,function,8,experiments/flowstar_internal_intermediate_ranges_audit.py:193;experiments/flowstar_picard_residual_source_audit.py:150;experiments/flowstar_raw_ctrunc_residual_audit.py:150;experiments/flowstar_raw_remainder_partition_audit.py:174;experiments/flowstar_validation_candidate_decomposition_audit.py:158;experiments/three_tool_deep_study/export_torch_segment.py:56;experiments/three_way_common_contract/run_torch.py:59;experiments/three_way_comparison_repair/run_torch_audit.py:73,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_box,function,5,experiments/first_order_followup/run_torch_followup.py:69;experiments/flowstar_box_lifecycle_alignment_audit.py:159;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:216;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:208;experiments/three_tool_deep_study/run_native.py:26,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_box_tuple,function,4,tests/test_flowstar_internal_intermediate_ranges_audit.py:124;tests/test_flowstar_raw_ctrunc_residual_audit.py:110;tests/test_flowstar_raw_remainder_compat.py:20;tests/test_flowstar_raw_remainder_partition_audit.py:112,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_build_linear_tm_x64,function,2,experiments/three_tool_deep_study/export_diffreach_segment.py:67;experiments/three_way_comparison_repair/run_diffreach_audit.py:75,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_call_with_timeout,function,3,experiments/flowstar_benchmark_failure_diagnostics.py:127;experiments/flowstar_style_failure_localization.py:167;experiments/flowstar_style_rescue_vanderpol.py:694,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_callback,function,2,experiments/flowstar_benchmark_stage2_diagnostics.py:404;experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:302,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_cases,function,2,experiments/three_way_comparison_repair/run_diffreach_audit.py:447;experiments/three_way_comparison_repair/run_torch_audit.py:366,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_coerce,function,4,src/torch_tm_flowpipe/flowpipe.py:2406;src/torch_tm_flowpipe/polynomial.py:197;src/torch_tm_flowpipe/symbolic_remainder.py:732;src/torch_tm_flowpipe/taylor_model.py:189,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_combine_segments,function,3,experiments/flowstar_benchmark_parity.py:315;experiments/flowstar_checkpoint_replay.py:200;experiments/flowstar_one_step_oracle.py:197,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_common_time_summary,function,2,experiments/three_way_common_contract/collect_results.py:652;experiments/three_way_comparison_repair/collect_results.py:227,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_compile,function,5,experiments/first_order_three_way/run_flowstar.py:154;experiments/three_tool_deep_study/export_flowstar_segment.py:311;experiments/three_tool_deep_study/flowstar_adaptive_trajectory_audit.py:163;experiments/three_way_common_contract/run_flowstar.py:241;experiments/three_way_comparison_repair/run_flowstar_audit.py:346,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_component_missing,function,2,experiments/flowstar_box_lifecycle_alignment_audit.py:190;experiments/flowstar_validation_candidate_decomposition_audit.py:465,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_component_status,function,4,experiments/flowstar_internal_intermediate_ranges_audit.py:338;experiments/flowstar_raw_ctrunc_residual_audit.py:334;experiments/flowstar_raw_remainder_partition_audit.py:347;experiments/flowstar_validation_candidate_decomposition_audit.py:425,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_containment_failures,function,2,experiments/diagnose_van_der_pol.py:102;experiments/trajectory_visual_audit.py:357,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_contains,function,3,experiments/first_order_followup/tests/test_diffreach_projection.py:50;experiments/flowstar_raw_remainder_compat_experiment.py:113;experiments/three_way_comparison_repair/tests/test_torch_endpoint_semantics.py:27,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_copy_first_bounds,function,4,experiments/flowstar_internal_intermediate_ranges_audit.py:214;experiments/flowstar_raw_ctrunc_residual_audit.py:171;experiments/flowstar_raw_remainder_partition_audit.py:195;experiments/flowstar_validation_candidate_decomposition_audit.py:190,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_core,function,2,experiments/three_tool_deep_study/export_diffreach_segment.py:98;experiments/three_way_comparison_repair/run_diffreach_audit.py:108,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_delta,function,3,experiments/flowstar_picard_residual_source_audit.py:335;experiments/flowstar_same_source_endpoint_tube_compare.py:157;experiments/flowstar_validation_candidate_decomposition_audit.py:241,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_diag_status,function,2,experiments/flowstar_raw_remainder_compat_h5.py:376;experiments/flowstar_raw_remainder_compat_step_policy.py:109,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_display_path,function,3,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:130;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:88;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:289,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_dominant_component,function,2,experiments/flowstar_insertion_width_attribution.py:95;experiments/flowstar_style_failure_localization.py:494,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_dominant_operation,function,2,experiments/batched_dense_tm_flowpipe_demo.py:134;experiments/batched_tm_gpu_microbench.py:704,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_down,function,4,experiments/first_order_followup/diffreach_projection.py:46;experiments/three_tool_deep_study/common.py:118;src/torch_tm_flowpipe/batched_dense_tm.py:23;src/torch_tm_flowpipe/interval.py:36,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_dtype_from_name,function,2,experiments/batched_dense_tm_flowpipe_demo.py:80;experiments/batched_tm_gpu_microbench.py:142,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_execute,function,4,experiments/first_order_three_way/run_flowstar.py:190;experiments/three_tool_deep_study/flowstar_adaptive_trajectory_audit.py:209;experiments/three_way_common_contract/run_flowstar.py:278;experiments/three_way_comparison_repair/run_flowstar_audit.py:387,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_explicit_true,function,2,analysis/independent_audit.py:66;experiments/three_tool_deep_study/run_pareto.py:1320,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_failed_dimension,function,2,experiments/flowstar_normalized_insertion_h10_failure.py:136;experiments/flowstar_style_failure_localization.py:517,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_failure_summary,function,2,experiments/three_way_common_contract/collect_results.py:708;experiments/three_way_comparison_repair/collect_results.py:268,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_find_attempt,function,9,experiments/flowstar_acceptance_predicate_audit.py:103;experiments/flowstar_box_lifecycle_alignment_audit.py:148;experiments/flowstar_endpoint_pre_center_source_audit.py:124;experiments/flowstar_internal_intermediate_ranges_audit.py:182;experiments/flowstar_picard_residual_source_audit.py:139;experiments/flowstar_raw_ctrunc_residual_audit.py:139;experiments/flowstar_raw_remainder_partition_audit.py:163;experiments/flowstar_same_source_endpoint_tube_compare.py:131;experiments/flowstar_validation_candidate_decomposition_audit.py:147,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_find_row,function,2,experiments/flowstar_vdp_width_trajectory_audit.py:669;experiments/trajectory_visual_audit.py:960,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_finish_attempt_rows,function,2,experiments/flowstar_style_failure_localization.py:429;experiments/flowstar_style_rescue_vanderpol.py:711,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_finite,function,2,experiments/flowstar_normalized_insertion_h10_failure.py:101;experiments/flowstar_style_failure_localization.py:184,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_finite_box,function,2,experiments/first_order_three_way/run_torch.py:50;experiments/three_way_common_contract/run_torch.py:55,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_finite_float,function,9,experiments/flowstar_benchmark_failure_diagnostics.py:163;experiments/flowstar_checkpoint_replay.py:79;experiments/flowstar_insertion_width_attribution.py:54;experiments/flowstar_one_step_oracle.py:112;experiments/flowstar_queue_state_audit.py:127;experiments/flowstar_right_map_scaling_diagnostics.py:82;experiments/flowstar_style_rescue_vanderpol.py:652;experiments/flowstar_style_sample_containment.py:58;experiments/flowstar_symbolic_step_trace.py:82,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_finite_values,function,2,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:176;experiments/three_tool_deep_study/run_pareto.py:1326,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_first_present,function,15,experiments/flowstar_acceptance_predicate_audit.py:116;experiments/flowstar_box_lifecycle_alignment_audit.py:123;experiments/flowstar_endpoint_pre_center_source_audit.py:97;experiments/flowstar_internal_intermediate_ranges_audit.py:157;experiments/flowstar_picard_residual_source_audit.py:112;experiments/flowstar_raw_ctrunc_residual_audit.py:114;experiments/flowstar_raw_remainder_compat_experiment.py:101;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:116;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:323;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:156;experiments/flowstar_raw_remainder_partition_audit.py:138;experiments/flowstar_right_map_scaling_diagnostics.py:90;experiments/flowstar_same_source_endpoint_tube_compare.py:119;experiments/flowstar_step_trace_compare.py:652;experiments/flowstar_validation_candidate_decomposition_audit.py:122,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_first_ratio_crossing,function,2,experiments/flowstar_queue_state_audit.py:347;experiments/flowstar_style_rescue_vanderpol.py:3056,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_float,function,14,analysis/independent_audit.py:70;comparisons/flowstar/summarize_comparison.py:32;experiments/first_order_followup/run_torch_followup.py:63;experiments/first_order_three_way/collect_results.py:44;experiments/flowstar_raw_remainder_compat_experiment.py:77;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:106;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:254;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:146;experiments/flowstar_step_trace_compare.py:469;experiments/flowstar_vdp_width_trajectory_audit.py:605;experiments/flowstar_width_growth_diagnostics.py:110;experiments/three_tool_deep_study/run_pareto.py:43;experiments/three_way_common_contract/collect_results.py:48;experiments/three_way_comparison_repair/collect_results.py:35,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowpipe_tube_box,function,2,comparisons/flowstar/compare_against_torch_tm.py:140;experiments/tm_order_audit.py:95,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowstar_declared_failure,function,2,comparisons/flowstar/compare_against_torch_tm.py:269;experiments/trajectory_visual_audit.py:481,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowstar_expression,function,2,experiments/three_tool_deep_study/export_flowstar_segment.py:64;experiments/three_way_comparison_repair/run_flowstar_audit.py:67,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowstar_internal_runtime,function,2,comparisons/flowstar/compare_against_torch_tm.py:69;experiments/trajectory_visual_audit.py:473,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowstar_plot_paths,function,2,comparisons/flowstar/compare_against_torch_tm.py:283;experiments/trajectory_visual_audit.py:492,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_flowstar_rows,function,2,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:203;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:173,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_fmt,function,14,comparisons/flowstar/summarize_comparison.py:53;experiments/batched_dense_tm_flowpipe_demo.py:254;experiments/flowstar_benchmark_parity.py:161;experiments/flowstar_checkpoint_replay.py:53;experiments/flowstar_insertion_width_attribution.py:28;experiments/flowstar_normalized_insertion_h10_failure.py:95;experiments/flowstar_one_step_oracle.py:86;experiments/flowstar_queue_state_audit.py:121;experiments/flowstar_right_map_scaling_diagnostics.py:56;experiments/flowstar_style_rescue_vanderpol.py:644;experiments/flowstar_symbolic_step_trace.py:56;experiments/flowstar_width_growth_diagnostics.py:84;experiments/three_way_comparison_repair/generate_report.py:57;experiments/trajectory_visual_audit.py:231,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_fmt_box,function,3,experiments/flowstar_box_lifecycle_alignment_audit.py:323;experiments/flowstar_endpoint_pre_center_source_audit.py:410;experiments/flowstar_same_source_endpoint_tube_compare.py:418,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_fmt_interval,function,6,experiments/flowstar_endpoint_pre_center_source_audit.py:406;experiments/flowstar_internal_intermediate_ranges_audit.py:375;experiments/flowstar_picard_residual_source_audit.py:351;experiments/flowstar_raw_ctrunc_residual_audit.py:374;experiments/flowstar_raw_remainder_partition_audit.py:403;experiments/flowstar_validation_candidate_decomposition_audit.py:558,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_format,function,10,experiments/flowstar_acceptance_predicate_audit.py:63;experiments/flowstar_box_lifecycle_alignment_audit.py:101;experiments/flowstar_endpoint_pre_center_source_audit.py:75;experiments/flowstar_internal_intermediate_ranges_audit.py:135;experiments/flowstar_picard_residual_source_audit.py:85;experiments/flowstar_raw_ctrunc_residual_audit.py:92;experiments/flowstar_raw_remainder_compat_experiment.py:65;experiments/flowstar_raw_remainder_partition_audit.py:116;experiments/flowstar_same_source_endpoint_tube_compare.py:97;experiments/flowstar_validation_candidate_decomposition_audit.py:100,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_h_try,function,9,experiments/flowstar_box_lifecycle_alignment_audit.py:144;experiments/flowstar_endpoint_pre_center_source_audit.py:120;experiments/flowstar_internal_intermediate_ranges_audit.py:178;experiments/flowstar_picard_residual_source_audit.py:135;experiments/flowstar_raw_ctrunc_residual_audit.py:135;experiments/flowstar_raw_remainder_partition_audit.py:159;experiments/flowstar_same_source_endpoint_tube_compare.py:127;experiments/flowstar_step_trace_compare.py:691;experiments/flowstar_validation_candidate_decomposition_audit.py:143,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_handler,function,3,experiments/flowstar_benchmark_failure_diagnostics.py:132;experiments/flowstar_style_failure_localization.py:172;experiments/flowstar_style_rescue_vanderpol.py:699,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_has_bounds,function,4,experiments/flowstar_picard_residual_source_audit.py:156;experiments/flowstar_raw_ctrunc_residual_audit.py:157;experiments/flowstar_raw_remainder_partition_audit.py:181;experiments/flowstar_validation_candidate_decomposition_audit.py:164,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_initial_box,function,2,experiments/flowstar_benchmark_parity.py:658;experiments/flowstar_style_rescue_vanderpol.py:631,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_initial_carry,function,3,experiments/three_tool_deep_study/export_diffreach_segment.py:122;experiments/three_way_common_contract/run_diffreach.py:147;experiments/three_way_comparison_repair/run_diffreach_audit.py:127,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_bounds,function,2,experiments/flowstar_raw_remainder_compat_h5.py:158;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:300,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_hi,function,2,experiments/flowstar_raw_remainder_compat_experiment.py:136;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:304,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_tuple,function,3,experiments/flowstar_benchmark_parity.py:654;experiments/flowstar_style_rescue_vanderpol.py:682;experiments/trajectory_visual_audit.py:256,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_width,function,2,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:308;src/torch_tm_flowpipe/symbolic_remainder.py:493,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_width_float,function,2,src/torch_tm_flowpipe/flowpipe.py:715;src/torch_tm_flowpipe/taylor_model.py:20,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_interval_width_value,function,2,experiments/flowstar_style_failure_localization.py:212;src/torch_tm_flowpipe/flowpipe.py:213,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_is_rejected,function,2,experiments/flowstar_normalized_insertion_h10_failure.py:111;experiments/flowstar_style_failure_localization.py:438,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_linspace,function,3,comparisons/flowstar/compare_against_torch_tm.py:200;experiments/flowstar_style_sample_containment.py:62;experiments/trajectory_visual_audit.py:291,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_load_module,function,2,experiments/three_tool_deep_study/flowstar_correctness.py:29;experiments/three_tool_deep_study/run_controlled.py:490,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_local_box,function,2,experiments/flowstar_picard_residual_source_audit.py:202;experiments/flowstar_validation_candidate_decomposition_audit.py:249,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_make_breakdown_callback,function,2,experiments/flowstar_benchmark_stage2_diagnostics.py:403;experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:301,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_make_plots,function,3,experiments/flowstar_normalized_insertion_h10_failure.py:284;experiments/flowstar_style_failure_localization.py:812;experiments/flowstar_width_growth_diagnostics.py:317,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_markdown_table,function,4,comparisons/flowstar/summarize_comparison.py:200;experiments/batched_tm_gpu_microbench.py:779;experiments/flowstar_benchmark_stage2_diagnostics.py:1040;experiments/three_way_common_contract/generate_report.py:21,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_matching_component,function,3,experiments/flowstar_internal_intermediate_ranges_audit.py:297;experiments/flowstar_raw_ctrunc_residual_audit.py:286;experiments/flowstar_raw_remainder_partition_audit.py:303,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_max_field,function,5,experiments/flowstar_benchmark_failure_diagnostics.py:173;experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:150;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:167;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:377;experiments/flowstar_style_rescue_vanderpol.py:662,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_min_margin_row,function,2,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:167;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:149,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_mode_row,function,2,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:147;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:195,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_mode_segments,function,2,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:154;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:189,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_monomial_label,function,2,experiments/flowstar_style_failure_localization.py:228;src/torch_tm_flowpipe/flowpipe.py:317,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_multi_cases,function,2,experiments/three_tool_deep_study/run_native.py:55;experiments/three_tool_deep_study/run_pareto.py:62,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_native_samples,function,2,experiments/three_tool_deep_study/export_diffreach_segment.py:225;experiments/three_tool_deep_study/export_torch_segment.py:82,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_nearest_ratio,function,2,experiments/flowstar_insertion_width_attribution.py:81;experiments/flowstar_right_map_scaling_diagnostics.py:109,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_num,function,3,comparisons/flowstar/export_flowstar_model.py:34;experiments/flowstar_picard_residual_source_audit.py:323;experiments/flowstar_raw_remainder_compat_h5.py:169,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_number,function,5,experiments/first_order_followup/run_flowstar_audit.py:31;experiments/first_order_followup/run_flowstar_followup.py:55;experiments/three_tool_deep_study/export_flowstar_segment.py:58;experiments/three_way_common_contract/run_flowstar.py:69;experiments/three_way_comparison_repair/run_flowstar_audit.py:61,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_one_step,function,2,tests/test_flowstar_raw_remainder_compat.py:26;tests/test_flowstar_raw_remainder_compat_h5_right_map_centering.py:18,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_one_step_summary,function,2,experiments/three_way_common_contract/collect_results.py:595;experiments/three_way_comparison_repair/collect_results.py:196,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_parse,function,2,experiments/three_tool_deep_study/export_flowstar_segment.py:359;experiments/three_way_common_contract/run_flowstar.py:293,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_parse_devices,function,2,experiments/batched_dense_tm_flowpipe_demo.py:70;experiments/batched_tm_gpu_microbench.py:164,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
_parse_gnuplot_segments,function,3,experiments/flowstar_checkpoint_replay.py:175;experiments/flowstar_one_step_oracle.py:170;experiments/trajectory_visual_audit.py:501,name_collision_needs_semantic_review,retain unless call-graph review proves duplicate behavior
