run_id,mode,order,candidate_order,output_order,truncation_range_split,normal_eval_range_split,validation_mode,reset_mode,flowstar_symbolic_queue_max_size,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,selective_retained_terms_count,selective_dropped_terms_count,selective_nonretained_terms_count,selective_dropped_remainder_width_sum,selective_total_dropped_width_sum,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,reset_box_source,reset_width_x,reset_width_y,reset_width_sum,flowstar_queue_size_before,flowstar_queue_size_after,flowstar_queue_reset,flowstar_propagated_remainder_width_sum,flowstar_total_remainder_width_sum,queue_size,propagated_symbolic_width_x,propagated_symbolic_width_y,propagated_symbolic_width_sum,new_symbolic_width_x,new_symbolic_width_y,new_symbolic_width_sum,materialized_width_x,materialized_width_y,materialized_width_sum,materialized_for_output_width,ordinary_only_range_width,symbolic_contribution_width,total_range_width_with_symbolic,target_checked_width,linear_map_norm,scalars,symqueue_approximation,endpoint_box_width_x,endpoint_box_width_y,endpoint_box_width_sum,endpoint_tm_width_x,endpoint_tm_width_y,endpoint_tm_width_sum,inserted_endpoint_width_x,inserted_endpoint_width_y,inserted_endpoint_width_sum,normalized_reset_width_x,normalized_reset_width_y,normalized_reset_width_sum,normal_state_right_width_x,normal_state_right_width_y,normal_state_right_width_sum,insertion_truncation_width_x,insertion_truncation_width_y,insertion_truncation_width,insertion_truncation_width_sum,insertion_cutoff_width_x,insertion_cutoff_width_y,insertion_cutoff_width,insertion_cutoff_width_sum,insertion_truncation_ordinary_width,insertion_cutoff_ordinary_width,insertion_symbolic_candidate_width,composed_poly_range_width_x,composed_poly_range_width_y,composed_poly_range_width,composed_poly_range_width_sum,output_remainder_width_x,output_remainder_width_y,output_remainder_width,output_remainder_width_sum,scale_x,scale_y,center_x,center_y,tmv_right_degree,tmv_pre_degree,tmv_right_term_count,tmv_pre_term_count,terms_before_insertion_truncation,terms_after_insertion,step_rejections,next_h,message
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,75,validated,1,6.6859374999999934,6.7175781249999931,0.031640625000000006,1.08580310257601,1.7971511156709084,1.3261455986015029,3.0746803453751341,0.71134801309489837,1.7485347467736312,2.4598827598685293,normalized_insertion,0.69694802946848045,1.7520652533685017,2.4490132828369822,,,,,,,,,,,,,,,,,,,,,,,,,,2.4598827598685298,,,,,,2.3716388259255883,,,2.4490132828369826,,,,,,2.7416393114328225e-06,,,,9.8813129168249309e-324,,,,,,,0.35343872434794799,,,,2.0182001015776398,,0.34847401473423961,0.87603262668424964,1.4415377543442334,2.204138454132107,6,6,54,68,990,54,1,0.047460937500000008,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,76,validated,1,6.7175781249999931,6.7413085937499932,0.023730468750000004,1.1241287217928577,1.8612827295771148,1.1703851188588399,3.0442027024795362,0.7371540077842571,1.8738175836206963,2.6109715914049536,normalized_insertion,0.72493338884446024,1.8765612674565761,2.6014946563010364,,,,,,,,,,,,,,,,,,,,,,,,,,2.6109715914049536,,,,,,2.5212883981143257,,,2.6014946563010368,,,,,,2.2824647084284979e-06,,,,9.8813129168249309e-324,,,,,,,0.36226566744023686,,,,2.1590227306740881,,0.3624666944222294,0.93828063372828674,1.4927420446521036,2.1102940261018688,6,6,54,68,990,54,1,0.035595703125000003,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,77,validated,1,6.7413085937499932,6.7769042968749931,0.035595703125000003,1.1708943130282425,1.9593369390472686,0.92835356225638688,2.9803893317977113,0.78844262601902604,2.0520357695413245,2.8404783955603508,normalized_insertion,0.76899691707388529,2.0560582600805684,2.8250551771544536,,,,,,,,,,,,,,,,,,,,,,,,,,2.8404783955603512,,,,,,2.7417471549143659,,,2.8250551771544541,,,,,,3.4812389038034328e-06,,,,9.8813129168249309e-324,,,,,,,0.37005947934605471,,,,2.3716876755683107,,0.38449845853694181,1.0280291300402833,1.5651986822875428,1.9588926650288236,6,6,54,68,990,54,0,0.053393554687500004,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,78,validated,1,6.7769042968749931,6.8036010742187427,0.026696777343750002,1.2048875173091105,2.0268183538695221,0.73983965560361231,2.9305563622057997,0.82193083656041166,2.1907167066021875,3.0126475431625992,normalized_insertion,0.80606011886625062,2.1940604505544927,3.0001205694207433,,,,,,,,,,,,,,,,,,,,,,,,,,3.0126475431625996,,,,,,2.9154459578307894,,,3.0001205694207438,,,,,,2.4634181487313644e-06,,,,9.8813129168249309e-324,,,,,,,0.37156745106921846,,,,2.5438785067615695,,0.40303005943312448,1.0970302252772453,1.6159026190507462,1.8388426066629091,6,6,54,68,990,54,1,0.040045166015625001,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,79,validated,1,6.8036010742187427,6.8236236572265554,0.020022583007812501,1.2273403353792669,2.0761944095130138,0.5948258366701239,2.8918193642641508,0.84885407413374692,2.2969935275940268,3.1458476017277737,normalized_insertion,0.83639206117659715,2.2997531179530242,3.1361451791296213,,,,,,,,,,,,,,,,,,,,,,,,,,3.1458476017277741,,,,,,3.0509967752470404,,,3.1361451791296218,,,,,,1.6824518445026666e-06,,,,9.8813129168249309e-324,,,,,,,0.37031992384293044,,,,2.6806768514041095,,0.41819603058829774,1.149876558976511,1.651796561422443,1.7461981064241241,6,6,54,68,990,54,1,0.030033874511718753,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,80,validated,1,6.8236236572265554,6.853657531738274,0.030033874511718753,1.2506401322478418,2.1534694926288096,0.37740968814007853,2.8231546572428234,0.90282936038096784,2.4457449691027451,3.3485743294837129,normalized_insertion,0.88395858215915224,2.450100269168757,3.3340588513279092,,,,,,,,,,,,,,,,,,,,,,,,,,3.3485743294837134,,,,,,3.249071935167235,,,3.3340588513279097,,,,,,2.2690738038513083e-06,,,,9.8813129168249309e-324,,,,,,,0.36484914954340797,,,,2.8842227856238263,,0.44197929107957507,1.2250501345843774,1.7021212277105349,1.6046133529034436,6,6,54,68,990,54,0,0.045050811767578129,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,81,validated,1,6.853657531738274,6.8761829376220627,0.022525405883789065,1.268199206430108,2.2058427086496599,0.21309990172662638,2.7750716607010104,0.93764350221955195,2.561971758974384,3.4996152611939362,normalized_insertion,0.92313423347216661,2.5656656252958481,3.4887998587680147,,,,,,,,,,,,,,,,,,,,,,,,,,3.4996152611939366,,,,,,3.4045907867941865,,,3.4887998587680151,,,,,,1.6156094504863977e-06,,,,9.8813129168249309e-324,,,,,,,0.35815010432596639,,,,3.0464406824682193,,0.46156711673608236,1.2828328126479231,1.7370598568725351,1.4974961890705465,6,6,54,68,990,54,1,0.033788108825683595,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,82,validated,1,6.8761829376220627,6.9099710464477466,0.033788108825683595,1.2816601363257074,2.28805748647865,-0.028285003179770341,2.6927199082168194,1.0063973501529426,2.72100491139659,3.7274022615495328,normalized_insertion,0.9848830089826861,2.7284780795942045,3.7133610885768906,,,,,,,,,,,,,,,,,,,,,,,,,,3.7274022615495332,,,,,,3.6312861607745046,,,3.7133610885768911,,,,,,2.2393312780730537e-06,,,,9.8813129168249309e-324,,,,,,,0.34592521728915182,,,,3.2853609434853519,,0.49244150449134216,1.3642390397971014,1.7849472157061053,1.3373530874373638,6,6,54,68,990,54,0,0.050682163238525396,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,83,validated,1,6.9099710464477466,6.9353121280670091,0.025341081619262698,1.2912188984014554,2.3433450920449097,-0.20948698842909202,2.6394965130874479,1.0521261936434543,2.8489835015165399,3.9011096951599944,normalized_insertion,1.0359639391987114,2.8566747306539249,3.8926386698526363,,,,,,,,,,,,,,,,,,,,,,,,,,3.9011096951599948,,,,,,3.8128384029249691,,,3.8926386698526372,,,,,,1.4718131016590554e-06,,,,9.8813129168249309e-324,,,,,,,0.33578191096033322,,,,3.4770564919646354,,0.51798196959935472,1.4283373653269613,1.8173333803666762,1.2190230817246301,6,6,54,68,990,54,1,0.038011622428894047,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,84,validated,1,6.9353121280670091,6.9543179392814558,0.019005811214447024,1.295033371584617,2.3842509078959875,-0.34634928143560423,2.6040122721130796,1.0892175363113705,2.9503615535486838,4.0395790898600543,normalized_insertion,1.0771718460106789,2.9563057245785243,4.033477570589203,,,,,,,,,,,,,,,,,,,,,,,,,,4.0395790898600552,,,,,,3.9557088992530298,,,4.0334775705892039,,,,,,9.6099985911984077e-07,,,,9.8813129168249309e-324,,,,,,,0.32684544613488248,,,,3.6288634531181465,,0.53858592300533836,1.4781528622892612,1.8396715831866388,1.1319195368530262,6,6,54,68,990,54,1,0.028508716821670534,
flowstar_style_o6_candidate8_output6_insert,flowstar_style,6,8,6,,,target_remainder,normalized_insertion,,,0.0001,,,,,,,,85,validated,1,6.9543179392814558,6.9828266561031267,0.028508716821670534,1.2904681063401056,2.4496329262126029,-0.54405400049520802,2.5441765767456905,1.1591648198724973,3.0882305772408984,4.2473953971133955,normalized_insertion,1.1416264713749593,3.0973347073728617,4.2389611787478207,,,,,,,,,,,,,,,,,,,,,,,,,,4.2473953971133964,,,,,,4.1646788134338104,,,4.2389611787478216,,,,,,1.1805024856846982e-06,,,,9.8813129168249309e-324,,,,,,,0.31166157617282125,,,,3.8530172372609881,,0.57081323568747877,1.5486673536864297,1.870117224085236,1.0047212662619949,6,6,54,68,990,54,0,0.042763075232505804,
