step_index,prescribed_h,constant_status,range_midpoint_status,constant_h,range_midpoint_h,constant_h_delta,range_midpoint_h_delta,h_sequence_modified,constant_t_hi,range_midpoint_t_hi,constant_width_sum,range_midpoint_width_sum,width_reduction_absolute,width_reduction_relative,constant_reset_width_sum,range_midpoint_reset_width_sum,reset_width_reduction_absolute,reset_width_reduction_relative,constant_polynomial_range_width_sum,range_midpoint_polynomial_range_width_sum,constant_right_map_range_width_sum,range_midpoint_right_map_range_width_sum,constant_target_margin,range_midpoint_target_margin,range_midpoint_validation_failure_recorded,notes
32,0.01649513808230672,validated,validated,0.01649513808230672,0.01649513808230672,0,0,false,0.49429256872764055,0.49429256872764055,0.69903605566422622,0.68496097869445127,0.014075076969774947,0.020134979956650111,0.57945340816774049,0.56542799270903199,0.014025415458708501,0.024204561162315945,0.69895929224184328,0.68488611667947796,0.56545253487119407,0.5654279927090321,6.2456989616190372e-05,6.3511480139171323e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
33,0.018144651890537395,validated,validated,0.018144651890537395,0.018144651890537395,0,0,false,0.51243722061817798,0.51243722061817798,0.6871740749473213,0.67266364622864483,0.014510428718676471,0.021116088699633842,0.56014565634374458,0.54577151849272432,0.014374137851020263,0.02566142875202318,0.68708669428929758,0.67257866884268291,0.54579812952557183,0.54577151849272443,5.6995060610226553e-05,5.8333291384027379e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
34,0.019959117079591138,validated,validated,0.019959117079591138,0.019959117079591138,0,0,false,0.53239633769776917,0.53239633769776917,0.67290484682546481,0.65798424421390056,0.014920602611564249,0.022173421222858706,0.53876668161026497,0.5240852574383037,0.014681424171961277,0.027250059576960958,0.67280551752951323,0.657887942537146,0.52411447349048923,0.52408525743830381,5.0781310622003481e-05,5.2472879603750149e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
35,0.021955028787550252,validated,validated,0.021955028787550252,0.021955028787550252,0,0,false,0.55435136648531946,0.55435136648531946,0.6559648672664794,0.64067142296425428,0.015293444302225123,0.023314425917283631,0.51535699177094429,0.50042186485354545,0.014935126917398844,0.028980157746723488,0.65585223428834916,0.64056259307612251,0.50045419542757641,0.50042186485354556,4.3785486140381526e-05,4.591532815923386e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
36,0.024150531666305278,validated,validated,0.024150531666305278,0.024150531666305278,0,0,false,0.57850189815162478,0.57850189815162478,0.63619079279471147,0.62057520719595749,0.015615585598753978,0.024545444190030703,0.49062883767310755,0.47550633705060846,0.015122500622499091,0.030822690109737896,0.63606252163391486,0.62045174234149014,0.47554115619337678,0.47550633705060852,3.5501171956824144e-05,3.8193168461973123e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
37,0.026565584832935807,validated,validated,0.026565584832935807,0.026565584832935807,0,0,false,0.60506748298456059,0.60506748298456059,0.6141466175365643,0.59827443740567532,0.01587218013088898,0.025844284862391188,0.46425385625646515,0.44901710944673712,0.01523674680972803,0.032819860523271301,0.61400071325543981,0.5981344800330517,0.44905691773351653,0.44901710944673723,2.6065436944075989e-05,2.9399036262563828e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
38,0.029222143316229389,validated,validated,0.029222143316229389,0.029222143316229389,0,0,false,0.63428962630079,0.63428962630079,0.58923762210835018,0.57318330644192228,0.016054315666427899,0.027245910756655316,0.43610244186186603,0.42083291651305821,0.015269525348807822,0.035013620386111922,0.58907243711329482,0.57302540946901392,0.42087883617149291,0.42083291651305832,1.5660019769731136e-05,1.9745432194601473e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
39,0.032144357647852333,validated,validated,0.032144357647852333,0.032144357647852333,0,0,false,0.66643398394864228,0.66643398394864228,0.5610700689725403,0.54491970712119187,0.016150361851348438,0.028784928557896151,0.40646810632970853,0.39124967714237868,0.015218429187329852,0.037440647741708299,0.56088459651424372,0.54474305477458651,0.39130301908661957,0.39124967714237874,4.6422572958269517e-06,9.5827743973023096e-06,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
40,0.017679396706318785,validated,validated,0.017679396706318785,0.017679396706318785,0,0,false,0.68411338065496108,0.68411338065496108,0.46616339406086038,0.45029604909619009,0.015867344964670294,0.034038161654964094,0.39079461163219087,0.37564019428930973,0.015154417342881144,0.038778470561779951,0.46611298068256468,0.45024759310296203,0.37569502415716804,0.37564019428930978,7.5692734683633679e-05,7.6754652396905369e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
41,0.019447336376950664,validated,validated,0.019447336376950664,0.019447336376950664,0,0,false,0.7035607170319117,0.7035607170319117,0.45383529477371998,0.43798396107610982,0.015851333697610159,0.034927503171637536,0.37476443559711764,0.35969912580957009,0.015065309787547554,0.040199411567812662,0.4537776419042624,0.43792865333220943,0.3597553986855368,0.35969912580957014,7.2026064765218624e-05,7.330187770956133e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
