plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.0029694967029541552,,,0.4246224405108442,0.42759193721379835,,missing_or_stopped
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.0064061653054384715,,,0.4118290629925879,0.4182352282980264,,missing_or_stopped
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.10697101083327443,,,2.6381662446637466,2.745137255497021,,missing_or_stopped
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.00644940124876453,,,0.49394358864073856,0.5003929898895031,,missing_or_stopped
brusselator,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0060241918314943,0.09039941851354172,0.0898580961049924,1.5091610719940574,1.599560490507599,1.5094427193034845,1.599300815408477,0.0005413224085493162,
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.000000225897038,0.09039941851354172,0.09039939809258546,1.5091610719940574,1.599560490507599,1.5091610825021415,1.599560480594727,2.042095625931495e-08,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,1,1.0,1.039762790882167,0.06456522784185315,0.06209611308274843,1.9514172727742023,2.0159825006160554,1.9524580367434234,2.014554149826172,0.002469114759104718,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,5,5.0,1.0121098546361254,0.0030054568763693834,0.0029694967029541552,0.424600239808198,0.4276056966845674,0.4246224405108442,0.42759193721379835,3.596017341522817e-05,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,10,10.0,0.996843804205872,0.006385946193444958,0.0064061653054384715,0.41183081154619805,0.418216757739643,0.4118290629925879,0.4182352282980264,-2.021911199351356e-05,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,15,15.0,1.0170339532259727,0.10879315002834344,0.10697101083327443,2.637170903767081,2.7459640537954244,2.6381662446637466,2.745137255497021,0.001822139195069017,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,20,20.0,0.9829006023287863,0.0063391203720706835,0.00644940124876453,0.49400096720749515,0.5003400875795658,0.49394358864073856,0.5003929898895031,-0.00011028087669384679,
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,maximum_ratio_in_observed_prefix,,7.22,1.188031348232882,0.4278022121387637,0.36009337024236876,2.8001441086633325,3.227946320802096,2.8331684939635577,3.1932618642059265,0.06770884189639492,
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.06683214816425798,,,1.3486777358928028,1.4155098840570608,,missing_or_stopped
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.020397566302206904,,,4.279648730371721,4.300046296673928,,missing_or_stopped
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.030074885642284332,,,2.966673054915007,2.996747940557291,,missing_or_stopped
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.03652032617625056,,,0.9959187553531703,1.0324390815294209,,missing_or_stopped
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.015668851456530852,,,4.585384113214013,4.601052964670544,,missing_or_stopped
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.000000293505266,0.09950768555167144,0.09950765634565029,2.879988074876006,2.9794957604276773,2.879988090442659,2.9794957467883094,2.920602115707993e-08,
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.06262802437691439,,,1.3512892794467302,1.4139173038236446,,missing_or_stopped
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.020363635772260302,,,4.279634057865105,4.299997693637366,,missing_or_stopped
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.030091672057571017,,,2.9666411142264058,2.9967327862839768,,missing_or_stopped
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.032505630128470964,,,0.9979198876682178,1.0304255177966888,,missing_or_stopped
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.01591311730744671,,,4.585247908921097,4.601161026228544,,missing_or_stopped
