plant,view,range_kind,state,t_start,t_end,t_start_exact,t_end_exact,duration,candidate_eligible,ours_lo,ours_hi,ours_width,ours_missing_reason,flowstar_lo,flowstar_hi,flowstar_width,flowstar_missing_reason,strict_lo,strict_hi,strict_width,strict_missing_reason,parity_lo,parity_hi,parity_width,parity_missing_reason,strict_vs_ours,strict_vs_ours_absolute_width_difference,strict_vs_ours_lower_shift,strict_vs_ours_upper_shift,strict_vs_ours_center_shift,strict_vs_ours_disjoint,strict_vs_flowstar,strict_vs_flowstar_absolute_width_difference,strict_vs_flowstar_lower_shift,strict_vs_flowstar_upper_shift,strict_vs_flowstar_center_shift,strict_vs_flowstar_disjoint,strict_vs_parity,strict_vs_parity_absolute_width_difference,strict_vs_parity_lower_shift,strict_vs_parity_upper_shift,strict_vs_parity_center_shift,strict_vs_parity_disjoint,ours_vs_flowstar,ours_vs_flowstar_absolute_width_difference,ours_vs_flowstar_lower_shift,ours_vs_flowstar_upper_shift,ours_vs_flowstar_center_shift,ours_vs_flowstar_disjoint
brusselator,common,endpoint,y,2.34,2.36,674459080195005495/288230376151711744,340111843859019865/144115188075855872,0.02,False,2.584988389317437,2.6031605240438247,0.01817213472638768,,2.584838686765551,2.6031538431577124,0.018315156392161303,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9921910759203325,-0.00014302166577362385,0.00014970255188595516,6.680886112331308e-06,7.819171899936528e-05,False
brusselator,common,tube,x,2.34,2.36,674459080195005495/288230376151711744,340111843859019865/144115188075855872,0.02,False,0.5657922566570984,0.588278119195989,0.022485862538890622,,0.5661579636380774,0.588263142792631,0.022105179154553678,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0172214566403333,0.00038068338433694393,-0.0003657069809789304,1.4976403358013535e-05,-0.00017536528881045843,False
brusselator,common,tube,y,2.34,2.36,674459080195005495/288230376151711744,340111843859019865/144115188075855872,0.02,False,2.5674001644322946,2.6033437701621858,0.03594360572989119,,2.567374300015853,2.60321325114063,0.03583895112477675,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0029201358251272,0.00010465460511444036,2.5864416441478966e-05,0.00013051902155591932,7.81917189984771e-05,False
brusselator,published,endpoint,x,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,0.5576886265936158,0.5701358555775342,0.012447228983918368,,0.5577854212109024,0.5703825216272542,0.01259710041635187,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9881027039969486,-0.00014987143243350154,-9.679461728651084e-05,-0.0002466660497200124,-0.0001717303335032616,False
brusselator,published,endpoint,y,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,2.6023313885254624,2.6203897704751626,0.01805838194970022,,2.602187001451575,2.620378061048657,0.018191059597081782,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9927064365506864,-0.00013267764738156274,0.00014438707388730876,1.1709426505746023e-05,7.804825019652739e-05,False
brusselator,published,tube,x,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,0.5572779397340044,0.5791968706583712,0.02191893092436681,,0.5576379980692201,0.579180272990162,0.02154227492094185,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0174845045292222,0.00037665600342495775,-0.000360058335215685,1.6597668209272776e-05,-0.0001717303335032061,False
brusselator,published,tube,y,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,2.584866588368679,2.620568483989931,0.03570189562125181,,2.584841444972504,2.620437530885711,0.03559608591320673,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.002972509626566,0.00010580970804507928,2.514339617487593e-05,0.0001309531042199552,7.804825019719352e-05,False
brusselator,common,endpoint,x,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,0.557688626593617,0.5701358555775332,0.012447228983916259,,0.5577854212109055,0.5703825216272507,0.012597100416345208,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9881027039973036,-0.00014987143242894962,-9.679461728850924e-05,-0.00024666604971745887,-0.00017173033350303957,False
brusselator,common,endpoint,y,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,2.602331388525466,2.620389770475159,0.018058381949693114,,2.6021870014515875,2.6203780610486436,0.018191059597056025,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9927064365517013,-0.000132677647362911,0.00014438707387842697,1.1709426515515986e-05,7.804825019697148e-05,False
brusselator,common,tube,x,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,0.5572779397340087,0.579196870658367,0.02191893092435826,,0.557637998069223,0.5791802729901586,0.021542274920935633,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.017484504529119,0.0003766560034226263,-0.0003600583352142417,1.6597668208384597e-05,-0.00017173033350298406,False
