plant,view,range_kind,state,comparison,scope,requested_duration,compared_duration,ratio_duration,near_zero_denominator_duration,missing_duration,full_requested_coverage,max_absolute_width_difference,max_absolute_lower_shift,max_absolute_upper_shift,max_absolute_center_shift,disjoint_duration,duration_above_1_10_plus_1e_12,max_ratio,max_at_time,weighted_median,weighted_p95,worst_numerator_width,worst_denominator_width
brusselator,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.042095625931495e-08,1.0508084180571586e-08,9.912872078743362e-09,2.976060509141121e-10,0.0,0.0,1.000000225897038,0.04,1.0000000979474255,1.000000225897038,0.09039941851354172,0.09039939809258546
brusselator,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.06770884189639492,0.03302438530022522,0.0346844565961697,0.0010773608415488578,0.0,0.88,1.188031348232882,7.22,1.0059264665189103,1.0887618799827845,0.4278022121387637,0.36009337024236876
brusselator,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.920602115707993e-08,1.5566653299714517e-08,1.3639367857365414e-08,9.636427211745513e-10,0.0,0.0,1.000000293505266,0.04,1.0000001138537922,1.000000293505266,0.09950768555167144,0.09950765634565029
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0005469146369345701,0.0002621038583674462,0.0002848107785671239,1.1353460099838841e-05,0.0,0.0,1.0055265801981856,0.04,1.000000097055058,1.0055265801981856,0.09950768555167144,0.09896077091473687
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,2.2875862537574676e-08,1.1031914048942326e-08,1.184394848863235e-08,4.060172198450118e-10,0.0,0.0,1.000000229890462,0.04,1.0000000970550484,1.000000229890462,0.09950768555167144,0.0995076626758089
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.07448944146148118,0.038027277130166626,0.03646216433131455,0.0010796627674179993,0.0,1.84,1.203184042597489,7.640000000000001,1.002040626711036,1.1376513543870026,0.02503050192904288,0.020803552110785883
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.00029619013546056117,0.00013925165408346096,0.0001569384813771002,8.84341364681962e-06,0.0,0.0,1.0000246171506997,0.02,0.9944304934028803,1.0000246171506997,0.046096055565520766,0.04609492083990796
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.00024224342620882133,0.00014095216688336798,0.00010129125932545335,1.9830453778957313e-05,0.0,0.0,1.0046016926146022,0.04,1.0000001738885405,1.0046016926146022,0.0528844875952621,0.052642244169053276
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,1.8360267044492673e-06,9.070888491446993e-07,9.28937855304568e-07,1.0924503079934311e-08,0.0,0.0,1.0000347188851162,0.04,1.0000001738885405,1.0000347188851162,0.0528844875952621,0.05288265156855765
brusselator,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.06491698348674335,0.031807801325931084,0.03310918216081227,0.0010773608415481917,0.0,1.16,1.3566840773379207,7.2,0.9957775274699616,1.1100877952904995,0.24691833317200373,0.18200134968526038
brusselator,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.004035393902227735,0.002007797944267864,0.0020275959579598712,9.899006846003644e-06,0.0,0.0,1.0886755370416903,0.02,1.0860708663956957,1.0886755370416903,0.04695571939209486,0.04313105034002129
brusselator,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0002566022679157953,0.00010704770337000014,0.0001495545645457952,2.1253430587897526e-05,0.0,0.0,1.005064850756422,0.04,1.0000001923297106,1.005064850756422,0.05091994463598848,0.050663342368072684
brusselator,common,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,1.9476470454193873e-06,9.857959262227212e-07,9.61851119196666e-07,1.197240351302753e-08,0.0,0.0,1.0000382506610745,0.04,1.0000001923297106,1.0000382506610745,0.05091994463598848,0.05091799698894306
brusselator,common,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.05304501805278483,0.025553718822529214,0.02753188411384233,0.0010796627674181103,0.0,0.0,1.0384547887179838,13.46,0.9911242518771443,1.006144034377416,0.0007228037089834771,0.0006960377253166783
brusselator,common,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.000299051166559261,0.00014068216963258884,0.00015836899692667217,8.843413647041665e-06,0.0,0.0,1.000000123652685,0.02,0.9966918895774515,1.000000123652685,0.08183546143287024,0.08183545131369696
brusselator,common,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.00024224342620904338,0.00014095216688359002,0.00010129125932545335,1.9830453779068336e-05,0.0,0.0,1.0026958441888867,0.04,1.0000000979474581,1.0026958441888867,0.09010033953119123,0.08985809610498219
brusselator,common,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,1.8360267044492673e-06,9.070888491446993e-07,9.28937855304568e-07,1.0924503079934311e-08,0.0,0.0,1.000020377993341,0.04,1.0000000979474581,1.000020377993341,0.09010033953119123,0.09009850350448678
brusselator,common,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.06770884189638693,0.03302438530022167,0.03468445659616526,0.0010773608415479696,0.0,0.88,1.1880313482328728,7.22,1.0059264665171281,1.0887618799826841,0.4278022121387308,0.3600933702423439
brusselator,common,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0002902831629798541,0.00015504058833615275,0.00013524257464370137,9.899006846225689e-06,0.0,0.0,1.0000001138540642,0.02,0.9970828057494227,1.0000001138540642,0.09305003809223056,0.09305002749810676
brusselator,common,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,0.0002566022679157953,0.00010704770337000014,0.0001495545645457952,2.1253430587897526e-05,0.0,0.0,1.0025929695731346,0.04,1.0000000970550817,1.0025929695731346,0.09921737318263357,0.09896077091471778
brusselator,common,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,20.0,0.04,0.04,0.0,19.96,False,1.9476470454193873e-06,9.857959262227212e-07,9.61851119196666e-07,1.197240351302753e-08,0.0,0.0,1.0000196304862365,0.04,1.0000000970550817,1.0000196304862365,0.09921737318263357,0.09921542553558815
brusselator,common,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,20.0,20.0,20.0,0.0,0.0,True,0.0744894414614703,0.03802727713016196,0.03646216433130833,0.0010796627674181103,0.0,1.84,1.2031840425974492,7.640000000000001,1.0020406267107396,1.1376513543869822,0.025030501929034443,0.020803552110779555
van_der_pol,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.00022146865234651258,0.00011062740323675158,0.00011084124910976101,1.069229366157387e-07,0.0,0.0,1.0007333094639497,0.02,1.0007206626100522,1.0007333094639497,0.3022340066518898,0.3020125379995433
van_der_pol,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.0963323953561144e-05,1.5611113413083189e-06,9.402212612252825e-06,3.920550635583275e-06,0.0,0.0,1.000036275605701,0.02,1.0000021656609985,1.000036275605701,0.3022340066518898,0.30222304332793626
van_der_pol,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.1644499393614893e-06,4.584402955032374e-07,7.060096438582519e-07,1.2378467428852957e-07,0.0,0.0,1.0000038528239714,0.02,1.000002165660997,1.0000038528239714,0.3022340066518898,0.30223284220195046
van_der_pol,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.0375709630821619,0.03668045274109333,0.03570088001896621,0.01815902783205292,0.0,8.53,1.2781452841150829,2.85,1.1975754660339668,1.2678663697581074,0.15484892860151897,0.12115127327542252
van_der_pol,published,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0017637711193145833,0.0008836105078833256,0.0008801606114312577,1.7249482258119286e-06,0.0,0.0,1.012316945411013,0.02,1.0109400650358196,1.012316945411013,0.14496251565036866,0.14319874453105408
van_der_pol,published,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0009195632582406077,0.0002262912605863754,0.0006932719976542323,0.0002334903685341505,0.0,0.0,1.0063839517516782,0.02,1.000019708412973,1.0063839517516782,0.14496251565036866,0.14404295239212805
van_der_pol,published,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,5.266998853503679e-06,2.672196772746105e-06,2.5948020807575745e-06,3.8697345772220615e-08,0.0,0.0,1.000036334842876,0.02,1.0000197084129656,1.000036334842876,0.14496251565036866,0.14495724865151516
van_der_pol,published,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.06799630516002853,0.06319617035611724,0.06522485146653456,0.03221317121473455,0.0,8.23,1.2661819569291741,3.49,1.1653677561304818,1.2513914221438718,0.3234467719928389,0.25545046683281036
van_der_pol,published,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.3413842678833277e-06,5.637691975479697e-07,7.776150703353579e-07,1.069229363936941e-07,0.0,0.0,1.000004113348872,0.02,1.0000021180791177,1.000004113348872,0.32610649551103377,0.3261051541267659
van_der_pol,published,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.0963323953561144e-05,1.5611113413083189e-06,9.402212612252825e-06,3.920550635472253e-06,0.0,0.0,1.0000336199759623,0.02,1.0000020049731952,1.0000336199759623,0.32610649551103377,0.3260955321870802
van_der_pol,published,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.1644499393614893e-06,4.584402955032374e-07,7.060096438582519e-07,1.2378467417750727e-07,0.0,0.0,1.0000035707786057,0.02,1.000002004973194,1.0000035707786057,0.32610649551103377,0.3261053310610944
van_der_pol,published,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.0376481829105505,0.03672509165785143,0.0357503046040577,0.018159027832053087,0.0,8.44,1.234767018508107,2.85,1.1740512670457222,1.227078243829322,0.17734224000020368,0.14362404999647252
van_der_pol,published,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.6215835277666457e-05,9.832865864645157e-06,6.3829694130213e-06,1.7249482258119286e-06,0.0,0.0,1.00009361379379,0.02,1.0000407917313159,1.00009361379379,0.17323679179068474,0.17322057595540707
van_der_pol,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0009195632582406077,0.0002262912605863754,0.0006932719976542323,0.00023349036853392846,0.0,0.0,1.0053364557106226,0.02,1.0000161768562092,1.0053364557106226,0.17323679179068474,0.17231722853244413
van_der_pol,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,5.266998853503679e-06,2.672196772746105e-06,2.5948020807575745e-06,3.869734599426522e-08,0.0,0.0,1.0000304043900776,0.02,1.0000161768562033,1.0000304043900776,0.17323679179068474,0.17323152479183124
