step_index,t_flowstar,t_noqueue,t_v2,flowstar_h,noqueue_h,v2_h,flowstar_width_sum,noqueue_width_sum,v2_width_sum,noqueue_width_ratio,v2_width_ratio,flowstar_residual_sum,noqueue_residual_sum,v2_residual_sum,noqueue_residual_ratio,v2_residual_ratio,center_scale_delta_noqueue,center_scale_delta_v2,inserted_endpoint_ratio_noqueue,inserted_endpoint_ratio_v2,right_map_ratio_noqueue,right_map_ratio_v2,target_remainder_ratio_noqueue,target_remainder_ratio_v2,picard_residual_ratio_noqueue,picard_residual_ratio_v2,cutoff_poly_ratio_noqueue,cutoff_poly_ratio_v2,symbolic_queue_ratio_v2,first_material_channel,channel_attribution_valid,comparison_kind,alignment_warning,notes
0,9.9999999999999998e-13,0,0,0.012500000000000001,0.025000000000000001,0.025000000000000001,0.49368286020791841,0.45483193066960526,0.45483193066960526,0.92130387204054287,0.92130387204054287,2.3804823442195511e-05,0.000118611214130067,0.000118611214130067,4.9826546463613477,4.9826546463613477,7.0270468351595721,7.0270468351595721,0.92125194910437069,0.92125194910437069,0.11370798266739884,0.11370798266739884,1,1,4.9826546463613477,4.9826546463613477,339432.27657498454,339432.27657498454,,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; v2_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001","noqueue_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; v2_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; channel attribution marked invalid/noncausal"
11,0.16404235663287503,0.22123069763183595,0.22123069763183595,0.01783197941318751,0.016894054412841798,0.016894054412841798,0.82813805886430858,0.74283072223252045,0.74283072223252045,0.89698899148678557,0.89698899148678557,0.00011426935860583592,9.1738893318100477e-05,9.1738893318100477e-05,0.80283021133029464,0.80283021133029464,0.74235607006587134,0.74235607006587134,0.84951219247804444,0.84951219247804444,0.18093783901616742,0.18093783901616742,1,1,0.80283021133029464,0.80283021133029464,85999.425204962114,85999.425204962114,15.734438986918381,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; v2_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; noqueue_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798; v2_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798","noqueue_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; v2_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; noqueue_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798; v2_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798; channel attribution marked invalid/noncausal"
12,0.18187433604606254,0.23812475204467776,0.23812475204467776,0.0098075886772531311,0.025341081619262698,0.025341081619262698,0.77309484010302887,0.7573640099742297,0.7573640099742297,0.97965213410724261,0.97965213410724261,2.692632656321891e-05,0.00020671474570472062,0.00020671474570472062,7.6770496420811769,7.6770496420811769,0.65317726167488033,0.65317726167488033,0.92285425707094226,0.92285425707094226,0.18167371958859882,0.18167371958859882,1,1,7.6770496420811769,7.6770496420811769,146150.22501449205,146150.22501449205,13.949206394512235,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; v2_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; noqueue_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698; v2_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698","noqueue_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; v2_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; noqueue_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698; v2_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698; channel attribution marked invalid/noncausal"
13,0.19168192472331566,0.26346583366394044,0.26346583366394044,0.010788347544978445,0.019005811214447024,0.019005811214447024,0.78704903274797577,0.75113129906697351,0.75113129906697351,0.95436404571187161,0.95436404571187161,3.3768727763658371e-05,0.00011121415243519973,0.00011121415243519973,3.2934066457454017,3.2934066457454017,0.79318173389837732,0.79318173389837732,0.90332326988128731,0.90332326988128731,0.18126358907686152,0.18126358907686152,1,1,3.2934066457454017,3.2934066457454017,144593.41037462885,144593.41037462885,57.805277005071375,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; v2_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; noqueue_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024; v2_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024","noqueue_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; v2_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; noqueue_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024; v2_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024; channel attribution marked invalid/noncausal"
14,0.20247027226829412,0.28247164487838744,0.28247164487838744,0.01186718229947629,0.014254358410835267,0.014254358410835267,0.80179717961214525,0.74381411518800089,0.74381411518800089,0.92768362636023161,0.92768362636023161,4.265531756379105e-05,6.3769450687044168e-05,6.3769450687044168e-05,1.4949941608493929,1.4949941608493929,0.88397391129271785,0.88397391129271785,0.88012107897431913,0.88012107897431913,0.18059856019819676,0.18059856019819676,1,1,1.4949941608493929,1.4949941608493929,131661.06878970523,131661.06878970523,48.71600736359747,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; v2_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; noqueue_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267; v2_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267","noqueue_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; v2_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; noqueue_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267; v2_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267; channel attribution marked invalid/noncausal"
15,0.2143374545677704,0.29672600328922272,0.29672600328922272,0.01305390052942392,0.021381537616252902,0.021381537616252902,0.8163993622063308,0.74555778715946153,0.74555778715946153,0.91322681235882042,0.91322681235882042,5.3884070525804605e-05,0.00013356761827252027,0.00013356761827252027,2.4787959960923129,2.4787959960923129,1.053524425291573,1.053524425291573,0.8521825826828836,0.8521825826828836,0.17887499998400205,0.17887499998400205,1,1,2.4787959960923129,2.4787959960923129,120046.23165892399,120046.23165892399,42.053966840107122,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; v2_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; noqueue_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902; v2_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902","noqueue_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; v2_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; noqueue_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902; v2_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902; channel attribution marked invalid/noncausal"
16,0.22739135509719433,0.31810754090547561,0.31810754090547561,0.014359290582366313,0.016036153212189676,0.016036153212189676,0.83025362680872483,0.73270875452289097,0.73270875452289097,0.88251195883266353,0.88251195883266353,6.7950824961686296e-05,7.3597588616351387e-05,7.3597588616351387e-05,1.0831007373030275,1.0831007373030275,1.1493925133743064,1.1493925133743064,0.82521705747958762,0.82521705747958762,0.17708583718095097,0.17708583718095097,1,1,1.0831007373030275,1.0831007373030275,75370.255538581026,75370.255538581026,34.998799269749696,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; v2_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; noqueue_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676; v2_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676","noqueue_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; v2_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; noqueue_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676; v2_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676; channel attribution marked invalid/noncausal"
17,0.24175064567956064,0.33414369411766526,0.33414369411766526,0.015795219640602945,0.024054229818284513,0.024054229818284513,0.84291346597071182,0.72830699357074125,0.72830699357074125,0.86403530489575464,0.86403530489575464,8.5400084640746901e-05,0.00015668311342725431,0.00015668311342725431,1.8346950601556684,1.8346950601556684,1.3460356336694161,1.3460356336694161,0.79196492047017752,0.79196492047017752,0.17357583504974078,0.17357583504974078,1,1,1.8346950601556684,1.8346950601556684,97344.886789838216,97344.886789838216,30.203086899984246,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.24175064567956064, torch=0.33414369411766526; v2_t differs: Flow*=0.24175064567956064, torch=0.33414369411766526; noqueue_h differs: Flow*=0.015795219640602945, torch=0.024054229818284513; v2_h differs: Flow*=0.015795219640602945, torch=0.024054229818284513","noqueue_t differs: Flow*=0.24175064567956064, torch=0.33414369411766526; v2_t differs: Flow*=0.24175064567956064, torch=0.33414369411766526; noqueue_h differs: Flow*=0.015795219640602945, torch=0.024054229818284513; v2_h differs: Flow*=0.015795219640602945, torch=0.024054229818284513; channel attribution marked invalid/noncausal"
18,0.2575458653201636,0.35819792393594979,0.35819792393594979,0.017374741604663242,0.018040672363713386,0.018040672363713386,0.85396782300197516,0.7092840056611317,0.7092840056611317,0.83057462653307856,0.83057462653307856,0.00010676273915938349,8.2779102266182571e-05,8.2779102266182571e-05,0.77535573663582824,0.77535573663582824,1.4539355346793217,1.4539355346793217,0.76251410354765936,0.76251410354765936,0.17043286137443719,0.17043286137443719,1,1,0.77535573663582824,0.77535573663582824,124849.90968310148,124849.90968310148,25.144829527687488,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.2575458653201636, torch=0.35819792393594979; v2_t differs: Flow*=0.2575458653201636, torch=0.35819792393594979; noqueue_h differs: Flow*=0.017374741604663242, torch=0.018040672363713386; v2_h differs: Flow*=0.017374741604663242, torch=0.018040672363713386","noqueue_t differs: Flow*=0.2575458653201636, torch=0.35819792393594979; v2_t differs: Flow*=0.2575458653201636, torch=0.35819792393594979; noqueue_h differs: Flow*=0.017374741604663242, torch=0.018040672363713386; v2_h differs: Flow*=0.017374741604663242, torch=0.018040672363713386; channel attribution marked invalid/noncausal"
19,0.27492060692482684,0.37623859629966316,0.37623859629966316,0.019112215765129569,0.02706100854557008,0.02706100854557008,0.86242311080693745,0.69745339087904001,0.69745339087904001,0.8087137069256628,0.8087137069256628,0.00013320008352050999,0.00017811238182988077,0.00017811238182988077,1.3371792053152523,1.3371792053152523,1.6866071609984052,1.6866071609984052,0.72532925326583086,0.72532925326583086,0.16493971352610659,0.16493971352610659,1,1,1.3371792053152523,1.3371792053152523,74290.432932842552,74290.432932842552,21.77957222432385,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.27492060692482684, torch=0.37623859629966316; v2_t differs: Flow*=0.27492060692482684, torch=0.37623859629966316; noqueue_h differs: Flow*=0.019112215765129569, torch=0.02706100854557008; v2_h differs: Flow*=0.019112215765129569, torch=0.02706100854557008","noqueue_t differs: Flow*=0.27492060692482684, torch=0.37623859629966316; v2_t differs: Flow*=0.27492060692482684, torch=0.37623859629966316; noqueue_h differs: Flow*=0.019112215765129569, torch=0.02706100854557008; v2_h differs: Flow*=0.019112215765129569, torch=0.02706100854557008; channel attribution marked invalid/noncausal"
20,0.2940328226899564,0.40329960484523325,0.40329960484523325,0.010511718670821265,0.020295756409177558,0.020295756409177558,0.79321333071122901,0.67171329537665303,0.67171329537665303,0.84682552520185983,0.84682552520185983,2.9279664977966438e-05,9.0334132755202684e-05,9.0334132755202684e-05,3.0852174307042453,3.0852174307042453,1.7996342189166192,1.7996342189166192,0.77717594630568343,0.77717594630568343,0.16037823362500617,0.16037823362500617,1,1,3.0852174307042453,3.0852174307042453,149795.97600230027,149795.97600230027,18.15533958927902,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.2940328226899564, torch=0.40329960484523325; v2_t differs: Flow*=0.2940328226899564, torch=0.40329960484523325; noqueue_h differs: Flow*=0.010511718670821265, torch=0.020295756409177558; v2_h differs: Flow*=0.010511718670821265, torch=0.020295756409177558","noqueue_t differs: Flow*=0.2940328226899564, torch=0.40329960484523325; v2_t differs: Flow*=0.2940328226899564, torch=0.40329960484523325; noqueue_h differs: Flow*=0.010511718670821265, torch=0.020295756409177558; v2_h differs: Flow*=0.010511718670821265, torch=0.020295756409177558; channel attribution marked invalid/noncausal"
