plant,step,t_end_exact,view,kind,component,reference_lo_hex,reference_hi_hex,optimized_lo_hex,optimized_hi_hex,bit_identical,width_ratio
brusselator,7,40352252661239645/288230376151711744,published,endpoint,x,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,endpoint,y,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,tube,x,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,tube,y,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,True,1.0
brusselator,7,40352252661239645/288230376151711744,common,endpoint,x,0x1.bb3e81f30f1b6p+0,0x1.d3f1ade8ba68dp+0,0x1.bb3e81f30f1b6p+0,0x1.d3f1ade8ba68dp+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,common,endpoint,y,0x1.4c854ec9c30d7p+1,0x1.55270417aaac1p+1,0x1.4c854ec9c30d7p+1,0x1.55270417aaac1p+1,True,1.0
brusselator,7,40352252661239645/288230376151711744,common,tube,x,0x1.b0050da03b53ap+0,0x1.d3f43441e02a0p+0,0x1.b0050da03b53ap+0,0x1.d3f43441e02a0p+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,common,tube,y,0x1.4c0679324712ap+1,0x1.5d31d4f9bcd33p+1,0x1.4c0679324712ap+1,0x1.5d31d4f9bcd33p+1,True,1.0
brusselator,8,5764607523034235/36028797018963968,published,endpoint,x,0x1.c56d97223e90bp+0,0x1.e0af422b3aa26p+0,0x1.c56d97223e90bp+0,0x1.e0af422b3aa26p+0,True,1.0
brusselator,8,5764607523034235/36028797018963968,published,endpoint,y,0x1.447826c3065fep+1,0x1.4da2bc2633ff1p+1,0x1.447826c3065fep+1,0x1.4da2bc2633ff1p+1,True,1.0
