window,plant,rank,file,line,function,primitive_calls,total_calls,self_seconds,self_fraction,cprofile_total_seconds,production_speed_denominator
brusselator_0001_0020,brusselator,17,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,4080,4080,0.644736272,0.019901670919290588,32.39608747499992,False
brusselator_0001_0020,brusselator,18,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,81468,81468,0.5305153770000001,0.016375908893609424,32.39608747499992,False
brusselator_0001_0020,brusselator,19,~,0,<built-in method torch.abs>,188449,188449,0.463644447,0.01431174203853458,32.39608747499992,False
brusselator_0001_0020,brusselator,20,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,61684,61684,0.45999453,0.014199076674150173,32.39608747499992,False
brusselator_0001_0020,brusselator,21,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,27520,27520,0.42206954500000005,0.013028411079754965,32.39608747499992,False
brusselator_0001_0020,brusselator,22,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,20500,20500,0.403860747,0.012466343267891826,32.39608747499992,False
brusselator_0001_0020,brusselator,23,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,4272,4272,0.38976639,0.01203127971242771,32.39608747499992,False
brusselator_0001_0020,brusselator,24,~,0,<built-in method torch.isfinite>,44953,44953,0.377787225,0.011661507745079977,32.39608747499992,False
brusselator_0001_0020,brusselator,25,~,0,<built-in method torch.where>,105891,105891,0.370316951,0.011430915887166122,32.39608747499992,False
brusselator_0101_0120,brusselator,1,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,264870,264870,3.041818333,0.09250919516469949,32.88125388599992,False
brusselator_0101_0120,brusselator,2,~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1320622,1320622,2.5533685040000003,0.07765423158291314,32.88125388599992,False
brusselator_0101_0120,brusselator,3,~,0,<built-in method torch.any>,807622,807622,1.9136136680000002,0.05819770969302278,32.88125388599992,False
brusselator_0101_0120,brusselator,4,~,0,<built-in method torch.stack>,215909,215909,1.415547536,0.043050290627837266,32.88125388599992,False
brusselator_0101_0120,brusselator,5,~,0,<built-in method torch.min>,172989,172989,1.2645149580000001,0.0384570175573019,32.88125388599992,False
brusselator_0101_0120,brusselator,6,~,0,<built-in method torch.full_like>,497022,497022,1.225314052,0.037264821355298454,32.88125388599992,False
brusselator_0101_0120,brusselator,7,~,0,<built-in method torch.max>,186269,186269,1.150283231,0.03498294909884091,32.88125388599992,False
brusselator_0101_0120,brusselator,8,~,0,<built-in method torch.nextafter>,496762,496762,1.1270005200000002,0.03427486445338543,32.88125388599992,False
brusselator_0101_0120,brusselator,9,~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,704372,704372,1.094280277,0.03327976119140394,32.88125388599992,False
brusselator_0101_0120,brusselator,10,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,75942,75942,1.015793629,0.030892788715472363,32.88125388599992,False
brusselator_0101_0120,brusselator,11,~,0,<built-in method torch.isnan>,529740,529740,1.0113276370000002,0.030756966887768238,32.88125388599992,False
brusselator_0101_0120,brusselator,12,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,529780,529780,0.9203766910000001,0.027990924378704284,32.88125388599992,False
brusselator_0101_0120,brusselator,13,~,0,<method 'pow' of 'torch._C.TensorBase' objects>,314512,314512,0.88282905,0.02684900804150563,32.88125388599992,False
brusselator_0101_0120,brusselator,14,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,66326,66326,0.809528384,0.024619754064326562,32.88125388599992,False
brusselator_0101_0120,brusselator,15,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,12240,12240,0.793842684,0.024142713253949236,32.88125388599992,False
brusselator_0101_0120,brusselator,16,~,0,<built-in method torch.all>,231221,231221,0.658817626,0.020036268333444227,32.88125388599992,False
brusselator_0101_0120,brusselator,17,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,4080,4080,0.6417477690000001,0.01951713189603276,32.88125388599992,False
brusselator_0101_0120,brusselator,18,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,31200,31200,0.47908532000000004,0.014570165774729886,32.88125388599992,False
brusselator_0101_0120,brusselator,19,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,73784,73784,0.476139032,0.01448056189252348,32.88125388599992,False
brusselator_0101_0120,brusselator,20,~,0,<built-in method torch.abs>,187653,187653,0.460445201,0.014003273798389027,32.88125388599992,False
brusselator_0101_0120,brusselator,21,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,56043,56043,0.42031776600000004,0.012782899565121563,32.88125388599992,False
brusselator_0101_0120,brusselator,22,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,21620,21620,0.41695928800000004,0.012680759968753251,32.88125388599992,False
brusselator_0101_0120,brusselator,23,~,0,<built-in method torch.where>,106459,106459,0.36978059100000005,0.011245939473051669,32.88125388599992,False
brusselator_0101_0120,brusselator,24,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,3040,3040,0.366886172,0.011157913055019222,32.88125388599992,False
brusselator_0101_0120,brusselator,25,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,520,_monomial_interval_bounds_for_exponents,4080,4080,0.36661020600000005,0.011149520248560054,32.88125388599992,False
brusselator_0981_1000,brusselator,1,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,289807,289807,3.2643756170000002,0.08106421940380314,40.26900698,False
brusselator_0981_1000,brusselator,2,~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1413363,1413363,2.739671597,0.0680342477369925,40.26900698,False
brusselator_0981_1000,brusselator,3,~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,1779439,1779439,2.656691449,0.06597360223755883,40.26900698,False
brusselator_0981_1000,brusselator,4,~,0,<built-in method torch.stack>,338830,338830,2.2797844090000003,0.05661387205630071,40.26900698,False
brusselator_0981_1000,brusselator,5,~,0,<built-in method torch.any>,882433,882433,2.092091399,0.0519528927057739,40.26900698,False
brusselator_0981_1000,brusselator,6,~,0,<built-in method torch.max>,168520,168520,1.167343778,0.028988640782221742,40.26900698,False
brusselator_0981_1000,brusselator,7,~,0,<built-in method torch.full_like>,463183,463183,1.152572388,0.028621822946178845,40.26900698,False
brusselator_0981_1000,brusselator,8,~,0,<built-in method torch.min>,155160,155160,1.143694964,0.028401369931173804,40.26900698,False
brusselator_0981_1000,brusselator,9,~,0,<built-in method torch.isnan>,579614,579614,1.0966205230000001,0.027232370630461473,40.26900698,False
brusselator_0981_1000,brusselator,10,~,0,<built-in method torch.nextafter>,462923,462923,1.042126565,0.025879122510211947,40.26900698,False
brusselator_0981_1000,brusselator,11,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,579654,579654,1.00055914,0.024846878903592967,40.26900698,False
brusselator_0981_1000,brusselator,12,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,542,<genexpr>,582433,582433,0.839974069,0.020859070833735272,40.26900698,False
brusselator_0981_1000,brusselator,13,~,0,<method 'pow' of 'torch._C.TensorBase' objects>,295726,295726,0.8389102100000001,0.020832652029801807,40.26900698,False
brusselator_0981_1000,brusselator,14,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,61845,61845,0.823941236,0.020460927591515195,40.26900698,False
brusselator_0981_1000,brusselator,15,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,12240,12240,0.802217315,0.01992145759637006,40.26900698,False
brusselator_0981_1000,brusselator,16,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,416,<genexpr>,118740,118740,0.796167849,0.019771231244798876,40.26900698,False
brusselator_0981_1000,brusselator,17,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,813,<listcomp>,77200,77200,0.7094350150000001,0.017617395317255972,40.26900698,False
brusselator_0981_1000,brusselator,18,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,53961,53961,0.647281149,0.016073928749260655,40.26900698,False
brusselator_0981_1000,brusselator,19,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,4080,4080,0.643364989,0.015976678772325666,40.26900698,False
brusselator_0981_1000,brusselator,20,~,0,<built-in method torch.all>,215426,215426,0.6307117050000001,0.015662459849413453,40.26900698,False
brusselator_0981_1000,brusselator,21,~,0,<method 'detach' of 'torch._C.TensorBase' objects>,504478,504478,0.519997833,0.012913102954295895,40.26900698,False
brusselator_0981_1000,brusselator,22,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,31200,31200,0.487696819,0.0121109720744348,40.26900698,False
brusselator_0981_1000,brusselator,23,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,563,validate_accepted_boundary_sr_queue,99,99,0.42453797800000004,0.010542548968511962,40.26900698,False
brusselator_0981_1000,brusselator,24,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,21620,21620,0.42175107100000003,0.010473341724305913,40.26900698,False
brusselator_0981_1000,brusselator,25,~,0,<built-in method torch.abs>,162490,162490,0.403497804,0.01002005845836728,40.26900698,False
van_der_pol_0001_0020,van_der_pol,1,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,102272,102272,1.184102996,0.07418604523571903,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,2,~,0,<method 'clone' of 'torch._C.TensorBase' objects>,515373,515373,1.000014371,0.06265258310635599,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,3,~,0,<built-in method torch.any>,312016,312016,0.7428072410000001,0.04653812359938126,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,4,~,0,<built-in method torch.stack>,89049,89049,0.635457924,0.039812508248446406,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,5,~,0,<built-in method torch.min>,75497,75497,0.597067411,0.03740727800778206,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,6,~,0,<built-in method torch.full_like>,240034,240034,0.590460687,0.036993355631789765,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,7,~,0,<built-in method torch.nextafter>,233454,233454,0.551094454,0.03452699489124329,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,8,~,0,<built-in method torch.max>,81428,81428,0.549671671,0.03443785514212082,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,9,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,23900,23900,0.539623741,0.0338083354195769,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,10,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,29539,29539,0.40234040600000004,0.025207303469801847,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,11,~,0,<built-in method torch.isnan>,204544,204544,0.394375374,0.024708280811931677,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,12,~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,235002,235002,0.366530489,0.022963751911007087,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,13,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,204584,204584,0.362189947,0.02269180965070768,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,14,~,0,<built-in method unique_dim>,40,40,0.355967236,0.02230194633535905,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,15,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,5400,5400,0.29825086,0.018685918257360868,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,16,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,1800,1800,0.280892589,0.01759839336977088,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,17,~,0,<built-in method torch.all>,96123,96123,0.277259865,0.01737079709824444,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,18,~,0,<method 'pow' of 'torch._C.TensorBase' objects>,93138,93138,0.271131022,0.01698681477105116,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,19,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,24144,24144,0.262665776,0.01645645286435137,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,20,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,11300,11300,0.196955187,0.012339573889729016,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,21,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,29772,29772,0.19604190500000002,0.012282355235613756,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,22,~,0,<built-in method torch.isfinite>,22405,22405,0.18530743300000002,0.011609822501498826,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,23,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,24172,24172,0.18225971100000002,0.011418877589678085,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,24,~,0,<built-in method torch.abs>,68321,68321,0.17034659100000002,0.01067250057500617,15.961263230000016,False
van_der_pol_0001_0020,van_der_pol,25,~,0,<method 'sum' of 'torch._C.TensorBase' objects>,8320,8320,0.16956611900000002,0.01062360269087548,15.961263230000016,False
van_der_pol_0091_0110,van_der_pol,1,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,121946,121946,1.3902805440000001,0.07922047904670236,17.549509429,False
van_der_pol_0091_0110,van_der_pol,2,~,0,<method 'clone' of 'torch._C.TensorBase' objects>,596541,596541,1.147151024,0.06536655788818631,17.549509429,False
van_der_pol_0091_0110,van_der_pol,3,~,0,<built-in method torch.any>,371038,371038,0.8729320030000001,0.04974110567201998,17.549509429,False
van_der_pol_0091_0110,van_der_pol,4,~,0,<built-in method torch.stack>,101239,101239,0.7046669910000001,0.04015308768891058,17.549509429,False
van_der_pol_0091_0110,van_der_pol,5,~,0,<built-in method torch.full_like>,265369,265369,0.6455633070000001,0.03678526226683165,17.549509429,False
van_der_pol_0091_0110,van_der_pol,6,~,0,<built-in method torch.min>,81297,81297,0.632146041,0.03602072431468648,17.549509429,False
van_der_pol_0091_0110,van_der_pol,7,~,0,<built-in method torch.nextafter>,258789,258789,0.6005944590000001,0.03422286311932669,17.549509429,False
van_der_pol_0091_0110,van_der_pol,8,~,0,<built-in method torch.max>,87297,87297,0.577587333,0.032911879123273695,17.549509429,False
van_der_pol_0091_0110,van_der_pol,9,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,23900,23900,0.5384893540000001,0.030684011776999517,17.549509429,False
van_der_pol_0091_0110,van_der_pol,10,~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,321977,321977,0.47012124800000005,0.026788284305152132,17.549509429,False
van_der_pol_0091_0110,van_der_pol,11,~,0,<built-in method torch.isnan>,243892,243892,0.46163908800000003,0.02630495683469968,17.549509429,False
van_der_pol_0091_0110,van_der_pol,12,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,34342,34342,0.46038160800000005,0.026233303549741068,17.549509429,False
van_der_pol_0091_0110,van_der_pol,13,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,243932,243932,0.430851007,0.024550601185924465,17.549509429,False
van_der_pol_0091_0110,van_der_pol,14,~,0,<built-in method unique_dim>,40,40,0.3522253,0.0200703786863671,17.549509429,False
van_der_pol_0091_0110,van_der_pol,15,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,28271,28271,0.32097506800000003,0.018289688911166887,17.549509429,False
van_der_pol_0091_0110,van_der_pol,16,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,5400,5400,0.295333155,0.016828570405049127,17.549509429,False
van_der_pol_0091_0110,van_der_pol,17,~,0,<method 'pow' of 'torch._C.TensorBase' objects>,99712,99712,0.286632273,0.016332779794194667,17.549509429,False
van_der_pol_0091_0110,van_der_pol,18,~,0,<built-in method torch.all>,100746,100746,0.28601507200000004,0.016297610662972112,17.549509429,False
van_der_pol_0091_0110,van_der_pol,19,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,1800,1800,0.27988034100000003,0.01594804356966849,17.549509429,False
van_der_pol_0091_0110,van_der_pol,20,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,33834,33834,0.220636776,0.01257224749743744,17.549509429,False
van_der_pol_0091_0110,van_der_pol,21,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,27772,27772,0.20678021300000002,0.011782677677491221,17.549509429,False
van_der_pol_0091_0110,van_der_pol,22,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,11300,11300,0.195999263,0.011168361360353329,17.549509429,False
van_der_pol_0091_0110,van_der_pol,23,~,0,<built-in method torch.abs>,78037,78037,0.191214358,0.01089570957943841,17.549509429,False
van_der_pol_0091_0110,van_der_pol,24,~,0,<built-in method torch.isfinite>,22556,22556,0.18582409500000002,0.010588563500979217,17.549509429,False
van_der_pol_0091_0110,van_der_pol,25,~,0,<method 'sum' of 'torch._C.TensorBase' objects>,8320,8320,0.16775709300000002,0.009559075920537518,17.549509429,False
