plant,batch,parent_group,reason,ready_requests,ready_keys,selected_key,selected_key_ready_requests,unavailable_tasks,projected_packet_requests,projected_packet_keys,parent_selected_requests,other_key_ready_requests,projected_device_submissions_saved,projected_kernel_launches_saved,projected_h2d_copy_operations_saved,projected_d2h_copy_operations_saved,projected_hot_device_allocations_saved,classification
van_der_pol,8,86,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,87,all_waiting,3,1,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,3,5,3,1,3,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,88,all_waiting,5,2,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,3,5,2,1,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,89,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,90,all_waiting,8,3,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,3,0,8,3,3,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,91,all_waiting,5,2,ce4562fa6225f525125bfce68ade44d43f2663123b4c2ab08e35c97e5228f07a,1,3,5,2,1,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,92,all_waiting,4,1,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,4,4,4,1,4,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,93,all_waiting,5,2,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,4,3,5,2,4,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,94,all_waiting,8,3,7e918f7d0e490c37895de65cb287641548f8da18596c1a12513085bb744c6142,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,95,all_waiting,7,2,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,96,all_waiting,6,2,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,3,2,6,2,3,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,97,all_waiting,7,3,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,4,1,7,3,4,3,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,98,all_waiting,3,2,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,1,5,3,2,1,2,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,99,all_waiting,2,1,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,2,6,2,1,2,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,100,all_waiting,8,3,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,2,0,8,3,2,6,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,101,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,0,8,3,4,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,102,all_waiting,8,3,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,3,0,8,3,3,5,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,103,all_waiting,7,3,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,1,1,7,3,1,6,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,104,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,1,7,2,4,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,105,all_waiting,4,2,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,3,4,4,2,3,1,1,4,14,6,32,KEY_SPLIT
