plant,step,category,operation,seconds,calls
brusselator,982,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0036365464329719543,1
brusselator,983,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.0002431422472000122,1
brusselator,983,B,BatchedPolynomial.substitute_const_and_drop,0.00023882277309894562,1
brusselator,983,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.014801448676735163,3
brusselator,983,C,DenseRemainderLedger.total,3.493763506412506e-05,1
brusselator,983,C,BatchedTaylorModel.endpoint,0.00028462382033467293,1
brusselator,983,A,Polynomial.__init__,0.03820978617295623,132
brusselator,983,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0016894699074327946,1
brusselator,983,B,Polynomial.substitute_const,0.0006734468042850494,2
brusselator,983,C,Polynomial.substitute_const_with_roundoff,0.0012627649120986462,2
brusselator,983,D,Polynomial.evaluate_interval,0.4288762812502682,114
brusselator,983,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,1.2007076293230057e-05,1
brusselator,983,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.1860934793949127e-05,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.13091191789135337,15
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.01048583909869194,5
brusselator,983,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,7.601035758852959e-05,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.018029680009931326,2
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,0.0065664369612932205,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.23228928400203586,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0038594864308834076,1
brusselator,983,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.00016880827024579048,14
brusselator,983,E,Polynomial.mul_truncate,0.0051051718182861805,14
brusselator,983,E,Polynomial.cutoff,0.003970491234213114,20
brusselator,983,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.008318188600242138,12
brusselator,983,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.03408804535865784,22
brusselator,983,E,Polynomial.__add__,0.0010261558927595615,18
brusselator,983,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.00031422870233654976,6
brusselator,983,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.007032299879938364,2
brusselator,983,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.00260258000344038,1
brusselator,983,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.03972748713567853,6
brusselator,983,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.029118639416992664,1
brusselator,983,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.009901812765747309,1
brusselator,983,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0010119364596903324,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.07336118398234248,2
brusselator,983,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00010664714500308037,1
brusselator,983,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.00186870526522398,1
brusselator,983,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.011618932709097862,1
brusselator,983,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0009076138958334923,1
brusselator,983,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.0001888400875031948,1
brusselator,983,E,Polynomial.__mul__,7.019005715847015e-05,2
brusselator,983,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.0003000437282025814,1
brusselator,983,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.003506268374621868,1
brusselator,984,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00022854236885905266,1
brusselator,984,B,BatchedPolynomial.substitute_const_and_drop,0.00022214697673916817,1
brusselator,984,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.014979462139308453,3
brusselator,984,C,DenseRemainderLedger.total,3.3598393201828e-05,1
brusselator,984,C,BatchedTaylorModel.endpoint,0.0002675475552678108,1
brusselator,984,A,Polynomial.__init__,0.03784277429804206,132
brusselator,984,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0015689032152295113,1
brusselator,984,B,Polynomial.substitute_const,0.0006853844970464706,2
brusselator,984,C,Polynomial.substitute_const_with_roundoff,0.0012570186518132687,2
brusselator,984,D,Polynomial.evaluate_interval,0.4260431258007884,114
brusselator,984,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,8.983071893453598e-06,1
brusselator,984,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,1.9568949937820435e-05,1
brusselator,984,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.12840712862089276,15
brusselator,984,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.00975832249969244,5
brusselator,984,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,5.7153403759002686e-05,1
