comparison_id,category,metric,new_source,old_source,case_id,system,mode,h,steps,order,setting_label,new_value,old_value,abs_diff,rel_diff,tolerance,pass_fail,note
torch_diagnostics:torch_range_only_h0p01_s10_o3:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,3,,0.76283309387346032,0.7628330938734603,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o3:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,3,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o3:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,3,,0.76283309387345921,0.7628330938734592,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o3:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,3,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o3:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o3,van_der_pol,range_only,0.01,10,3,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o3:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,3,,0.80860718824573385,0.8086071882457339,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o3:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,3,,0.35817520164028849,0.3581752016402885,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o3:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,3,,0.45043198660544415,0.45043198660544415,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o3:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,3,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o3:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o3,van_der_pol,dependency_preserving,0.01,10,3,,4,4,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o4:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,4,,0.73015800063064329,0.7301580006306433,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o4:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,4,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o4:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,4,,0.73015800063064218,0.7301580006306422,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o4:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,4,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o4:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o4,van_der_pol,range_only,0.01,10,4,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o4:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,4,,0.80172410217239654,0.8017241021723965,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o4:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,4,,0.098622313650613275,0.09862231365061327,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o4:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,4,,0.70310178852178218,0.7031017885217822,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o4:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,4,,3,3,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o4:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o4,van_der_pol,dependency_preserving,0.01,10,4,,12,12,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o5:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,5,,0.72951491971746185,0.7295149197174619,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o5:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,5,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o5:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,5,,0.72951491971746074,0.7295149197174607,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o5:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,5,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o5:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o5,van_der_pol,range_only,0.01,10,5,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o5:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,5,,0.78320046525104015,0.7832004652510401,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o5:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,5,,0.073161745979531678,0.07316174597953168,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o5:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,5,,0.71003871927150752,0.7100387192715075,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o5:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,5,,3,3,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o5:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o5,van_der_pol,dependency_preserving,0.01,10,5,,12,12,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o6:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o6,van_der_pol,range_only,0.01,10,6,,0.71908276540925098,0.719082765409251,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o6:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o6,van_der_pol,range_only,0.01,10,6,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o6:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o6,van_der_pol,range_only,0.01,10,6,,0.71908276540924987,0.7190827654092499,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o6:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o6,van_der_pol,range_only,0.01,10,6,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o6:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o6,van_der_pol,range_only,0.01,10,6,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o6:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o6,van_der_pol,dependency_preserving,0.01,10,6,,0.76976441573916421,0.7697644157391642,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o6:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o6,van_der_pol,dependency_preserving,0.01,10,6,,0.016102352851657974,0.016102352851657974,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o6:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o6,van_der_pol,dependency_preserving,0.01,10,6,,0.75366206288750515,0.7536620628875051,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o6:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o6,van_der_pol,dependency_preserving,0.01,10,6,,5,5,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o6:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o6,van_der_pol,dependency_preserving,0.01,10,6,,24,24,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o7:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o7,van_der_pol,range_only,0.01,10,7,,0.7180682108344586,0.7180682108344586,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o7:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o7,van_der_pol,range_only,0.01,10,7,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o7:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o7,van_der_pol,range_only,0.01,10,7,,0.71806821083445749,0.7180682108344575,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o7:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o7,van_der_pol,range_only,0.01,10,7,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o7:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o7,van_der_pol,range_only,0.01,10,7,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o7:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o7,van_der_pol,dependency_preserving,0.01,10,7,,0.76915118445000752,0.7691511844500075,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o7:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o7,van_der_pol,dependency_preserving,0.01,10,7,,0.0092376778225146915,0.009237677822514691,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o7:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o7,van_der_pol,dependency_preserving,0.01,10,7,,0.75991350662749169,0.7599135066274917,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o7:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o7,van_der_pol,dependency_preserving,0.01,10,7,,5,5,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o7:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o7,van_der_pol,dependency_preserving,0.01,10,7,,24,24,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o8:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o8,van_der_pol,range_only,0.01,10,8,,0.71802787937611112,0.7180278793761111,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o8:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o8,van_der_pol,range_only,0.01,10,8,,9.8813129168249309e-324,1e-323,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o8:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o8,van_der_pol,range_only,0.01,10,8,,0.71802787937611001,0.71802787937611,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o8:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_range_only_h0p01_s10_o8,van_der_pol,range_only,0.01,10,8,,1,1,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_range_only_h0p01_s10_o8:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_range_only_h0p01_s10_o8,van_der_pol,range_only,0.01,10,8,,2,2,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o8:endpoint_width_sum_vs_final_width_sum,torch_diagnostics,endpoint_width_sum_vs_final_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o8,van_der_pol,dependency_preserving,0.01,10,8,,0.76734535569064055,0.7673453556906406,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o8:remainder_width_sum,torch_diagnostics,remainder_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o8,van_der_pol,dependency_preserving,0.01,10,8,,0.0023602482843183684,0.0023602482843183684,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o8:poly_range_width_sum,torch_diagnostics,poly_range_width_sum,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o8,van_der_pol,dependency_preserving,0.01,10,8,,0.76498510740632109,0.7649851074063211,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o8:max_final_degree,torch_diagnostics,max_final_degree,outputs/trajectory_audit/torch_structured_summary.csv,outputs/van_der_pol_diagnostics_by_order_v2.csv,torch_dependency_preserving_h0p01_s10_o8,van_der_pol,dependency_preserving,0.01,10,8,,7,7,0,0,1e-10,pass,runtime intentionally excluded
torch_diagnostics:torch_dependency_preserving_h0p01_s10_o8:term_count_total,torch_diagnostics,term_count_total,outputs/trajectory_audit/torch_structured_summary.csv,outputs/tm_order_audit_vdp_order2_8.csv,torch_dependency_preserving_h0p01_s10_o8,van_der_pol,dependency_preserving,0.01,10,8,,40,40,0,0,1e-10,pass,runtime intentionally excluded
flowstar_sweep:flowstar_rem1e-4_cut1e-10_h0p01_s10_o4:status,flowstar_sweep,status,outputs/trajectory_audit/flowstar_structured_summary.csv,outputs/flowstar_vdp_remainder_cutoff_sweep.csv,flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,van_der_pol,fixed,0.01,10,4,rem1e-4_cut1e-10,completed,completed,,,1e-10,pass,runtime intentionally excluded
flowstar_sweep:flowstar_rem1e-4_cut1e-10_h0p01_s10_o4:failure_reason,flowstar_sweep,failure_reason,outputs/trajectory_audit/flowstar_structured_summary.csv,outputs/flowstar_vdp_remainder_cutoff_sweep.csv,flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,van_der_pol,fixed,0.01,10,4,rem1e-4_cut1e-10,,,,,1e-10,pass,runtime intentionally excluded
flowstar_sweep:flowstar_rem1e-4_cut1e-10_h0p01_s10_o4:num_segments,flowstar_sweep,num_segments,outputs/trajectory_audit/flowstar_structured_summary.csv,outputs/flowstar_vdp_remainder_cutoff_sweep.csv,flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,van_der_pol,fixed,0.01,10,4,rem1e-4_cut1e-10,10,10,0,0,1e-10,pass,runtime intentionally excluded
