run_id,plant,route,batch,group_size,groups,requests
formal-b8-rep0-brusselator-Q,brusselator,Q,8,4,881,3524
formal-b8-rep0-brusselator-Q,brusselator,Q,8,5,256,1280
formal-b8-rep0-brusselator-Q,brusselator,Q,8,6,242,1452
formal-b8-rep0-brusselator-Q,brusselator,Q,8,7,49,343
formal-b8-rep0-brusselator-Q,brusselator,Q,8,8,1,8
formal-b8-rep0-brusselator-G,brusselator,G,8,1,8034,8034
formal-b8-rep0-brusselator-G,brusselator,G,8,2,3277,6554
formal-b8-rep0-brusselator-G,brusselator,G,8,3,1665,4995
formal-b8-rep0-brusselator-G,brusselator,G,8,4,774,3096
formal-b8-rep0-brusselator-G,brusselator,G,8,5,424,2120
formal-b8-rep0-brusselator-G,brusselator,G,8,6,234,1404
formal-b8-rep0-brusselator-G,brusselator,G,8,7,62,434
formal-b8-rep0-brusselator-G,brusselator,G,8,8,6,48
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,1,6974,6974
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,2,2008,4016
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,3,1035,3105
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,4,478,1912
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,5,177,885
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,6,108,648
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,7,17,119
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,8,2,16
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,1,8232,8232
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,2,2317,4634
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,3,905,2715
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,4,298,1192
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,5,134,670
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,6,34,204
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,7,4,28
formal-b8-rep1-van_der_pol-S,van_der_pol,S,8,1,17675,17675
formal-b8-rep1-brusselator-G,brusselator,G,8,1,8793,8793
formal-b8-rep1-brusselator-G,brusselator,G,8,2,3140,6280
formal-b8-rep1-brusselator-G,brusselator,G,8,3,1560,4680
formal-b8-rep1-brusselator-G,brusselator,G,8,4,826,3304
formal-b8-rep1-brusselator-G,brusselator,G,8,5,413,2065
formal-b8-rep1-brusselator-G,brusselator,G,8,6,177,1062
formal-b8-rep1-brusselator-G,brusselator,G,8,7,59,413
formal-b8-rep1-brusselator-G,brusselator,G,8,8,11,88
formal-b8-rep1-brusselator-Q,brusselator,Q,8,1,9075,9075
formal-b8-rep1-brusselator-Q,brusselator,Q,8,2,3732,7464
formal-b8-rep1-brusselator-Q,brusselator,Q,8,3,1507,4521
formal-b8-rep1-brusselator-Q,brusselator,Q,8,4,722,2888
formal-b8-rep1-brusselator-Q,brusselator,Q,8,5,294,1470
formal-b8-rep1-brusselator-Q,brusselator,Q,8,6,170,1020
formal-b8-rep1-brusselator-Q,brusselator,Q,8,7,33,231
formal-b8-rep1-brusselator-Q,brusselator,Q,8,8,2,16
formal-b8-rep1-brusselator-S,brusselator,S,8,1,26685,26685
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,1,8669,8669
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,2,2044,4088
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,3,861,2583
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,4,416,1664
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,5,102,510
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,6,21,126
formal-b8-rep2-van_der_pol-Q,van_der_pol,Q,8,7,5,35
formal-b8-rep2-van_der_pol-S,van_der_pol,S,8,1,17675,17675
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,1,6570,6570
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,2,2632,5264
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,3,1178,3534
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,4,296,1184
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,5,169,845
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,6,38,228
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,7,6,42
formal-b8-rep2-van_der_pol-G,van_der_pol,G,8,8,1,8
formal-b8-rep2-brusselator-Q,brusselator,Q,8,1,11559,11559
formal-b8-rep2-brusselator-Q,brusselator,Q,8,2,2931,5862
formal-b8-rep2-brusselator-Q,brusselator,Q,8,3,1253,3759
formal-b8-rep2-brusselator-Q,brusselator,Q,8,4,601,2404
formal-b8-rep2-brusselator-Q,brusselator,Q,8,5,293,1465
formal-b8-rep2-brusselator-Q,brusselator,Q,8,6,221,1326
formal-b8-rep2-brusselator-Q,brusselator,Q,8,7,26,182
formal-b8-rep2-brusselator-Q,brusselator,Q,8,8,16,128
formal-b8-rep2-brusselator-S,brusselator,S,8,1,26685,26685
formal-b8-rep2-brusselator-G,brusselator,G,8,1,8654,8654
formal-b8-rep2-brusselator-G,brusselator,G,8,2,3313,6626
formal-b8-rep2-brusselator-G,brusselator,G,8,3,1568,4704
formal-b8-rep2-brusselator-G,brusselator,G,8,4,771,3084
formal-b8-rep2-brusselator-G,brusselator,G,8,5,474,2370
formal-b8-rep2-brusselator-G,brusselator,G,8,6,172,1032
formal-b8-rep2-brusselator-G,brusselator,G,8,7,25,175
formal-b8-rep2-brusselator-G,brusselator,G,8,8,5,40
formal-b32-rep0-van_der_pol-S,van_der_pol,S,32,1,70704,70704
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,1,6977,6977
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,2,5352,10704
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,3,2873,8619
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,4,1942,7768
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,5,1208,6040
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,6,903,5418
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,7,690,4830
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,8,654,5232
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,9,409,3681
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,10,283,2830
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,11,192,2112
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,12,149,1788
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,13,99,1287
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,14,73,1022
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,15,45,675
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,16,39,624
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,17,19,323
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,18,16,288
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,19,8,152
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,20,10,200
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,21,2,42
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,22,2,44
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,23,1,23
formal-b32-rep0-van_der_pol-Q,van_der_pol,Q,32,25,1,25
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,1,11807,11807
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,2,6487,12974
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,3,3343,10029
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,4,2125,8500
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,5,1236,6180
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,6,838,5028
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,7,513,3591
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,8,353,2824
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,9,252,2268
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,10,175,1750
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,11,153,1683
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,12,110,1320
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,13,56,728
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,14,57,798
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,15,31,465
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,16,10,160
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,17,17,289
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,18,6,108
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,19,2,38
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,20,5,100
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,21,2,42
formal-b32-rep0-van_der_pol-G,van_der_pol,G,32,22,1,22
formal-b32-rep0-brusselator-S,brusselator,S,32,1,106919,106919
formal-b32-rep0-brusselator-Q,brusselator,Q,32,1,8669,8669
formal-b32-rep0-brusselator-Q,brusselator,Q,32,2,5007,10014
formal-b32-rep0-brusselator-Q,brusselator,Q,32,3,3585,10755
formal-b32-rep0-brusselator-Q,brusselator,Q,32,4,2509,10036
formal-b32-rep0-brusselator-Q,brusselator,Q,32,5,1610,8050
formal-b32-rep0-brusselator-Q,brusselator,Q,32,6,1251,7506
formal-b32-rep0-brusselator-Q,brusselator,Q,32,7,817,5719
formal-b32-rep0-brusselator-Q,brusselator,Q,32,8,717,5736
formal-b32-rep0-brusselator-Q,brusselator,Q,32,9,573,5157
formal-b32-rep0-brusselator-Q,brusselator,Q,32,10,360,3600
formal-b32-rep0-brusselator-Q,brusselator,Q,32,11,334,3674
formal-b32-rep0-brusselator-Q,brusselator,Q,32,12,381,4572
formal-b32-rep0-brusselator-Q,brusselator,Q,32,13,270,3510
formal-b32-rep0-brusselator-Q,brusselator,Q,32,14,224,3136
formal-b32-rep0-brusselator-Q,brusselator,Q,32,15,217,3255
formal-b32-rep0-brusselator-Q,brusselator,Q,32,16,146,2336
formal-b32-rep0-brusselator-Q,brusselator,Q,32,17,208,3536
formal-b32-rep0-brusselator-Q,brusselator,Q,32,18,100,1800
formal-b32-rep0-brusselator-Q,brusselator,Q,32,19,106,2014
formal-b32-rep0-brusselator-Q,brusselator,Q,32,20,69,1380
formal-b32-rep0-brusselator-Q,brusselator,Q,32,21,41,861
formal-b32-rep0-brusselator-Q,brusselator,Q,32,22,25,550
formal-b32-rep0-brusselator-Q,brusselator,Q,32,23,11,253
formal-b32-rep0-brusselator-Q,brusselator,Q,32,24,13,312
formal-b32-rep0-brusselator-Q,brusselator,Q,32,25,10,250
formal-b32-rep0-brusselator-Q,brusselator,Q,32,26,5,130
formal-b32-rep0-brusselator-Q,brusselator,Q,32,27,4,108
formal-b32-rep0-brusselator-G,brusselator,G,32,1,10922,10922
formal-b32-rep0-brusselator-G,brusselator,G,32,2,6178,12356
formal-b32-rep0-brusselator-G,brusselator,G,32,3,4103,12309
formal-b32-rep0-brusselator-G,brusselator,G,32,4,2892,11568
formal-b32-rep0-brusselator-G,brusselator,G,32,5,1936,9680
formal-b32-rep0-brusselator-G,brusselator,G,32,6,1504,9024
formal-b32-rep0-brusselator-G,brusselator,G,32,7,1103,7721
formal-b32-rep0-brusselator-G,brusselator,G,32,8,762,6096
formal-b32-rep0-brusselator-G,brusselator,G,32,9,571,5139
formal-b32-rep0-brusselator-G,brusselator,G,32,10,573,5730
formal-b32-rep0-brusselator-G,brusselator,G,32,11,355,3905
formal-b32-rep0-brusselator-G,brusselator,G,32,12,252,3024
formal-b32-rep0-brusselator-G,brusselator,G,32,13,176,2288
formal-b32-rep0-brusselator-G,brusselator,G,32,14,105,1470
formal-b32-rep0-brusselator-G,brusselator,G,32,15,92,1380
formal-b32-rep0-brusselator-G,brusselator,G,32,16,66,1056
formal-b32-rep0-brusselator-G,brusselator,G,32,17,62,1054
formal-b32-rep0-brusselator-G,brusselator,G,32,18,37,666
formal-b32-rep0-brusselator-G,brusselator,G,32,19,22,418
formal-b32-rep0-brusselator-G,brusselator,G,32,20,21,420
formal-b32-rep0-brusselator-G,brusselator,G,32,21,8,168
formal-b32-rep0-brusselator-G,brusselator,G,32,22,13,286
formal-b32-rep0-brusselator-G,brusselator,G,32,23,5,115
formal-b32-rep0-brusselator-G,brusselator,G,32,24,2,48
formal-b32-rep0-brusselator-G,brusselator,G,32,25,2,50
formal-b32-rep0-brusselator-G,brusselator,G,32,26,1,26
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,1,10728,10728
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,2,5427,10854
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,3,2946,8838
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,4,2041,8164
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,5,1365,6825
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,6,1007,6042
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,7,593,4151
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,8,407,3256
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,9,351,3159
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,10,218,2180
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,11,149,1639
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,12,126,1512
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,13,65,845
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,14,48,672
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,15,49,735
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,16,24,384
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,17,18,306
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,18,11,198
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,19,7,133
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,20,2,40
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,21,1,21
formal-b32-rep1-van_der_pol-G,van_der_pol,G,32,22,1,22
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,1,6062,6062
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,2,4254,8508
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,3,2560,7680
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,4,1830,7320
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,5,1455,7275
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,6,977,5862
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,7,664,4648
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,8,641,5128
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,9,387,3483
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,10,302,3020
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,11,208,2288
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,12,135,1620
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,13,105,1365
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,14,77,1078
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,15,80,1200
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,16,61,976
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,17,42,714
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,18,32,576
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,19,68,1292
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,20,5,100
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,21,8,168
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,22,8,176
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,23,4,92
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,24,2,48
formal-b32-rep1-van_der_pol-Q,van_der_pol,Q,32,25,1,25
formal-b32-rep1-van_der_pol-S,van_der_pol,S,32,1,70704,70704
formal-b32-rep1-brusselator-G,brusselator,G,32,1,10142,10142
formal-b32-rep1-brusselator-G,brusselator,G,32,2,6051,12102
formal-b32-rep1-brusselator-G,brusselator,G,32,3,4067,12201
formal-b32-rep1-brusselator-G,brusselator,G,32,4,2729,10916
formal-b32-rep1-brusselator-G,brusselator,G,32,5,2060,10300
formal-b32-rep1-brusselator-G,brusselator,G,32,6,1543,9258
formal-b32-rep1-brusselator-G,brusselator,G,32,7,1079,7553
formal-b32-rep1-brusselator-G,brusselator,G,32,8,783,6264
formal-b32-rep1-brusselator-G,brusselator,G,32,9,660,5940
formal-b32-rep1-brusselator-G,brusselator,G,32,10,509,5090
formal-b32-rep1-brusselator-G,brusselator,G,32,11,316,3476
formal-b32-rep1-brusselator-G,brusselator,G,32,12,273,3276
formal-b32-rep1-brusselator-G,brusselator,G,32,13,209,2717
formal-b32-rep1-brusselator-G,brusselator,G,32,14,144,2016
formal-b32-rep1-brusselator-G,brusselator,G,32,15,124,1860
formal-b32-rep1-brusselator-G,brusselator,G,32,16,60,960
formal-b32-rep1-brusselator-G,brusselator,G,32,17,48,816
formal-b32-rep1-brusselator-G,brusselator,G,32,18,32,576
formal-b32-rep1-brusselator-G,brusselator,G,32,19,29,551
formal-b32-rep1-brusselator-G,brusselator,G,32,20,19,380
formal-b32-rep1-brusselator-G,brusselator,G,32,21,14,294
formal-b32-rep1-brusselator-G,brusselator,G,32,22,5,110
formal-b32-rep1-brusselator-G,brusselator,G,32,23,1,23
formal-b32-rep1-brusselator-G,brusselator,G,32,24,2,48
formal-b32-rep1-brusselator-G,brusselator,G,32,25,2,50
formal-b32-rep1-brusselator-Q,brusselator,Q,32,1,10338,10338
formal-b32-rep1-brusselator-Q,brusselator,Q,32,2,5745,11490
formal-b32-rep1-brusselator-Q,brusselator,Q,32,3,3245,9735
formal-b32-rep1-brusselator-Q,brusselator,Q,32,4,2417,9668
formal-b32-rep1-brusselator-Q,brusselator,Q,32,5,1401,7005
formal-b32-rep1-brusselator-Q,brusselator,Q,32,6,1194,7164
formal-b32-rep1-brusselator-Q,brusselator,Q,32,7,891,6237
formal-b32-rep1-brusselator-Q,brusselator,Q,32,8,663,5304
formal-b32-rep1-brusselator-Q,brusselator,Q,32,9,465,4185
formal-b32-rep1-brusselator-Q,brusselator,Q,32,10,392,3920
formal-b32-rep1-brusselator-Q,brusselator,Q,32,11,317,3487
formal-b32-rep1-brusselator-Q,brusselator,Q,32,12,255,3060
formal-b32-rep1-brusselator-Q,brusselator,Q,32,13,224,2912
formal-b32-rep1-brusselator-Q,brusselator,Q,32,14,135,1890
formal-b32-rep1-brusselator-Q,brusselator,Q,32,15,120,1800
formal-b32-rep1-brusselator-Q,brusselator,Q,32,16,133,2128
formal-b32-rep1-brusselator-Q,brusselator,Q,32,17,131,2227
formal-b32-rep1-brusselator-Q,brusselator,Q,32,18,148,2664
formal-b32-rep1-brusselator-Q,brusselator,Q,32,19,121,2299
formal-b32-rep1-brusselator-Q,brusselator,Q,32,20,85,1700
formal-b32-rep1-brusselator-Q,brusselator,Q,32,21,91,1911
formal-b32-rep1-brusselator-Q,brusselator,Q,32,22,60,1320
formal-b32-rep1-brusselator-Q,brusselator,Q,32,23,68,1564
formal-b32-rep1-brusselator-Q,brusselator,Q,32,24,29,696
formal-b32-rep1-brusselator-Q,brusselator,Q,32,25,23,575
formal-b32-rep1-brusselator-Q,brusselator,Q,32,26,10,260
formal-b32-rep1-brusselator-Q,brusselator,Q,32,27,33,891
formal-b32-rep1-brusselator-Q,brusselator,Q,32,28,10,280
formal-b32-rep1-brusselator-Q,brusselator,Q,32,29,2,58
formal-b32-rep1-brusselator-Q,brusselator,Q,32,30,4,120
formal-b32-rep1-brusselator-Q,brusselator,Q,32,31,1,31
formal-b32-rep1-brusselator-S,brusselator,S,32,1,106919,106919
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,1,8259,8259
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,2,4070,8140
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,3,2412,7236
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,4,1851,7404
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,5,1219,6095
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,6,788,4728
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,7,533,3731
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,8,533,4264
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,9,416,3744
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,10,259,2590
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,11,277,3047
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,12,156,1872
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,13,132,1716
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,14,109,1526
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,15,53,795
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,16,41,656
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,17,64,1088
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,18,72,1296
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,19,36,684
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,20,26,520
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,21,22,462
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,22,11,242
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,23,9,207
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,24,3,72
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,25,9,225
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,26,3,78
formal-b32-rep2-van_der_pol-Q,van_der_pol,Q,32,27,1,27
formal-b32-rep2-van_der_pol-S,van_der_pol,S,32,1,70704,70704
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,1,10658,10658
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,2,4916,9832
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,3,3026,9078
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,4,1884,7536
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,5,1337,6685
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,6,826,4956
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,7,529,3703
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,8,444,3552
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,9,313,2817
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,10,237,2370
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,11,179,1969
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,12,129,1548
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,13,87,1131
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,14,93,1302
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,15,51,765
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,16,57,912
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,17,41,697
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,18,28,504
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,19,5,95
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,20,13,260
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,21,5,105
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,22,5,110
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,23,2,46
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,24,2,48
formal-b32-rep2-van_der_pol-G,van_der_pol,G,32,25,1,25
formal-b32-rep2-brusselator-Q,brusselator,Q,32,1,10039,10039
formal-b32-rep2-brusselator-Q,brusselator,Q,32,2,4329,8658
formal-b32-rep2-brusselator-Q,brusselator,Q,32,3,2622,7866
formal-b32-rep2-brusselator-Q,brusselator,Q,32,4,1962,7848
formal-b32-rep2-brusselator-Q,brusselator,Q,32,5,1447,7235
formal-b32-rep2-brusselator-Q,brusselator,Q,32,6,1155,6930
formal-b32-rep2-brusselator-Q,brusselator,Q,32,7,1084,7588
formal-b32-rep2-brusselator-Q,brusselator,Q,32,8,754,6032
formal-b32-rep2-brusselator-Q,brusselator,Q,32,9,622,5598
formal-b32-rep2-brusselator-Q,brusselator,Q,32,10,622,6220
