case,plant,task,step,time,exact_time,view,variable,cpu_lo_hex,cpu_hi_hex,gpu_lo_hex,gpu_hi_hex,cpu_width,gpu_width,lo_abs_diff,hi_abs_diff,max_abs_diff,center_abs_diff,near_zero,gpu_cpu_width_ratio,warning
prefix-b8,van_der_pol,12,8,0.08,5764607523034235/72057594037927936,endpoint,y,0x1.0cd62d5d99464p+1,0x1.1265a912cc864p+1,0x1.0cd62d5d99464p+1,0x1.1265a912cc864p+1,0.043441260792405956,0.043441260792405956,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,8,0.08,5764607523034235/72057594037927936,tube,x,0x1.5ec0bc4e0b476p+0,0x1.6e4e062edb96ap+0,0x1.5ec0bc4e0b476p+0,0x1.6e4e062edb96ap+0,0.06074964274040173,0.06074964274040173,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,8,0.08,5764607523034235/72057594037927936,tube,y,0x1.0cc8043ec2e69p+1,0x1.16e0c1ec0b35dp+1,0x1.0cc8043ec2e69p+1,0x1.16e0c1ec0b35dp+1,0.07888003312165814,0.07888003312165814,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,9,0.09,51881467707308115/576460752303423488,endpoint,x,0x1.69a7fa3945419p+0,0x1.73a6efb371659p+0,0x1.69a7fa394541ap+0,0x1.73a6efb371658p+0,0.03904661400532916,0.03904661400532872,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,False,0.9999999999999887,False
prefix-b8,van_der_pol,12,9,0.09,51881467707308115/576460752303423488,endpoint,y,0x1.08231c40d976dp+1,0x1.0df484ba2b720p+1,0x1.08231c40d976dp+1,0x1.0df484ba2b720p+1,0.04545312808837698,0.04545312808837698,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,9,0.09,51881467707308115/576460752303423488,tube,x,0x1.643843a65fbc2p+0,0x1.73b39c007513dp+0,0x1.643843a65fbc2p+0,0x1.73b39c007513dp+0,0.06047584723759658,0.06047584723759658,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,9,0.09,51881467707308115/576460752303423488,tube,y,0x1.0813594eccc59p+1,0x1.129662d4d8cd4p+1,0x1.0813594eccc59p+1,0x1.129662d4d8cd4p+1,0.08212393803847595,0.08212393803847595,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,10,0.1,28823037615171175/288230376151711744,endpoint,x,0x1.6ef205372824ep+0,0x1.78f3757531f0fp+0,0x1.6ef205372824ep+0,0x1.78f3757531f0fp+0,0.03908444895368768,0.03908444895368768,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,10,0.1,28823037615171175/288230376151711744,endpoint,y,0x1.034e47523d11cp+1,0x1.095ec0e446384p+1,0x1.034e47523d11dp+1,0x1.095ec0e446383p+1,0.047377773577228055,0.04737777357722717,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,False,0.9999999999999812,False
prefix-b8,van_der_pol,12,10,0.1,28823037615171175/288230376151711744,tube,x,0x1.6999b1eb51c61p+0,0x1.7900806255da6p+0,0x1.6999b1eb51c61p+0,0x1.7900806255da6p+0,0.06016245275175547,0.06016245275175547,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,10,0.1,28823037615171175/288230376151711744,tube,y,0x1.033cdf296cde5p+1,0x1.0e2575ece256dp+1,0x1.033cdf296cde5p+1,0x1.0e2575ece256dp+1,0.0852230505360616,0.0852230505360616,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,11,0.11,63410682753376585/576460752303423488,endpoint,x,0x1.742487a77ac78p+0,0x1.7e26a2152fa32p+0,0x1.742487a77ac78p+0,0x1.7e26a2152fa32p+0,0.03909459284191863,0.03909459284191863,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,11,0.11,63410682753376585/576460752303423488,endpoint,y,0x1.fcb3aa312909ap+0,0x1.04a6593aba00cp+1,0x1.fcb3aa312909ap+0,0x1.04a6593aba00cp+1,0.04921008746438771,0.04921008746438771,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,11,0.11,63410682753376585/576460752303423488,tube,x,0x1.6ee44c21d0dc5p+0,0x1.7e340613fc0c0p+0,0x1.6ee44c21d0dc5p+0,0x1.7e340613fc0c0p+0,0.059810277579514404,0.059810277579514404,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,11,0.11,63410682753376585/576460752303423488,tube,y,0x1.fc8d7d35957a6p+0,0x1.098fdd36738d1p+1,0x1.fc8d7d35957a6p+0,0x1.098fdd36738d1p+1,0.08816893196637832,0.08816893196637832,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,12,0.12,17293822569102705/144115188075855872,endpoint,x,0x1.793edac59fae8p+0,0x1.833fd40cb8d22p+0,0x1.793edac59fae9p+0,0x1.833fd40cb8d21p+0,0.039077358110388705,0.03907735811038826,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,False,0.9999999999999887,False
prefix-b8,van_der_pol,12,12,0.12,17293822569102705/144115188075855872,endpoint,y,0x1.f28ffd4345e73p+0,0x1.ff9ac048771f1p+0,0x1.f28ffd4345e73p+0,0x1.ff9ac048771f1p+0,0.05094546200527317,0.05094546200527317,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,12,0.12,17293822569102705/144115188075855872,tube,x,0x1.741760f4412b7p+0,0x1.834d8b54b44acp+0,0x1.741760f4412b7p+0,0x1.834d8b54b44acp+0,0.05942025046090049,0.05942025046090049,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,12,0.12,17293822569102705/144115188075855872,tube,y,0x1.f2666615b123fp+0,0x1.04d7941bf6d7fp+1,0x1.f2666615b123fp+0,0x1.04d7941bf6d7fp+1,0.09095395408489515,0.09095395408489515,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,13,0.13,74939897799445055/576460752303423488,endpoint,x,0x1.7e4062512e611p+0,0x1.883e75ab9b655p+0,0x1.7e4062512e611p+0,0x1.883e75ab9b655p+0,0.03903313596403368,0.03903313596403368,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,13,0.13,74939897799445055/576460752303423488,endpoint,y,0x1.e83619105b0a8p+0,0x1.f5abf808a2831p+0,0x1.e83619105b0a8p+0,0x1.f5abf808a2831p+0,0.05257981835845471,0.05257981835845471,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,13,0.13,74939897799445055/576460752303423488,tube,x,0x1.793249272e454p+0,0x1.884c7a41fde46p+0,0x1.793249272e454p+0,0x1.884c7a41fde46p+0,0.05899340538564646,0.05899340538564646,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,13,0.13,74939897799445055/576460752303423488,tube,y,0x1.e8090ef9f26dep+0,0x1.fffd59a6af148p+0,0x1.e8090ef9f26dfp+0,0x1.fffd59a6af147p+0,0.09357134549341106,0.09357134549341062,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,False,0.9999999999999952,False
prefix-b8,van_der_pol,12,14,0.14,40352252661239645/288230376151711744,endpoint,x,0x1.83288ce6e260bp+0,0x1.8d21fd662197ap+0,0x1.83288ce6e260bp+0,0x1.8d21fd662197ap+0,0.03896239382376243,0.03896239382376243,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,14,0.14,40352252661239645/288230376151711744,endpoint,y,0x1.ddaaa7d59343ap+0,0x1.eb84c8bd3eab1p+0,0x1.ddaaa7d59343ap+0,0x1.eb84c8bd3eab1p+0,0.054109627304027574,0.054109627304027574,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,14,0.14,40352252661239645/288230376151711744,tube,x,0x1.7e346800db468p+0,0x1.8d304925cb13bp+0,0x1.7e346800db468p+0,0x1.8d304925cb13bp+0,0.05853087569976334,0.05853087569976334,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,14,0.14,40352252661239645/288230376151711744,tube,y,0x1.dd7a26f35fe45p+0,0x1.f60e9b4888790p+0,0x1.dd7a26f35fe45p+0,0x1.f60e9b4888790p+0,0.09601523474755669,0.09601523474755669,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,15,0.15,86469112845513525/576460752303423488,endpoint,x,0x1.87f6d44b5d751p+0,0x1.91e9ee12b8fe3p+0,0x1.87f6d44b5d751p+0,0x1.91e9ee12b8fe3p+0,0.038865672274856156,0.038865672274856156,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,15,0.15,86469112845513525/576460752303423488,endpoint,y,0x1.d2f266b2b370fp+0,0x1.e129bdcde1e68p+0,0x1.d2f266b2b370fp+0,0x1.e129bdcde1e68p+0,0.05553192533121476,0.05553192533121476,0.0,0.0,0.0,0.0,False,1.0,False
prefix-b8,van_der_pol,12,15,0.15,86469112845513525/576460752303423488,tube,x,0x1.831d2ba3175d8p+0,0x1.91f87ab457002p+0,0x1.831d2ba3175d8p+0,0x1.91f87ab457002p+0,0.058033887587621624,0.058033887587621624,0.0,0.0,0.0,0.0,False,1.0,False
