run_id,plant,route,submitted,returned,gpu_completed,actual_fraction_requests,successful_lane_steps,task_epochs
split-2-part3-brusselator-G,brusselator,G,588,588,588,588,4,2
split-1-part0-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part1-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part2-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part3-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part4-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part5-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part6-brusselator-G,brusselator,G,294,294,294,294,2,1
split-1-part7-brusselator-G,brusselator,G,294,294,294,294,2,1
permuted-delayed-newest-brusselator-G,brusselator,G,2352,2352,2352,2352,16,8
