file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
~,0,<built-in method torch.nonzero>,189,189,0.00143694,0.00143694
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,480,_float_or_none,599,599,0.0014313980000000002,0.008660820000000001
~,0,<built-in method builtins.sum>,9343,9343,0.001347932,0.001584708
<string>,2,__init__,1506,1506,0.001300226,0.051909685000000004
~,0,<method 'cpu' of 'torch._C.TensorBase' objects>,1888,1888,0.0012664150000000001,0.0012664150000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/copy.py,128,deepcopy,2,1158,0.0012271180000000001,0.0047475700000000004
~,0,<method 'hex' of 'float' objects>,1918,1918,0.0012092020000000001,0.0012092020000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,129,key,1854,1854,0.0012074100000000001,0.00181039
~,0,<built-in method torch.arange>,147,147,0.001128826,0.001128826
~,0,<method 'scatter_add_' of 'torch._C.TensorBase' objects>,94,94,0.001119217,0.001119217
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2673,component,86,86,0.0011047020000000002,0.006447247000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,19,_state_normal_factor,316,316,0.001076292,0.01492478
~,0,<built-in method torch.count_nonzero>,315,315,0.001028684,0.001028684
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2373,_check_domain,242,242,0.0010280970000000002,0.012913565
~,0,<built-in method torch._C._get_tracing_state>,1560,1560,0.0009936670000000002,0.0009936670000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,3319,<dictcomp>,2,2,0.000952172,0.001172752
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2287,<genexpr>,2465,2465,0.000946064,0.000946064
~,0,<built-in method builtins.sorted>,941,941,0.000939446,0.0024398420000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2285,<genexpr>,2465,2465,0.0009308560000000001,0.0009308560000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,107,width,252,252,0.0009136550000000001,0.002403516
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1158,<genexpr>,2205,2205,0.0008892730000000001,0.002075911
~,0,<method 'get' of 'dict' objects>,6318,6318,0.0008692690000000001,0.0008692690000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1169,<listcomp>,567,567,0.000863866,0.000863866
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,151,<genexpr>,4671,4671,0.000860263,0.000860263
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1949,_check_basis,356,356,0.000838871,0.000838871
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,159,<dictcomp>,162,162,0.000809818,0.013250623000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,3735,_dense_flowstar_raw_compat_image,10,10,0.0007670410000000001,0.257594129
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1170,<listcomp>,567,567,0.0007663290000000001,0.0007663290000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2605,integrate,17,17,0.000752087,0.024473358
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,369,visit,11,648,0.000671833,0.000869195
~,0,<built-in method torch.sum>,126,126,0.000663961,0.000663961
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,255,evaluate,16,16,0.0006579390000000001,0.060231479000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,325,complete,11,11,0.0006553300000000001,0.010373472
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,284,scale,55,55,0.0006393760000000001,0.010525499
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,154,<genexpr>,4671,4671,0.000635286,0.000635286
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,1523,horner,2,20,0.000619809,0.561353176
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,135,<genexpr>,1611,1611,0.000606512,0.001718319
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1874,__post_init__,256,256,0.0006016670000000001,0.0008672840000000001
~,0,<built-in method torch.clamp>,126,126,0.000587932,0.000587932
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2682,<dictcomp>,86,86,0.0005820210000000001,0.0005820210000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/ode_examples.py,26,brusselator_ode,11,11,0.0005726570000000001,0.415673322
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4224,_validated_remainder_decomposition,11,11,0.00056331,0.017342534
~,0,<method 'expand_as' of 'torch._C.TensorBase' objects>,94,94,0.0005547540000000001,0.0005547540000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1896,constants,33,33,0.000539697,0.0010567
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,278,merge,100,100,0.000539035,0.009471844
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1758,multiplication_plan_for_degree,42,42,0.000537383,0.030316015
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,81,__deepcopy__,46,46,0.000511177,0.002564948
~,0,<built-in method builtins.len>,3598,3628,0.0005016910000000001,0.000513609
~,0,<method 'unsqueeze' of 'torch._C.TensorBase' objects>,236,236,0.0004893310000000001,0.0004893310000000001
~,0,<method 'scatter_reduce_' of 'torch._C.TensorBase' objects>,84,84,0.00048906,0.00048906
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,488,_interval_width_value,236,236,0.00047207300000000005,0.008074626
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2247,component,52,52,0.00046399200000000004,0.000678174
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,241,<genexpr>,2907,2907,0.00045881400000000004,0.00045881400000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,394,substitute_const,2,2,0.000457307,0.001634142
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2703,<dictcomp>,27,27,0.000455032,0.00354036
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,1458,_append_horner_stage,24,24,0.00044559300000000004,0.26558911700000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,16,<genexpr>,222,222,0.00044105900000000005,0.0020622260000000003
~,0,<method 'tolist' of 'torch._C.TensorBase' objects>,324,324,0.00044058700000000004,0.00044058700000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,1406,_tm_mul_ctrunc_horner_stage,12,12,0.00042160900000000004,0.31149746700000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4567,dense_picard_validate_step,1,1,0.000412842,0.5837836780000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,76,zero,186,186,0.000411334,0.008972113
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,103,_interval_polynomial_range,2,2,0.00040955900000000004,0.015199828
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2706,<listcomp>,118,118,0.00040630200000000004,0.001119664
~,0,<method 'item' of 'torch._C.TensorBase' objects>,533,533,0.00040531800000000005,0.00040531800000000005
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2428,sub,55,55,0.00039922700000000005,0.023168471000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4305,_atomic_refinement_decision,9,9,0.000397821,0.00143107
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1177,<listcomp>,315,315,0.000396554,0.000396554
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,265,_scale_and_cutoff_right_map,1,1,0.00039203,0.033146556
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4344,_post_accept_refine_raw_remainder,1,1,0.00039161700000000003,0.16524381900000001
~,0,<method 'dim' of 'torch._C.TensorBase' objects>,1560,1560,0.00038388200000000005,0.00038388200000000005
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,322,raw_rhs,9,9,0.000375069,0.06593241000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,384,_interval_sub,55,55,0.00037401100000000005,0.001099746
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,337,polynomial_difference,9,9,0.000373741,0.06690388600000001
<string>,2,__hash__,558,558,0.000371412,0.000533921
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2713,<listcomp>,118,118,0.00036953100000000004,0.000987294
~,0,<built-in method builtins.max>,495,495,0.000369048,0.000582933
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1173,<listcomp>,567,567,0.000369047,0.000369047
~,0,<method 'expand' of 'torch._C.TensorBase' objects>,77,77,0.00036711700000000003,0.00036711700000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,141,__sub__,51,51,0.000362816,0.002791052
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/functional.py,47,broadcast_tensors,82,82,0.000355464,0.00069738
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/tokenize.py,433,_tokenize,164,164,0.000353799,0.000629711
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/flowpipe.py,1807,_polynomial_max_abs_diff,2,2,0.00035157200000000003,0.001488483
~,0,<built-in method torch.full>,84,84,0.000349191,0.000349191
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,204,__add__,22,22,0.000338787,0.012210976
<string>,2,__eq__,242,242,0.000338711,0.000338711
~,0,<built-in method builtins.id>,3408,3408,0.000338092,0.000338092
~,0,<built-in method builtins.iter>,1927,1927,0.00033446500000000004,0.00033446500000000004
~,0,<method 'amin' of 'torch._C.TensorBase' objects>,60,60,0.00033120000000000003,0.00033120000000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2626,apply_cutoff,56,56,0.00032152,0.030208772000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2728,domain,22,22,0.00031898100000000003,0.0033903170000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4215,_inflate_tensor_interval,32,32,0.00031221600000000003,0.000913988
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2317,constants_like,33,33,0.00030545100000000004,0.003895803
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1585,_merge_coefficients_by_index,42,42,0.00029289400000000003,0.001388111
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1302,_hull_owner_intervals,42,42,0.00028994400000000004,0.0019550640000000003
~,0,<method 'copy_' of 'torch._C.StorageBase' objects>,46,46,0.00028792300000000004,0.00028792300000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2688,concat,27,27,0.00028448000000000004,0.008408561
~,0,<method 'items' of 'dict' objects>,1596,1596,0.00027171700000000004,0.00027171700000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,3237,sparse_tmvector_to_dense,1,1,0.00026795700000000004,0.023724503
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,294,total,23,23,0.00025978700000000004,0.003985317
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,258,empty,272,272,0.000257226,0.0014127100000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4135,dense_polynomial_picard,1,1,0.00025563800000000003,0.260230624
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/dataclasses.py,1455,replace,29,29,0.00025357200000000003,0.001202752
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4288,_flowstar_width_ratio,9,9,0.000252199,0.0006148330000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,186,dtype,156,156,0.000250651,0.00037178600000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,470,rec,14,448,0.000250324,0.000261125
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2084,range_bound,81,81,0.00024997,0.11852449200000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,325,<genexpr>,833,833,0.000249222,0.000249222
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/taylor_model.py,107,__init__,80,80,0.000244332,0.00031531800000000003
~,0,<built-in method time.perf_counter>,1222,1222,0.000240759,0.000240759
~,0,<method 'amax' of 'torch._C.TensorBase' objects>,60,60,0.00024038700000000003,0.00024038700000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,69,_validate_cpu_float64_finite,2,2,0.00023923000000000003,0.000993614
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/copy.py,210,_deepcopy_tuple,176,182,0.00023830700000000002,0.0012141860000000001
