plant,step,exact_time,view,coordinate,reference,reference_data_origin,observer,gpu_lo_hex,gpu_hi_hex,reference_lo_hex,reference_hi_hex,gpu_width,reference_width,width_ratio,lower_abs_diff,upper_abs_diff,center_abs_diff,near_zero_reference,width_ratio_over_1p10
van_der_pol,119,685988295241073965/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c63eab2412937p+0,0x1.d9530de742682p+0,0x1.c85fae0cd4ca5p+0,0x1.d9445e1b2d0adp+0,0.07452981248191537,0.06598949766362416,1.1294193033840738,0.008316213441698306,0.00022410137659290008,0.004046056032552814,False,True
van_der_pol,119,685988295241073965/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c63e17507e318p+0,0x1.dabaeca135bccp+0,0x1.c85fabef0b103p+0,0x1.daabab1f55b7ap+0,0.0800298044264709,0.07147211960787359,1.1197345883338623,0.008324898441851358,0.0002327863767459526,0.004046056032552703,False,True
van_der_pol,120,86469112845513525/72057594037927936,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c4e204ba82f4dp+0,0x1.d7d9dae85ec5ep+0,0x1.c706e295603b7p+0,0x1.d7cae611b2f58p+0,0.07409418696972048,0.06549093041642373,1.1313656180877716,0.008375039991074917,0.00022821656222182796,0.004073411714426434,False,True
van_der_pol,120,86469112845513525/72057594037927936,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c4e17504f6001p+0,0x1.d9455751fc06ap+0,0x1.c706e09525318p+0,0x1.d935d4c5fe4b8p+0,0.07964910870034658,0.07102895920352381,1.1213610560183334,0.008383486462838041,0.00023666303398472976,0.004073411714426545,False,True
van_der_pol,121,697517510287142435/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c38135f7d333cp+0,0x1.d65da3fe3da14p+0,0x1.c5a9ea679cb0dp+0,0x1.d64e69d2fc5d4p+0,0.07367599159845462,0.06501003619602996,1.1333018086052669,0.008433606426013762,0.00023234897641088992,0.004100628724801436,False,True
van_der_pol,121,697517510287142435/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c380aa3b147d3p+0,0x1.d7ccb2913facap+0,0x1.c5a9e88402f2ap+0,0x1.d7bcee8cd9704p+0,0.07928516486862036,0.07060277667777948,1.1229751661250662,0.008441822820221878,0.00024056537061900585,0.004100628724801547,False,True
van_der_pol,122,351641058905088335/288230376151711744,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c21c4d6bb61ebp+0,0x1.d4de709df28bbp+0,0x1.c448d4848dae1p+0,0x1.d4cef0d60622dp+0,0.07327480293718125,0.06454636563326499,1.1352274015474222,0.008491939129780857,0.0002364981741354022,0.004127720477822727,False,True
van_der_pol,122,351641058905088335/288230376151711744,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c21bc583d7a7ep+0,0x1.d651067be44f5p+0,0x1.c448d2bcb10ecp+0,0x1.d6410093f60efp+0,0.07893758827108655,0.07019316201785908,1.1245766111947293,0.00849993360443646,0.00024449264879100596,0.004127720477822616,False,True
van_der_pol,123,709046725333210905/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c0b358e5f14ffp+0,0x1.d35c47b4c40b6p+0,0x1.c2e3af28af2e2p+0,0x1.d34c820cd960ep+0,0.07289021062272893,0.06409948416166866,1.1371419220611623,0.008550063413957032,0.00024066304710324005,0.004154700183427007,False,True
van_der_pol,123,709046725333210905/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c0b2d4b047863p+0,0x1.d4d25aa1cb259p+0,0x1.c2e3ad7bb4798p+0,0x1.d4c2127131660p+0,0.07860600611058777,0.0697997187934778,1.1261650830308625,0.008557843841981994,0.0002484434751279796,0.004154700183427007,False,True
