tool,tool_variant,protocol,system,h,horizon,state_index,state_name,run_status,first_failure_time,failure_horizon_or_censor,censored_at_requested_horizon,final_valid_time,width_at_own_final_valid_step
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.005,1.0,1,x2,validation_failed,0.08,0.08,False,0.075,0.2889079547377209
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.01,1.0,0,x1,validation_failed,0.01,0.01,False,,
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.01,1.0,1,x2,validation_failed,0.01,0.01,False,,
flowstar,minimum_supported_fixed_order_2,native_low_order,riccati,0.01,1.0,0,x,success,,1.0,True,1.0000000000000007,0.13185402992023035
flowstar,minimum_supported_fixed_order_2,native_low_order,harmonic,0.01,4.0,0,x1,success,,4.0,True,3.9999999999999587,1.338272663694526
flowstar,minimum_supported_fixed_order_2,native_low_order,harmonic,0.01,4.0,1,x2,success,,4.0,True,3.9999999999999587,1.338272663694526
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.005,1.0,0,x1,validation_failed,0.09,0.09,False,0.085,0.336716037200139
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.005,1.0,1,x2,validation_failed,0.09,0.09,False,0.085,0.3078248974424118
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.01,1.0,0,x1,validation_failed,0.01,0.01,False,,
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.01,1.0,1,x2,validation_failed,0.01,0.01,False,,
