tool,tool_variant,protocol,system,h,horizon,run_status,build_time_s,jit_compile_time_s,first_execution_time_s,steady_runtime_per_step_s,orchestration_time_s,completed_steps
torch_tm_flowpipe,complete_total_degree_order_1,native_low_order,riccati,0.01,1.0,success,0.0,0.0,0.008658435195684433,0.008115538861602545,0.9063799818977714,100
torch_tm_flowpipe,complete_total_degree_order_1,native_low_order,harmonic,0.01,4.0,success,0.0,0.0,0.01353073213249445,0.012873617000877857,5.92347241891548,400
torch_tm_flowpipe,complete_total_degree_order_1,native_low_order,van_der_pol,0.005,1.0,validation_failed,0.0,0.0,0.02507080091163516,0.024288330227136612,2.6251702471636236,96
torch_tm_flowpipe,complete_total_degree_order_1,native_low_order,van_der_pol,0.01,1.0,validation_failed,0.0,0.0,0.025329211726784706,0.02434219652786851,1.3138645659200847,46
diffreach,affine_flag,one_step_common_input,riccati,0.005,0.005,success,0.0,0.4981958935968578,0.0008076378144323826,0.00023081526160240173,0.6167444339953363,1
diffreach,affine_flag,one_step_common_input,riccati,0.01,0.01,success,0.0,0.4665287951938808,0.0006989580579102039,0.00020170211791992188,0.4726466159336269,1
diffreach,affine_flag,one_step_common_input,riccati,0.02,0.02,success,0.0,0.4338130420073867,0.0006705932319164276,0.00023411773145198822,0.4401413220912218,1
diffreach,affine_flag,one_step_common_input,riccati,0.05,0.05,success,0.0,0.44373714085668325,0.0007371329702436924,0.00021135713905096054,0.44992748461663723,1
diffreach,affine_flag,one_step_common_input,harmonic,0.005,0.005,success,0.0,0.5276015438139439,0.0005666152574121952,0.00011379923671483994,0.6453999308869243,1
diffreach,affine_flag,one_step_common_input,harmonic,0.01,0.01,success,0.0,0.483194119296968,0.000559207983314991,0.00011320598423480988,0.4893131637945771,1
diffreach,affine_flag,one_step_common_input,harmonic,0.02,0.02,success,0.0,0.4928298480808735,0.0005580908618867397,0.00010407296940684319,0.49899077508598566,1
diffreach,affine_flag,one_step_common_input,harmonic,0.05,0.05,success,0.0,0.5218522851355374,0.000554865226149559,0.00011504907160997391,0.5279859928414226,1
diffreach,affine_flag,one_step_common_input,van_der_pol,0.0025,0.0025,success,0.0,0.7846610490232706,0.0006486750207841396,0.00017453497275710106,0.7924910001456738,1
diffreach,affine_flag,one_step_common_input,van_der_pol,0.005,0.005,success,0.0,0.7961448607966304,0.0006424169987440109,0.0001656152307987213,0.8038158239796758,1
diffreach,affine_flag,one_step_common_input,van_der_pol,0.01,0.01,success,0.0,0.7870484162122011,0.0006350330077111721,0.00018925592303276062,0.7947037410922348,1
diffreach,affine_flag,one_step_common_input,van_der_pol,0.02,0.02,success,0.0,0.8447809559293091,0.0006647557020187378,0.00017283298075199127,0.8524352181702852,1
diffreach,affine_flag,multi_step_common_box_carry,riccati,0.01,1.0,success,0.0,0.44558298168703914,0.000554374884814024,0.00010957987979054451,0.48225715989246964,100
diffreach,affine_flag,multi_step_common_box_carry,harmonic,0.01,4.0,success,0.0,0.48556971922516823,0.0005925167351961136,0.00011889217421412468,0.6338317734189332,400
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.005,1.0,validation_failed,0.0,0.8182747638784349,0.0006746500730514526,0.00017987098544836044,0.8770192228257656,125
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.01,1.0,validation_failed,0.0,0.8149887397885323,0.0006826622411608696,0.00017394358292222023,0.843605276197195,54
diffreach,affine_flag,native_low_order,riccati,0.01,1.0,success,0.0,0.4747636350803077,0.000803064089268446,0.0001633460633456707,0.8818997335620224,100
diffreach,default_restricted_quasi_quadratic,native_low_order,riccati,0.01,1.0,success,0.0,0.6439297311007977,0.0007651811465620995,0.00016996636986732483,0.6739810490980744,100
diffreach,affine_flag,native_low_order,harmonic,0.01,4.0,success,0.0,0.5252475566230714,0.0031412970274686813,0.0001877332106232643,0.9887089659459889,400
diffreach,default_restricted_quasi_quadratic,native_low_order,harmonic,0.01,4.0,success,0.0,0.7543386430479586,0.001707575749605894,0.00022833188995718956,0.8860687608830631,400
diffreach,affine_flag,native_low_order,van_der_pol,0.005,1.0,validation_failed,0.0,0.7889432623051107,0.0017840131185948849,0.0002451501786708832,0.8363843429833651,123
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.005,1.0,success,0.0,1.5980438967235386,0.0018285689875483513,0.0003027641214430332,1.682321376632899,200
diffreach,affine_flag,native_low_order,van_der_pol,0.01,1.0,validation_failed,0.0,0.8400296550244093,0.0017467187717556953,0.00027628010138869286,0.869575166143477,53
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.01,1.0,success,0.0,1.6373817268759012,0.001964246854186058,0.0002992060035467148,1.6883250582031906,100
flowstar,minimum_supported_fixed_order_2,one_step_common_input,riccati,0.005,0.005,success,1.7257181559689343,0.0,8.8e-05,8.6e-05,0.013638209085911512,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,riccati,0.01,0.01,success,1.7252086689695716,0.0,9.1e-05,8.6e-05,0.013155966065824032,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,riccati,0.02,0.02,success,1.7158388011157513,0.0,8.8e-05,8.7e-05,0.013562725856900215,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,riccati,0.05,0.05,validation_failed,1.7066935659386218,0.0,8.6e-05,8e-05,0.013045282568782568,0
flowstar,minimum_supported_fixed_order_2,one_step_common_input,harmonic,0.005,0.005,success,1.7322245696559548,0.0,0.000655,0.000646,0.014777809381484985,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,harmonic,0.01,0.01,success,1.7338418089784682,0.0,0.000655,0.000642,0.015644334722310305,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,harmonic,0.02,0.02,success,1.7215182580985129,0.0,0.000648,0.000644,0.01462833909317851,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,harmonic,0.05,0.05,validation_failed,1.7141341539099813,0.0,6.3e-05,6e-05,0.010637333150953054,0
flowstar,minimum_supported_fixed_order_2,one_step_common_input,van_der_pol,0.0025,0.0025,success,1.733889081981033,0.0,0.000232,0.000215,0.011796991806477308,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,van_der_pol,0.005,0.005,success,1.716374073177576,0.0,0.000218,0.000212,0.012642266694456339,1
flowstar,minimum_supported_fixed_order_2,one_step_common_input,van_der_pol,0.01,0.01,validation_failed,1.7316159447655082,0.0,0.000195,0.000191,0.011598359793424606,0
flowstar,minimum_supported_fixed_order_2,one_step_common_input,van_der_pol,0.02,0.02,validation_failed,1.734945137053728,0.0,0.000211,0.000202,0.011241828091442585,0
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,riccati,0.01,1.0,success,1.731981991790235,0.0,9.1e-05,6.8e-05,0.0026927394792437553,100
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,harmonic,0.01,4.0,validation_failed,1.7452837731689215,0.0,0.000657,0.000574,0.016013029031455517,222
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.005,1.0,validation_failed,1.738695016130805,0.0,0.00022,0.00019,0.0010311705991625786,15
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.01,1.0,validation_failed,1.7564991870895028,0.0,0.000187,0.000187,0.00038123270496726036,0
flowstar,minimum_supported_fixed_order_2,native_low_order,riccati,0.01,1.0,success,1.743419790174812,0.0,8.8e-05,7.1e-05,0.0025531798601150513,100
flowstar,minimum_supported_fixed_order_2,native_low_order,harmonic,0.01,4.0,success,1.7466369830071926,0.0,0.000647,0.000588,0.026681927032768726,400
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.005,1.0,validation_failed,1.7611611909233034,0.0,0.000216,0.000208,0.0010938066989183426,17
flowstar,minimum_supported_fixed_order_2,native_low_order,van_der_pol,0.01,1.0,validation_failed,1.7588519309647381,0.0,0.000203,0.000203,0.0003624693490564823,0
