tool,tool_variant,system,h,state_index,state_name,status,lower,upper,width,exact_width,exact_inflation_ratio,native_validation_status,local_order,local_retained_basis,interval_remainder_width,polynomial_width,steady_runtime_per_step_s,first_failure_time
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.05,0,x1,validated,-0.10531250000106568,0.10531250000106568,0.21062500000213136,0.20974588593312893,1.0041913292606022,validated,1,"complete_total_degree_1(local_time,state_generators)",0.010625000002131265,0.2000000000000001,0.013021904043853283,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.05,1,x2,validated,-0.10531250000106568,0.10531250000106568,0.21062500000213136,0.20974588593312893,1.0041913292606022,validated,1,"complete_total_degree_1(local_time,state_generators)",0.010625000002131265,0.2000000000000001,0.013021904043853283,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.0025,0,x1,validated,1.1058294781239961,1.4061470718760036,0.3003175937520075,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.00031759375200634496,0.30000000000000077,0.024394504260271788,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.0025,1,x2,validated,2.340145098751121,2.4533750000010017,0.11322990124988053,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.013229901249877357,0.10000000000000188,0.024394504260271788,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0,x1,validated,1.1115679124989928,1.4123382875010069,0.3007703750020141,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0007703750020128572,0.30000000000000077,0.024440056178718805,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,1,x2,validated,2.3298375157572777,2.4567500000010014,0.1269124842437237,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.02691248424372097,0.10000000000000188,0.024440056178718805,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0,x1,validated,1.1227716499989857,1.4248531500010133,0.3020815000020276,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.00208150000202639,0.30000000000000077,0.024401277769356966,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,1,x2,validated,2.3078469284231335,2.4635000000010017,0.15565307157786812,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.05565307157786515,0.10000000000000188,0.024401277769356966,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.02,0,x1,validated,1.1440865999989696,1.4504126000010262,0.3063260000020567,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.006326000002055501,0.30000000000000077,0.024460197892040014,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.02,1,x2,validated,2.258241027112755,2.4770000000010017,0.21875897288824664,,,validated,1,"complete_total_degree_1(local_time,state_generators)",0.11875897288824386,0.10000000000000188,0.024460197892040014,
diffreach,affine_flag,riccati,0.005,0,x,validated,-1.251876542446231e-05,0.10005004693423931,0.10006256569966378,0.10005002501250625,1.0001253441681395,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",1.2537561030913079e-05,0.10005002813863287,0.00023081526160240173,
diffreach,affine_flag,riccati,0.01,0,x,validated,-2.507513055141797e-05,0.1001001879815906,0.10012526311214201,0.1001001001001001,1.0002513784902987,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",2.5150489001753456e-05,0.10010011262314025,0.00020170211791992188,
diffreach,affine_flag,riccati,0.02,0,x,validated,-5.0301053927827846e-05,0.10020075387060647,0.10025105492453429,0.10020040080160321,1.0005055281468522,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",5.060392425834019e-05,0.10020045100027596,0.00023411773145198822,
diffreach,affine_flag,riccati,0.05,0,x,validated,-0.00012689160863854363,0.1005047485163336,0.10063164012497215,0.10050251256281408,1.001284819243473,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.00012881191260971149,0.10050282821236245,0.00021135713905096054,
diffreach,affine_flag,harmonic,0.005,0,x1,validated,-0.10050251256212102,0.10050251256212102,0.20100502512424204,0.20099749583854687,1.0000374595995027,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.250000000000001e-13,0.20100502512361704,0.00011379923671483994,
diffreach,affine_flag,harmonic,0.005,1,x2,validated,-0.10050251256212102,0.10050251256212102,0.20100502512424204,0.20099749583854687,1.0000374595995027,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.250000000000001e-13,0.20100502512361704,0.00011379923671483994,
diffreach,affine_flag,harmonic,0.01,0,x1,validated,-0.10101010101908887,0.10101010101908887,0.20202020203817775,0.2019899667501664,1.000149687078511,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",2.0000000000000002e-11,0.20202020201817775,0.00011320598423480988,
diffreach,affine_flag,harmonic,0.01,1,x2,validated,-0.10101010101908887,0.10101010101908887,0.20202020203817775,0.2019899667501664,1.000149687078511,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",2.0000000000000002e-11,0.20202020201817775,0.00011320598423480988,
diffreach,affine_flag,harmonic,0.02,0,x1,validated,-0.10204081664537751,0.10204081664537751,0.20408163329075502,0.2039597346719822,1.000597660214497,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.400000000000001e-10,0.20408163265075502,0.00010407296940684319,
diffreach,affine_flag,harmonic,0.02,1,x2,validated,-0.10204081664537751,0.10204081664537751,0.20408163329075502,0.2039597346719822,1.000597660214497,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.400000000000001e-10,0.20408163265075502,0.00010407296940684319,
diffreach,affine_flag,harmonic,0.05,0,x1,validated,-0.10526318906144183,0.10526318906144183,0.21052637812288366,0.20974588593312893,1.003721132294359,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.250000000000002e-08,0.21052631562288365,0.00011504907160997391,
diffreach,affine_flag,harmonic,0.05,1,x2,validated,-0.10526318906144183,0.10526318906144183,0.21052637812288366,0.20974588593312893,1.003721132294359,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",6.250000000000002e-08,0.21052631562288365,0.00011504907160997391,
diffreach,affine_flag,van_der_pol,0.0025,0,x1,validated,1.1058594219004705,1.406131929141017,0.30027250724054655,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",7.55092431182813e-07,0.3002717521481153,0.00017453497275710106,
diffreach,affine_flag,van_der_pol,0.0025,1,x2,validated,2.340542780771918,2.4462717578543365,0.10572897708241857,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.0002780646415412864,0.10545091244087734,0.00017453497275710106,
diffreach,affine_flag,van_der_pol,0.005,0,x1,validated,1.1116866598902375,1.4122780301076552,0.30059137021741766,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",3.752189522208072e-06,0.30058761802789546,0.0001656152307987213,
diffreach,affine_flag,van_der_pol,0.005,1,x2,validated,2.330928316531959,2.4426067998236043,0.11167848329164531,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.0006544581734619099,0.11102402511818354,0.0001656152307987213,
diffreach,affine_flag,van_der_pol,0.01,0,x1,validated,1.12323821891042,1.4246148715538598,0.3013766526434398,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",2.1218090497020738e-05,0.3013554345529428,0.00018925592303276062,
diffreach,affine_flag,van_der_pol,0.01,1,x2,validated,2.3112096508674296,2.43549288916895,0.12428323830152044,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.0017364304502948424,0.12254680785122574,0.00018925592303276062,
diffreach,affine_flag,van_der_pol,0.02,0,x1,validated,1.1458818370374404,1.4494859035671133,0.30360406652967287,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.00014117605299119468,0.3034628904766816,0.00017283298075199127,
diffreach,affine_flag,van_der_pol,0.02,1,x2,validated,2.2696680524420554,2.422333078002801,0.1526650255607458,,,validated,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",0.0054937001313525285,0.14717132542939293,0.00017283298075199127,
flowstar,minimum_supported_fixed_order_2,riccati,0.005,0,x,validated,-0.0001124968749999968,0.10013750312500001,0.10025,0.10005002501250625,1.00199875,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.10005,8.6e-05,
flowstar,minimum_supported_fixed_order_2,riccati,0.01,0,x,validated,-0.00012498750000000384,0.10017501250000001,0.10030000000000001,0.1001001001001001,1.001997,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.10010000000000001,8.6e-05,
flowstar,minimum_supported_fixed_order_2,riccati,0.02,0,x,validated,-0.00014995,0.10025005000000002,0.10040000000000002,0.10020040080160321,1.0019920000000002,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.10020000000000001,8.7e-05,
flowstar,minimum_supported_fixed_order_2,riccati,0.05,0,x,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,8e-05,0.05
flowstar,minimum_supported_fixed_order_2,harmonic,0.005,0,x1,validated,-0.10060000000000001,0.10060000000000001,0.20120000000000002,0.20099749583854687,1.0010074959422173,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.201,0.000646,
flowstar,minimum_supported_fixed_order_2,harmonic,0.005,1,x2,validated,-0.10060000000000001,0.10060000000000001,0.20120000000000002,0.20099749583854687,1.0010074959422173,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.201,0.000646,
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,0,x1,validated,-0.10110000000000001,0.10110000000000001,0.20220000000000002,0.2019899667501664,1.0010398202109385,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.202,0.000642,
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,1,x2,validated,-0.10110000000000001,0.10110000000000001,0.20220000000000002,0.2019899667501664,1.0010398202109385,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.202,0.000642,
flowstar,minimum_supported_fixed_order_2,harmonic,0.02,0,x1,validated,-0.10210000000000001,0.10210000000000001,0.20420000000000002,0.2039597346719822,1.001178003729041,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.20400000000000001,0.000644,
flowstar,minimum_supported_fixed_order_2,harmonic,0.02,1,x2,validated,-0.10210000000000001,0.10210000000000001,0.20420000000000002,0.2039597346719822,1.001178003729041,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.0002,0.20400000000000001,0.000644,
flowstar,minimum_supported_fixed_order_2,harmonic,0.05,0,x1,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,6e-05,0.05
flowstar,minimum_supported_fixed_order_2,harmonic,0.05,1,x2,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,6e-05,0.05
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.0025,0,x1,validated,1.104866875,1.4071168750000003,0.30225000000000035,,,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.002,0.30025000000000013,0.000215,
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.0025,1,x2,validated,2.3398973828125,2.447006757812501,0.10710937500000117,,,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.002,0.1051093750000005,0.000215,
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0,x1,validated,1.1107174999999998,1.4132175,0.3025000000000002,,,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.002,0.3005,0.000212,
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,1,x2,validated,2.33069890625,2.442917656250001,0.11221875000000114,,,validated,2,"complete_total_degree_2(local_time,normalized_generators)",0.002,0.11021875000000048,0.000212,
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0,x1,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,0.000191,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,1,x2,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,0.000191,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.02,0,x1,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,0.000202,0.02
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.02,1,x2,validation_failed,,,,,,failed,2,"complete_total_degree_2(local_time,normalized_generators)",,,0.000202,0.02
