accepted_boundary_index_after,accepted_boundary_index_before,accepted_mask,active_columns_after,actual_rejections,actual_status,attempt_index,committed_to_frozen_prefix,conservation_mask,endpoint_publication_mask,endpoint_total_width,event_count_after,evicted_width,expected_status,finite_mask,h_actual_hex,h_attempted_hex,lane,materialized_total_width,no_double_count_mask,nonlinear_residual_width,ordinary_width,schedule_match,source_decomposition_mask,structured_incremental_width,t_before_hex,tube_publication_mask,tube_total_width
17,16,,,0,accepted,16,False,,,,,,accepted,,0x1.d68675b8f68cdp-7,0x1.d68675b8f68cdp-7,L0,,,,,True,,,0x1.e5c88f5138babp-3,,
18,17,,,0,accepted,17,False,,,,,,accepted,,0x1.02c9f3f2879a4p-6,0x1.02c9f3f2879a4p-6,L0,,,,,True,,,0x1.01987b566411cp-2,,
19,18,,,0,accepted,18,False,,,,,,accepted,,0x1.1caaf2bdfb902p-6,0x1.1caaf2bdfb902p-6,L0,,,,,True,,,0x1.11c51a958c8b6p-2,,
20,19,,,0,accepted,19,False,,,,,,accepted,,0x1.3922716a94b83p-6,0x1.3922716a94b83p-6,L0,,,,,True,,,0x1.238fc9c16c446p-2,,
21,20,,,0,accepted,20,False,,,,,,accepted,,0x1.5872aff53d311p-6,0x1.5872aff53d311p-6,L0,,,,,True,,,0x1.3721f0d8158fep-2,,
22,21,,,1,accepted,21,False,,,,,,accepted,,0x1.7ae48e5a901c6p-7,0x1.7ae48e5a901c6p-6,L0,,,,,True,,,0x1.4ca91bd76962fp-2,,
23,22,,,0,accepted,22,False,,,,,,accepted,,0x1.a0c836306b527p-7,0x1.a0c836306b527p-7,L0,,,,,True,,,0x1.5880404a3de3dp-2,,
24,23,,,0,accepted,23,False,,,,,,accepted,,0x1.ca75d53542dacp-7,0x1.ca75d53542dacp-7,L0,,,,,True,,,0x1.658681fbc13e6p-2,,
25,24,,,0,accepted,24,False,,,,,,accepted,,0x1.f84e6a876323ep-7,0x1.f84e6a876323ep-7,L0,,,,,True,,,0x1.73da30a56b553p-2,,
26,25,,,0,accepted,25,False,,,,,,accepted,,0x1.155e5430dced6p-6,0x1.155e5430dced6p-6,L0,,,,,True,,,0x1.839ca3f9a66e5p-2,,
27,26,,,0,accepted,26,False,,,,,,accepted,,0x1.311af635bfd1fp-6,0x1.311af635bfd1fp-6,L0,,,,,True,,,0x1.94f2893cb43d2p-2,,
28,27,,,0,accepted,27,False,,,,,,accepted,,0x1.4f9da86e53009p-6,0x1.4f9da86e53009p-6,L0,,,,,True,,,0x1.a80438a0103a4p-2,,
29,28,,,0,accepted,28,False,,,,,,accepted,,0x1.712d6c795b4d7p-6,0x1.712d6c795b4d7p-6,L0,,,,,True,,,0x1.bcfe1326f56a5p-2,,
30,29,,,0,accepted,29,False,,,,,,accepted,,0x1.96185db8b13bap-6,0x1.96185db8b13bap-6,L0,,,,,True,,,0x1.d410e9ee8b1f2p-2,,
31,30,,,0,accepted,30,False,,,,,,accepted,,0x1.beb46717f6280p-6,0x1.beb46717f6280p-6,L0,,,,,True,,,0x1.ed726fca1632ep-2,,
32,31,,,1,accepted,31,False,,,,,,accepted,,0x1.eb600b00c1f8dp-7,0x1.eb600b00c1f8dp-6,L0,,,,,True,,,0x1.04aedb1dcacabp-1,,
33,32,,,0,accepted,32,False,,,,,,accepted,,0x1.0e419fa6d115bp-6,0x1.0e419fa6d115bp-6,L0,,,,,True,,,0x1.0c5c5b49cdd29p-1,,
34,33,,,0,accepted,33,False,,,,,,accepted,,0x1.29482f9de5fe5p-6,0x1.29482f9de5fe5p-6,L0,,,,,True,,,0x1.14ce6847045b4p-1,,
35,34,,,0,accepted,34,False,,,,,,accepted,,0x1.47029ac749cb0p-6,0x1.47029ac749cb0p-6,L0,,,,,True,,,0x1.1e18a9c3f38b3p-1,,
36,35,,,0,accepted,35,False,,,,,,accepted,,0x1.67b610a8045f5p-6,0x1.67b610a8045f5p-6,L0,,,,,True,,,0x1.2850be9a2dd98p-1,,
37,36,,,0,accepted,36,False,,,,,,accepted,,0x1.8baeabec04cf4p-6,0x1.8baeabec04cf4p-6,L0,,,,,True,,,0x1.338e6f1f6dfc8p-1,,
38,37,,,0,accepted,37,False,,,,,,accepted,,0x1.b34023839ee40p-6,0x1.b34023839ee40p-6,L0,,,,,True,,,0x1.3febe47ece230p-1,,
39,38,,,0,accepted,38,False,,,,,,accepted,,0x1.dec68d772ec7ap-6,0x1.dec68d772ec7ap-6,L0,,,,,True,,,0x1.4d85e59aeb1a2p-1,,
40,39,,,0,accepted,39,False,,,,,,accepted,,0x1.07539a9b26877p-5,0x1.07539a9b26877p-5,L0,,,,,True,,,0x1.5c7c1a06a4906p-1,,
41,40,,,0,accepted,40,False,,,,,,accepted,,0x1.21a8c3aaaa61dp-5,0x1.21a8c3aaaa61dp-5,L0,,,,,True,,,0x1.6cf153b056f8dp-1,,
42,41,,,0,accepted,41,False,,,,,,accepted,,0x1.3ea00a6eee9edp-5,0x1.3ea00a6eee9edp-5,L0,,,,,True,,,0x1.7f0bdfeb019efp-1,,
43,42,,,1,accepted,42,False,,,,,,accepted,,0x1.5e7cd846d3485p-6,0x1.5e7cd846d3485p-5,L0,,,,,True,,,0x1.92f5e091f088ep-1,,
44,43,,,0,accepted,43,False,,,,,,accepted,,0x1.8189544de8693p-6,0x1.8189544de8693p-6,L0,,,,,True,,,0x1.9de9c75427232p-1,,
45,44,,,0,accepted,44,False,,,,,,accepted,,0x1.a8170fef4c73cp-6,0x1.a8170fef4c73cp-6,L0,,,,,True,,,0x1.a9f611f696667p-1,,
46,45,,,0,accepted,45,False,,,,,,accepted,,0x1.d27fc4ba6db29p-6,0x1.d27fc4ba6db29p-6,L0,,,,,True,,,0x1.b736ca7610ca1p-1,,
47,46,,,0,accepted,46,False,,,,,,accepted,,0x1.00931299bc557p-5,0x1.00931299bc557p-5,L0,,,,,True,,,0x1.c5cac89be437ap-1,,
48,47,,,0,accepted,47,False,,,,,,accepted,,0x1.1a3b6142b5913p-5,0x1.1a3b6142b5913p-5,L0,,,,,True,,,0x1.d5d3f9c57ffcfp-1,,
49,48,,,0,accepted,48,False,,,,,,accepted,,0x1.367484962e1fcp-5,0x1.367484962e1fcp-5,L0,,,,,True,,,0x1.e777afd9ab560p-1,,
50,49,,,0,accepted,49,False,,,,,,accepted,,0x1.55802b71ff896p-5,0x1.55802b71ff896p-5,L0,,,,,True,,,0x1.fadef8230e380p-1,,
51,50,,,0,accepted,50,False,,,,,,accepted,,0x1.77a6963099172p-5,0x1.77a6963099172p-5,L0,,,,,True,,,0x1.081b7d6d17185p+0,,
52,51,,,0,accepted,51,False,,,,,,accepted,,0x1.9d373ecf0eccbp-5,0x1.9d373ecf0eccbp-5,L0,,,,,True,,,0x1.13d8b21e9be11p+0,,
53,52,,,0,accepted,52,False,,,,,,accepted,,0x1.c68991e3c37adp-5,0x1.c68991e3c37adp-5,L0,,,,,True,,,0x1.20c26c1514577p+0,,
54,53,,,0,accepted,53,False,,,,,,accepted,,0x1.f3fdba1423d3fp-5,0x1.f3fdba1423d3fp-5,L0,,,,,True,,,0x1.2ef6b8a432734p+0,,
55,54,,,1,accepted,54,False,,,,,,accepted,,0x1.12febff17a1b0p-5,0x1.12febff17a1b0p-4,L0,,,,,True,,,0x1.3e96a674d391ep+0,,
56,55,,,0,accepted,55,False,,,,,,accepted,,0x1.2e7e9ff00650fp-5,0x1.2e7e9ff00650fp-5,L0,,,,,True,,,0x1.472e9c745f62cp+0,,
57,56,,,0,accepted,56,False,,,,,,accepted,,0x1.4cbe7cbb3a25ep-5,0x1.4cbe7cbb3a25ep-5,L0,,,,,True,,,0x1.50a29173df954p+0,,
58,57,,,0,accepted,57,False,,,,,,accepted,,0x1.6e04bc678cc35p-5,0x1.6e04bc678cc35p-5,L0,,,,,True,,,0x1.5b088559b9667p+0,,
59,58,,,0,accepted,58,False,,,,,,accepted,,0x1.929ecf3eb4708p-5,0x1.929ecf3eb4708p-5,L0,,,,,True,,,0x1.6678ab3cf5cc9p+0,,
60,59,,,0,accepted,59,False,,,,,,accepted,,0x1.bae1e3f82ce23p-5,0x1.bae1e3f82ce23p-5,L0,,,,,True,,,0x1.730da1b6eb701p+0,,
61,60,,,0,accepted,60,False,,,,,,accepted,,0x1.e72badf764927p-5,0x1.e72badf764927p-5,L0,,,,,True,,,0x1.80e4b0d6acd72p+0,,
62,61,,,0,accepted,61,False,,,,,,accepted,,0x1.0bf19fae77509p-4,0x1.0bf19fae77509p-4,L0,,,,,True,,,0x1.901e0e4667fbbp+0,,
63,62,,,0,accepted,62,False,,,,,,accepted,,0x1.26bcfc731cd8ap-4,0x1.26bcfc731cd8ap-4,L0,,,,,True,,,0x1.a0dd28414f70cp+0,,
64,63,,,1,accepted,63,False,,,,,,accepted,,0x1.443648e506218p-5,0x1.443648e506218p-4,L0,,,,,True,,,0x1.b348f808813e5p+0,,
65,64,,,0,accepted,64,False,,,,,,accepted,,0x1.64a21cfbed24ep-5,0x1.64a21cfbed24ep-5,L0,,,,,True,,,0x1.bd6aaa4fa96f6p+0,,
66,65,,,0,accepted,65,False,,,,,,accepted,,0x1.884becaeb80f0p-5,0x1.884becaeb80f0p-5,L0,,,,,True,,,0x1.c88fbb3788d88p+0,,
67,66,,,0,accepted,66,False,,,,,,accepted,,0x1.af86b78cfdaa2p-5,0x1.af86b78cfdaa2p-5,L0,,,,,True,,,0x1.d4d21a9cfe990p+0,,
68,67,,,0,accepted,67,False,,,,,,accepted,,0x1.daadc9e7e3d4cp-5,0x1.daadc9e7e3d4cp-5,L0,,,,,True,,,0x1.e24e505966865p+0,,
69,68,,,0,accepted,68,False,,,,,,accepted,,0x1.0512c8a5f081dp-4,0x1.0512c8a5f081dp-4,L0,,,,,True,,,0x1.f123bea8a5a4fp+0,,
70,69,,,0,accepted,69,False,,,,,,accepted,,0x1.1f2e431ceef54p-4,0x1.1f2e431ceef54p-4,L0,,,,,True,,,0x1.00ba759982568p+1,,
71,70,,,0,accepted,70,False,,,,,,accepted,,0x1.3be6169fd3a76p-4,0x1.3be6169fd3a76p-4,L0,,,,,True,,,0x1.09b3e7b269ce3p+1,,
72,71,,,1,accepted,71,False,,,,,,accepted,,0x1.5b7d18e3026b5p-5,0x1.5b7d18e3026b5p-4,L0,,,,,True,,,0x1.13931867686b7p+1,,
73,72,,,0,accepted,72,False,,,,,,accepted,,0x1.7e3cce934f761p-5,0x1.7e3cce934f761p-5,L0,,,,,True,,,0x1.19010ccaf4752p+1,,
74,73,,,0,accepted,73,False,,,,,,accepted,,0x1.a476166ed7685p-5,0x1.a476166ed7685p-5,L0,,,,,True,,,0x1.1efa000541b30p+1,,
75,74,,,0,accepted,74,False,,,,,,accepted,,0x1.ce81e579ecf2dp-5,0x1.ce81e579ecf2dp-5,L0,,,,,True,,,0x1.258bd85efd10ap+1,,
76,75,,,0,accepted,75,False,,,,,,accepted,,0x1.fcc216061e3e5p-5,0x1.fcc216061e3e5p-5,L0,,,,,True,,,0x1.2cc5dff4e4c47p+1,,
77,76,,,0,accepted,76,False,,,,,,accepted,,0x1.17d125b690a25p-4,0x1.17d125b690a25p-4,L0,,,,,True,,,0x1.34b8e84cfd3d7p+1,,
78,77,,,1,accepted,77,False,,,,,,accepted,,0x1.33cc7648d24c3p-5,0x1.33cc7648d24c3p-4,L0,,,,,True,,,0x1.3d77717ab1c28p+1,,
79,78,,,0,accepted,78,False,,,,,,accepted,,0x1.52941bb680ed7p-5,0x1.52941bb680ed7p-5,L0,,,,,True,,,0x1.4246a353d50bbp+1,,
80,79,,,0,accepted,79,False,,,,,,accepted,,0x1.746fb8158dd20p-5,0x1.746fb8158dd20p-5,L0,,,,,True,,,0x1.4790f3c2af0f6p+1,,
81,80,,,0,accepted,80,False,,,,,,accepted,,0x1.99ae174ae8cd7p-5,0x1.99ae174ae8cd7p-5,L0,,,,,True,,,0x1.4d62b2a30546ap+1,,
82,81,,,0,accepted,81,False,,,,,,accepted,,0x1.c2a5e66c00154p-5,0x1.c2a5e66c00154p-5,L0,,,,,True,,,0x1.53c96b0030e9dp+1,,
83,82,,,1,accepted,82,False,,,,,,accepted,,0x1.efb67d76cce44p-6,0x1.efb67d76cce44p-5,L0,,,,,True,,,0x1.5ad40299e0ea2p+1,,
84,83,,,0,accepted,83,False,,,,,,accepted,,0x1.10a45e9af0b0cp-5,0x1.10a45e9af0b0cp-5,L0,,,,,True,,,0x1.5eb36f94ce83fp+1,,
85,84,,,0,accepted,84,False,,,,,,accepted,,0x1.2be801aa6f28ep-5,0x1.2be801aa6f28ep-5,L0,,,,,True,,,0x1.62f6010f3a46bp+1,,
86,85,,,0,accepted,85,False,,,,,,accepted,,0x1.49e59b6ead79dp-5,0x1.49e59b6ead79dp-5,L0,,,,,True,,,0x1.67a5a115e4035p+1,,
87,86,,,0,accepted,86,False,,,,,,accepted,,0x1.6ae2f7c68b9fap-5,0x1.6ae2f7c68b9fap-5,L0,,,,,True,,,0x1.6ccd37839eb93p+1,,
88,87,,,1,accepted,87,False,,,,,,accepted,,0x1.8f2cdd5a6662dp-6,0x1.8f2cdd5a6662dp-5,L0,,,,,True,,,0x1.7278c362b8e7bp+1,,
89,88,,,0,accepted,88,False,,,,,,accepted,,0x1.b717c049d7065p-6,0x1.b717c049d7065p-6,L0,,,,,True,,,0x1.75971d1d6db47p+1,,
90,89,,,0,accepted,89,False,,,,,,accepted,,0x1.e30086b79fba3p-6,0x1.e30086b79fba3p-6,L0,,,,,True,,,0x1.79054c9e01628p+1,,
91,90,,,0,accepted,90,False,,,,,,accepted,,0x1.09a6b07e97d9ap-5,0x1.09a6b07e97d9ap-5,L0,,,,,True,,,0x1.7ccb4dab70a1fp+1,,
92,91,,,0,accepted,91,False,,,,,,accepted,,0x1.24375bbe73d5dp-5,0x1.24375bbe73d5dp-5,L0,,,,,True,,,0x1.80f1e86d6b015p+1,,
93,92,,,1,accepted,92,False,,,,,,accepted,,0x1.4170181e4c380p-6,0x1.4170181e4c380p-5,L0,,,,,True,,,0x1.8582c5dc64d0ap+1,,
94,93,,,0,accepted,93,False,,,,,,accepted,,0x1.6194e754870a7p-6,0x1.6194e754870a7p-6,L0,,,,,True,,,0x1.8805a60ca1691p+1,,
95,94,,,0,accepted,94,False,,,,,,accepted,,0x1.84f098102e252p-6,0x1.84f098102e252p-6,L0,,,,,True,,,0x1.8ac8cfdb4a772p+1,,
96,95,,,0,accepted,95,False,,,,,,accepted,,0x1.abd57411cc5c1p-6,0x1.abd57411cc5c1p-6,L0,,,,,True,,,0x1.8dd2b10b6ad37p+1,,
97,96,,,0,accepted,96,False,,,,,,accepted,,0x1.d69dffad2d988p-6,0x1.d69dffad2d988p-6,L0,,,,,True,,,0x1.912a5bf38e6c3p+1,,
98,97,,,1,accepted,97,False,,,,,,accepted,,0x1.02d6e638d913ep-6,0x1.02d6e638d913ep-5,L0,,,,,True,,,0x1.94d797f2e8c76p+1,,
99,98,,,0,accepted,98,False,,,,,,accepted,,0x1.1cb93071bb95ep-6,0x1.1cb93071bb95ep-6,L0,,,,,True,,,0x1.96dd45bf5a798p+1,,
100,99,,,0,accepted,99,False,,,,,,accepted,,0x1.39321bb04e581p-6,0x1.39321bb04e581p-6,L0,,,,,True,,,0x1.9916b8203df0bp+1,,
101,100,,,0,accepted,100,False,,,,,,accepted,,0x1.5883eb41efc75p-6,0x1.5883eb41efc75p-6,L0,,,,,True,,,0x1.9b891c579e8d6p+1,,
102,101,,,0,accepted,101,False,,,,,,accepted,,0x1.7af782c887c1bp-6,0x1.7af782c887c1bp-6,L0,,,,,True,,,0x1.9e3a242e226cfp+1,,
103,102,,,0,accepted,102,False,,,,,,accepted,,0x1.a0dd0fdc95551p-6,0x1.a0dd0fdc95551p-6,L0,,,,,True,,,0x1.a1301333b37c7p+1,,
104,103,,,1,accepted,103,False,,,,,,accepted,,0x1.ca8cc4a5d7773p-7,0x1.ca8cc4a5d7773p-6,L0,,,,,True,,,0x1.a471cd536ca72p+1,,
105,104,,,0,accepted,104,False,,,,,,accepted,,0x1.f867a51cd3699p-7,0x1.f867a51cd3699p-7,L0,,,,,True,,,0x1.a63c5a18127e9p+1,,
106,105,,,0,accepted,105,False,,,,,,accepted,,0x1.156c34697446ep-6,0x1.156c34697446ep-6,L0,,,,,True,,,0x1.a834c1bd2f520p+1,,
107,106,,,0,accepted,106,False,,,,,,accepted,,0x1.312a39a7331adp-6,0x1.312a39a7331adp-6,L0,,,,,True,,,0x1.aa5f9a26023a9p+1,,
108,107,,,0,accepted,107,False,,,,,,accepted,,0x1.4fae729e51d0cp-6,0x1.4fae729e51d0cp-6,L0,,,,,True,,,0x1.acc1ee9950a0cp+1,,
109,108,,,0,accepted,108,False,,,,,,accepted,,0x1.713fe47af398ep-6,0x1.713fe47af398ep-6,L0,,,,,True,,,0x1.af614b7e8d446p+1,,
110,109,,,0,accepted,109,False,,,,,,accepted,,0x1.962cae873f283p-6,0x1.962cae873f283p-6,L0,,,,,True,,,0x1.b243cb47832b9p+1,,
111,110,,,1,accepted,110,False,,,,,,accepted,,0x1.becabffb2bdf7p-7,0x1.becabffb2bdf7p-6,L0,,,,,True,,,0x1.b57024a491a9ep+1,,
112,111,,,0,accepted,111,False,,,,,,accepted,,0x1.eb789ffab042ap-7,0x1.eb789ffab042ap-7,L0,,,,,True,,,0x1.b72eef648cd5cp+1,,
113,112,,,0,accepted,112,False,,,,,,accepted,,0x1.0e4f24c9e0f17p-6,0x1.0e4f24c9e0f17p-6,L0,,,,,True,,,0x1.b91a680487860p+1,,
114,113,,,0,accepted,113,False,,,,,,accepted,,0x1.29570ede1109ap-6,0x1.29570ede1109ap-6,L0,,,,,True,,,0x1.bb37064e1b47ep+1,,
115,114,,,0,accepted,114,False,,,,,,accepted,,0x1.4712f6c112bddp-6,0x1.4712f6c112bddp-6,L0,,,,,True,,,0x1.bd89b46bd769fp+1,,
116,115,,,0,accepted,115,False,,,,,,accepted,,0x1.67c80f6dfb040p-6,0x1.67c80f6dfb040p-6,L0,,,,,True,,,0x1.c017da59598f7p+1,,
117,116,,,0,accepted,116,False,,,,,,accepted,,0x1.8bc2775f60eadp-6,0x1.8bc2775f60eadp-6,L0,,,,,True,,,0x1.c2e76a7835858p+1,,
118,117,,,1,accepted,117,False,,,,,,accepted,,0x1.b355e9b5b768cp-7,0x1.b355e9b5b768cp-6,L0,,,,,True,,,0x1.c5feef66f4475p+1,,
119,118,,,0,accepted,118,False,,,,,,accepted,,0x1.dede8114b0267p-7,0x1.dede8114b0267p-7,L0,,,,,True,,,0x1.c7b24550a9fecp+1,,
120,119,,,0,accepted,119,False,,,,,,accepted,,0x1.0760c6fe94153p-6,0x1.0760c6fe94153p-6,L0,,,,,True,,,0x1.c99123d1beaeep+1,,
121,120,,,0,accepted,120,False,,,,,,accepted,,0x1.21b7414b3c7dcp-6,0x1.21b7414b3c7dcp-6,L0,,,,,True,,,0x1.cb9fe55fbbd71p+1,,
122,121,,,0,accepted,121,False,,,,,,accepted,,0x1.3eaffb05f5bd9p-6,0x1.3eaffb05f5bd9p-6,L0,,,,,True,,,0x1.cde353e252501p+1,,
123,122,,,0,accepted,122,False,,,,,,accepted,,0x1.5e8e60ecf4b6fp-6,0x1.5e8e60ecf4b6fp-6,L0,,,,,True,,,0x1.d060b3d85e3b9p+1,,
124,123,,,0,accepted,123,False,,,,,,accepted,,0x1.819c9dd173961p-6,0x1.819c9dd173961p-6,L0,,,,,True,,,0x1.d31dd09a38250p+1,,
125,124,,,0,accepted,124,False,,,,,,accepted,,0x1.a82c473332585p-6,0x1.a82c473332585p-6,L0,,,,,True,,,0x1.d62109d5db0c3p+1,,
126,125,,,0,accepted,125,False,,,,,,accepted,,0x1.d2971b1eb7613p-6,0x1.d2971b1eb7613p-6,L0,,,,,True,,,0x1.d97162644170ep+1,,
127,126,,,1,accepted,126,False,,,,,,accepted,,0x1.009fe884180f1p-6,0x1.009fe884180f1p-5,L0,,,,,True,,,0x1.dd16909a7edfap+1,,
128,127,,,0,accepted,127,False,,,,,,accepted,,0x1.1a497fc480dd6p-6,0x1.1a497fc480dd6p-6,L0,,,,,True,,,0x1.df17d06b870fcp+1,,
129,128,,,0,accepted,128,False,,,,,,accepted,,0x1.36840c8b5a8d2p-6,0x1.36840c8b5a8d2p-6,L0,,,,,True,,,0x1.e14c636b10118p+1,,
130,129,,,0,accepted,129,False,,,,,,accepted,,0x1.559140ffb0681p-6,0x1.559140ffb0681p-6,L0,,,,,True,,,0x1.e3b96b8426c6ap+1,,
131,130,,,0,accepted,130,False,,,,,,accepted,,0x1.77b96119420c2p-6,0x1.77b96119420c2p-6,L0,,,,,True,,,0x1.e6648e0626277p+1,,
132,131,,,0,accepted,131,False,,,,,,accepted,,0x1.9d4beacefbda3p-6,0x1.9d4beacefbda3p-6,L0,,,,,True,,,0x1.e95400c858ab9p+1,,
133,132,,,0,accepted,132,False,,,,,,accepted,,0x1.c6a04f16e1d67p-6,0x1.c6a04f16e1d67p-6,L0,,,,,True,,,0x1.ec8e989df6a34p+1,,
134,133,,,0,accepted,133,False,,,,,,accepted,,0x1.f416bd65f86bfp-6,0x1.f416bd65f86bfp-6,L0,,,,,True,,,0x1.f01bd93c2466fp+1,,
135,134,,,0,accepted,134,False,,,,,,accepted,,0x1.130c81c4e23b6p-5,0x1.130c81c4e23b6p-5,L0,,,,,True,,,0x1.f40406b6f057cp+1,,
136,135,,,1,accepted,135,False,,,,,,accepted,,0x1.2e8dc1f22c0e2p-6,0x1.2e8dc1f22c0e2p-5,L0,,,,,True,,,0x1.f85038be03e0bp+1,,
137,136,,,0,accepted,136,False,,,,,,accepted,,0x1.4ccf2223fd42cp-6,0x1.4ccf2223fd42cp-6,L0,,,,,True,,,0x1.faad5441e838dp+1,,
138,137,,,0,accepted,137,False,,,,,,accepted,,0x1.6e170bf463631p-6,0x1.6e170bf463631p-6,L0,,,,,True,,,0x1.fd46f28630335p+1,,
139,138,,,0,accepted,138,False,,,,,,accepted,,0x1.92b2f38cd3b9dp-6,0x1.92b2f38cd3b9dp-6,L0,,,,,True,,,0x1.0011904f0c7d1p+2,,
140,139,,,0,accepted,139,False,,,,,,accepted,,0x1.baf80be7b5b2dp-6,0x1.baf80be7b5b2dp-6,L0,,,,,True,,,0x1.01a443429950dp+2,,
141,140,,,0,accepted,140,False,,,,,,accepted,,0x1.e7440d187b119p-6,0x1.e7440d187b119p-6,L0,,,,,True,,,0x1.035f3b4e81068p+2,,
142,141,,,0,accepted,141,False,,,,,,accepted,,0x1.0bff0733dd49bp-5,0x1.0bff0733dd49bp-5,L0,,,,,True,,,0x1.05467f5b99819p+2,,
143,142,,,0,accepted,142,False,,,,,,accepted,,0x1.26cbbb1f736abp-5,0x1.26cbbb1f736abp-5,L0,,,,,True,,,0x1.075e7d6a013c2p+2,,
144,143,,,1,accepted,143,False,,,,,,accepted,,0x1.44468108fef56p-6,0x1.44468108fef56p-5,L0,,,,,True,,,0x1.09ac14e04022fp+2,,
145,144,,,0,accepted,144,False,,,,,,accepted,,0x1.64b3f456b20dfp-6,0x1.64b3f456b20dfp-6,L0,,,,,True,,,0x1.0af05b614921ep+2,,
146,145,,,0,accepted,145,False,,,,,,accepted,,0x1.885f8cc5c3dc3p-6,0x1.885f8cc5c3dc3p-6,L0,,,,,True,,,0x1.0c550f559fd3fp+2,,
147,146,,,0,accepted,146,False,,,,,,accepted,,0x1.af9c4e0cbdd8ap-6,0x1.af9c4e0cbdd8ap-6,L0,,,,,True,,,0x1.0ddd6ee26597dp+2,,
148,147,,,0,accepted,147,False,,,,,,accepted,,0x1.dac5890e0407fp-6,0x1.dac5890e0407fp-6,L0,,,,,True,,,0x1.0f8d0b307255bp+2,,
149,148,,,0,accepted,148,False,,,,,,accepted,,0x1.051fd82e1bd13p-5,0x1.051fd82e1bd13p-5,L0,,,,,True,,,0x1.1167d0b98059bp+2,,
150,149,,,0,accepted,149,False,,,,,,accepted,,0x1.1f3ca0ff84ffcp-5,0x1.1f3ca0ff84ffcp-5,L0,,,,,True,,,0x1.13721069dc915p+2,,
151,150,,,0,accepted,150,False,,,,,,accepted,,0x1.3bf5e44c457fcp-5,0x1.3bf5e44c457fcp-5,L0,,,,,True,,,0x1.15b089abdb9b5p+2,,
152,151,,,1,accepted,151,False,,,,,,accepted,,0x1.5b8e7b20b2d96p-6,0x1.5b8e7b20b2d96p-5,L0,,,,,True,,,0x1.1828757474265p+2,,
