age,boundary,cumulative_materialized_width_max_components,event_index,materialized_width_max_component,record_type,slot,source_boundary_index,source_category,source_category_id,source_occurrence_index,status
[67],84,0.02786698183824974,166,0.0004736749351375687,capacity_eviction,[3],[67],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[68],85,0.028489715828695333,168,0.0006227339904455932,capacity_eviction,[4],[68],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[69],86,0.029310421902311107,170,0.0008207060736157738,capacity_eviction,[5],[69],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[70],87,0.030390064855254577,172,0.0010796429529434692,capacity_eviction,[6],[70],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[71],88,0.030564724512784653,174,0.0001746596575300769,capacity_eviction,[7],[71],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[72],89,0.03079782032881375,176,0.00023309581602909776,capacity_eviction,[8],[72],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[73],90,0.03111539520305295,178,0.00031757487423919996,capacity_eviction,[9],[73],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[74],91,0.03156028750873632,180,0.000444892305683374,capacity_eviction,[10],[74],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[75],92,0.032211021265368484,182,0.0006507337566321594,capacity_eviction,[11],[75],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[76],93,0.033200873161079225,184,0.0009898518957107438,capacity_eviction,[12],[76],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[77],94,0.0333880354679213,186,0.0001871623068420771,capacity_eviction,[13],[77],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[78],95,0.033717237409383934,188,0.00032920194146262807,capacity_eviction,[14],[78],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[79],96,0.034342405507559605,190,0.0006251680981756722,capacity_eviction,[15],[79],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[80],97,0.03519203991793057,192,0.0008496344103709717,capacity_eviction,[0],[80],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[81],98,0.03635196881404617,194,0.0011599288961155944,capacity_eviction,[1],[81],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[82],99,0.03650026568634052,196,0.00014829687229435263,capacity_eviction,[2],[82],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[83],100,0.036668423584964506,198,0.00016815789862398276,capacity_eviction,[3],[83],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[84],101,0.0368710876130033,200,0.0002026640280387924,capacity_eviction,[4],[84],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[85],102,0.0371226914556027,202,0.00025160384259940256,capacity_eviction,[5],[85],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[86],103,0.03746217583375067,204,0.00033948437814797087,capacity_eviction,[6],[86],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[87],104,0.03752208249302861,206,5.990665927793554e-05,capacity_eviction,[7],[87],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[88],105,0.03760704027347937,208,8.495778045076048e-05,capacity_eviction,[8],[88],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[89],106,0.03772961767508856,210,0.00012257740160918806,capacity_eviction,[9],[89],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[90],107,0.037907965999297535,212,0.00017834832420897138,capacity_eviction,[10],[90],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[91],108,0.038189479452161966,214,0.00028151345286443134,capacity_eviction,[11],[91],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[92],109,0.03824099163484323,216,5.151218268126571e-05,capacity_eviction,[12],[92],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[93],110,0.03830923656499641,218,6.824493015317649e-05,capacity_eviction,[13],[93],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[94],111,0.03840599461622303,220,9.675805122662296e-05,capacity_eviction,[14],[94],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[95],112,0.03854132592616216,222,0.00013533130993913223,capacity_eviction,[15],[95],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[96],113,0.03872612016688518,224,0.00018479424072302155,capacity_eviction,[0],[96],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[97],114,0.0387632728126614,226,3.7152645776218415e-05,capacity_eviction,[1],[97],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[98],115,0.03881568993667291,228,5.241712401151864e-05,capacity_eviction,[2],[98],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[99],116,0.038890408989212935,230,7.471905254001928e-05,capacity_eviction,[3],[99],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[100],117,0.03899779395104541,232,0.00010738496183247528,capacity_eviction,[4],[100],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[101],118,0.039146094371391375,234,0.00014830042034596466,capacity_eviction,[5],[101],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[102],119,0.03935467084010176,236,0.00020857646871038588,capacity_eviction,[6],[102],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[103],120,0.039402474101586496,238,4.7803261484735004e-05,capacity_eviction,[7],[103],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[104],121,0.03946973306226272,240,6.72589606762293e-05,capacity_eviction,[8],[104],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[105],122,0.0395647542320201,242,9.502116975737283e-05,capacity_eviction,[9],[105],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[106],123,0.03969950688041401,244,0.00013475264839390687,capacity_eviction,[10],[106],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[107],124,0.03989121940530682,246,0.00019171252489281004,capacity_eviction,[11],[107],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[108],125,0.040162720488488034,248,0.00027150108318121506,capacity_eviction,[12],[108],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
