window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0001_0020,brusselator,10,9,7,refinement_fixed_polynomial,0.44638630328699946,0.44638630328699946,273
brusselator_0001_0020,brusselator,10,9,7,refinement_dynamic,0.07311495998874307,1.0374739542603493,8
brusselator_0001_0020,brusselator,10,9,7,boundary_endpoint,0.09030600497499108,0.8385680103674531,2
brusselator_0001_0020,brusselator,10,9,7,cross_step_history,0.748262005392462,0.748262005392462,2
brusselator_0001_0020,brusselator,10,9,7,python_tensor_dispatch_and_other,0.038603516295552254,0.038603516295552254,1
brusselator_0001_0020,brusselator,11,10,7,polynomial_multiply_truncate_range,0.2719061062671244,0.2719061062671244,166
brusselator_0001_0020,brusselator,11,10,7,candidate_polynomial,0.02649086993187666,0.2053437912836671,1
brusselator_0001_0020,brusselator,11,10,7,initial_remainder,0.010277602821588516,0.07371579483151436,1
brusselator_0001_0020,brusselator,11,10,7,refinement_fixed_polynomial,0.4453964219428599,0.4453964219428599,273
brusselator_0001_0020,brusselator,11,10,7,refinement_dynamic,0.07377033308148384,1.036778334993869,8
brusselator_0001_0020,brusselator,11,10,7,boundary_endpoint,0.09517826931551099,0.8572227973490953,2
brusselator_0001_0020,brusselator,11,10,7,cross_step_history,0.7620445280335844,0.7620445280335844,2
brusselator_0001_0020,brusselator,11,10,7,python_tensor_dispatch_and_other,0.03852151054888964,0.03852151054888964,1
brusselator_0001_0020,brusselator,12,11,7,polynomial_multiply_truncate_range,0.2750495602376759,0.2750495602376759,166
brusselator_0001_0020,brusselator,12,11,7,candidate_polynomial,0.02692460874095559,0.20714670605957508,1
brusselator_0001_0020,brusselator,12,11,7,initial_remainder,0.010159988421946764,0.07456554193049669,1
brusselator_0001_0020,brusselator,12,11,7,refinement_fixed_polynomial,0.44511431362479925,0.44511431362479925,273
brusselator_0001_0020,brusselator,12,11,7,refinement_dynamic,0.07286180648952723,1.0344190075993538,8
brusselator_0001_0020,brusselator,12,11,7,boundary_endpoint,0.0944199631921947,0.8978126612491906,2
brusselator_0001_0020,brusselator,12,11,7,cross_step_history,0.8033926980569959,0.8033926980569959,2
brusselator_0001_0020,brusselator,12,11,7,python_tensor_dispatch_and_other,0.03870702255517244,0.03870702255517244,1
brusselator_0001_0020,brusselator,13,12,7,polynomial_multiply_truncate_range,0.27292885771021247,0.27292885771021247,166
brusselator_0001_0020,brusselator,13,12,7,candidate_polynomial,0.02672902401536703,0.20611111260950565,1
brusselator_0001_0020,brusselator,13,12,7,initial_remainder,0.010328345000743866,0.07367144618183374,1
