file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,151,<genexpr>,5462,5462,0.0010924720000000001,0.0010924720000000001
~,0,<built-in method torch.arange>,147,147,0.001091168,0.001091168
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2373,_check_domain,242,242,0.001088454,0.013541064
~,0,<method 'get' of 'dict' objects>,7427,7427,0.0010721160000000001,0.0010721160000000001
~,0,<built-in method builtins.len>,12349,12361,0.0010570240000000002,0.0010630490000000002
~,0,<built-in method torch._C._get_tracing_state>,1560,1560,0.001038502,0.001038502
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,159,<dictcomp>,184,184,0.001022259,0.015689628
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2285,<genexpr>,2465,2465,0.000991935,0.000991935
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2287,<genexpr>,2465,2465,0.000990947,0.000990947
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,551,<listcomp>,15,15,0.000966335,0.004768571
~,0,<built-in method builtins.sorted>,969,969,0.000960206,0.003042266
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1949,_check_basis,356,356,0.0009250790000000001,0.0009250790000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,158,dim,4238,4238,0.0009039940000000001,0.001149621
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1158,<genexpr>,2205,2205,0.0009036340000000001,0.0020829800000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1169,<listcomp>,567,567,0.0008865670000000001,0.0008865670000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,91,dtype,3912,3912,0.0008825790000000001,0.0008825790000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,3319,<dictcomp>,2,2,0.0008685530000000001,0.001105974
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,550,<listcomp>,15,15,0.0008666180000000001,0.004931053
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,19,_state_normal_factor,252,252,0.0008509510000000001,0.012232368
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,3735,_dense_flowstar_raw_compat_image,10,10,0.000827916,0.24621730000000003
~,0,<method 'extend' of 'list' objects>,3138,3138,0.000800908,0.001341022
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1170,<listcomp>,567,567,0.000799147,0.000799147
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,333,_tensor_interval_add,124,124,0.0007865050000000001,0.001758692
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2605,integrate,17,17,0.0007414,0.024228359
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,76,zero,370,370,0.0007394610000000001,0.017317195
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,154,<genexpr>,5462,5462,0.0007384850000000001,0.0007384850000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,1523,horner,2,22,0.0007029320000000001,0.652351361
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,255,evaluate,16,16,0.000699451,0.063073298
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,345,_tensorized_interval_matrix_update_and_image,1,1,0.0006703950000000001,0.029402231
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,284,scale,55,55,0.000664355,0.011089782000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,325,complete,11,11,0.0006611130000000001,0.010615424
~,0,<built-in method torch.sum>,126,126,0.000649736,0.000649736
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,369,visit,11,648,0.000646871,0.0008392740000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/ode_examples.py,26,brusselator_ode,11,11,0.000619616,0.381396102
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2682,<dictcomp>,86,86,0.000607966,0.000607966
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,135,<genexpr>,1611,1611,0.0005953670000000001,0.001837408
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,241,<genexpr>,3750,3750,0.0005918140000000001,0.0005918140000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,488,_interval_width_value,284,284,0.0005887630000000001,0.009893071
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,278,merge,100,100,0.000575931,0.009986594000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1874,__post_init__,256,256,0.000572845,0.000828873
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,1406,_tm_mul_ctrunc_horner_stage,16,16,0.0005717560000000001,0.39738536500000005
~,0,<built-in method torch.clamp>,126,126,0.00055457,0.00055457
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,625,<genexpr>,3612,3612,0.0005401140000000001,0.0005401140000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,1458,_append_horner_stage,28,28,0.000536793,0.26241167800000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1896,constants,33,33,0.000532118,0.0010514130000000002
~,0,<built-in method builtins.sum>,2128,2128,0.00051227,0.0011354260000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,81,__deepcopy__,46,46,0.000510096,0.0025923810000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4224,_validated_remainder_decomposition,11,11,0.0005072830000000001,0.017683483
~,0,<method 'unsqueeze' of 'torch._C.TensorBase' objects>,236,236,0.000486015,0.000486015
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,394,substitute_const,2,2,0.00048366900000000005,0.001765835
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,200,_matmul_real,120,120,0.000479356,0.00111002
~,0,<method 'item' of 'torch._C.TensorBase' objects>,640,640,0.000474804,0.000474804
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2703,<dictcomp>,27,27,0.000473428,0.003679957
~,0,<method 'scatter_reduce_' of 'torch._C.TensorBase' objects>,84,84,0.00047022800000000005,0.00047022800000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2247,component,52,52,0.00045995700000000004,0.0006619870000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,204,__add__,24,24,0.000453128,0.013781006
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2706,<listcomp>,118,118,0.00044999700000000005,0.001176787
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,16,<genexpr>,228,228,0.00044782000000000003,0.002204002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,223,_add_polynomial_images,1,1,0.00044774900000000005,0.030643383000000003
~,0,<method 'tolist' of 'torch._C.TensorBase' objects>,324,324,0.000419817,0.000419817
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4305,_atomic_refinement_decision,9,9,0.00041305400000000005,0.0014541640000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4344,_post_accept_refine_raw_remainder,1,1,0.000407439,0.168299941
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2428,sub,55,55,0.00040096,0.024249427
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,265,_scale_and_cutoff_right_map,1,1,0.00040020800000000004,0.034632108
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,322,raw_rhs,9,9,0.00039755700000000004,0.067572952
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4567,dense_picard_validate_step,1,1,0.00039524000000000004,0.5495399470000001
<string>,2,__hash__,558,558,0.000386224,0.000563957
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,337,polynomial_difference,9,9,0.00038566800000000004,0.068643375
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2713,<listcomp>,118,118,0.00038539900000000003,0.001043735
~,0,<method 'dim' of 'torch._C.TensorBase' objects>,1560,1560,0.000385009,0.000385009
~,0,<method 'expand_as' of 'torch._C.TensorBase' objects>,94,94,0.000381497,0.000381497
~,0,<built-in method builtins.max>,498,498,0.00038023500000000003,0.0005765830000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,384,_interval_sub,55,55,0.00038008400000000004,0.001095829
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1177,<listcomp>,315,315,0.00037274400000000005,0.00037274400000000005
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/tokenize.py,433,_tokenize,164,164,0.000368768,0.000652151
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/functional.py,47,broadcast_tensors,84,84,0.000359163,0.000692825
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,415,<genexpr>,360,360,0.000351564,0.02269306
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,1807,_polynomial_max_abs_diff,2,2,0.000348933,0.001564174
~,0,<method 'amin' of 'torch._C.TensorBase' objects>,62,62,0.000346658,0.000346658
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1173,<listcomp>,567,567,0.000339859,0.000339859
~,0,<method 'expand' of 'torch._C.TensorBase' objects>,77,77,0.0003393,0.0003393
<string>,2,__eq__,242,242,0.00033518800000000004,0.00033518800000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2626,apply_cutoff,56,56,0.00033459500000000003,0.030383739000000003
~,0,<built-in method torch.full>,84,84,0.000334498,0.000334498
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,208,<genexpr>,1440,1440,0.00032066800000000003,0.00032066800000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,4215,_inflate_tensor_interval,32,32,0.000319527,0.000943349
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2728,domain,22,22,0.000317044,0.003430573
~,0,<method 'copy_' of 'torch._C.StorageBase' objects>,46,46,0.00031428900000000004,0.00031428900000000004
~,0,<built-in method builtins.id>,3408,3408,0.00031328300000000003,0.00031328300000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,1990,_flowstar_normalized_insertion_transition,1,1,0.000311864,1.032610652
~,0,<built-in method builtins.iter>,1980,1980,0.000311718,0.000311718
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2688,concat,27,27,0.00030504800000000004,0.008886586
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1585,_merge_coefficients_by_index,42,42,0.000292749,0.0014452470000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1302,_hull_owner_intervals,42,42,0.00029128000000000004,0.0019180000000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2317,constants_like,33,33,0.000288526,0.003961542
