system,mode,h,steps,requested_order,order_semantics,dependency_scope,actual_degree_reference,status,final_width_sum,final_width_max,flowpipe_width_sum,flowpipe_width_max,max_final_degree,degree_by_dim,term_count_total,term_count_by_dim,remainder_radius_max,remainder_radius_by_dim,active_vars_by_dim,segment_max_degree,segment_tau_active_after_drop,validation_attempts,runtime_s
van_der_pol,dependency_preserving,0.005,1,5,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.412693175040221,0.30052411928928985,0.45639010672974833,0.312360874694855,3,"[3, 3]",8,"[3, 5]",0.0001239820473373577,"[1.07214594592635e-06, 0.0001239820473373577]","[[0, 1], [0, 1]]",[5],False,3,0.2843048069626093
van_der_pol,range_only,0.005,1,6,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4125302138736498,0.30052318289750973,0.456203788460804,0.3123597876563829,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[6],False,3,0.5335173606872559
van_der_pol,dependency_preserving,0.005,1,6,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.41253020987364414,0.3005231808975078,0.456203788460804,0.3123597876563829,3,"[3, 3]",11,"[5, 6]",4.281115994354049e-05,"[4.989135936039672e-07, 4.281115994354049e-05]","[[0, 1], [0, 1]]",[6],False,3,0.5332752875983715
van_der_pol,range_only,0.005,1,7,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4125217737388745,0.30052233998888306,0.45612733352936397,0.31235903502738244,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[7],False,2,0.7956605656072497
van_der_pol,dependency_preserving,0.005,1,7,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.41252176973886884,0.3005223379888811,0.45612733352936397,0.31235903502738244,5,"[3, 5]",13,"[6, 7]",1.6925066018250489e-06,"[7.726240506433575e-08, 1.6925066018250489e-06]","[[0, 1], [0, 1]]",[7],False,2,0.7788111194968224
van_der_pol,range_only,0.005,1,8,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.41252161528176307,0.3005223223682692,0.4561267289813121,0.3123590014248743,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[8],False,3,1.4175486154854298
van_der_pol,dependency_preserving,0.005,1,8,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4125216112817574,0.30052232036826726,0.4561267289813121,0.3123590014248743,5,"[5, 5]",16,"[7, 9]",6.362070318637104e-07,"[6.251703253140254e-09, 6.362070318637104e-07]","[[0, 1], [0, 1]]",[8],False,3,1.423083545640111
van_der_pol,range_only,0.005,5,2,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.544356318935303,0.3048898740824771,0.63351733572089,0.3620506598403946,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[2, 2, 2, 2, 2]",False,15,0.20648582559078932
van_der_pol,dependency_preserving,0.005,5,2,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.5436433893263476,0.30508148684613984,0.6504309077405915,0.3625016413024518,1,"[1, 1]",4,"[2, 2]",0.06424351436557062,"[0.0013159310790067094, 0.06424351436557062]","[[0, 1], [0, 1]]","[2, 2, 2, 2, 2]",False,13,0.2858750019222498
van_der_pol,range_only,0.005,5,3,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4697816637694906,0.3041220016505906,0.6036329902395191,0.36131070659464065,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[3, 3, 3, 3, 3]",False,15,0.40577727276831865
van_der_pol,dependency_preserving,0.005,5,3,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4714236544781255,0.3046483384150241,0.6069915612867886,0.36219777980213946,1,"[1, 1]",4,"[2, 2]",0.0283409108527119,"[0.0011057949048286467, 0.0283409108527119]","[[0, 1], [0, 1]]","[3, 3, 3, 3, 3]",False,14,0.5598677983507514
van_der_pol,range_only,0.005,5,4,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.46657675989658676,0.303256159194411,0.5880120238095993,0.3609021114985725,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[4, 4, 4, 4, 4]",False,10,0.6332435421645641
van_der_pol,dependency_preserving,0.005,5,4,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.46943694854844253,0.30314512909601193,0.5911773680613289,0.361303255758094,3,"[3, 3]",12,"[6, 6]",0.0023580232132068856,"[0.00010311706467751334, 0.0023580232132068856]","[[0, 1], [0, 1]]","[4, 4, 4, 4, 4]",False,10,1.5677373111248016
van_der_pol,range_only,0.005,5,5,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.46654062173552113,0.3032475009932188,0.5879750286374029,0.3608875031413206,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[5, 5, 5, 5, 5]",False,15,1.4301327662542462
van_der_pol,dependency_preserving,0.005,5,5,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.46854547032095717,0.3031413525077605,0.5910679692160002,0.3612907955931593,3,"[3, 3]",12,"[6, 6]",0.0015949158023056016,"[3.371265617984145e-05, 0.0015949158023056016]","[[0, 1], [0, 1]]","[5, 5, 5, 5, 5]",False,15,3.397550018504262
van_der_pol,range_only,0.005,5,6,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4656375063413528,0.30323395290619076,0.5875747828378809,0.36087696075327585,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[6, 6, 6, 6, 6]",False,15,2.6945616342127323
