system,mode,h,steps,requested_order,status,final_width_sum,final_width_by_dim,poly_range_width_sum,poly_range_width_by_dim,remainder_width_sum,remainder_width_by_dim,remainder_radius_by_dim,max_final_degree,degree_by_dim,term_count_by_dim,runtime_s,validation_attempts,containment_failures,sampled_width_sum,sampled_width_by_dim,remainder_width_frac,poly_range_width_frac,width_over_sampled_ratio,quality_label
van_der_pol,range_only,0.0025,1,7,validated,0.40620304640761123,"[0.30025553995617754, 0.1059475064514337]",0.4062030464076099,"[0.3002555399561771, 0.10594750645143282]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.7864549849182367,2,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0021201107328206,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,7,validated,0.4062030424076056,"[0.3002555379561756, 0.10594750445142999]",0.4062026183205068,"[0.30025552056481436, 0.10594709775569246]",4.2408709723195085e-07,"[1.7391360854280084e-08, 4.0669573637767076e-07]","[8.695680427140042e-09, 2.0334786818883538e-07]",5,"[3, 5]","[6, 7]",0.7844089837744832,2,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",1.0440273778314035e-06,0.9999989559726183,1.0021201008646374,polynomial_range_dominated
van_der_pol,range_only,0.0025,1,8,validated,0.406203036509488,"[0.3002555388657689, 0.10594749764371915]",0.4062030365094867,"[0.30025553886576845, 0.10594749764371826]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",1.4363190000876784,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0021200863137316,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,8,validated,0.40620303250948236,"[0.30025553686576695, 0.10594749564371543]",0.406202880341573,"[0.3002555361150057, 0.10594734422656728]",1.521679081186067e-07,"[7.507609206217543e-10, 1.5141714719798494e-07]","[3.7538046031087715e-10, 7.570857359899247e-08]",5,"[5, 5]","[7, 9]",1.4206909015774727,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",3.7461046801775047e-07,0.9999996253895289,1.0021200764455485,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,2,validated,0.46916675093329296,"[0.3018314385905701, 0.16733531234272284]",0.46916675093329163,"[0.30183143859056966, 0.16733531234272195]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.20730166602879763,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2e-323,0.9999999999999971,1.100038429443942,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,2,validated,0.46899040828112526,"[0.301878829170593, 0.16711157911053223]",0.4062561874023381,"[0.3012374531054896, 0.1050187342968485]",0.06273422087878573,"[0.0006413760651030329, 0.062092844813682706]","[0.00032068803255151646, 0.031046422406841353]",1,"[1, 1]","[2, 2]",0.28582454938441515,13,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",0.1337644006595145,0.8662355993404824,1.0996249651612564,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,3,validated,0.4327303290986563,"[0.3016418837049329, 0.13108844539372336]",0.43273032909865494,"[0.30164188370493245, 0.13108844539372247]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.40645250491797924,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.014607259886853,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,3,validated,0.4331070943576415,"[0.30177197942207906, 0.1313351149355624]",0.4062576870603714,"[0.3012342811624729, 0.1050234058978985]",0.02684940729726874,"[0.0005376982596057363, 0.026311709037663004]","[0.00026884912980286815, 0.013155854518831502]",1,"[1, 1]","[2, 2]",0.5543255535885692,14,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",0.061992536365838506,0.9380074636341583,1.0154906478569907,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,4,validated,0.43196055670840916,"[0.3014317634598734, 0.13052879324853575]",0.43196055670840783,"[0.30143176345987294, 0.13052879324853486]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.635782677680254,10,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.0128024022120234,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,4,validated,0.4326373297367888,"[0.30139888602467574, 0.13123844371211305]",0.4314900123452333,"[0.30135824834823516, 0.13013176399699813]",0.0011473173915542763,"[4.0637676440293994e-05, 0.0011066797151139823]","[2.0318838220146997e-05, 0.0005533398575569912]",3,"[3, 3]","[6, 6]",1.5673961555585265,10,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",0.00265191492433695,0.9973480850756602,1.014389207623421,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,5,validated,0.43195607830405247,"[0.30143068971285186, 0.13052538859120058]",0.43195607830405114,"[0.3014306897128514, 0.1305253885911997]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",1.4366648066788912,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.012791901858183,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,5,validated,0.4324169296910537,"[0.3013982795903292, 0.13101865010072447]",0.43168003591607784,"[0.301390419358429, 0.13028961655764884]",0.0007368937749747009,"[7.860231899739694e-06, 0.0007290335430749612]","[3.930115949869847e-06, 0.0003645167715374806]",3,"[3, 3]","[6, 6]",3.3960022050887346,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",0.0017041279477683377,0.9982958720522289,1.0138724435524857,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,6,validated,0.43174317053337286,"[0.3014290547809733, 0.1303141157523995]",0.4317431705333715,"[0.30142905478097287, 0.13031411575239862]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",2.695692482404411,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.0122927046554637,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,6,validated,0.43219333575661534,"[0.3013934440132871, 0.1307998917433282]",0.43207666884099927,"[0.30139152064343283, 0.1306851481975664]",0.00011666691561466663,"[1.9233698536885394e-06, 0.00011474354576097809]","[9.616849268442697e-07, 5.737177288048904e-05]",5,"[5, 5]","[12, 12]",6.99514714255929,13,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",0.00026994149599837014,0.9997300585039984,1.0133481908854254,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,7,validated,0.4317377019739056,"[0.3014285024476056, 0.13030919952629996]",0.43173770197390426,"[0.30142850244760516, 0.13030919952629907]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",3.925377576611936,10,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.0122798827205,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,7,validated,0.43218856416491735,"[0.3013926527771525, 0.13079591138776483]",0.43217902759517146,"[0.3013925020488764, 0.13078652554629502]",9.536569744199754e-06,"[1.5072827553239013e-07, 9.385841468667363e-06]","[7.536413776619507e-08, 4.6929207343336815e-06]",5,"[5, 5]","[12, 12]",10.708082223311067,10,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.206576141741855e-05,0.9999779342385786,1.0133370031057565,polynomial_range_dominated
van_der_pol,range_only,0.0025,5,8,validated,0.43173765067031067,"[0.3014284966655075, 0.13030915400480317]",0.43173765067030934,"[0.30142849666550703, 0.13030915400480228]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",7.138798096217215,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",2.5e-323,0.9999999999999969,1.0122797624308035,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,5,8,validated,0.43218645158273616,"[0.30139262584849275, 0.1307938257342434]",0.43218414277353967,"[0.30139259844018, 0.13079154433335963]",2.3088091951427566e-06,"[2.7408312304225852e-08, 2.2814008828385308e-06]","[1.3704156152112926e-08, 1.1407004414192654e-06]",7,"[7, 7]","[20, 20]",21.50460660085082,15,0,0.4265003279662256,"[0.30108094676782793, 0.12541938119839768]",5.342160048487236e-06,0.9999946578399483,1.0133320498101959,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,2,validated,0.5432730345485951,"[0.3045382074773831, 0.238734827071212]",0.5432730345485938,"[0.30453820747738264, 0.2387348270712111]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.4149150336161256,30,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999976,1.2009166889529066,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,2,validated,0.5423374698699753,"[0.3046701375017809, 0.2376673323681944]",0.4125273708960007,"[0.30244318668462605, 0.11008418421137468]",0.12981009897397333,"[0.0022269508171543734, 0.12758314815681895]","[0.0011134754085771867, 0.06379157407840948]",1,"[1, 1]","[2, 2]",0.5603039963170886,23,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.23935299732304155,0.7606470026769561,1.1988486031752223,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,3,validated,0.4674280024284617,"[0.3036889775467387, 0.163739024881723]",0.4674280024284604,"[0.30368897754673824, 0.16373902488172212]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.8042890420183539,30,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.033259619569887,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,3,validated,0.4692439163345633,"[0.3043146643125659, 0.1649292520219974]",0.4125302109057634,"[0.30243672501008684, 0.1100934858956766]",0.05671370542879883,"[0.001877939302478653, 0.05483576612632018]","[0.0009389696512393265, 0.02741788306316009]",1,"[1, 1]","[2, 2]",1.0778663530945778,24,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.1208618875057783,0.8791381124942195,1.0372737361868678,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,4,validated,0.46582538464284096,"[0.30325450881692767, 0.16257087582591326]",0.4658253846428396,"[0.3032545088169272, 0.16257087582591237]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",1.2741259429603815,20,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.0297169985996342,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,4,validated,0.46904629088974514,"[0.30312357556488695, 0.16592271532485817]",0.4649017020192895,"[0.30300641062567096, 0.1618952913936185]",0.004144588870454441,"[0.00011716493921551782, 0.004027423931238923]","[5.858246960775891e-05, 0.0020137119656194616]",3,"[3, 3]","[6, 6]",3.6422470631077886,20,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.008836204338365988,0.9911637956616314,1.0368368809046227,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,5,validated,0.46581619387521045,"[0.30325231495064037, 0.16256387892457005]",0.4658161938752091,"[0.3032523149506399, 0.16256387892456917]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",2.869631541892886,30,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.0296966822107656,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,5,validated,0.467988444764491,"[0.3031170716832892, 0.16487137308120173]",0.4652901683999643,"[0.30307473142634006, 0.1622154369736242]",0.002698276364525285,"[4.234025694864145e-05, 0.0026559361075766436]","[2.1170128474320726e-05, 0.0013279680537883218]",3,"[3, 3]","[6, 6]",7.004795461893082,26,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.005765690146223924,0.994234309853773,1.0344984893678193,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,6,validated,0.46536231682053264,"[0.3032462221753874, 0.16211609464514523]",0.4653623168205313,"[0.30324622217538694, 0.16211609464514434]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",5.384989785961807,30,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.0286933772516886,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,6,validated,0.4675040329375887,"[0.30309486534326396, 0.1644091675943247]",0.4671998288215887,"[0.30308721142303435, 0.16411261739855434]",0.0003042041159987023,"[7.653920229185328e-06, 0.000296550195769517]","[3.826960114592664e-06, 0.0001482750978847585]",5,"[5, 5]","[12, 12]",15.24585085734725,23,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.0006506983781235386,0.9993493016218737,1.0334276866401697,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,7,validated,0.4653507591321643,"[0.30324501141897736, 0.1621057477131869]",0.46535075913216295,"[0.3032450114189769, 0.162105747713186]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",7.837493922561407,20,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.0286678287337894,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,7,validated,0.46749308277313995,"[0.303092786673753, 0.16440029609938692]",0.467428643176515,"[0.30309193055027867, 0.1643367126262363]",6.443959662322218e-05,"[8.56123473860073e-07, 6.35834731493621e-05]","[4.280617369300365e-07, 3.179173657468105e-05]",5,"[5, 5]","[12, 12]",23.542897317558527,20,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.00013784074887476515,0.9998621592511215,1.0334034810669184,polynomial_range_dominated
van_der_pol,range_only,0.0025,10,8,validated,0.4653506518505698,"[0.30324499900730145, 0.1621056528432683]",0.46535065185056845,"[0.303244999007301, 0.16210565284326742]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",14.294091800227761,30,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.028667591585525,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,10,8,validated,0.46748211100038006,"[0.3030925032270915, 0.1643896077732885]",0.46747180166899194,"[0.3030923242430395, 0.1643794774259524]",1.0309331386854956e-05,"[1.789840516056889e-07, 1.0130347335249266e-05]","[8.949202580284445e-08, 5.065173667624633e-06]",7,"[7, 7]","[20, 20]",45.95702646765858,25,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2.2052889606393035e-05,0.9999779471103909,1.0333792277280318,polynomial_range_dominated
van_der_pol,range_only,0.005,1,2,validated,0.42729209465945395,"[0.3006969681999257, 0.12659512645952822]",0.4272920946594526,"[0.30069696819992525, 0.12659512645952734]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.041930267587304115,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999969,1.0404843413837668,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,2,validated,0.4272920906594483,"[0.30069696619992375, 0.1265951244595245]",0.40250000000000435,"[0.3005000000000014, 0.10200000000000299]",0.024792090659442406,"[0.00019696619992185918, 0.024595124459520546]","[9.848309996092959e-05, 0.012297562229760273]",1,"[1, 1]","[2, 2]",0.04070653021335602,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",0.05802141252177237,0.941978587478224,1.04048433164349,polynomial_range_dominated
van_der_pol,range_only,0.005,1,3,validated,0.41330105127913,"[0.3006898978837392, 0.11261115339539086]",0.4133010512791287,"[0.30068989788373873, 0.11261115339538998]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.08016616385430098,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.0064152309583794,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,3,validated,0.41330104727912437,"[0.30068989588373723, 0.11261115139538715]",0.4025012500000041,"[0.30049750000000125, 0.10200375000000285]",0.010799797279119045,"[0.00019239588373549303, 0.010607401395383553]","[9.619794186774652e-05, 0.0053037006976917765]",1,"[1, 1]","[2, 2]",0.07958174217492342,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",0.026130582901294618,0.9738694170987023,1.0064152212181026,polynomial_range_dominated
van_der_pol,range_only,0.005,1,4,validated,0.4127001187051523,"[0.300525795037981, 0.1121743236671713]",0.41270011870515094,"[0.30052579503798055, 0.11217432366717041]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.12753466609865427,2,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.0049519206344435,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,4,validated,0.4127001147051466,"[0.30052579303797905, 0.11217432166716758]",0.4122937416666715,"[0.3004974937500012, 0.11179624791667032]",0.00040637303847394806,"[2.829928797758181e-05, 0.00037807375049636626]","[1.4149643988790904e-05, 0.00018903687524818313]",3,"[1, 3]","[2, 3]",0.12646259646862745,2,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",0.0009846690708198156,0.9990153309291774,1.004951910894167,polynomial_range_dominated
van_der_pol,range_only,0.005,1,5,validated,0.4126931790402267,"[0.3005241212892918, 0.1121690577509349]",0.41269317904022534,"[0.30052412128929135, 0.11216905775093401]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.28759679291397333,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.0049350220941247,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,5,validated,0.412693175040221,"[0.30052411928928985, 0.11216905575093118]",0.4124430666536532,"[0.3005219749973976, 0.11192109165625565]",0.00025010838656656806,"[2.1442918918527e-06, 0.0002479640946747154]","[1.07214594592635e-06, 0.0001239820473373577]",3,"[3, 3]","[3, 5]",0.29208396561443806,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",0.0006060395511561162,0.9993939604488409,1.0049350123538479,polynomial_range_dominated
van_der_pol,range_only,0.005,1,6,validated,0.4125302138736498,"[0.30052318289750973, 0.11200703097614008]",0.41253021387364847,"[0.3005231828975093, 0.11200703097613919]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.5347185134887695,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.0045381911999107,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,6,validated,0.41253020987364414,"[0.3005231808975078, 0.11200702897613636]",0.41244358972656864,"[0.30052218307032025, 0.1119214066562484]",8.662014707428891e-05,"[9.978271872079344e-07, 8.562231988708098e-05]","[4.989135936039672e-07, 4.281115994354049e-05]",3,"[3, 3]","[5, 6]",0.5329115437343717,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",0.00020997285774736405,0.9997900271422497,1.0045381814596341,polynomial_range_dominated
van_der_pol,range_only,0.005,1,7,validated,0.4125217737388745,"[0.30052233998888306, 0.11199943374999145]",0.41252177373887317,"[0.3005223399888826, 0.11199943374999057]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.7826607618480921,2,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.0045176389168646,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,7,validated,0.41252176973886884,"[0.3005223379888811, 0.11199943174998774]",0.41251823020085393,"[0.3005221834640706, 0.11199604673678333]",3.539538013778769e-06,"[1.545248101286715e-07, 3.3850132036500977e-06]","[7.726240506433575e-08, 1.6925066018250489e-06]",5,"[3, 5]","[6, 7]",0.7792531885206699,2,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",8.580245391702209e-06,0.9999914197546056,1.0045176291765878,polynomial_range_dominated
van_der_pol,range_only,0.005,1,8,validated,0.41252161528176307,"[0.3005223223682692, 0.11199929291349388]",0.41252161528176173,"[0.30052232236826876, 0.11199929291349299]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",1.4238947639241815,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",2.5e-323,0.9999999999999968,1.004517253063381,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,1,8,validated,0.4125216112817574,"[0.30052232036826726, 0.11199929091349016]",0.41252032636428565,"[0.3005223078648603, 0.11199801849942538]",1.2849174702337013e-06,"[1.2503406506280508e-08, 1.2724140637274208e-06]","[6.251703253140254e-09, 6.362070318637104e-07]",5,"[5, 5]","[7, 9]",1.4391455613076687,3,0,0.41066653063820957,"[0.3004729893546785, 0.1101935412835311]",3.114788256162625e-06,0.9999968852117401,1.0045172433231042,polynomial_range_dominated
van_der_pol,range_only,0.005,5,2,validated,0.544356318935303,"[0.3048898740824771, 0.2394664448528259]",0.5443563189353017,"[0.30488987408247664, 0.239466444852825]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.20751881133764982,15,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999976,1.2033113123119705,polynomial_range_dominated
van_der_pol,dependency_preserving,0.005,5,2,validated,0.5436433893263476,"[0.30508148684613984, 0.23856190248020773]",0.4125244984371917,"[0.30244962468812614, 0.11007487374906556]",0.13111889088915465,"[0.0026318621580134188, 0.12848702873114123]","[0.0013159310790067094, 0.06424351436557062]",1,"[1, 1]","[2, 2]",0.2866182215511799,13,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",0.24118547831811185,0.7588145216818858,1.2017353661283825,polynomial_range_dominated
van_der_pol,range_only,0.005,5,3,validated,0.4697816637694906,"[0.3041220016505906, 0.16565966211889996]",0.46978166376948927,"[0.30412200165059017, 0.16565966211889907]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.3995473049581051,15,0,0.4523819508431357,"[0.3018226272898117, 0.15055932355332402]",2e-323,0.9999999999999971,1.038462438419406,polynomial_range_dominated
