operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::ones_like,1431,3601.6149999954396,"[[48],[],[],[],[],[]]",1138
aten::minimum,1407,12722.989000017049,"[[48],[48]]",1138
aten::contiguous,1138,2336.9410000065545,"[[84],[]]",840
aten::ne,961,9798.38200001319,"[[48,6],[]]",580
aten::isfinite,860,6582.136999972294,"[[48,6]]",580
aten::sub,852,6648.551999983329,"[[48,6],[48,6],[]]",350
aten::sum,431,6139.78399999105,"[[48,1,84],[],[],[]]",260
aten::__iand__,362,601.638000000878,"[[48,6],[48,6]]",350
aten::bitwise_and_,362,1738.4340000037523,"[[48,6],[48,6]]",350
aten::__ior__,357,763.2860000028627,"[[48,6],[48,6]]",350
aten::bitwise_or_,357,1526.3250000011208,"[[48,6],[48,6]]",350
aten::allclose,352,2281.733000012021,"[[48,6],[48,6],[],[],[]]",350
aten::isclose,352,6723.92900002758,"[[48,6],[48,6],[],[],[]]",350
aten::ones,206,879.1380000056888,"[[],[],[],[],[]]",206
aten::arange,206,1548.5540000006295,"[[],[],[],[],[]]",103
aten::zeros,99,433.4710000067862,"[[],[],[],[],[]]",99
aten::expand_as,78,157.79900000151247,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1202.6109999966866,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::index_put_,41,130.675999998115,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,803.5659999940544,"[[48,84],[],[48,21],[],[]]",12
aten::t,35,52.81199999526143,"[[1,1]]",15
aten::transpose,35,165.18800000101328,"[[1,1],[],[]]",15
aten::set_,35,122.25300000235438,"[[1,1],[1,1]]",15
aten::bincount,15,412.244000001112,"[[455],[],[]]",15
aten::rsub,15,88.00399999777437,"[[84],[],[]]",15
aten::index,5,136.46900000143796,"[[48,5,56],[]]",5
aten::squeeze,5,22.58699999935925,"[[48,5,1],[]]",5
aten::bmm,2,218.13700000103563,"[[48,5,84],[48,84,84]]",2
aten::broadcast_tensors,1,2.9350000000558794,[[]],1
