accepted_step,accepted_steps,analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,center_shift_from_initial,compile_time_s,dependency_loss_metric,dependency_loss_semantics,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_center,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,memory_measurement,memory_unavailable_reason,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,reference_oracle,remainder_estimation,remainder_width,requested_step,reset_method,runtime_export_s,runtime_propagation_s,runtime_s,runtime_setup_s,runtime_unavailable_semantics,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
0.01,23,,,,,c+A*xi+fresh_independent_interval,-0.8946593265498262,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.23,1.5053406734501742,endpoint_raw,,,-39.779501380812256,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10000000000000187,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,82.46968410852485,0.01,,unavailable,0.0670398510992527,0.0670398510992527,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,23,0.23,van_der_pol,2,0.23,torch_tm_flowpipe,True,42.790182727712605,,2,,complete_total_degree_1,82.56968410852485
0.01,100,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.004096404402066781,0.814973839558661,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,True,,0.814973839558661,True,0.01,1.0,0.05409640440206678,endpoint_raw,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-0.002925083399622419,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,200,3,100,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.8265904793515801,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.814973839558661,unavailable means the backend did not isolate this component; it is not zero,,0,1.955120824277401e-05,100,1.0,riccati,,1.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,0.11111789220375598,False,,DiffReach_remainder_picard,,0.1140429756033784
0.01,100,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.004082568923825455,0.814973839558661,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,0.814973839558661,True,0.01,1.0,0.05408256892382546,tube,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-0.0029527543561050622,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,200,3,100,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.8265904793515801,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.814973839558661,unavailable means the backend did not isolate this component; it is not zero,,0,1.955120824277401e-05,100,1.0,riccati,,1.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,0.11111789220375598,False,,DiffReach_remainder_picard,,0.11407064655986104
0.01,400,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.0,0.924102168995887,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,True,,0.924102168995887,True,0.01,4.0,0.0,endpoint_raw,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-5.460545849406332,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,2400,2,400,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.982940814923495,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.924102168995887,unavailable means the backend did not isolate this component; it is not zero,,0,2.8767290059477092e-05,400,4.0,harmonic,,4.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,5.460545849406332,False,,DiffReach_remainder_picard,,10.921091698812663
0.01,400,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.0,0.924102168995887,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,True,,0.924102168995887,True,0.01,4.0,0.0,endpoint_raw,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-5.460545849406332,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,2400,2,400,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.982940814923495,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.924102168995887,unavailable means the backend did not isolate this component; it is not zero,,1,2.8767290059477092e-05,400,4.0,harmonic,,4.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,5.460545849406332,False,,DiffReach_remainder_picard,,10.921091698812663
0.01,400,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.0,0.924102168995887,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,0.924102168995887,True,0.01,4.0,0.0,tube,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-5.460545849406332,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,2400,2,400,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.982940814923495,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.924102168995887,unavailable means the backend did not isolate this component; it is not zero,,0,2.8767290059477092e-05,400,4.0,harmonic,,4.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,5.460545849406332,False,,DiffReach_remainder_picard,,10.921091698812663
0.01,400,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.0,0.924102168995887,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,0.924102168995887,True,0.01,4.0,0.0,tube,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,-5.460545849406332,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,2400,2,400,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,0.982940814923495,analytic_interval_solution,,,0.01,stock_symbolic_linear_normalization,unavailable,unavailable,,0.924102168995887,unavailable means the backend did not isolate this component; it is not zero,,1,2.8767290059477092e-05,400,4.0,harmonic,,4.0,diffreach_experimental_strict_affine,not_applicable_analytic_reference,5.460545849406332,False,,DiffReach_remainder_picard,,10.921091698812663
0.005,50,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.004558212665513706,1.7660958911292255,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,1.7660958911292255,True,0.005,0.25,0.10455821266551371,endpoint_raw,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,0.08290510014499052,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,300,6,50,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,1.78276941832155,deterministic_DOP853_trajectory_sanity_non_proof,,,0.005,stock_symbolic_linear_normalization,unavailable,unavailable,,1.7660958911292255,unavailable means the backend did not isolate this component; it is not zero,,0,5.931885913014412e-05,50,0.25,coupled_quadratic,,0.25,diffreach_experimental_strict_affine,True,0.12621132518603692,False,,DiffReach_remainder_picard,,0.043306225041046406
0.005,50,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,-0.04191138406336631,1.7660958911292255,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,1.7660958911292255,True,0.005,0.25,0.1580886159366337,endpoint_raw,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,0.13107248892789136,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,300,6,50,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,1.78276941832155,deterministic_DOP853_trajectory_sanity_non_proof,,,0.005,stock_symbolic_linear_normalization,unavailable,unavailable,,1.7660958911292255,unavailable means the backend did not isolate this component; it is not zero,,1,5.931885913014412e-05,50,0.25,coupled_quadratic,,0.25,diffreach_experimental_strict_affine,True,0.18510474294537602,False,,DiffReach_remainder_picard,,0.054032254017484654
0.005,50,,B1_carry,constant+affine_state_generators+independent_interval,1,c+A*xi+fresh_independent_interval,0.004516742964105425,1.7660958911292255,reference,affine carry reference for box-reset dependency loss,jax_nextafter_projection_only,,,1.7660958911292255,True,0.005,0.25,0.10451674296410543,tube,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,0.08282216074217394,,unavailable,this protocol did not isolate process/device peak memory,,strict_affine_projection,,True,300,6,50,jax_cpu_float64,,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,common_affine_carry,1.78276941832155,deterministic_DOP853_trajectory_sanity_non_proof,,,0.005,stock_symbolic_linear_normalization,unavailable,unavailable,,1.7660958911292255,unavailable means the backend did not isolate this component; it is not zero,,0,5.931885913014412e-05,50,0.25,coupled_quadratic,,0.25,diffreach_experimental_strict_affine,True,0.12621132518603692,False,,DiffReach_remainder_picard,,0.04338916444386298
