analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,endpoint_evaluation_path,excluded_from_authoritative,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,runtime_s,state_index,step_index,system,time,tool,upper,variant,width
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0020025236531623467,,True,2,0.10782573256177413,native_low_order,0.002176074715401954,0.000103,0,74,riccati,0.7400000000000004,flowstar,0.10799928362401376,root_cause_fixed_order_2,0.11000180727717611
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002031703545041755,,True,2,0.10793770113029683,native_low_order,0.0022101630845512417,0.000104,0,75,riccati,0.7500000000000004,flowstar,0.10811616066980631,root_cause_fixed_order_2,0.11014786421484807
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00206094331288847,,True,2,0.10804984419527253,native_low_order,0.0022443902224454364,0.000103,0,76,riccati,0.7600000000000005,flowstar,0.10823329110482949,root_cause_fixed_order_2,0.11029423441771796
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0020902430971705484,,True,2,0.1081621621194796,native_low_order,0.0022787567320051104,0.000107,0,77,riccati,0.7700000000000005,flowstar,0.10835067575431417,root_cause_fixed_order_2,0.11044091885148473
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002119603038750581,,True,2,0.10827465526663978,native_low_order,0.0023132632191904083,0.000104,0,78,riccati,0.7800000000000005,flowstar,0.1084683154470796,root_cause_fixed_order_2,0.11058791848583019
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002149023278886961,,True,2,0.10838732400142095,native_low_order,0.00234791029301895,0.000104,0,79,riccati,0.7900000000000005,flowstar,0.10858621101555295,root_cause_fixed_order_2,0.1107352342944399
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0021785039592351722,,True,2,0.10850016868944015,native_low_order,0.0023826985655838544,0.000103,0,80,riccati,0.8000000000000005,flowstar,0.10870436329578885,root_cause_fixed_order_2,0.11088286725502403
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0022080452218491654,,True,2,0.10861318969726655,native_low_order,0.0024176286520718807,0.000104,0,81,riccati,0.8100000000000005,flowstar,0.10882277312748927,root_cause_fixed_order_2,0.11103081834933844
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0022376472091826852,,True,2,0.10872638739242442,native_low_order,0.0024527011707817016,0.000103,0,82,riccati,0.8200000000000005,flowstar,0.10894144135402345,root_cause_fixed_order_2,0.11117908856320613
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0022673100640905855,,True,2,0.10883976214339616,native_low_order,0.002487916743142298,0.000104,0,83,riccati,0.8300000000000005,flowstar,0.10906036882244788,root_cause_fixed_order_2,0.11132767888653847
