analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,reset_discarded_term_count,runtime_s,state_index,step_index,system,time,tool,upper,validation_attempts,variant,width
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.021096693451197208,,True,1,0.10000000000000003,native_low_order,0.044233291585391514,0,0.012923484202474356,0,20,riccati,0.2,torch_tm_flowpipe,0.12313659813419435,2,order1_raw_dependency,0.14423329158539155
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.016684074800161403,,True,1,0.10000000000000003,native_low_order,0.035408375203183295,0,0.012923484202474356,0,20,riccati,0.2,torch_tm_flowpipe,0.11872430040302194,2,order1_raw_dependency,0.13540837520318333
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.026697766927470837,,True,1,0.10000000000000003,native_low_order,0.05553999031185361,0,0.012824055273085833,0,21,riccati,0.21,torch_tm_flowpipe,0.12884222338438284,2,order1_raw_dependency,0.15553999031185367
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.026697766927470837,,True,1,0.10000000000000003,native_low_order,0.05553999031185361,0,0.012824055273085833,0,21,riccati,0.21,torch_tm_flowpipe,0.12884222338438284,2,order1_raw_dependency,0.15553999031185367
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.02115778921562803,,True,1,0.10000000000000003,native_low_order,0.04446039053608866,0,0.012824055273085833,0,21,riccati,0.21,torch_tm_flowpipe,0.12330260132046068,2,order1_raw_dependency,0.14446039053608872
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.03372974884972372,,True,1,0.10000000000000003,native_low_order,0.06970886157819489,0,0.013036617077887058,0,22,riccati,0.22,torch_tm_flowpipe,0.13597911272847124,2,order1_raw_dependency,0.16970886157819495
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.03372974884972372,,True,1,0.10000000000000003,native_low_order,0.06970886157819489,0,0.013036617077887058,0,22,riccati,0.22,torch_tm_flowpipe,0.13597911272847124,2,order1_raw_dependency,0.16970886157819495
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.026777362090531973,,True,1,0.10000000000000003,native_low_order,0.05580448866689898,0,0.013036617077887058,0,22,riccati,0.22,torch_tm_flowpipe,0.12902712657636708,2,order1_raw_dependency,0.15580448866689905
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0425560140044433,,True,1,0.10000000000000003,native_low_order,0.08746669991655719,0,0.01283644000068307,0,23,riccati,0.23,torch_tm_flowpipe,0.14491068591211395,2,order1_raw_dependency,0.18746669991655726
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0425560140044433,,True,1,0.10000000000000003,native_low_order,0.08746669991655719,0,0.01283644000068307,0,23,riccati,0.23,torch_tm_flowpipe,0.14491068591211395,2,order1_raw_dependency,0.18746669991655726
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.03383397307651889,,True,1,0.10000000000000003,native_low_order,0.07002307687490529,0,0.01283644000068307,0,23,riccati,0.23,torch_tm_flowpipe,0.13618910379838647,2,order1_raw_dependency,0.17002307687490537
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.05363285263290054,,True,1,0.10000000000000003,native_low_order,0.10972614401659174,0,0.012994085904210806,0,24,riccati,0.24,torch_tm_flowpipe,0.15609329138369127,2,order1_raw_dependency,0.20972614401659181
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.05363285263290054,,True,1,0.10000000000000003,native_low_order,0.10972614401659174,0,0.012994085904210806,0,24,riccati,0.24,torch_tm_flowpipe,0.15609329138369127,2,order1_raw_dependency,0.20972614401659181
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0426933641430139,,True,1,0.10000000000000003,native_low_order,0.08784770121227775,0,0.012994085904210806,0,24,riccati,0.24,torch_tm_flowpipe,0.14515433706926392,2,order1_raw_dependency,0.1878477012122778
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.06753359593551408,,True,1,0.10000000000000003,native_low_order,0.13763393164039822,0,0.012856987304985523,0,25,riccati,0.25,torch_tm_flowpipe,0.17010033570488423,2,order1_raw_dependency,0.2376339316403983
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.06753359593551408,,True,1,0.10000000000000003,native_low_order,0.13763393164039822,0,0.012856987304985523,0,25,riccati,0.25,torch_tm_flowpipe,0.17010033570488423,2,order1_raw_dependency,0.2376339316403983
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.05381526110323598,,True,1,0.10000000000000003,native_low_order,0.11019789372999636,0,0.012856987304985523,0,25,riccati,0.25,torch_tm_flowpipe,0.15638263262676044,2,order1_raw_dependency,0.21019789372999642
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.08497921457507919,,True,1,0.10000000000000003,native_low_order,0.1726321016922622,0,0.013061534147709608,0,26,riccati,0.26,torch_tm_flowpipe,0.1876528871171831,2,order1_raw_dependency,0.27263210169226226
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.08497921457507919,,True,1,0.10000000000000003,native_low_order,0.1726321016922622,0,0.013061534147709608,0,26,riccati,0.26,torch_tm_flowpipe,0.1876528871171831,2,order1_raw_dependency,0.27263210169226226
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.06777804110068888,,True,1,0.10000000000000003,native_low_order,0.13823051286700724,0,0.013061534147709608,0,26,riccati,0.26,torch_tm_flowpipe,0.17045247176631842,2,order1_raw_dependency,0.2382305128670073
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.10687724510511759,,True,1,0.10000000000000003,native_low_order,0.21653585364859845,0,0.012956256978213787,0,27,riccati,0.27,torch_tm_flowpipe,0.20965860854348092,2,order1_raw_dependency,0.3165358536485985
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.10687724510511759,,True,1,0.10000000000000003,native_low_order,0.21653585364859845,0,0.012956256978213787,0,27,riccati,0.27,torch_tm_flowpipe,0.20965860854348092,2,order1_raw_dependency,0.3165358536485985
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.08531016916612137,,True,1,0.10000000000000003,native_low_order,0.17340262360566833,0,0.012956256978213787,0,27,riccati,0.27,torch_tm_flowpipe,0.18809245443954706,2,order1_raw_dependency,0.2734026236056684
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.13437149664141565,,True,1,0.10000000000000003,native_low_order,0.27163296945251636,0,0.01292977575212717,0,28,riccati,0.28,torch_tm_flowpipe,0.2372614728111008,2,order1_raw_dependency,0.37163296945251645
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.13437149664141565,,True,1,0.10000000000000003,native_low_order,0.27163296945251636,0,0.01292977575212717,0,28,riccati,0.28,torch_tm_flowpipe,0.2372614728111008,2,order1_raw_dependency,0.37163296945251645
