basis,coefficient,destination,exponent,h,iteration,range_lower,range_upper,range_width,stage,state_index,system
B1,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,1,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.005,1,-2.0000000000000005e-05,2.0000000000000005e-05,4.000000000000002e-05,picard,1,coupled_quadratic
B1,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,1,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B1,-0.020000000000000004,fresh_independent_interval_remainder,"[0, 1, 1]",0.005,1,-0.00010000000000000006,0.00010000000000000006,0.00020000000000000015,picard,1,coupled_quadratic
B1,0.0020000000000000005,fresh_independent_interval_remainder,"[0, 1, 1]",0.005,2,-1.0000000000000006e-05,1.0000000000000006e-05,2.0000000000000015e-05,picard,0,coupled_quadratic
B1,-0.0075000000000000015,fresh_independent_interval_remainder,"[0, 0, 2]",0.005,2,-1.8750000000000008e-07,5e-324,1.875000000000001e-07,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.005,2,-2.0000000000000005e-05,2.0000000000000005e-05,4.000000000000002e-05,picard,0,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,2,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B1,-0.0018999999999999998,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-4.7500000000000015e-08,4.7500000000000015e-08,9.500000000000004e-08,picard,0,coupled_quadratic
B1,0.0002000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-5.000000000000005e-09,5.000000000000005e-09,1.0000000000000012e-08,picard,0,coupled_quadratic
B1,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-1.5833333333333346e-10,5e-324,1.5833333333333348e-10,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.005,2,-2.0000000000000005e-05,2.0000000000000005e-05,4.000000000000002e-05,picard,1,coupled_quadratic
B1,0.097,fresh_independent_interval_remainder,"[0, 0, 2]",0.005,2,-5e-324,2.425000000000001e-06,2.4250000000000013e-06,picard,1,coupled_quadratic
B1,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,2,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-1.0000000000000005e-08,1.0000000000000005e-08,2.0000000000000014e-08,picard,1,coupled_quadratic
B1,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-5e-324,1.6666666666666683e-11,1.6666666666666687e-11,picard,1,coupled_quadratic
B1,-0.020000000000000004,fresh_independent_interval_remainder,"[0, 1, 1]",0.005,2,-0.00010000000000000006,0.00010000000000000006,0.00020000000000000015,picard,1,coupled_quadratic
B_DR,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,1,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B_DR,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,1,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B_DR,-0.0012999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.250000000000001e-08,3.250000000000001e-08,6.500000000000004e-08,picard,0,coupled_quadratic
B_DR,-0.0006000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-1.500000000000001e-08,1.500000000000001e-08,3.0000000000000024e-08,picard,0,coupled_quadratic
B_DR,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,2,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B_DR,3.999999999999998e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-5e-324,1.0000000000000003e-09,1.0000000000000005e-09,picard,0,coupled_quadratic
B_DR,-0.00016,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-4.0000000000000036e-09,4.0000000000000036e-09,8.000000000000009e-09,picard,0,coupled_quadratic
B_DR,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-1.5833333333333346e-10,5e-324,1.5833333333333348e-10,picard,0,coupled_quadratic
B_DR,-0.0002266666666666666,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-2.8333333333333342e-11,2.8333333333333342e-11,5.666666666666669e-11,picard,0,coupled_quadratic
B_DR,-0.0002600000000000001,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.2500000000000036e-11,3.2500000000000036e-11,6.500000000000009e-11,picard,0,coupled_quadratic
B_DR,2.000000000000001e-05,fresh_independent_interval_remainder,"[0, 2, 2]",0.005,2,-5e-324,5.000000000000005e-10,5.000000000000007e-10,picard,0,coupled_quadratic
B_DR,0.010200000000000002,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-2.550000000000002e-07,2.550000000000002e-07,5.100000000000005e-07,picard,1,coupled_quadratic
B_DR,-0.0011999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.000000000000001e-08,3.000000000000001e-08,6.000000000000003e-08,picard,1,coupled_quadratic
B_DR,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,2,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B_DR,4e-05,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-1.0000000000000009e-09,1.0000000000000009e-09,2.000000000000002e-09,picard,1,coupled_quadratic
B_DR,7.999999999999997e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-5e-324,2.0000000000000005e-09,2.000000000000001e-09,picard,1,coupled_quadratic
B_DR,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-5e-324,1.6666666666666683e-11,1.6666666666666687e-11,picard,1,coupled_quadratic
B_DR,2.6666666666666677e-05,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.3333333333333368e-12,3.3333333333333368e-12,6.666666666666674e-12,picard,1,coupled_quadratic
B_DR,5.333333333333334e-05,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-6.666666666666672e-12,6.666666666666672e-12,1.3333333333333345e-11,picard,1,coupled_quadratic
B2,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,1,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B2,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,1,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B2,-0.0012999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.250000000000001e-08,3.250000000000001e-08,6.500000000000004e-08,picard,0,coupled_quadratic
B2,-0.0006000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-1.500000000000001e-08,1.500000000000001e-08,3.0000000000000024e-08,picard,0,coupled_quadratic
B2,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.005,2,-2.000000000000001e-06,2.000000000000001e-06,4.000000000000003e-06,picard,0,coupled_quadratic
B2,3.999999999999998e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-5e-324,1.0000000000000003e-09,1.0000000000000005e-09,picard,0,coupled_quadratic
B2,-0.00016,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-4.0000000000000036e-09,4.0000000000000036e-09,8.000000000000009e-09,picard,0,coupled_quadratic
B2,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-1.5833333333333346e-10,5e-324,1.5833333333333348e-10,picard,0,coupled_quadratic
B2,-0.0002266666666666666,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-2.8333333333333342e-11,2.8333333333333342e-11,5.666666666666669e-11,picard,0,coupled_quadratic
B2,-0.0002600000000000001,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.2500000000000036e-11,3.2500000000000036e-11,6.500000000000009e-11,picard,0,coupled_quadratic
B2,2.000000000000001e-05,fresh_independent_interval_remainder,"[0, 2, 2]",0.005,2,-5e-324,5.000000000000005e-10,5.000000000000007e-10,picard,0,coupled_quadratic
B2,0.010200000000000002,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-2.550000000000002e-07,2.550000000000002e-07,5.100000000000005e-07,picard,1,coupled_quadratic
B2,-0.0011999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.000000000000001e-08,3.000000000000001e-08,6.000000000000003e-08,picard,1,coupled_quadratic
B2,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.005,2,-5e-324,2.0000000000000008e-06,2.000000000000001e-06,picard,1,coupled_quadratic
B2,4e-05,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-1.0000000000000009e-09,1.0000000000000009e-09,2.000000000000002e-09,picard,1,coupled_quadratic
B2,7.999999999999997e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-5e-324,2.0000000000000005e-09,2.000000000000001e-09,picard,1,coupled_quadratic
B2,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-5e-324,1.6666666666666683e-11,1.6666666666666687e-11,picard,1,coupled_quadratic
B2,2.6666666666666677e-05,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.3333333333333368e-12,3.3333333333333368e-12,6.666666666666674e-12,picard,1,coupled_quadratic
B2,5.333333333333334e-05,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-6.666666666666672e-12,6.666666666666672e-12,1.3333333333333345e-11,picard,1,coupled_quadratic
B3,-0.0012999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.250000000000001e-08,3.250000000000001e-08,6.500000000000004e-08,picard,0,coupled_quadratic
B3,5.999999999999998e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-5e-324,1.5000000000000006e-09,1.5000000000000008e-09,picard,0,coupled_quadratic
B3,-0.0006000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-1.500000000000001e-08,1.500000000000001e-08,3.0000000000000024e-08,picard,0,coupled_quadratic
B3,-0.00012000000000000002,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-3.000000000000002e-09,3.000000000000002e-09,6.000000000000005e-09,picard,0,coupled_quadratic
B3,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-1.5833333333333346e-10,5e-324,1.5833333333333348e-10,picard,0,coupled_quadratic
B3,-0.0002266666666666666,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-2.8333333333333342e-11,2.8333333333333342e-11,5.666666666666669e-11,picard,0,coupled_quadratic
B3,-0.0002600000000000001,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.2500000000000036e-11,3.2500000000000036e-11,6.500000000000009e-11,picard,0,coupled_quadratic
B3,2.000000000000001e-05,fresh_independent_interval_remainder,"[0, 2, 2]",0.005,2,-5e-324,5.000000000000005e-10,5.000000000000007e-10,picard,0,coupled_quadratic
B3,0.010200000000000002,fresh_independent_interval_remainder,"[0, 1, 2]",0.005,2,-2.550000000000002e-07,2.550000000000002e-07,5.100000000000005e-07,picard,1,coupled_quadratic
B3,-0.0011999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.005,2,-3.000000000000001e-08,3.000000000000001e-08,6.000000000000003e-08,picard,1,coupled_quadratic
B3,8e-05,fresh_independent_interval_remainder,"[1, 1, 2]",0.005,2,-2.0000000000000018e-09,2.0000000000000018e-09,4.000000000000004e-09,picard,1,coupled_quadratic
B3,-0.00011999999999999996,fresh_independent_interval_remainder,"[2, 0, 2]",0.005,2,-3.0000000000000012e-09,5e-324,3.0000000000000016e-09,picard,1,coupled_quadratic
B3,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.005,2,-5e-324,1.6666666666666683e-11,1.6666666666666687e-11,picard,1,coupled_quadratic
B3,2.6666666666666677e-05,fresh_independent_interval_remainder,"[0, 1, 3]",0.005,2,-3.3333333333333368e-12,3.3333333333333368e-12,6.666666666666674e-12,picard,1,coupled_quadratic
B3,5.333333333333334e-05,fresh_independent_interval_remainder,"[1, 0, 3]",0.005,2,-6.666666666666672e-12,6.666666666666672e-12,1.3333333333333345e-11,picard,1,coupled_quadratic
B1,0.0020000000000000005,fresh_independent_interval_remainder,"[0, 1, 1]",0.01,1,-2.0000000000000012e-05,2.0000000000000012e-05,4.000000000000003e-05,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.01,1,-4.000000000000001e-05,4.000000000000001e-05,8.000000000000003e-05,picard,0,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.01,1,-4.000000000000002e-06,4.000000000000002e-06,8.000000000000006e-06,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.01,1,-4.000000000000001e-05,4.000000000000001e-05,8.000000000000003e-05,picard,1,coupled_quadratic
B1,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.01,1,-5e-324,4.0000000000000015e-06,4.000000000000002e-06,picard,1,coupled_quadratic
B1,-0.020000000000000004,fresh_independent_interval_remainder,"[0, 1, 1]",0.01,1,-0.00020000000000000012,0.00020000000000000012,0.0004000000000000003,picard,1,coupled_quadratic
