analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,1.7174059618264437,True,,,,False,0.01,0.01,tube,,,-0.10101010200000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2020000000000002,,one_step_common_input,,,2.020400000000001e-05,,1.8887442681007087,,1,,1,,harmonic,2,0.01,flowstar,,0.10101010200000002,,43,,flowstar_root_cause_patch,0.20202020400000004
True,,,,none_one_step,1.7174059618264437,True,,,,False,0.01,0.01,endpoint_raw,,,-0.10101010200000002,1,,,"{""affine_state"": 2}",True,,,,,0.20200000000000015,,one_step_common_input,,,2.020400000000001e-05,,1.8887442681007087,,0,,1,,harmonic,2,0.01,flowstar,,0.10101010200000002,,43,,flowstar_root_cause_patch,0.20202020400000004
True,,,,none_one_step,1.7174059618264437,True,,,,False,0.01,0.01,endpoint_raw,,,-0.10101010200000002,1,,,"{""affine_state"": 2}",True,,,,,0.20200000000000018,,one_step_common_input,,,2.020400000000001e-05,,1.8887442681007087,,1,,1,,harmonic,2,0.01,flowstar,,0.10101010200000002,,43,,flowstar_root_cause_patch,0.20202020400000004
,,,,none_one_step,1.718475495930761,True,,,,False,0.01,0.01,tube,,,-0.10100501683501786,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20201003333333362,,one_step_common_input,,,3.367023367000072e-10,,1.8905217940919101,,0,,1,,harmonic,4,0.01,flowstar,,0.10100501683501786,,67,,flowstar_root_cause_patch,0.20201003367003573
,,,,none_one_step,1.718475495930761,True,,,,False,0.01,0.01,tube,,,-0.10100501683501786,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20201003333333362,,one_step_common_input,,,3.367023367000072e-10,,1.8905217940919101,,1,,1,,harmonic,4,0.01,flowstar,,0.10100501683501786,,67,,flowstar_root_cause_patch,0.20201003367003573
True,,,,none_one_step,1.718475495930761,True,,,,False,0.01,0.01,endpoint_raw,,,-0.10100501683501786,1,,,"{""affine_state"": 2}",True,,,,,0.2019899666666668,,one_step_common_input,,,2.0067003369016037e-05,,1.8905217940919101,,0,,1,,harmonic,2,0.01,flowstar,,0.10100501683501786,,67,,flowstar_root_cause_patch,0.20201003367003573
True,,,,none_one_step,1.718475495930761,True,,,,False,0.01,0.01,endpoint_raw,,,-0.10100501683501786,1,,,"{""affine_state"": 2}",True,,,,,0.20198996666666683,,one_step_common_input,,,2.0067003369016037e-05,,1.8905217940919101,,1,,1,,harmonic,2,0.01,flowstar,,0.10100501683501786,,67,,flowstar_root_cause_patch,0.20201003367003573
,,,,none_one_step,1.8408331479877234,True,,,,False,0.02,0.02,tube,,,-0.10204082400000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2040000000000002,,one_step_common_input,,,8.164800000000004e-05,,2.0121382060460746,,0,,1,,harmonic,2,0.02,flowstar,,0.10204082400000002,,43,,flowstar_root_cause_patch,0.20408164800000003
,,,,none_one_step,1.8408331479877234,True,,,,False,0.02,0.02,tube,,,-0.10204082400000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.2040000000000002,,one_step_common_input,,,8.164800000000004e-05,,2.0121382060460746,,1,,1,,harmonic,2,0.02,flowstar,,0.10204082400000002,,43,,flowstar_root_cause_patch,0.20408164800000003
True,,,,none_one_step,1.8408331479877234,True,,,,False,0.02,0.02,endpoint_raw,,,-0.10204082400000002,1,,,"{""affine_state"": 2}",True,,,,,0.20400000000000015,,one_step_common_input,,,8.164800000000004e-05,,2.0121382060460746,,0,,1,,harmonic,2,0.02,flowstar,,0.10204082400000002,,43,,flowstar_root_cause_patch,0.20408164800000003
