analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,reset_discarded_term_count,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
,0.0,50,cpu,float64,0.25,,0.12229600409045815,0.005,,True,396496,3,0.25,50,0,6.153837352991104,0.12244004430249333,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12234426103532314,0.005,,True,396496,4,0.25,50,0,6.1481666578911245,0.12240521982312202,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.1220074761658907,0.005,,True,396496,5,0.25,50,0,6.142271197866648,0.1223172890022397,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12179431971162558,0.005,,True,396496,6,0.25,50,0,6.147544806823134,0.12225610297173262,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12231304310262203,0.005,,True,396496,7,0.25,50,0,6.149244382511824,0.12240713695064187,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12269002525135875,0.005,,True,396496,8,0.25,50,0,6.152947289403528,0.12237321911379695,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12258718209341168,0.005,,True,396496,9,0.25,50,0,7.20608607493341,0.1225754120387137,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.8270554761402309,0.005,,True,396496,0,0.25,50,250,41.428492615930736,0.8283071247860789,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8166865352541208,0.005,,True,396496,1,0.25,50,250,41.377979557495564,0.8236284940503538,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8248450569808483,0.005,,True,396496,2,0.25,50,250,41.478480943478644,0.8299673008732498,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8187813432887197,0.005,,True,396496,3,0.25,50,250,41.42602138547227,0.8272569682449102,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8239505919627845,0.005,,True,396496,4,0.25,50,250,36.79937402578071,0.8211221862584352,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8296702266670763,0.005,,True,396496,5,0.25,50,250,41.40630917530507,0.8299867231398821,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8268140810541809,0.005,,True,396496,6,0.25,50,250,41.39832386141643,0.8288752441294491,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.8348077861592174,0.005,,True,396496,7,0.25,50,250,26.954108437988907,0.504817902110517,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.5009123431518674,0.005,,True,396496,8,0.25,50,250,25.34885812457651,0.5050107780843973,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,50,cpu,float64,0.25,,0.502202533185482,0.005,,True,396496,9,0.25,50,250,25.321686695795506,0.5048414100892842,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296633789350138
,0.0,25,cpu,float64,0.25,,0.12700853683054447,0.01,,True,396496,0,0.25,25,0,3.083352719899267,0.12244599498808384,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.1226096167229116,0.01,,True,396496,1,0.25,25,0,3.074628974776715,0.12251762999221683,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12805755389854312,0.01,,True,396496,2,0.25,25,0,3.0856968541629612,0.1224183572921902,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12185970973223448,0.01,,True,396496,3,0.25,25,0,3.075267853215337,0.12252726615406573,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12243803311139345,0.01,,True,396496,4,0.25,25,0,3.0877662827260792,0.12248272402212024,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12253479612991214,0.01,,True,396496,5,0.25,25,0,3.075786331202835,0.12246586196124554,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12268749810755253,0.01,,True,396496,6,0.25,25,0,3.0908645926974714,0.12255273014307022,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12280290387570858,0.01,,True,396496,7,0.25,25,0,3.075109139084816,0.12246839608997107,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12294796295464039,0.01,,True,396496,8,0.25,25,0,3.087601632811129,0.12260480015538633,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.12522521894425154,0.01,,True,396496,9,0.25,25,0,3.0746690100058913,0.12230559368617833,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.04303909579551132
,0.0,25,cpu,float64,0.25,,0.5027385000139475,0.01,,True,396496,0,0.25,25,125,12.669929162599146,0.5043030579108745,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.5017105028964579,0.01,,True,396496,1,0.25,25,125,12.671669462695718,0.5048857240471989,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.5016411431133747,0.01,,True,396496,2,0.25,25,125,12.666003314778209,0.5047187865711749,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.5019796099513769,0.01,,True,396496,3,0.25,25,125,12.668370463885367,0.5043564673978835,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.5034757158719003,0.01,,True,396496,4,0.25,25,125,14.026945766061544,0.5070274076424539,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.8170091607607901,0.01,,True,396496,5,0.25,25,125,20.696597375907004,0.8297722537536174,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.8446414559148252,0.01,,True,396496,6,0.25,25,125,20.715806427411735,0.8257961871568114,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.8403484714217484,0.01,,True,396496,7,0.25,25,125,20.67055351426825,0.8275944215711206,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.8224534788168967,0.01,,True,396496,8,0.25,25,125,20.785416579339653,0.8326475904323161,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,25,cpu,float64,0.25,,0.8182843090035021,0.01,,True,396496,9,0.25,25,125,20.713318560272455,0.8270269085187465,0.25,coupled_quadratic,torch_tm_flowpipe,order4_affine_reset_selected,0.04296626780213819
,0.0,200,cpu,float64,1.0,,0.22193070780485868,0.005,,True,396496,0,1.0,200,0,52.626826791558415,0.2659795847721398,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.2254312578588724,0.005,,True,396496,1,1.0,200,0,52.63282905286178,0.2660568179562688,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.21687903394922614,0.005,,True,396496,2,1.0,200,0,52.61029029870406,0.26602247171103954,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.21508975001052022,0.005,,True,396496,3,1.0,200,0,52.5551775530912,0.2660172018222511,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.21712123695760965,0.005,,True,396496,4,1.0,200,0,52.55427556252107,0.266045690048486,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.21503223991021514,0.005,,True,396496,5,1.0,200,0,52.55806948058307,0.2660134672187269,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.21535756066441536,0.005,,True,396496,6,1.0,200,0,42.5660282834433,0.21533086709678173,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.13072460517287254,0.005,,True,396496,7,1.0,200,0,31.887488077394664,0.1614639749750495,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.13094210112467408,0.005,,True,396496,8,1.0,200,0,31.89802867360413,0.16145280608907342,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.1409429502673447,0.005,,True,396496,9,1.0,200,0,31.923971001524478,0.16156995296478271,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.6187956685895426
,0.0,200,cpu,float64,1.0,,0.5451065222732723,0.005,,True,396496,0,1.0,200,1200,155.52126396633685,0.8862556433305144,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8821313176304102,0.005,,True,396496,1,1.0,200,1200,178.08694542152807,0.8895037528127432,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8953749840147793,0.005,,True,396496,2,1.0,200,1200,178.04442437691614,0.8898164769634604,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8862386797554791,0.005,,True,396496,3,1.0,200,1200,178.11470512580127,0.8896931889466941,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8927408177405596,0.005,,True,396496,4,1.0,200,1200,137.98284330405295,0.5540034961886704,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.5517710368148983,0.005,,True,396496,5,1.0,200,1200,109.83125224430114,0.5470853773877025,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.5479419329203665,0.005,,True,396496,6,1.0,200,1200,125.59108012588695,0.5486336410976946,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8957981485873461,0.005,,True,396496,7,1.0,200,1200,155.91807994619012,0.8846392459236085,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.8836180698126554,0.005,,True,396496,8,1.0,200,1200,178.2900994042866,0.8898702850565314,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
,0.0,200,cpu,float64,1.0,,0.887792516965419,0.005,,True,396496,9,1.0,200,1200,173.86159637616947,0.889488872140646,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.9281168574156631
