basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
"{1,tau,xi,tau^2,tau*xi}",,2.3487250162288547,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.0018890281207859516,0.25,coupled_quadratic,diffreach,True,quasi_window1_round1,0.09490189499964713,False
"{1,tau,xi,tau^2,tau*xi}",,3.278107301797718,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.0033192974515259266,0.25,coupled_quadratic,diffreach,True,quasi_window10_round3,0.04297791041868927,True
"{1,tau,xi}",,1.3190628411248326,0.25,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.0015987358056008816,0.25,coupled_quadratic,diffreach,True,affine_flag,0.054231722544384464,True
"{1,tau,xi,tau^2,tau*xi}",,3.2080812831409276,0.25,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.002263867761939764,0.25,coupled_quadratic,diffreach,True,restricted_quasiquadratic,0.04298894317792923,False
"{1,tau,xi,tau^2,tau*xi}",,2.4007285027764738,0.25,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.0011850344017148018,0.25,coupled_quadratic,diffreach,True,quasi_window1_round1,0.0959394843105721,True
"{1,tau,xi,tau^2,tau*xi}",,3.3102072281762958,0.25,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.00233154883608222,0.25,coupled_quadratic,diffreach,True,quasi_window10_round3,0.042990216484787236,False
"{1,tau,xi,tau^2,tau*xi}",,3.499063925817609,1.0,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,0.011776551138609648,1.0,van_der_pol,diffreach,True,restricted_quasiquadratic,0.14064663658680115,True
"{1,tau,xi,tau^2,tau*xi}",,2.5905281878076494,1.0,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,0.004773217253386974,1.0,van_der_pol,diffreach,True,quasi_window1_round1,3.7613524073753863,False
"{1,tau,xi,tau^2,tau*xi}",,3.4961378071457148,1.0,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,0.0077897110022604465,1.0,van_der_pol,diffreach,True,quasi_window10_round3,0.15442717270932488,False
"{1,tau,xi,tau^2,tau*xi}",,3.5304699507541955,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.006697240751236677,1.0,van_der_pol,diffreach,True,restricted_quasiquadratic,0.15133241787615204,False
"{1,tau,xi,tau^2,tau*xi}",,3.4920416148379445,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.004365609027445316,1.0,van_der_pol,diffreach,True,quasi_window10_round3,0.17484872384984157,True
