left_ref,right_ref,merge_base,left_only_commits,right_only_commits,right_patch_equivalent_to_left,tree_equal
origin/codex/batched-dense-nncs-gpu,origin/codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,31,0,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,0,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/flowstar-raw-remainder-compat,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,10,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/three-way-common-contract-comparison,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,26,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/three-way-comparison-correctness-repair,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,34,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/torch-flowstar-diffreach-deep-study,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,65,0,false
origin/codex/batched-dense-nncs-gpu,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,33,0,0,false
origin/codex/batched-dense-nncs-gpu,origin/master,none,60,1,1,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/first-order-three-way-benchmark,13e5eece2002e009429d6fb463eed4bc1c53ae34,9,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/flowstar-ctrunc-rescue-diagnostics,bf19292a12bee4695bfc4f44a24be4ea0d341848,57,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,52,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,24,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,14,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/three-way-common-contract-comparison,3d0ae5444435974e7509e176129fb796c76312ab,0,2,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/three-way-comparison-correctness-repair,3d0ae5444435974e7509e176129fb796c76312ab,0,10,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/codex/torch-flowstar-diffreach-deep-study,3d0ae5444435974e7509e176129fb796c76312ab,0,41,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,54,0,0,false
origin/codex/first-order-followup-correctness-matched-basis,origin/master,none,81,1,1,false
origin/codex/first-order-three-way-benchmark,origin/codex/flowstar-ctrunc-rescue-diagnostics,bf19292a12bee4695bfc4f44a24be4ea0d341848,48,0,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,43,0,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,15,0,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,5,0,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/three-way-common-contract-comparison,13e5eece2002e009429d6fb463eed4bc1c53ae34,0,11,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/three-way-comparison-correctness-repair,13e5eece2002e009429d6fb463eed4bc1c53ae34,0,19,0,false
origin/codex/first-order-three-way-benchmark,origin/codex/torch-flowstar-diffreach-deep-study,13e5eece2002e009429d6fb463eed4bc1c53ae34,0,50,0,false
origin/codex/first-order-three-way-benchmark,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,45,0,0,false
origin/codex/first-order-three-way-benchmark,origin/master,none,72,1,1,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/flowstar-kernel-alignment,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,5,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/flowstar-normalized-insertion,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,33,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/flowstar-raw-remainder-compat,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,43,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/three-way-common-contract-comparison,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,59,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/three-way-comparison-correctness-repair,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,67,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/codex/torch-flowstar-diffreach-deep-study,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,98,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/main,bf19292a12bee4695bfc4f44a24be4ea0d341848,0,3,0,false
origin/codex/flowstar-ctrunc-rescue-diagnostics,origin/master,none,24,1,1,false
origin/codex/flowstar-kernel-alignment,origin/codex/flowstar-normalized-insertion,54704e8f695802e373e2371fb0befed3b60ff3b5,0,28,0,false
origin/codex/flowstar-kernel-alignment,origin/codex/flowstar-raw-remainder-compat,54704e8f695802e373e2371fb0befed3b60ff3b5,0,38,0,false
origin/codex/flowstar-kernel-alignment,origin/codex/three-way-common-contract-comparison,54704e8f695802e373e2371fb0befed3b60ff3b5,0,54,0,false
origin/codex/flowstar-kernel-alignment,origin/codex/three-way-comparison-correctness-repair,54704e8f695802e373e2371fb0befed3b60ff3b5,0,62,0,false
origin/codex/flowstar-kernel-alignment,origin/codex/torch-flowstar-diffreach-deep-study,54704e8f695802e373e2371fb0befed3b60ff3b5,0,93,0,false
origin/codex/flowstar-kernel-alignment,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,2,0,0,false
origin/codex/flowstar-kernel-alignment,origin/master,none,29,1,1,false
origin/codex/flowstar-normalized-insertion,origin/codex/flowstar-raw-remainder-compat,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,0,10,0,false
origin/codex/flowstar-normalized-insertion,origin/codex/three-way-common-contract-comparison,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,0,26,0,false
origin/codex/flowstar-normalized-insertion,origin/codex/three-way-comparison-correctness-repair,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,0,34,0,false
origin/codex/flowstar-normalized-insertion,origin/codex/torch-flowstar-diffreach-deep-study,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,0,65,0,false
origin/codex/flowstar-normalized-insertion,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,30,0,0,false
origin/codex/flowstar-normalized-insertion,origin/master,none,57,1,1,false
origin/codex/flowstar-raw-remainder-compat,origin/codex/three-way-common-contract-comparison,26a254ef585a9dee394b7e41922c06bf8799f501,0,16,0,false
origin/codex/flowstar-raw-remainder-compat,origin/codex/three-way-comparison-correctness-repair,26a254ef585a9dee394b7e41922c06bf8799f501,0,24,0,false
origin/codex/flowstar-raw-remainder-compat,origin/codex/torch-flowstar-diffreach-deep-study,26a254ef585a9dee394b7e41922c06bf8799f501,0,55,0,false
origin/codex/flowstar-raw-remainder-compat,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,40,0,0,false
origin/codex/flowstar-raw-remainder-compat,origin/master,none,67,1,1,false
origin/codex/three-way-common-contract-comparison,origin/codex/three-way-comparison-correctness-repair,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,0,8,0,false
origin/codex/three-way-common-contract-comparison,origin/codex/torch-flowstar-diffreach-deep-study,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,0,39,0,false
origin/codex/three-way-common-contract-comparison,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,56,0,0,false
origin/codex/three-way-common-contract-comparison,origin/master,none,83,1,1,false
origin/codex/three-way-comparison-correctness-repair,origin/codex/torch-flowstar-diffreach-deep-study,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,0,31,0,false
origin/codex/three-way-comparison-correctness-repair,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,64,0,0,false
origin/codex/three-way-comparison-correctness-repair,origin/master,none,91,1,1,false
origin/codex/torch-flowstar-diffreach-deep-study,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,95,0,0,false
origin/codex/torch-flowstar-diffreach-deep-study,origin/master,none,122,1,1,false
origin/main,origin/master,none,27,1,1,false
