symbol,signature,kind,path_count,occurrences,classification
_ratio,"_ratio(num,den)",function,5,experiments/flowstar_normalized_insertion_h10_failure.py:128;experiments/flowstar_raw_remainder_compat_h5.py:173;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:128;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:389;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:181,manual_review
_ratio,"_ratio(numerator,denominator)",function,2,experiments/flowstar_step_trace_compare.py:493;experiments/flowstar_validation_candidate_decomposition_audit.py:413,manual_review
_read,_read(path),function,2,experiments/three_tool_deep_study/generate_report.py:19;experiments/three_tool_deep_study/plot_results.py:30,manual_review
_read_csv,_read_csv(path),function,13,experiments/first_order_followup/collect_results.py:62;experiments/flowstar_benchmark_failure_diagnostics.py:144;experiments/flowstar_checkpoint_replay.py:72;experiments/flowstar_insertion_width_attribution.py:47;experiments/flowstar_one_step_oracle.py:105;experiments/flowstar_queue_state_audit.py:105;experiments/flowstar_right_map_scaling_diagnostics.py:75;experiments/flowstar_symbolic_step_trace.py:75;experiments/flowstar_vdp_width_trajectory_audit.py:629;experiments/flowstar_width_growth_diagnostics.py:94;experiments/three_tool_deep_study/collect_results.py:214;experiments/three_tool_deep_study/run_ablation.py:357;experiments/three_tool_deep_study/run_pareto.py:870,manual_review
_read_csv_rows,_read_csv_rows(path),function,2,experiments/flowstar_style_rescue_vanderpol.py:1971;experiments/trajectory_visual_audit.py:955,manual_review
_read_rows,_read_rows(path),function,16,comparisons/flowstar/summarize_comparison.py:27;experiments/flowstar_acceptance_predicate_audit.py:49;experiments/flowstar_box_lifecycle_alignment_audit.py:87;experiments/flowstar_endpoint_pre_center_source_audit.py:61;experiments/flowstar_internal_intermediate_ranges_audit.py:121;experiments/flowstar_normalized_insertion_h10_failure.py:79;experiments/flowstar_picard_residual_source_audit.py:71;experiments/flowstar_raw_ctrunc_residual_audit.py:78;experiments/flowstar_raw_remainder_compat_experiment.py:87;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:92;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:132;experiments/flowstar_raw_remainder_partition_audit.py:102;experiments/flowstar_same_source_endpoint_tube_compare.py:83;experiments/flowstar_step_trace_compare.py:767;experiments/flowstar_style_sample_containment.py:53;experiments/flowstar_validation_candidate_decomposition_audit.py:86,manual_review
_read_text,_read_text(path),function,2,experiments/flowstar_vdp_width_trajectory_audit.py:647;experiments/trajectory_visual_audit.py:467,manual_review
_report,"_report(out_dir,ledger)",function,2,experiments/flowstar_acceptance_predicate_audit.py:212;experiments/flowstar_picard_residual_source_audit.py:416,manual_review
_report,"_report(out_dir,ledger,summary)",function,4,experiments/flowstar_internal_intermediate_ranges_audit.py:379;experiments/flowstar_raw_ctrunc_residual_audit.py:378;experiments/flowstar_raw_remainder_partition_audit.py:407;experiments/flowstar_validation_candidate_decomposition_audit.py:562,manual_review
_report,"_report(out_dir,rows,summary)",function,3,experiments/flowstar_box_lifecycle_alignment_audit.py:330;experiments/flowstar_endpoint_pre_center_source_audit.py:414;experiments/flowstar_same_source_endpoint_tube_compare.py:425,manual_review
