lane,segment,physical_time,finite_ok_leaves,initial_subset_ok_leaves,all_remainder_rounds_ok_leaves,local_property_ok_leaves,composed_property_ok_leaves,overall_accepted_leaves,minimum_property_margin
L3_horner_registered_best,37,3.7,48,48,48,48,48,48,0.4826993818471432
L3_horner_registered_best,38,3.8000000000000003,48,48,48,48,48,48,0.4060891624000649
L3_horner_registered_best,39,3.9000000000000004,48,48,48,48,48,48,0.3394244863367861
L3_horner_registered_best,40,4.0,48,48,48,48,48,48,0.28270535365727656
L3_horner_registered_best,41,4.1000000000000005,48,48,48,48,48,48,0.21915401311599836
L3_horner_registered_best,42,4.2,48,48,48,48,48,48,0.14245482017270805
L3_horner_registered_best,43,4.3,48,48,48,48,48,48,0.0554942982833142
L3_horner_registered_best,44,4.4,48,48,48,48,47,47,-0.04082024690501607
L3_horner_registered_best,45,4.5,48,48,48,38,38,38,-0.24591290818798361
L3_horner_registered_best,46,4.6000000000000005,48,48,48,8,8,8,-0.5546748918126667
L3_horner_registered_best,47,4.7,48,48,48,2,2,2,-0.86343687543796
L3_horner_registered_best,48,4.800000000000001,48,42,41,0,0,0,-1.1721988590638621
L4_k3_picard,1,0.1,48,48,48,48,48,48,1.2260202723488924
L4_k3_picard,2,0.2,48,48,48,48,48,48,1.1636324112401621
L4_k3_picard,3,0.30000000000000004,48,48,48,48,48,48,1.110105455052845
L4_k3_picard,4,0.4,48,48,48,48,48,48,1.066008316666189
L4_k3_picard,5,0.5,48,48,48,48,48,48,1.0318060094398465
L4_k3_picard,6,0.6000000000000001,48,48,48,48,48,48,1.0078574406394138
L4_k3_picard,7,0.7000000000000001,48,48,48,48,48,48,0.9944217368631478
L4_k3_picard,8,0.8,48,48,48,48,48,48,0.9916571436721304
L4_k3_picard,9,0.9,48,48,48,48,48,48,0.9966898760661951
L4_k3_picard,10,1.0,48,48,48,48,48,48,1.0048429312081661
L4_k3_picard,11,1.1,48,48,48,48,48,48,1.0234822202457137
L4_k3_picard,12,1.2000000000000002,48,48,48,48,48,48,1.0525471067358747
L4_k3_picard,13,1.3,48,48,48,48,48,48,1.0915694956135353
L4_k3_picard,14,1.4000000000000001,48,48,48,48,48,48,1.1400081545906173
L4_k3_picard,15,1.5,48,48,48,48,48,48,1.1973575443379187
L4_k3_picard,16,1.6,48,48,48,48,48,48,1.262652408857798
L4_k3_picard,17,1.7000000000000002,48,48,48,48,48,48,1.2058670671859653
L4_k3_picard,18,1.8,48,48,48,48,48,48,1.151316200050517
L4_k3_picard,19,1.9000000000000001,48,48,48,48,48,48,1.10560442753976
L4_k3_picard,20,2.0,48,48,48,48,48,48,1.0691624707956084
L4_k3_picard,21,2.1,48,48,48,48,48,48,1.0423171615110824
L4_k3_picard,22,2.2,48,48,48,48,48,48,1.0252882090270186
L4_k3_picard,23,2.3000000000000003,48,48,48,48,48,48,1.0181526245745367
L4_k3_picard,24,2.4000000000000004,48,48,48,48,48,48,1.0206794579032223
L4_k3_picard,25,2.5,48,48,48,48,48,48,1.025175779874231
L4_k3_picard,26,2.6,48,48,48,48,48,48,0.9505218269753901
L4_k3_picard,27,2.7,48,48,48,48,48,48,0.8515699790003406
L4_k3_picard,28,2.8000000000000003,48,48,48,48,48,48,0.7337389378566384
L4_k3_picard,29,2.9000000000000004,48,48,48,48,48,48,0.6147101059391087
L4_k3_picard,30,3.0,48,48,48,48,48,48,0.49559581872566905
L4_k3_picard,31,3.1,48,48,48,48,48,48,0.4517850827288432
L4_k3_picard,32,3.2,48,48,48,48,48,48,0.5551350832674304
L4_k3_picard,33,3.3000000000000003,48,48,48,48,48,48,0.6584850838057446
L4_k3_picard,34,3.4000000000000004,48,48,48,48,48,48,0.7611161031755715
L4_k3_picard,35,3.5,48,48,48,48,48,48,0.6793374674966963
L4_k3_picard,36,3.6,48,48,48,48,48,48,0.5855901075267254
L4_k3_picard,37,3.7,48,48,48,48,48,48,0.5021777476104443
L4_k3_picard,38,3.8000000000000003,48,48,48,48,48,48,0.429100387747823
L4_k3_picard,39,3.9000000000000004,48,48,48,48,48,48,0.3663580279388319
L4_k3_picard,40,4.0,48,48,48,48,48,48,0.31395066818343964
L4_k3_picard,41,4.1000000000000005,48,48,48,48,48,48,0.2557452170841794
L4_k3_picard,42,4.2,48,48,48,48,48,48,0.18772710175186513
L4_k3_picard,43,4.3,48,48,48,48,48,48,0.11233805018890708
L4_k3_picard,44,4.4,48,48,48,48,48,48,0.030505672697696218
L4_k3_picard,45,4.5,48,48,48,45,45,45,-0.11112567092671854
L4_k3_picard,46,4.6000000000000005,48,48,48,30,30,30,-0.40088290192250353
L4_k3_picard,47,4.7,48,48,48,4,4,4,-0.6906401329188485
L4_k3_picard,48,4.800000000000001,48,47,47,1,1,1,-0.9803973639157539
