run_id,segment_index,t_hi,dimension,rank,monomial,interval_contribution_width,coefficient,total_degree,time_power,source_note
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,y,1,aggregate_right_map_y,0.082577766652190354,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,x,2,aggregate_right_map_x,0.072132477923208566,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,y,3,scale_y,0.044819669817766347,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,x,4,scale_x,0.039150415114426476,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,x,1,aggregate_right_map_x,0.066822726760108489,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,y,2,aggregate_right_map_y,0.066526077311442694,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,x,3,scale_x,0.036758316647068509,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,y,4,scale_y,0.036595133626920795,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,x,1,aggregate_right_map_x,0.06310467981329973,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,y,2,aggregate_right_map_y,0.055637796674452344,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,x,3,scale_x,0.035198970956376481,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,y,4,scale_y,0.031034040502462012,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,16,1.4000000000000001,x,1,aggregate_right_map_x,0.060658091779449724,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,16,1.4000000000000001,y,2,aggregate_right_map_y,0.048571690462413157,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,16,1.4000000000000001,x,3,scale_x,0.034301556948614656,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,16,1.4000000000000001,y,4,scale_y,0.027466815351606794,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,17,1.5000000000000002,x,1,aggregate_right_map_x,0.059261094752870509,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,17,1.5000000000000002,y,2,aggregate_right_map_y,0.044380108498785313,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,17,1.5000000000000002,x,3,scale_x,0.033947396631817055,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,17,1.5000000000000002,y,4,scale_y,0.025422904387003061,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,18,1.6000000000000003,x,1,aggregate_right_map_x,0.058767339310465197,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,18,1.6000000000000003,y,2,aggregate_right_map_y,0.042422857648442711,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,18,1.6000000000000003,x,3,scale_x,0.034060043640963336,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,18,1.6000000000000003,y,4,scale_y,0.024587200983302498,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
