file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,416,<genexpr>,5940,5940,0.040455217,0.190092472
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,14480,14480,0.039859881,0.039859881
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,85222,85222,0.038685838,0.20611003400000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1321,_range_for_terms_with_policy,1440,1440,0.037947067,2.9290933370000003
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,752,scan_to_next_token,22500,22500,0.036773332,0.091636487
~,0,<built-in method torch.cat>,9040,9040,0.036477412,0.036477412
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/endpoint_substitution.py,59,enclose_constant_substitution,60,60,0.036350687,0.226719826
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,107,_coef,17569,17569,0.03342212,0.11638957400000001
~,0,<built-in method torch.zeros>,11718,11718,0.033024990000000004,0.033024990000000004
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,264,next_possible_simple_key,164860,164860,0.032979532,0.032979532
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/composer.py,63,compose_node,40,13660,0.032446234000000004,1.214303904
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,94,check_event,43740,43740,0.030914101000000003,1.104383552
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/endpoint_substitution.py,28,add,940,940,0.030019405000000002,0.050723175
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,379,_interval_add,4920,4920,0.027136851,0.081071711
~,0,<built-in method builtins.any>,30867,32187,0.027077631,0.152127051
~,0,<method 'hex' of 'float' objects>,48080,48080,0.025914390000000002,0.025914390000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,563,validate_accepted_boundary_sr_queue,99,99,0.025912754000000003,0.26133236800000004
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,203,ensure_interval,65047,65047,0.025571498,0.034825303
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,57,evaluate_interval_normal,345,345,0.025416552000000002,0.868331472
~,0,<method 'view' of 'torch._C.TensorBase' objects>,8268,8268,0.024542403,0.024542403
~,0,<built-in method torch.tensor>,2880,2880,0.024025799,0.024025799
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,135,get_token,30040,30040,0.022926561,0.062429447000000006
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,813,<listcomp>,3800,3800,0.022625901,0.049884757
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,1099,__iter__,14480,14480,0.022296328,0.07693256600000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,1311,scan_plain_spaces,11300,11300,0.022010612000000002,0.051838704000000006
~,0,<method 'cpu' of 'torch._C.TensorBase' objects>,43288,43288,0.021885531,0.021885531
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1199,_identity_dense_cover,1440,1440,0.021719234,0.48883040600000005
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2888,_fraction_interval,6260,6260,0.021708195000000003,0.145929246
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/flowpipe.py,480,_float_or_none,8535,8535,0.021697283,0.12754679000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,581,_interval_is_valid,1940,1940,0.021540461,0.07362966900000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,252,cutoff,345,345,0.020944255000000002,0.45735295400000003
~,0,<built-in method builtins.len>,208633,208912,0.020703242,0.021102966
~,0,<method 'to' of 'torch._C.TensorBase' objects>,14340,14340,0.020543807,0.020543807
~,0,<built-in method torch.ones_like>,8002,8002,0.020198795000000002,0.020198795000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/accepted_boundary_sr.py,159,_linear_polynomial_image,19,19,0.019834807000000003,0.541710334
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,545,fetch_value,5180,5180,0.01983043,0.040140206000000005
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,295,save_possible_simple_key,12500,12500,0.019695045,0.085118939
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/fractions.py,645,__hash__,18780,18780,0.01936478,0.032437121
~,0,<method 'append' of 'list' objects>,165611,165611,0.018897425000000002,0.018897425000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,72,point,28057,28057,0.018718759,1.018983652
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/resolver.py,143,resolve,13660,13660,0.018600229000000003,0.025533535000000003
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/fractions.py,62,__new__,18780,18780,0.018584969,0.022677865000000002
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/constructor.py,67,construct_object,13660,13660,0.01844528,0.04031317
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/composer.py,88,compose_scalar_node,10500,10500,0.018130997000000003,0.047859211000000006
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,94,prefix,28940,28940,0.017811466,0.021007722000000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,532,_validated_interval_bounds,293,293,0.017768337000000002,0.20701466500000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1055,build_dense_subdivision_cover,360,360,0.017353161000000002,0.24240920100000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2677,component,1420,1420,0.017303517,0.127377137
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,266,add,7780,7780,0.01706632,0.40918489700000005
