window,plant,execution_mode,instrumentation,step,history_before,replay_calls,solve_seconds,prepared_plan_count,prepared_operation_count,prepared_operation_hits,prepared_plan_setup_s
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,10,9,7,1.6355180931277573,1,34,204,0.07820056146010756
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,11,10,7,1.6533159436658025,1,34,204,0.07928279461339116
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,12,11,7,1.7044247719459236,1,34,204,0.07737197214737535
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,13,12,7,1.7029312229715288,1,34,204,0.07773793628439307
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,14,13,7,1.7464119140058756,1,34,204,0.08502955688163638
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,15,14,7,1.8244018098339438,1,34,204,0.08081019995734096
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,16,15,7,1.8612655117176473,1,34,204,0.07787779485806823
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,17,16,7,1.9310778859071434,1,34,204,0.07750417478382587
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,18,17,7,2.0158368637785316,1,34,204,0.07779996516183019
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,19,18,7,2.0385818942449987,1,34,204,0.078228619415313
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,20,19,7,2.0860392842441797,1,34,204,0.07956416439265013
brusselator_0101_0120,brusselator,reference,production_diagnostic,101,100,9,1.81706378236413,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,102,101,9,1.818539333064109,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,103,102,9,1.8310940102674067,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,104,103,9,1.8242478049360216,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,105,104,9,1.824908213224262,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,106,105,9,1.8216316578909755,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,107,106,9,1.8138150880113244,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,108,107,9,1.8153073638677597,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,109,108,9,1.818332716356963,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,110,109,9,1.8306742180138826,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,111,110,9,1.82768744090572,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,112,111,9,1.8193056960590184,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,113,112,9,1.8102348218671978,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,114,113,9,1.8699505059048533,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,115,114,9,1.8041890147142112,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,116,115,9,1.8273269240744412,0,0,0,0.0
